<h>
Pro-Palestinian	JJ	Pro-Palestinian
,	,	,
"	''	"
the	DT	the
University	NP	University
will	MD	will
pursue	VB	pursue
legal	JJ	legal
action	NN	action
to	TO	to
end	VB	end
and	CC	and
remove	VB	remove
it	PP	it
permanently	RB	permanently
and	CC	and
restore	VB	restore
the	DT	the
university	NN	university
as	IN	as
a	DT	a
welcoming	VBG	welcome
space	NN	space
for	IN	for
everyone	NN	everyone
.	SENT	.
"	''	"
<p>
Social	JJ	social
media	NNS	medium
posts	NNS	post
from	IN	from
the	DT	the
camp	NN	camp
decried	VBD	decry
the	DT	the
efforts	NNS	effort
from	IN	from
the	DT	the
University	NP	University
as	IN	as
unjust	JJ	unjust
,	,	,
and	CC	and
called	VBD	call
for	IN	for
supporters	NNS	supporter
to	TO	to
come	VB	come
to	TO	to
the	DT	the
camp	NN	camp
at	IN	at
8:00	CD	@card@
,	,	,
Sunday	NP	Sunday
night	NN	night
,	,	,
to	TO	to
show	VB	show
their	PP$	their
support	NN	support
.	SENT	.
The	DT	the
posts	NNS	post
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
hours	NNS	hour
notice	VBP	notice
to	TO	to
leave	VB	leave
,	,	,
saying	VBG	say
the	DT	the
school	NN	school
was	VBD	be
making	VBG	make
an	DT	an
"	``	"
escalation	NN	escalation
,	,	,
"	''	"
while	IN	while
"	``	"
refusing	VBG	refuse
to	TO	to
engage	VB	engage
with	IN	with
the	DT	the
encampment	NN	encampment
'	POS	'
s	NN	S
demands	NNS	demand
in	IN	in
a	DT	a
tangible	JJ	tangible
way	NN	way
for	IN	for
over	IN	over
a	DT	a
month	NN	month
and	CC	and
imposing	VBG	impose
constant	JJ	constant
surveillance	NN	surveillance
and	CC	and
intimidation	NN	intimidation
tactics	NNS	tactic
.	SENT	.
"	''	"
<p>
During	IN	during
a	DT	a
press	NN	press
conference	NN	conference
July	NP	July
8	CD	@card@
,	,	,
organizers	NNS	organizer
of	IN	of
the	DT	the
People	NNS	people
'	POS	'
s	NN	S
Plaza	NP	Plaza
for	IN	for
Palestine	NP	Palestine
said	VBD	say
they	PP	they
have	VBP	have
now	RB	now
been	VBN	be
given	VBN	give
a	DT	a
notice	NN	notice
of	IN	of
trespass	NN	trespass
by	IN	by
university	NN	university
administration	NN	administration
.	SENT	.
<p>
"	``	"
The	DT	the
University	NP	University
of	IN	of
Guelph	NP	Guelph
administration	NN	administration
is	VBZ	be
dedicating	VBG	dedicate
their	PP$	their
time	NN	time
,	,	,
money	NN	money
and	CC	and
resources	NNS	resource
towards	IN	towards
legal	JJ	legal
proceedings	NNS	proceeding
towards	IN	towards
us	PP	us
in	IN	in
order	NN	order
to	TO	to
safeguard	VB	safeguard
their	PP$	their
genocide	NN	genocide
profiteering	VBG	profiteer
,	,	,
consulate	NN	consulate
absolute	JJ	absolute
control	NN	control
over	IN	over
political	JJ	political
expression	NN	expression
on	IN	on
their	PP$	their
private	JJ	private
property	NN	property
and	CC	and
break	NN	break
solidarity	NN	solidarity
between	IN	between
students	NNS	student
,	,	,
workers	NNS	worker
and	CC	and
community	NN	community
,	,	,
"	''	"
said	VBD	say
the	DT	the
organizer	NN	organizer
,	,	,
who	WP	who
wishes	VBZ	wish
to	TO	to
remain	VB	remain
anonymous	JJ	anonymous
.	SENT	.
<p>
"	``	"
Instead	RB	instead
they	PP	they
could	MD	could
focus	VB	focus
on	IN	on
housing	NN	housing
their	PP$	their
students	NNS	student
,	,	,
paying	VBG	pay
their	PP$	their
workers	NNS	worker
an	DT	an
adequate	JJ	adequate
living	NN	living
wage	NN	wage
,	,	,
taking	VBG	take
actual	JJ	actual
steps	NNS	step
to	TO	to
end	VB	end
racism	NN	racism
,	,	,
harassment	NN	harassment
and	CC	and
discrimination	NN	discrimination
on	IN	on
this	DT	this
campus	NN	campus
and	CC	and
meeting	VBG	meet
our	PP$	our
demands	NNS	demand
for	IN	for
divestment	NN	divestment
for	IN	for
genocide	NN	genocide
.	SENT	.
"	``	"
<p>
The	DT	the
People	NNS	people
'	POS	'
s	NN	S
Plaza	NP	Plaza
for	IN	for
Palestine	NP	Palestine
was	VBD	be
joined	VBN	join
by	IN	by
Independent	JJ	Independent
Jewish	JJ	Jewish
Voices	NNS	voice
Guelph	NP	Guelph
,	,	,
Decolonial	NP	Decolonial
Solidarity	NP	Solidarity
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
SOTEC	NP	<unknown>
for	IN	for
Palestine	NP	Palestine
and	CC	and
UofG	NP	<unknown>
alumni	NNS	alumnus
for	IN	for
Palestine	NP	Palestine
.	SENT	.
All	DT	all
of	IN	of
whom	WP	whom
,	,	,
stated	VBD	state
they	PP	they
stand	VBP	stand
with	IN	with
the	DT	the
protestors	NNS	protestor
and	CC	and
students	NNS	student
,	,	,
wanting	VBG	want
the	DT	the
university	NN	university
to	TO	to
divest	VB	divest
funds	NNS	fund
that	WDT	that
may	MD	may
be	VB	be
contributing	VBG	contribute
to	TO	to
the	DT	the
attack	NN	attack
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
"	``	"
There	EX	there
are	VBP	be
many	JJ	many
alumni	NNS	alumnus
here	RB	here
today	NN	today
to	TO	to
show	VB	show
our	PP$	our
dissent	NN	dissent
and	CC	and
disapproval	NN	disapproval
of	IN	of
UofG	NP	<unknown>
'	POS	'
s	NN	S
actions	NNS	action
and	CC	and
their	PP$	their
investment	NN	investment
into	IN	into
arms	NNS	arm
and	CC	and
weapons	NNS	weapon
.	SENT	.
A	DT	a
group	NN	group
of	IN	of
alumni	NNS	alumnus
have	VBP	have
come	VBN	come
together	RB	together
and	CC	and
written	VBN	write
an	DT	an
open	JJ	open
letter	NN	letter
to	TO	to
UofG	NP	<unknown>
to	TO	to
express	VB	express
our	PP$	our
support	NN	support
and	CC	and
solidarity	NN	solidarity
with	IN	with
the	DT	the
People	NNS	people
'	POS	'
s	NN	S
Plaza	NP	Plaza
for	IN	for
Palestine	NP	Palestine
and	CC	and
their	PP$	their
demands	NNS	demand
for	IN	for
divestment	NN	divestment
,	,	,
"	''	"
said	VBD	say
a	DT	a
speaker	NN	speaker
for	IN	for
UofG	NP	<unknown>
'	POS	'
s	JJ	<unknown>
alumni	NNS	alumnus
for	IN	for
Palestine	NP	Palestine
.	SENT	.
<p>
"	``	"
Students	NNS	student
have	VBP	have
the	DT	the
right	NN	right
to	TO	to
protest	VB	protest
and	CC	and
dissent	VB	dissent
when	WRB	when
UofG	NP	<unknown>
'	POS	'
s	NN	S
actions	NNS	action
undermine	VB	undermine
it	PP	it
'	POS	'
s	JJ	<unknown>
own	JJ	own
mission	NN	mission
statement	NN	statement
and	CC	and
proposed	VBN	propose
values	NNS	value
.	SENT	.
"	''	"
<p>
A	DT	a
letter	NN	letter
was	VBD	be
dropped	VBN	drop
off	RP	off
after	IN	after
the	DT	the
press	NN	press
conference	NN	conference
at	IN	at
the	DT	the
UofG	NP	<unknown>
administration	NN	administration
building	NN	building
for	IN	for
Dr.	NP	Dr.
Yates	NP	Yates
that	WDT	that
was	VBD	be
signed	VBN	sign
by	IN	by
700	CD	@card@
alumni	NNS	alumnus
of	IN	of
the	DT	the
university	NN	university
.	SENT	.
They	PP	they
say	VBP	say
they	PP	they
stand	VBP	stand
with	IN	with
the	DT	the
People	NNS	people
'	POS	'
s	NN	S
Plaza	NP	Plaza
for	IN	for
Palestine	NP	Palestine
and	CC	and
support	VB	support
their	PP$	their
calls	NNS	call
for	IN	for
divestment	NN	divestment
.	SENT	.
<p>
The	DT	the
statement	NN	statement
from	IN	from
the	DT	the
University	NP	University
claims	VBZ	claim
the	DT	the
encampment	NN	encampment
"	``	"
precluded	VBN	preclude
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
the	DT	the
space	NN	space
"	``	"
the	DT	the
camp	NN	camp
occupies	VBZ	occupy
.	SENT	.
<p>
It	PP	it
goes	VBZ	go
on	RP	on
to	TO	to
say	VB	say
,	,	,
"	''	"
The	DT	the
encampment	NN	encampment
members	NNS	member
'	POS	'
exclusive	JJ	exclusive
use	NN	use
of	IN	of
campus	NN	campus
space	NN	space
is	VBZ	be
making	VBG	make
it	PP	it
impossible	JJ	impossible
for	IN	for
the	DT	the
University	NP	University
to	TO	to
maintain	VB	maintain
an	DT	an
inclusive	JJ	inclusive
campus	NN	campus
and	CC	and
fulfill	VB	fulfill
our	PP$	our
commitment	NN	commitment
to	TO	to
create	VB	create
an	DT	an
environment	NN	environment
where	WRB	where
everyone	NN	everyone
can	MD	can
study	VB	study
,	,	,
work	VB	work
and	CC	and
live	VB	live
without	IN	without
discrimination	NN	discrimination
,	,	,
harassment	NN	harassment
or	CC	or
intimidation	NN	intimidation
.	SENT	.
"	''	"
<p>
And	CC	and
,	,	,
"	``	"
As	IN	as
we	PP	we
look	VBP	look
to	TO	to
the	DT	the
fall	NN	fall
and	CC	and
welcoming	VBG	welcome
students	NNS	student
back	RB	back
to	TO	to
campus	NN	campus
,	,	,
we	PP	we
can	MD	can
not	RB	not
permit	VB	permit
any	DT	any
one	CD	one
group	NN	group
to	TO	to
have	VB	have
exclusive	JJ	exclusive
use	NN	use
of	IN	of
a	DT	a
space	NN	space
and	CC	and
deny	VB	deny
access	NN	access
to	TO	to
those	DT	those
who	WP	who
do	VBP	do
not	RB	not
share	VB	share
their	PP$	their
views	NNS	view
.	SENT	.
"	''	"
<p>
This	DT	this
move	NN	move
from	IN	from
the	DT	the
school	NN	school
administration	NN	administration
follows	VBZ	follow
the	DT	the
University	NP	University
of	IN	of
Toronto	NP	Toronto
getting	VBG	get
its	PP$	its
court	NN	court
injunction	NN	injunction
to	TO	to
clear	VB	clear
out	RP	out
the	DT	the
camp	NN	camp
on	IN	on
that	DT	that
campus	NN	campus
,	,	,
and	CC	and
after	IN	after
the	DT	the
University	NP	University
of	IN	of
Waterloo	NP	Waterloo
threatened	VBD	threaten
its	PP$	its
camp	NN	camp
with	IN	with
an	DT	an
injunction	NN	injunction
process	NN	process
and	CC	and
a	DT	a
lawsuit	NN	lawsuit
for	IN	for
$1.5	NP	<unknown>
million	CD	million
.	SENT	.
