<h>
More	JJR	more
of	IN	of
the	DT	the
US	NP	US
military	NN	military
,	,	,
was	VBD	be
invited	VBN	invite
to	TO	to
speak	VB	speak
.	SENT	.
<p>
DEVCOM	NP	<unknown>
,	,	,
the	DT	the
US	NP	US
Army	NP	Army
Combat	NN	combat
Capabilities	NNS	capability
Development	NP	Development
Command	NP	Command
,	,	,
is	VBZ	be
a	DT	a
team	NN	team
of	IN	of
scientists	NNS	scientist
whose	WP$	whose
self-described	VBN	self-describe
functions	NNS	function
include	VBP	include
"	``	"
soldier	NN	soldier
lethality	NN	lethality
"	''	"
and	CC	and
other	JJ	other
military	JJ	military
applications	NNS	application
.	SENT	.
<p>
The	DT	the
US	NP	US
provides	VBZ	provide
approximately	RB	approximately
$3.8	JJ	<unknown>
billion	NNS	billion
in	IN	in
annual	JJ	annual
aid	NN	aid
to	TO	to
Israel	NP	Israel
,	,	,
which	WDT	which
is	VBZ	be
used	VBN	use
to	TO	to
support	VB	support
the	DT	the
Israeli	JJ	Israeli
Defense	NP	Defense
Forces	NPS	Forces
(	(	(
IDF	NP	IDF
)	)	)
in	IN	in
purchasing	VBG	purchase
US-made	JJ	<unknown>
military	JJ	military
equipment	NN	equipment
and	CC	and
services	NNS	service
.	SENT	.
<p>
ADVERTISEMENT	NN	advertisement
<p>
When	WRB	when
no-one	NN	no-one
appeared	VBD	appear
to	TO	to
attend	VB	attend
the	DT	the
event	NN	event
,	,	,
the	DT	the
BDS	NP	BDS
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
to	TO	to
the	DT	the
College	NP	College
,	,	,
which	WDT	which
revealed	VBD	reveal
that	IN	that
the	DT	the
event	NN	event
was	VBD	be
covertly	RB	covertly
relocated	VBN	relocate
to	TO	to
an	DT	an
off-campus	NN	off-campus
location	NN	location
to	TO	to
avoid	VB	avoid
potential	JJ	potential
opposition	NN	opposition
from	IN	from
students	NNS	student
and	CC	and
staff	NN	staff
.	SENT	.
The	DT	the
event	NN	event
cost	NN	cost
College	NP	College
nearly	RB	nearly
?	SENT	?
2,000	CD	@card@
towards	IN	towards
hotel	NN	hotel
and	CC	and
catering	NN	catering
expenses	NNS	expense
.	SENT	.
<p>
In	IN	in
correspondence	NN	correspondence
seen	VBN	see
by	IN	by
The	DT	the
University	NP	University
Times	NP	Times
,	,	,
organisers	NNS	organiser
of	IN	of
the	DT	the
event	NN	event
admitted	VBD	admit
"	''	"
we	PP	we
thought	VBD	think
it	PP	it
best	RBS	well
not	RB	not
to	TO	to
widely	RB	widely
publicise	VB	publicise
this	DT	this
one	CD	one
given	VBN	give
how	WRB	how
controversial	JJ	controversial
US	NP	US
foreign	JJ	foreign
policy	NN	policy
is	VBZ	be
at	IN	at
the	DT	the
moment	NN	moment
"	''	"
.	SENT	.
<p>
The	DT	the
correspondence	NN	correspondence
revealed	VBD	reveal
concerns	NNS	concern
about	IN	about
the	DT	the
"	``	"
reputational	JJ	<unknown>
damage	NN	damage
"	''	"
and	CC	and
"	``	"
negative	JJ	negative
publicity	NN	publicity
"	''	"
that	WDT	that
might	MD	might
be	VB	be
caused	VBN	cause
by	IN	by
the	DT	the
event	NN	event
and	CC	and
opposition	NN	opposition
to	TO	to
it	PP	it
.	SENT	.
One	CD	one
individual	NN	individual
involved	VBN	involve
in	IN	in
the	DT	the
organisation	NN	organisation
said	VBD	say
that	IN	that
,	,	,
"	``	"
given	VBN	give
the	DT	the
ongoing	JJ	ongoing
situation	NN	situation
in	IN	in
Gaza	NP	Gaza
and	CC	and
US	NP	US
support	NN	support
of	IN	of
the	DT	the
IDF	NP	IDF
"	''	"
,	,	,
the	DT	the
event	NN	event
"	``	"
might	MD	might
create	VB	create
some	DT	some
tensions	NNS	tension
"	''	"
.	SENT	.
<p>
In	IN	in
a	DT	a
statement	NN	statement
,	,	,
Chair	NN	chair
of	IN	of
BDS	NP	BDS
Isobel	NP	Isobel
Duffy	NP	Duffy
said	VBD	say
:	:	:
"	``	"
While	IN	while
over	IN	over
30,000	CD	@card@
people	NNS	people
in	IN	in
Gaza	NP	Gaza
have	VBP	have
been	VBN	be
murdered	VBN	murder
,	,	,
Trinity	NP	Trinity
continues	VBZ	continue
to	TO	to
collaborate	VB	collaborate
with	IN	with
warmongering	NN	warmongering
genocidal	JJ	genocidal
states	NNS	state
in	IN	in
a	DT	a
variety	NN	variety
of	IN	of
ways	NNS	way
...	:	...
Trinity	NP	Trinity
continues	VBZ	continue
to	TO	to
side	VB	side
with	IN	with
money	NN	money
and	CC	and
reputation	NN	reputation
over	IN	over
human	JJ	human
life	NN	life
.	SENT	.
"	''	"
<p>
Duffy	NP	Duffy
continued	VBD	continue
:	:	:
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
at	IN	at
intimidation	NN	intimidation
and	CC	and
their	PP$	their
unwillingness	NN	unwillingness
to	TO	to
listen	VB	listen
.	SENT	.
I	PP	I
encourage	VBP	encourage
all	DT	all
students	NNS	student
to	TO	to
get	VB	get
active	JJ	active
and	CC	and
get	VB	get
involved	VBN	involve
to	TO	to
hold	VB	hold
our	PP$	our
College	NP	College
and	CC	and
senior	JJ	senior
management	NN	management
to	TO	to
account	VB	account
.	SENT	.
"	''	"
<p>
TCDSU	NP	<unknown>
President	NP	President
L	NP	L
?	SENT	?
szl	NN	szl
?	SENT	?
Moln	NP	<unknown>
?	SENT	?
rfi	NNS	rfi
expressed	VBD	express
similar	JJ	similar
concerns	NNS	concern
,	,	,
saying	VBG	say
that	IN	that
the	DT	the
event	NN	event
and	CC	and
its	PP$	its
relocation	NN	relocation
"	``	"
represents	VBZ	represent
yet	RB	yet
another	DT	another
flagrant	JJ	flagrant
disregard	NN	disregard
for	IN	for
the	DT	the
student	NN	student
and	CC	and
staff	NN	staff
voice	NN	voice
as	RB	as
well	RB	well
as	IN	as
ethical	JJ	ethical
considerations	NNS	consideration
.	SENT	.
Profit	NN	profit
seems	VBZ	seem
to	TO	to
come	VB	come
before	IN	before
everything	NN	everything
in	IN	in
this	DT	this
College	NP	College
.	SENT	.
"	``	"
<p>
He	PP	he
said	VBD	say
that	IN	that
Israel	NP	Israel
would	MD	would
not	RB	not
be	VB	be
able	JJ	able
to	TO	to
sustain	VB	sustain
its	PP$	its
controversial	JJ	controversial
military	JJ	military
operations	NNS	operation
"	''	"
without	IN	without
the	DT	the
support	NN	support
of	IN	of
the	DT	the
US	NP	US
"	''	"
.	SENT	.
<p>
DEVCOM	NP	<unknown>
continues	VBZ	continue
to	TO	to
fund	VB	fund
individual	JJ	individual
academic	JJ	academic
projects	NNS	project
at	IN	at
Trinity	NP	Trinity
,	,	,
"	''	"
which	WDT	which
have	VBP	have
no	DT	no
military	NN	military
or	CC	or
defence	NN	defence
related	JJ	related
applications	NNS	application
"	''	"
.	SENT	.
<p>
The	DT	the
University	NP	University
Times	NP	Times
has	VBZ	have
reached	VBN	reach
out	RP	out
to	TO	to
a	DT	a
College	NP	College
representative	NN	representative
for	IN	for
comment	NN	comment
.	SENT	.
