<p>
There	EX	there
country	NN	country
but	CC	but
,	,	,
having	VBG	have
witnessed	VBN	witness
the	DT	the
bold	JJ	bold
displays	NNS	display
of	IN	of
contempt	NN	contempt
from	IN	from
others	NNS	other
,	,	,
they	PP	they
gradually	RB	gradually
became	VBD	become
more	RBR	more
assertive	JJ	assertive
and	CC	and
knew	VBD	know
it	PP	it
was	VBD	be
the	DT	the
right	JJ	right
approach	NN	approach
.	SENT	.
<p>
Olly	NP	Olly
Alexander	NP	Alexander
'	POS	'
s	JJ	<unknown>
participation	NN	participation
for	IN	for
the	DT	the
United	NP	United
Kingdom	NP	Kingdom
has	VBZ	have
been	VBN	be
overshadowed	VBN	overshadow
due	RB	due
to	TO	to
criticism	NN	criticism
and	CC	and
calls	VBZ	call
for	IN	for
him	PP	him
to	TO	to
withdraw	VB	withdraw
(	(	(
Picture	NP	Picture
:	:	:
Antti	NP	Antti
**26	NP	<unknown>
;	:	;
949	CD	@card@
;	:	;
TOOLONG	NP	<unknown>
)	)	)
<p>
To	TO	to
view	VB	view
this	DT	this
video	JJ	video
please	UH	please
enable	VB	enable
JavaScript	NN	<unknown>
,	,	,
and	CC	and
consider	VBP	consider
upgrading	VBG	upgrade
to	TO	to
a	DT	a
web	NN	web
browser	NN	browser
that	WDT	that
supports	VBZ	support
HTML5	JJ	<unknown>
video	NN	video
<h>
Up	IN	up
Next	NP	Next
<p>
'	POS	'
A	NP	A
lot	NN	lot
of	IN	of
security	NN	security
was	VBD	be
present	JJ	present
in	IN	in
the	DT	the
arena	NN	arena
,	,	,
both	CC	both
in	IN	in
the	DT	the
crowd	NN	crowd
and	CC	and
undercover	JJ	undercover
,	,	,
so	RB	so
it	PP	it
was	VBD	be
quite	RB	quite
tense	JJ	tense
when	WRB	when
Israel	NP	Israel
came	VBD	come
on	IN	on
stage	NN	stage
,	,	,
and	CC	and
you	PP	you
could	MD	could
definitely	RB	definitely
sense	VB	sense
that	DT	that
tension	NN	tension
.	SENT	.
<p>
'	''	'
It	PP	it
'	POS	'
s	NNS	<unknown>
annoying	VBG	annoy
because	IN	because
it	PP	it
killed	VBD	kill
the	DT	the
entire	JJ	entire
mood	NN	mood
in	IN	in
that	DT	that
,	,	,
as	RB	as
soon	RB	soon
as	IN	as
Israel	NP	Israel
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
was	VBD	be
a	DT	a
holding	NN	holding
song	NN	song
in	IN	in
Norway	NP	Norway
.	SENT	.
Even	RB	even
then	RB	then
,	,	,
the	DT	the
mood	NN	mood
was	VBD	be
still	RB	still
down	RB	down
and	CC	and
it	PP	it
took	VBD	take
5-10	CD	@card@
minutes	NNS	minute
for	IN	for
everyone	NN	everyone
to	TO	to
be	VB	be
happy	JJ	happy
again	RB	again
.	SENT	.
<p>
'	''	'
Israeli	JJ	Israeli
fans	NNS	fan
will	MD	will
cheer	VB	cheer
and	CC	and
there	EX	there
is	VBZ	be
lots	NNS	lot
of	IN	of
screaming	VBG	scream
and	CC	and
chanting	VBG	chant
from	IN	from
them	PP	them
.	SENT	.
But	CC	but
,	,	,
if	IN	if
you	PP	you
'	POS	'
re	NN	re
surrounded	VBN	surround
by	IN	by
any	DT	any
other	JJ	other
fans	NNS	fan
in	IN	in
the	DT	the
arena	NN	arena
,	,	,
there	EX	there
are	VBP	be
a	DT	a
lot	NN	lot
more	RBR	more
boos	VBZ	boo
.	SENT	.
'	''	'
<p>
They	PP	they
added	VBD	add
that	IN	that
,	,	,
as	IN	as
a	DT	a
marker	NN	marker
of	IN	of
solidarity	NN	solidarity
,	,	,
some	DT	some
girls	NNS	girl
wore	VBD	wear
keffiyehs	NNS	keffiyeh
to	TO	to
the	DT	the
shows	NNS	show
,	,	,
which	WDT	which
have	VBP	have
grown	VBN	grow
as	IN	as
a	DT	a
symbol	NN	symbol
of	IN	of
Palestinian	JJ	Palestinian
resilience	NN	resilience
and	CC	and
the	DT	the
struggle	NN	struggle
for	IN	for
a	DT	a
Palestinian	JJ	Palestinian
state	NN	state
.	SENT	.
<p>
Organisers	NNS	organiser
of	IN	of
Eurovision	NP	Eurovision
previously	RB	previously
said	VBD	say
they	PP	they
'	''	'
regret	NN	regret
'	POS	'
opening	NN	opening
act	NN	act
Eric	NP	Eric
Saade	NP	Saade
,	,	,
a	DT	a
former	JJ	former
Swedish	JJ	Swedish
contestant	NN	contestant
,	,	,
wearing	VBG	wear
a	DT	a
keffiyeh	NN	keffiyeh
during	IN	during
his	PP$	his
performance	NN	performance
at	IN	at
the	DT	the
start	NN	start
of	IN	of
the	DT	the
week	NN	week
.	SENT	.
<p>
Meanwhile	RB	meanwhile
,	,	,
viewers	NNS	viewer
have	VBP	have
continued	VBN	continue
to	TO	to
vocalise	VB	vocalise
their	PP$	their
resentment	NN	resentment
towards	IN	towards
the	DT	the
strict	JJ	strict
bans	NNS	ban
on	IN	on
political	JJ	political
symbols	NNS	symbol
enforced	VBN	enforce
by	IN	by
bosses	NNS	boss
,	,	,
with	IN	with
contestants	NNS	contestant
donning	VBG	don
accessories	NNS	accessory
like	IN	like
watermelon	NN	watermelon
earrings	NNS	earring
as	IN	as
a	DT	a
loophole	NN	loophole
for	IN	for
the	DT	the
restrictions	NNS	restriction
.	SENT	.
<p>
Eden	NP	Eden
Golan	NP	Golan
of	IN	of
Israel	NP	Israel
has	VBZ	have
been	VBN	be
booed	VBN	boo
wildly	RB	wildly
by	IN	by
the	DT	the
crowds	NNS	crowd
(	(	(
Picture	NP	Picture
:	:	:
AP	NP	AP
)	)	)
<p>
While	IN	while
our	PP$	our
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
and	CC	and
has	VBZ	have
n't	RB	n't
been	VBN	be
'	''	'
challenged	VBN	challenge
'	''	'
for	IN	for
booing	VBG	boo
,	,	,
despite	IN	despite
standing	VBG	stand
next	JJ	next
to	TO	to
'	''	'
two	CD	two
undercovers	NNS	undercover
'	''	'
at	IN	at
one	CD	one
point	NN	point
during	IN	during
a	DT	a
show	NN	show
,	,	,
the	DT	the
same	JJ	same
ca	MD	ca
n't	RB	n't
be	VB	be
said	VBN	say
for	IN	for
all	DT	all
.	SENT	.
<p>
'	''	'
I	PP	I
understand	VBP	understand
why	WRB	why
people	NNS	people
have	VBP	have
felt	VBN	feel
unsafe	JJ	unsafe
.	SENT	.
One	CD	one
of	IN	of
my	PP$	my
friends	NNS	friend
felt	VBD	feel
awkward	JJ	awkward
and	CC	and
uncomfortable	JJ	uncomfortable
in	IN	in
the	DT	the
presence	NN	presence
of	IN	of
security	NN	security
.	SENT	.
They	PP	they
did	VBD	do
n't	RB	n't
have	VB	have
that	DT	that
space	NN	space
to	TO	to
express	VB	express
themselves	PP	themselves
.	SENT	.
They	PP	they
were	VBD	be
surrounded	VBN	surround
by	IN	by
Israeli	JJ	Israeli
fans	NNS	fan
which	WDT	which
made	VBD	make
them	PP	them
feel	VBP	feel
uneasy	JJ	uneasy
.	SENT	.
<p>
'	''	'
A	DT	a
friend	NN	friend
I	PP	I
made	VBD	make
at	IN	at
Eurovision	NP	Eurovision
says	VBZ	say
he	PP	he
might	MD	might
not	RB	not
even	RB	even
go	VB	go
to	TO	to
the	DT	the
Final	JJ	final
because	IN	because
of	IN	of
that	DT	that
same	JJ	same
thing	NN	thing
,	,	,
because	IN	because
he	PP	he
felt	VBD	feel
too	RB	too
unsafe	JJ	unsafe
.	SENT	.
'	''	'
<p>
But	CC	but
it	PP	it
is	VBZ	be
n't	RB	n't
just	RB	just
audience	NN	audience
members	NNS	member
who	WP	who
can	MD	can
sense	VB	sense
the	DT	the
frostiness	NN	frostiness
.	SENT	.
<p>
It	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
noted	VBN	note
that	WDT	that
hosts	VBZ	host
Petra	NP	Petra
Mede	NP	Mede
and	CC	and
Malin	NP	Malin
?	SENT	?
kerman	NNS	<unknown>
have	VBP	have
appeared	VBN	appear
puzzled	VBN	puzzle
on	IN	on
stage	NN	stage
at	IN	at
times	NNS	time
.	SENT	.
<p>
There	EX	there
'	POS	'
s	NN	S
also	RB	also
a	DT	a
major	JJ	major
backlash	NN	backlash
towards	IN	towards
the	DT	the
Executive	NP	Executive
Supervisor	NP	Supervisor
for	IN	for
Eurovision	NP	Eurovision
who	WP	who
is	VBZ	be
famous	JJ	famous
for	IN	for
his	PP$	his
catchphrase	NN	catchphrase
,	,	,
'	''	'
You	PP	you
'	POS	'
re	NN	re
good	JJ	good
to	TO	to
go	VB	go
,	,	,
'	''	'
uttered	VBD	utter
once	IN	once
the	DT	the
votes	NNS	vote
of	IN	of
the	DT	the
juries	NNS	jury
and	CC	and
the	DT	the
public	NN	public
are	VBP	be
checked	VBN	check
and	CC	and
there	EX	there
is	VBZ	be
a	DT	a
verified	VBN	verify
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
'	''	'
states	VBZ	state
our	PP$	our
source	NN	source
.	SENT	.
<p>
Hosts	VBZ	host
Petra	NP	Petra
Mede	NP	Mede
and	CC	and
Malin	NP	Malin
?	SENT	?
kerman	NNS	<unknown>
have	VBP	have
appeared	VBN	appear
confused	VBN	confuse
on	IN	on
stage	NN	stage
at	IN	at
time	NN	time
(	(	(
Picture	NP	Picture
:	:	:
Jessica	NP	Jessica
Gow/TT/Shutterstock	NP	Gow/TT/Shutterstock
)	)	)
<p>
Audience	NN	audience
members	NNS	member
have	VBP	have
called	VBN	call
for	IN	for
Martin	NP	Martin
?	SENT	?
sterdahl	NP	sterdahl
'	POS	'
s	NN	S
resignation	NN	resignation
(	(	(
Picture	NP	Picture
:	:	:
Sander	NP	Sander
Koning/ANP/AFP	NP	<unknown>
)	)	)
<p>
A	DT	a
spokesperson	NN	spokesperson
declared	VBD	declare
Eurovision	NP	Eurovision
a	DT	a
'	''	'
competition	NN	competition
for	IN	for
broadcasters	NNS	broadcaster
--	:	--
not	RB	not
governments	NNS	government
--	:	--
and	CC	and
the	DT	the
Israeli	JJ	Israeli
public	JJ	public
broadcaster	NN	broadcaster
has	VBZ	have
participated	VBN	participate
in	IN	in
the	DT	the
contest	NN	contest
for	IN	for
50	CD	@card@
years	NNS	year
.	SENT	.
'	''	'
<p>
They	PP	they
added	VBD	add
that	IN	that
Israeli	JJ	Israeli
public	JJ	public
broadcaster	NN	broadcaster
Kan	NP	Kan
'	POS	'
meets	VBZ	meet
all	PDT	all
the	DT	the
competition	NN	competition
rules	NNS	rule
and	CC	and
can	MD	can
participate	VB	participate
'	''	'
.	SENT	.
<p>
'	''	'
We	PP	we
understand	VBP	understand
the	DT	the
concerns	NNS	concern
and	CC	and
deeply	RB	deeply
held	VBN	hold
views	NNS	view
around	IN	around
the	DT	the
current	JJ	current
conflict	NN	conflict
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
.	SENT	.
We	PP	we
ca	MD	ca
n't	RB	n't
fail	VB	fail
to	TO	to
be	VB	be
moved	VBN	move
by	IN	by
the	DT	the
profound	JJ	profound
suffering	NN	suffering
of	IN	of
all	PDT	all
those	DT	those
caught	VBN	catch
up	RP	up
in	IN	in
this	DT	this
terrible	JJ	terrible
war	NN	war
.	SENT	.
A	DT	a
lot	NN	lot
of	IN	of
the	DT	the
images	NNS	image
from	IN	from
Israel	NP	Israel
and	CC	and
Gaza	NP	Gaza
that	IN	that
audiences	NNS	audience
are	VBP	be
watching	VBG	watch
every	DT	every
day	NN	day
are	VBP	be
provided	VBN	provide
through	IN	through
the	DT	the
EBU	NP	EBU
News	NP	News
Exchange	NP	Exchange
,	,	,
which	WDT	which
we	PP	we
run	VBP	run
with	IN	with
our	PP$	our
members	NNS	member
.	SENT	.
<p>
'	''	'
However	RB	however
,	,	,
the	DT	the
Eurovision	NP	Eurovision
Song	NN	song
Contest	NN	contest
is	VBZ	be
a	DT	a
non-political	JJ	non-political
music	NN	music
event	NN	event
and	CC	and
a	DT	a
competition	NN	competition
between	IN	between
public	JJ	public
service	NN	service
broadcasters	NNS	broadcaster
who	WP	who
are	VBP	be
members	NNS	member
of	IN	of
the	DT	the
EBU	NP	EBU
.	SENT	.
It	PP	it
is	VBZ	be
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
