<p>
My	PP$	my
s	JJ	<unknown>
re-election	NN	re-election
campaign	NN	campaign
,	,	,
which	WDT	which
in	IN	in
turn	NN	turn
increases	VBZ	increase
the	DT	the
odds	NNS	odd
of	IN	of
a	DT	a
Trump	NP	Trump
presidency	NN	presidency
.	SENT	.
<p>
When	WRB	when
I	PP	I
tell	VBP	tell
them	PP	them
that	IN	that
a	DT	a
failure	NN	failure
to	TO	to
vote	VB	vote
for	IN	for
Biden	NP	Biden
is	VBZ	be
in	IN	in
effect	NN	effect
a	DT	a
vote	NN	vote
for	IN	for
Trump	NP	Trump
,	,	,
they	PP	they
say	VBP	say
they	PP	they
can	MD	can
not	RB	not
in	IN	in
good	JJ	good
conscience	NN	conscience
vote	NN	vote
for	IN	for
either	DT	either
candidate	NN	candidate
.	SENT	.
<p>
Quite	PDT	quite
a	DT	a
number	NN	number
tell	VB	tell
me	PP	me
that	IN	that
"	``	"
the	DT	the
lesser	JJR	lesser
of	IN	of
two	CD	two
evils	NNS	evil
is	VBZ	be
still	RB	still
evil	JJ	evil
"	''	"
.	SENT	.
I	PP	I
tell	VBP	tell
them	PP	them
Trump	NP	Trump
would	MD	would
be	VB	be
far	RB	far
worse	JJR	bad
for	IN	for
the	DT	the
world	NN	world
--	:	--
truly	RB	truly
evil	JJ	evil
.	SENT	.
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
the	DT	the
anti-Vietnam	NP	anti-Vietnam
war	NN	war
demonstrations	NNS	demonstration
,	,	,
in	IN	in
which	WDT	which
I	PP	I
participated	VBD	participate
some	DT	some
55	CD	@card@
years	NNS	year
ago	RB	ago
.	SENT	.
<p>
I	PP	I
remember	VB	remember
being	VBG	be
appalled	VBN	appall
at	IN	at
the	DT	the
unnecessary	JJ	unnecessary
carnage	NN	carnage
in	IN	in
Vietnam	NP	Vietnam
.	SENT	.
I	PP	I
was	VBD	be
incensed	VBN	incense
that	IN	that
the	DT	the
first	JJ	first
world	NN	world
,	,	,
white	JJ	white
and	CC	and
rich	JJ	rich
,	,	,
was	VBD	be
randomly	RB	randomly
killing	VBG	kill
people	NNS	people
in	IN	in
the	DT	the
third	JJ	third
world	NN	world
,	,	,
mostly	RB	mostly
non-white	JJ	non-white
and	CC	and
poor	JJ	poor
.	SENT	.
As	IN	as
an	DT	an
American	JJ	American
,	,	,
I	PP	I
felt	VBD	feel
morally	RB	morally
complicit	JJ	complicit
.	SENT	.
<p>
Privacy	NN	privacy
Notice	NN	notice
:	:	:
Newsletters	NNS	newsletter
may	MD	may
contain	VB	contain
info	NN	info
about	IN	about
charities	NNS	charity
,	,	,
online	JJ	online
ads	NNS	ad
,	,	,
and	CC	and
content	NN	content
funded	VBN	fund
by	IN	by
outside	JJ	outside
parties	NNS	party
.	SENT	.
For	IN	for
more	JJR	more
information	NN	information
see	VB	see
our	PP$	our
Privacy	NN	privacy
Policy	NN	policy
.	SENT	.
We	PP	we
use	VBP	use
Google	NP	<unknown>
reCaptcha	NP	<unknown>
to	TO	to
protect	VB	protect
our	PP$	our
website	NN	website
and	CC	and
the	DT	the
Google	NP	<unknown>
Privacy	NN	privacy
Policy	NN	policy
and	CC	and
Terms	NNS	term
of	IN	of
Service	NP	Service
apply	VBP	apply
.	SENT	.
<p>
after	IN	after
newsletter	NN	newsletter
promotion	NN	promotion
<p>
I	PP	I
was	VBD	be
angry	JJ	angry
at	IN	at
college	NN	college
administrators	NNS	administrator
who	WP	who
summoned	VBD	summon
police	NNS	police
to	TO	to
clear	JJ	clear
protesters	NNS	protester
--	:	--
using	VBG	use
teargas	NNS	<unknown>
,	,	,
stun	NN	stun
guns	NNS	gun
and	CC	and
mass	NN	mass
arrests	NNS	arrest
.	SENT	.
The	DT	the
response	NN	response
only	RB	only
added	VBD	add
fuel	NN	fuel
to	TO	to
the	DT	the
flames	NNS	flame
.	SENT	.
<p>
The	DT	the
anti-Vietnam	NP	anti-Vietnam
war	NN	war
movement	NN	movement
became	VBD	become
fodder	NN	fodder
for	IN	for
rightwing	JJ	rightwing
politicians	NNS	politician
like	IN	like
Richard	NP	Richard
Nixon	NP	Nixon
,	,	,
demanding	VBG	demand
"	``	"
law	NN	law
and	CC	and
order	NN	order
"	''	"
.	SENT	.
The	DT	the
spectacle	NN	spectacle
also	RB	also
appalled	VBN	appall
many	JJ	many
non-college	NN	non-college
,	,	,
working-class	JJ	working-class
people	NNS	people
who	WP	who
viewed	VBD	view
the	DT	the
students	NNS	student
as	IN	as
pampered	VBN	pamper
,	,	,
selfish	JJ	selfish
,	,	,
anti-American	JJ	anti-American
,	,	,
unpatriotic	JJ	unpatriotic
.	SENT	.
<p>
I	PP	I
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
convention	NN	convention
in	IN	in
Chicago	NP	Chicago
,	,	,
and	CC	and
the	DT	the
brutality	NN	brutality
of	IN	of
the	DT	the
Chicago	NP	Chicago
police	NN	police
and	CC	and
Illinois	NP	Illinois
national	JJ	national
guard	NN	guard
--	:	--
later	RBR	later
described	VBN	describe
by	IN	by
the	DT	the
National	NP	National
Commission	NP	Commission
on	IN	on
the	DT	the
Causes	NNS	cause
and	CC	and
Prevention	NN	prevention
of	IN	of
Violence	NN	violence
as	IN	as
a	DT	a
"	``	"
police	NN	police
riot	NN	riot
"	''	"
.	SENT	.
<p>
As	IN	as
the	DT	the
anti-war	JJ	anti-war
protesters	NNS	protester
chanted	VBD	chant
"	``	"
The	DT	the
whole	JJ	whole
world	NN	world
is	VBZ	be
watching	VBG	watch
"	''	"
,	,	,
network	NN	network
television	NN	television
conveyed	VBD	convey
the	DT	the
riotous	JJ	riotous
scene	NN	scene
to	TO	to
what	WP	what
seemed	VBD	seem
like	IN	like
the	DT	the
whole	JJ	whole
world	NN	world
.	SENT	.
<p>
I	PP	I
had	VBD	have
spent	VBN	spend
months	NNS	month
working	VBG	work
for	IN	for
the	DT	the
anti-war	JJ	anti-war
presidential	JJ	presidential
candidate	NN	candidate
Eugene	NP	Eugene
McCarthy	NP	McCarthy
.	SENT	.
The	DT	the
convention	NN	convention
nominated	VBD	nominate
Hubert	NP	Hubert
Humphrey	NP	Humphrey
.	SENT	.
That	DT	that
November	NP	November
,	,	,
the	DT	the
nation	NN	nation
voted	VBD	vote
in	IN	in
Richard	NP	Richard
Nixon	NP	Nixon
as	IN	as
president	NN	president
.	SENT	.
<p>
History	NN	history
,	,	,
as	IN	as
it	PP	it
is	VBZ	be
said	VBN	say
,	,	,
does	VBZ	do
n't	RB	n't
repeat	VB	repeat
itself	PP	itself
.	SENT	.
It	PP	it
only	RB	only
rhymes	VBZ	rhyme
.	SENT	.
<p>
The	DT	the
mistakes	NNS	mistake
made	VBN	make
at	IN	at
one	CD	one
point	NN	point
in	IN	in
time	NN	time
have	VBP	have
an	DT	an
eerie	JJ	eerie
way	NN	way
of	IN	of
re-emerging	VBG	re-emerge
two	CD	two
generations	NNS	generation
later	RBR	later
,	,	,
as	IN	as
memories	NNS	memory
fade	VBP	fade
.	SENT	.
