<h>
US	PP	us
U.S.	NP	U.S.
military	JJ	military
vessels	NNS	vessel
where	WRB	where
it	PP	it
will	MD	will
travel	VB	travel
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
way	NN	way
to	TO	to
the	DT	the
causeway	NN	causeway
.	SENT	.
The	DT	the
smaller	JJR	small
ships	NNS	ship
can	MD	can
get	VB	get
closer	RBR	closer
to	TO	to
the	DT	the
coast	NN	coast
than	IN	than
bigger	JJR	big
ships	NNS	ship
.	SENT	.
The	DT	the
aid	NN	aid
will	MD	will
then	RB	then
be	VB	be
unloaded	VBN	unload
and	CC	and
put	VBN	put
onto	IN	onto
trucks	NNS	truck
where	WRB	where
it	PP	it
will	MD	will
be	VB	be
driven	VBN	drive
down	RP	down
the	DT	the
causeway	NN	causeway
and	CC	and
unloaded	JJ	unloaded
.	SENT	.
<p>
U.S.	NP	U.S.
officials	NNS	official
have	VBP	have
said	VBN	say
they	PP	they
anticipate	VBP	anticipate
beginning	VBG	begin
with	IN	with
about	RB	about
90	CD	@card@
trucks	NNS	truck
per	IN	per
day	NN	day
coming	VBG	come
over	IN	over
the	DT	the
pier	NN	pier
via	IN	via
an	DT	an
attached	JJ	attached
floating	JJ	floating
causeway	NN	causeway
before	IN	before
ramping	VBG	ramp
up	RP	up
to	TO	to
150	CD	@card@
trucks	NNS	truck
per	IN	per
day	NN	day
as	IN	as
they	PP	they
work	VBP	work
through	IN	through
any	DT	any
initial	JJ	initial
hurdles	NNS	hurdle
.	SENT	.
<p>
A	DT	a
ship	NN	ship
is	VBZ	be
seen	VBN	see
off	IN	off
the	DT	the
coast	NN	coast
of	IN	of
Gaza	NP	Gaza
near	IN	near
a	DT	a
U.S.-built	JJ	U.S.-built
floating	JJ	floating
pier	NN	pier
that	WDT	that
will	MD	will
be	VB	be
used	VBN	use
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Gaza	NP	Gaza
Strip	NP	Strip
,	,	,
Thursday	NP	Thursday
,	,	,
May	NP	May
16	CD	@card@
,	,	,
2024	CD	@card@
.	SENT	.
(	(	(
AP	NP	AP
Photo/Abdel	NP	Photo/Abdel
Kareem	NP	Kareem
Hana	NP	Hana
)	)	)
<p>
U.S.	NP	U.S.
forces	NNS	force
will	MD	will
not	RB	not
drive	VB	drive
the	DT	the
trucks	NNS	truck
down	IN	down
the	DT	the
causeway	NN	causeway
and	CC	and
back	RB	back
,	,	,
nor	CC	nor
will	MD	will
they	PP	they
be	VB	be
on	IN	on
the	DT	the
ground	NN	ground
in	IN	in
Gaza	NP	Gaza
to	TO	to
distribute	VB	distribute
aid	NN	aid
;	:	;
the	DT	the
United	NP	United
Nations	NPS	Nations
will	MD	will
.	SENT	.
<p>
About	RB	about
200	CD	@card@
aid	NN	aid
workers	NNS	worker
have	VBP	have
been	VBN	be
killed	VBN	kill
during	IN	during
the	DT	the
war	NN	war
,	,	,
and	CC	and
deconfliction	NN	deconfliction
measures	NNS	measure
between	IN	between
the	DT	the
IDF	NP	IDF
and	CC	and
humanitarian	JJ	humanitarian
organizations	NNS	organization
"	``	"
are	VBP	be
not	RB	not
where	WRB	where
they	PP	they
need	VBP	need
to	TO	to
be	VB	be
given	VBN	give
the	DT	the
complexity	NN	complexity
of	IN	of
the	DT	the
environment	NN	environment
.	SENT	.
<p>
The	DT	the
"	``	"
protection	NN	protection
of	IN	of
U.S.	NP	U.S.
forces	VBZ	force
participating	VBG	participate
is	VBZ	be
a	DT	a
top	JJ	top
priority	NN	priority
.	SENT	.
And	CC	and
as	RB	as
such	JJ	such
,	,	,
in	IN	in
the	DT	the
last	JJ	last
several	JJ	several
weeks	NNS	week
,	,	,
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
Israel	NP	Israel
have	VBP	have
developed	VBN	develop
an	DT	an
integrated	JJ	integrated
security	NN	security
plan	NN	plan
to	TO	to
protect	VB	protect
all	PDT	all
the	DT	the
personnel	NNS	personnel
,	,	,
"	''	"
said	VBD	say
Cooper	NP	Cooper
.	SENT	.
"	``	"
We	PP	we
are	VBP	be
confident	JJ	confident
in	IN	in
the	DT	the
ability	NN	ability
of	IN	of
this	DT	this
security	NN	security
arrangement	NN	arrangement
to	TO	to
protect	VB	protect
those	DT	those
involved	VBN	involve
.	SENT	.
"	``	"
