<p>
Various	JJ	various
Nawabshah	NP	<unknown>
,	,	,
Thatta	NP	Thatta
,	,	,
Jacobabad	NP	<unknown>
,	,	,
Kandhkot	NP	<unknown>
,	,	,
and	CC	and
Shikarpur	NP	<unknown>
.	SENT	.
<p>
A	DT	a
labourer	NN	labourer
speaking	VBG	speak
on	IN	on
his	PP$	his
mobile	JJ	mobile
phone	NN	phone
sits	VBZ	sit
outside	IN	outside
the	DT	the
closed	JJ	closed
shops	NNS	shop
to	TO	to
show	VB	show
their	PP$	their
solidarity	NN	solidarity
with	IN	with
Palestinians	NPS	Palestinians
,	,	,
in	IN	in
Karachi	NP	Karachi
on	IN	on
April	NP	April
26	CD	@card@
,	,	,
2025	CD	@card@
,	,	,
amid	IN	amid
the	DT	the
ongoing	JJ	ongoing
Gaza	NP	Gaza
conflict	NN	conflict
.	SENT	.
--	:	--
AFP	NP	AFP
<p>
Meanwhile	RB	meanwhile
,	,	,
solidarity	NN	solidarity
rallies	NNS	rally
were	VBD	be
also	RB	also
taken	VBN	take
out	RP	out
by	IN	by
JI	NP	Ji
and	CC	and
other	JJ	other
religious	JJ	religious
parties	NNS	party
from	IN	from
morning	NN	morning
to	TO	to
evening	NN	evening
.	SENT	.
<p>
The	DT	the
rally	NN	rally
in	IN	in
Larkana	NP	<unknown>
was	VBD	be
led	VBN	lead
by	IN	by
Sindh	NP	<unknown>
JI	NP	Ji
Ameer	NP	Ameer
Kashif	NP	<unknown>
Saeed	NP	Saeed
Sheikh	NP	Sheikh
and	CC	and
Ameer	NP	Ameer
District	NP	District
Advocate	NP	Advocate
Nadir	NP	Nadir
Ali	NP	Ali
Khosa	NP	<unknown>
.	SENT	.
<p>
In	IN	in
Punjab	NP	Punjab
,	,	,
a	DT	a
shutter-down	NN	<unknown>
strike	NN	strike
was	VBD	be
observed	VBN	observe
by	IN	by
the	DT	the
business	NN	business
community	NN	community
across	IN	across
the	DT	the
province	NN	province
.	SENT	.
All	DT	all
business	NN	business
centres	NNS	centre
and	CC	and
shops	NNS	shop
were	VBD	be
closed	VBN	close
in	IN	in
Lahore	NP	Lahore
,	,	,
Faisalabad	NP	<unknown>
,	,	,
Gujranwala	NP	<unknown>
,	,	,
and	CC	and
Jhelum	NP	<unknown>
.	SENT	.
<p>
JI	NP	Ji
)	)	)
chief	JJ	chief
Hafiz	NP	Hafiz
Naeemur	NP	<unknown>
Rehman	NP	Rehman
said	VBD	say
that	IN	that
he	PP	he
was	VBD	be
not	RB	not
the	DT	the
one	CD	one
to	TO	to
take	VB	take
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
appreciate	VB	appreciate
the	DT	the
efforts	NNS	effort
of	IN	of
the	DT	the
traders	NNS	trader
and	CC	and
business	NN	business
owners	NNS	owner
.	SENT	.
<p>
"	``	"
There	EX	there
could	MD	could
not	RB	not
be	VB	be
a	DT	a
greater	JJR	great
portrayal	NN	portrayal
of	IN	of
unity	NN	unity
than	IN	than
this	DT	this
strike	NN	strike
,	,	,
"	''	"
the	DT	the
JI	NP	Ji
chief	NN	chief
said	VBD	say
at	IN	at
a	DT	a
protest	NN	protest
in	IN	in
Lahore	NP	Lahore
.	SENT	.
<p>
Rehman	NP	Rehman
said	VBD	say
that	IN	that
people	NNS	people
had	VBD	have
gathered	VBN	gather
in	IN	in
support	NN	support
of	IN	of
Palestine	NP	Palestine
in	IN	in
large	JJ	large
numbers	NNS	number
in	IN	in
all	DT	all
four	CD	four
cities	NNS	city
,	,	,
adding	VBG	add
that	IN	that
there	EX	there
was	VBD	be
"	``	"
no	DT	no
colour	NN	colour
,	,	,
race	NN	race
,	,	,
language	NN	language
or	CC	or
sect	NN	sect
"	''	"
among	IN	among
the	DT	the
people	NNS	people
.	SENT	.
"	``	"
Everyone	NN	everyone
is	VBZ	be
standing	VBG	stand
up	RP	up
for	IN	for
the	DT	the
oppressed	VBN	oppress
people	NNS	people
and	CC	and
are	VBP	be
against	IN	against
the	DT	the
oppressors	NNS	oppressor
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<p>
A	DT	a
similar	JJ	similar
strike	NN	strike
was	VBD	be
observed	VBN	observe
in	IN	in
Quetta	NP	Quetta
and	CC	and
other	JJ	other
parts	NNS	part
of	IN	of
Balochistan	NP	Balochistan
as	IN	as
markets	NNS	market
,	,	,
shops	NNS	shop
,	,	,
and	CC	and
other	JJ	other
commercial	JJ	commercial
centres	NNS	centre
there	RB	there
remained	VBD	remain
closed	VBN	close
.	SENT	.
<p>
Shops	NNS	shop
remain	VBP	remain
closed	VBN	close
in	IN	in
Quetta	NP	Quetta
during	IN	during
a	DT	a
nationwide	JJ	nationwide
strike	NN	strike
to	TO	to
show	VB	show
their	PP$	their
solidarity	NN	solidarity
with	IN	with
Palestinians	NPS	Palestinians
,	,	,
on	IN	on
April	NP	April
26	CD	@card@
,	,	,
2025	CD	@card@
,	,	,
amid	IN	amid
the	DT	the
ongoing	JJ	ongoing
Gaza	NP	Gaza
conflict	NN	conflict
.	SENT	.
--	:	--
Photo	NN	photo
by	IN	by
Abdullah	NP	Abdullah
Zehri	NP	<unknown>
<p>
Balochistan	NP	Balochistan
JI	NP	Ji
provincial	JJ	provincial
chief	JJ	chief
Maulana	NP	Maulana
Hidayatur	NP	<unknown>
Rehman	NP	Rehman
Baloch	NP	<unknown>
thanked	VBD	thank
the	DT	the
people	NNS	people
for	IN	for
making	VBG	make
the	DT	the
strike	NN	strike
peaceful	JJ	peaceful
and	CC	and
successful	JJ	successful
,	,	,
adding	VBG	add
that	IN	that
if	IN	if
"	``	"
we	PP	we
unite	VBP	unite
against	IN	against
oppression	NN	oppression
,	,	,
coercion	NN	coercion
and	CC	and
lawlessness	NN	lawlessness
,	,	,
we	PP	we
will	MD	will
become	VB	become
a	DT	a
great	NN	great
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
across	IN	across
KP	NP	<unknown>
.	SENT	.
<p>
Protests	NNS	protest
and	CC	and
rallies	NNS	rally
held	VBN	hold
in	IN	in
Peshawar	NP	Peshawar
to	TO	to
show	VB	show
their	PP$	their
solidarity	NN	solidarity
with	IN	with
Palestinians	NPS	Palestinians
,	,	,
in	IN	in
Karachi	NP	Karachi
on	IN	on
April	NP	April
26	CD	@card@
,	,	,
2025	CD	@card@
,	,	,
amid	IN	amid
the	DT	the
ongoing	JJ	ongoing
Gaza	NP	Gaza
conflict	NN	conflict
.	SENT	.
--	:	--
Photo	NN	photo
by	IN	by
Umar	NP	<unknown>
Bacha	NP	Bacha
<p>
JI	NP	Ji
district	NN	district
chief	JJ	chief
Bahrullah	NP	Bahrullah
Khan	NP	Khan
Advocate	NP	Advocate
led	VBD	lead
a	DT	a
protest	NN	protest
rally	NN	rally
in	IN	in
Qissa	NP	<unknown>
Khwani	NP	<unknown>
Bazaar	NN	bazaar
in	IN	in
Peshawar	NP	Peshawar
.	SENT	.
<p>
JI	NP	Ji
'	POS	'
s	NN	S
Maulana	NP	Maulana
Abdul	NP	Abdul
Akbar	NP	Akbar
Chitrali	NP	<unknown>
called	VBD	call
for	IN	for
prayers	NNS	prayer
for	IN	for
the	DT	the
Muslims	NPS	Muslims
who	WP	who
lost	VBD	lose
their	PP$	their
lives	NNS	life
in	IN	in
the	DT	the
Israeli	JJ	Israeli
aggression	NN	aggression
.	SENT	.
<p>
The	DT	the
rallies	NNS	rally
were	VBD	be
also	RB	also
held	VBN	hold
in	IN	in
Hazara	NP	<unknown>
,	,	,
Malakand	NP	<unknown>
,	,	,
Mardan	NP	<unknown>
,	,	,
Kohat	NP	<unknown>
,	,	,
DI	NP	di
Khan	NP	Khan
divisions	NNS	division
of	IN	of
the	DT	the
province	NN	province
.	SENT	.
