<h>
Linkages	NNS	linkage
While	IN	while
these	DT	these
issues	NNS	issue
are	VBP	be
being	VBG	be
widely	RB	widely
discussed	VBN	discuss
today	NN	today
,	,	,
one	CD	one
aspect	NN	aspect
that	WDT	that
needs	VBZ	need
more	JJR	more
attention	NN	attention
is	VBZ	be
the	DT	the
linkage	NN	linkage
of	IN	of
all	PDT	all
this	DT	this
to	TO	to
the	DT	the
situation	NN	situation
in	IN	in
Gaza	NP	Gaza
.	SENT	.
Israeli	JJ	Israeli
attacks	NNS	attack
in	IN	in
Gaza	NP	Gaza
have	VBP	have
again	RB	again
increased	VBN	increase
leading	VBG	lead
to	TO	to
a	DT	a
very	RB	very
tragic	JJ	tragic
and	CC	and
distressing	JJ	distressing
situation	NN	situation
.	SENT	.
<p>
Looking	VBG	look
at	IN	at
the	DT	the
pattern	NN	pattern
of	IN	of
this	DT	this
renewed	JJ	renewed
aggression	NN	aggression
,	,	,
several	JJ	several
observers	NNS	observer
believe	VBP	believe
that	IN	that
Israel	NP	Israel
is	VBZ	be
following	VBG	follow
the	DT	the
objective	NN	objective
of	IN	of
ethnic	JJ	ethnic
cleansing	NN	cleansing
,	,	,
as	IN	as
various	JJ	various
options	NNS	option
of	IN	of
expelling	VBG	expel
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
,	,	,
or	CC	or
most	JJS	most
of	IN	of
them	PP	them
,	,	,
are	VBP	be
being	VBG	be
explored	VBN	explore
by	IN	by
Israel	NP	Israel
,	,	,
perhaps	RB	perhaps
in	IN	in
collusion	NN	collusion
with	IN	with
some	DT	some
western	JJ	western
allies	NNS	ally
.	SENT	.
Similarly	RB	similarly
,	,	,
Israeli	JJ	Israeli
aggression	NN	aggression
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
region	NN	region
is	VBZ	be
also	RB	also
at	IN	at
a	DT	a
high	JJ	high
level	NN	level
,	,	,
and	CC	and
here	RB	here
too	RB	too
at	IN	at
least	JJS	least
the	DT	the
longer-term	JJ	longer-term
objective	NN	objective
is	VBZ	be
seen	VBN	see
as	IN	as
bringing	VBG	bring
in	IN	in
more	JJR	more
Israeli	JJ	Israeli
settlers	NNS	settler
while	IN	while
expelling	VBG	expel
more	JJR	more
and	CC	and
more	JJR	more
Palestinians	NNS	Palestinian
.	SENT	.
<p>
Given	VBN	give
these	DT	these
objectives	NNS	objective
,	,	,
the	DT	the
next	JJ	next
few	JJ	few
weeks	NNS	week
may	MD	may
be	VB	be
an	DT	an
important	JJ	important
time	NN	time
for	IN	for
increased	VBN	increase
military	JJ	military
operations	NNS	operation
of	IN	of
Israel	NP	Israel
aimed	VBN	aim
at	IN	at
forwarding	VBG	forward
the	DT	the
objective	NN	objective
of	IN	of
ethnic	JJ	ethnic
cleansing	NN	cleansing
in	IN	in
Gaza	NP	Gaza
in	IN	in
particular	JJ	particular
.	SENT	.
<p>
If	IN	if
this	DT	this
is	VBZ	be
indeed	RB	indeed
so	RB	so
,	,	,
then	RB	then
it	PP	it
is	VBZ	be
important	JJ	important
to	TO	to
further	RBR	further
ask	VB	ask
and	CC	and
explore	VB	explore
what	WP	what
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
If	IN	if
something	NN	something
very	RB	very
sinister	JJ	sinister
or	CC	or
even	RB	even
more	RBR	more
aggressive	JJ	aggressive
is	VBZ	be
being	VBG	be
planned	VBN	plan
for	IN	for
Gaza	NP	Gaza
by	IN	by
Israel	NP	Israel
,	,	,
how	WRB	how
will	MD	will
this	RB	this
be	VB	be
impacted	VBN	impact
by	IN	by
Iran-USA	NP	<unknown>
negotiations	NNS	negotiation
?	SENT	?
<p>
This	DT	this
question	NN	question
is	VBZ	be
important	JJ	important
,	,	,
as	IN	as
Iran	NP	Iran
has	VBZ	have
been	VBN	be
generally	RB	generally
seen	VBN	see
as	IN	as
a	DT	a
very	RB	very
important	JJ	important
ally	NN	ally
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
cause	NN	cause
and	CC	and
in	IN	in
recent	JJ	recent
times	NNS	time
generally	RB	generally
there	EX	there
has	VBZ	have
been	VBN	be
higher	JJR	high
expectation	NN	expectation
of	IN	of
military	JJ	military
help	NN	help
reaching	VBG	reach
the	DT	the
Palestinians	NPS	Palestinians
from	IN	from
Iran	NP	Iran
(	(	(
more	JJR	more
likely	JJ	likely
through	IN	through
proxies	NNS	proxy
)	)	)
compared	VBN	compare
to	TO	to
this	DT	this
help	NN	help
reaching	VBG	reach
from	IN	from
Arab	JJ	Arab
neighboring	JJ	neighboring
countries	NNS	country
.	SENT	.
<p>
Given	VBN	give
this	DT	this
reality	NN	reality
,	,	,
the	DT	the
ideal	JJ	ideal
situation	NN	situation
in	IN	in
any	DT	any
Iran-US	NP	<unknown>
agreement	NN	agreement
on	IN	on
Iran	NP	Iran
suspending	VBG	suspend
or	CC	or
giving	VBG	give
up	RP	up
its	PP$	its
alleged	JJ	alleged
nuclear	JJ	nuclear
weapon	NN	weapon
program	NN	program
will	MD	will
be	VB	be
for	IN	for
this	DT	this
to	TO	to
have	VB	have
a	DT	a
clause	NN	clause
which	WDT	which
says	VBZ	say
that	IN	that
both	DT	both
sides	NNS	side
will	MD	will
strive	VB	strive
for	IN	for
justice	NN	justice
--	:	--
based	VBN	base
peace	NN	peace
in	IN	in
Gaza	NP	Gaza
and	CC	and
in	IN	in
any	DT	any
case	NN	case
there	EX	there
will	MD	will
be	VB	be
no	DT	no
ethnic	JJ	ethnic
cleansing	NN	cleansing
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
.	SENT	.
<p>
On	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
,	,	,
if	IN	if
there	EX	there
is	VBZ	be
no	DT	no
mention	NN	mention
of	IN	of
Gaza	NP	Gaza
and	CC	and
Palestine	NP	Palestine
related	JJ	related
issues	NNS	issue
or	CC	or
assurances	NNS	assurance
regarding	VBG	regard
them	PP	them
provided	VBD	provide
to	TO	to
Iran	NP	Iran
,	,	,
then	RB	then
even	RB	even
if	IN	if
a	DT	a
widely	RB	widely
welcomed	VBN	welcome
outcome	NN	outcome
of	IN	of
Iran-US	NP	<unknown>
peace	NN	peace
talks	NNS	talk
emerges	VBZ	emerge
based	VBN	base
on	IN	on
Iran	NP	Iran
suspending	VBG	suspend
or	CC	or
giving	VBG	give
up	RP	up
its	PP$	its
alleged	JJ	alleged
nuclear	JJ	nuclear
weapons	NNS	weapon
program	NN	program
,	,	,
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
also	RB	also
have	VB	have
been	VBN	be
secured	VBN	secure
regarding	VBG	regard
not	RB	not
doing	VBG	do
anything	NN	anything
big	JJ	big
to	TO	to
stop	VB	stop
any	DT	any
ethnic	JJ	ethnic
cleansing	NN	cleansing
type	NN	type
of	IN	of
operations	NNS	operation
in	IN	in
Gaza	NP	Gaza
by	IN	by
Israel	NP	Israel
.	SENT	.
<p>
Name	NN	name
:	:	:
<p>
Email	NP	Email
:	:	:
<p>
Hence	RB	hence
there	EX	there
is	VBZ	be
a	DT	a
possibility	NN	possibility
that	IN	that
securing	VBG	secure
peace	NN	peace
in	IN	in
Iran	NP	Iran
may	MD	may
also	RB	also
be	VB	be
used	VBN	use
as	IN	as
a	DT	a
way	NN	way
for	IN	for
keeping	VBG	keep
Iran	NP	Iran
quiet	NN	quiet
for	IN	for
a	DT	a
while	NN	while
as	IN	as
preparations	NNS	preparation
for	IN	for
ethnic	JJ	ethnic
cleansing	NN	cleansing
in	IN	in
Gaza	NP	Gaza
are	VBP	be
made	VBN	make
.	SENT	.
<p>
To	TO	to
prevent	VB	prevent
such	JJ	such
injustice	NN	injustice
,	,	,
Iran	NP	Iran
should	MD	should
strive	VB	strive
to	TO	to
contain	VB	contain
in	IN	in
its	PP$	its
agreement	NN	agreement
with	IN	with
the	DT	the
USA	NP	USA
some	DT	some
common	JJ	common
points	NNS	point
on	IN	on
protecting	VBG	protect
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
.	SENT	.
In	IN	in
addition	NN	addition
,	,	,
of	IN	of
course	NN	course
,	,	,
the	DT	the
solidarity	NN	solidarity
of	IN	of
people	NNS	people
with	IN	with
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
should	MD	should
also	RB	also
increase	VB	increase
worldwide	RB	worldwide
.	SENT	.
<p>
Bharat	NP	Bharat
Dogra	NP	<unknown>
is	VBZ	be
Honorary	JJ	honorary
Convener	NN	convener
,	,	,
Campaign	NN	campaign
to	TO	to
Save	VB	save
Earth	NN	earth
Now	RB	now
.	SENT	.
His	PP$	his
recent	JJ	recent
books	NNS	book
include	VBP	include
Planet	NN	planet
in	IN	in
Peril	NN	peril
,	,	,
Protecting	VBG	protect
Earth	NP	Earth
for	IN	for
Children	NP	Children
,	,	,
Man	NN	man
over	IN	over
Machine	NN	machine
and	CC	and
A	DT	a
Day	NN	day
in	IN	in
2071	CD	@card@
.	SENT	.
<p>
India	NP	India
'	POS	'
s	JJ	<unknown>
voluntary	JJ	voluntary
organizations	NNS	organization
have	VBP	have
on	IN	on
the	DT	the
whole	NN	whole
played	VBD	play
an	DT	an
important	JJ	important
role	NN	role
in	IN	in
taking	VBG	take
forward	JJ	forward
development	NN	development
efforts	NNS	effort
in	IN	in
India	NP	India
.	SENT	.
They	PP	they
have	VBP	have
contributed	VBN	contribute
several	JJ	several
innovative	JJ	innovative
development	NN	development
initiatives	NNS	initiative
and	CC	and
contributed	VBD	contribute
to	TO	to
a	DT	a
more	RBR	more
...	:	...
