<h>
LATEST	JJS	late
rallies	VBZ	rally
in	IN	in
London	NP	London
or	CC	or
at	IN	at
the	DT	the
countless	JJ	countless
others	NNS	other
across	IN	across
the	DT	the
country	NN	country
.	SENT	.
A	DT	a
lot	NN	lot
of	IN	of
that	DT	that
credit	NN	credit
goes	VBZ	go
to	TO	to
our	PP$	our
chief	JJ	chief
steward	NN	steward
,	,	,
Chris	NP	Chris
Nineham	NP	<unknown>
,	,	,
one	CD	one
of	IN	of
the	DT	the
founders	NNS	founder
of	IN	of
the	DT	the
Stop	NN	stop
the	DT	the
War	NP	War
Coalition	NP	Coalition
.	SENT	.
<p>
It	PP	it
was	VBD	be
a	DT	a
supreme	JJ	supreme
irony	NN	irony
,	,	,
therefore	RB	therefore
,	,	,
not	RB	not
to	TO	to
mention	VB	mention
an	DT	an
outrage	NN	outrage
,	,	,
to	TO	to
see	VB	see
footage	NN	footage
of	IN	of
him	PP	him
being	VBG	be
violently	RB	violently
wrestled	VBN	wrestle
to	TO	to
the	DT	the
ground	NN	ground
and	CC	and
arrested	VBN	arrest
for	IN	for
trying	VBG	try
to	TO	to
facilitate	VB	facilitate
a	DT	a
consummately	RB	consummately
peaceful	JJ	peaceful
act	NN	act
,	,	,
the	DT	the
laying	VBG	lay
of	IN	of
flowers	NNS	flower
to	TO	to
remember	VB	remember
the	DT	the
Gaza	NP	Gaza
dead	NN	dead
.	SENT	.
Justifying	VBG	justify
Nineham	NP	<unknown>
'	POS	'
s	NN	S
arrest	NN	arrest
,	,	,
the	DT	the
police	NN	police
claimed	VBD	claim
protesters	NNS	protester
tried	VBD	try
to	TO	to
force	VB	force
their	PP$	their
way	NN	way
through	IN	through
a	DT	a
police	NN	police
line	NN	line
.	SENT	.
<p>
"	``	"
There	EX	there
was	VBD	be
a	DT	a
co-ordinated	VBN	co-ordinate
effort	NN	effort
led	VBN	lead
by	IN	by
the	DT	the
protest	NN	protest
organisers	NNS	organiser
to	TO	to
march	VB	march
out	RP	out
of	IN	of
Whitehall	NP	Whitehall
in	IN	in
a	DT	a
clear	JJ	clear
breach	NN	breach
of	IN	of
conditions	NNS	condition
,	,	,
"	''	"
claimed	VBD	claim
a	DT	a
Met	NP	Met
statement	NN	statement
.	SENT	.
"	''	"
An	DT	an
investigation	NN	investigation
into	IN	into
those	DT	those
offences	NNS	offence
has	VBZ	have
been	VBN	be
launched	VBN	launch
.	SENT	.
"	''	"
<p>
But	CC	but
the	DT	the
effort	NN	effort
that	WDT	that
was	VBD	be
co-ordinated	VBN	co-ordinate
,	,	,
as	IN	as
countless	JJ	countless
video	JJ	video
evidence	NN	evidence
from	IN	from
organisers	NNS	organiser
and	CC	and
protesters	NNS	protester
shows	NNS	show
,	,	,
was	VBD	be
an	DT	an
attempt	NN	attempt
by	IN	by
the	DT	the
police	NN	police
to	TO	to
sow	VB	sow
confusion	NN	confusion
and	CC	and
disorder	NN	disorder
by	IN	by
abruptly	RB	abruptly
changing	VBG	change
routes	NNS	route
and	CC	and
throwing	VBG	throw
up	RP	up
unexpected	JJ	unexpected
police	NN	police
barricades	NNS	barricade
.	SENT	.
<p>
There	EX	there
were	VBD	be
77	CD	@card@
arrests	NNS	arrest
,	,	,
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
of	IN	of
another	DT	another
lead	NN	lead
organising	VBG	organise
group	NN	group
,	,	,
the	DT	the
Palestine	NP	Palestine
Solidarity	NP	Solidarity
Campaign	NP	Campaign
,	,	,
also	RB	also
found	VBD	find
himself	PP	himself
facing	VBG	face
charges	NNS	charge
.	SENT	.
<p>
If	IN	if
any	DT	any
of	IN	of
this	DT	this
feels	VBZ	feel
premeditated	VBN	premeditate
,	,	,
it	PP	it
may	MD	may
come	VB	come
as	IN	as
no	DT	no
surprise	NN	surprise
to	TO	to
learn	VB	learn
that	IN	that
just	RB	just
one	CD	one
day	NN	day
after	IN	after
the	DT	the
march	NN	march
,	,	,
Mark	NP	Mark
Rowley	NP	Rowley
,	,	,
the	DT	the
commissioner	NN	commissioner
of	IN	of
the	DT	the
Metropolitan	NP	Metropolitan
police	NN	police
,	,	,
was	VBD	be
feted	VBN	fete
at	IN	at
a	DT	a
plenary	JJ	plenary
meeting	NN	meeting
of	IN	of
the	DT	the
pro-Israel	NP	pro-Israel
Board	NP	Board
of	IN	of
Deputies	NPS	Deputies
of	IN	of
British	NP	British
Jews	NPS	Jews
(	(	(
BDBJ	NP	<unknown>
)	)	)
.	SENT	.
<p>
"	``	"
We	PP	we
were	VBD	be
able	JJ	able
to	TO	to
thank	VB	thank
the	DT	the
commissioner	NN	commissioner
for	IN	for
the	DT	the
consummate	JJ	consummate
professionalism	NN	professionalism
shown	VBN	show
by	IN	by
the	DT	the
police	NN	police
yesterday	NN	yesterday
with	IN	with
regard	NN	regard
to	TO	to
attempts	NNS	attempt
to	TO	to
march	VB	march
in	IN	in
close	JJ	close
vicinity	NN	vicinity
to	TO	to
a	DT	a
central	JJ	central
London	NP	London
synagogue	NN	synagogue
,	,	,
"	''	"
said	VBD	say
a	DT	a
statement	NN	statement
from	IN	from
the	DT	the
group	NN	group
.	SENT	.
<p>
The	DT	the
BDBJ	NP	<unknown>
has	VBZ	have
been	VBN	be
at	IN	at
the	DT	the
forefront	NN	forefront
of	IN	of
trying	VBG	try
to	TO	to
get	VB	get
pro-Palestine	NP	pro-Palestine
marches	NNS	march
banned	VBD	ban
altogether	RB	altogether
and	CC	and
,	,	,
according	VBG	accord
to	TO	to
Middle	NP	Middle
East	NP	East
Eye	NP	Eye
,	,	,
was	VBD	be
behind	IN	behind
the	DT	the
effort	NN	effort
"	''	"
to	TO	to
ban	VB	ban
the	DT	the
pro-Palestine	NP	pro-Palestine
march	NN	march
'	POS	'
s	JJ	<unknown>
original	JJ	original
route	NN	route
.	SENT	.
"	''	"
<p>
Rowley	NP	Rowley
also	RB	also
admitted	VBD	admit
that	IN	that
the	DT	the
police	NN	police
had	VBD	have
effected	VBN	effect
an	DT	an
unprecedented	JJ	unprecedented
clampdown	NN	clampdown
on	IN	on
protesters	NNS	protester
last	JJ	last
Saturday	NP	Saturday
.	SENT	.
"	``	"
We	PP	we
'	POS	'
ve	NN	ve
used	VBD	use
conditions	NNS	condition
on	IN	on
the	DT	the
protests	NNS	protest
more	RBR	more
than	IN	than
we	PP	we
ever	RB	ever
have	VBP	have
done	VBN	do
before	RB	before
in	IN	in
terms	NNS	term
of	IN	of
times	NNS	time
,	,	,
constraints	NNS	constraint
,	,	,
routes	NNS	route
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
those	DT	those
conditions	NNS	condition
,	,	,
Jamal	NP	Jamal
observed	VBD	observe
that	IN	that
"	``	"
Saturday	NP	Saturday
provided	VBD	provide
the	DT	the
clearest	JJS	clear
examples	NNS	example
of	IN	of
the	DT	the
willingness	NN	willingness
of	IN	of
Keir	NP	Keir
Starmer	NP	Starmer
'	POS	'
s	JJ	<unknown>
government	NN	government
to	TO	to
use	VB	use
them	PP	them
to	TO	to
suppress	VB	suppress
the	DT	the
Palestine	NP	Palestine
solidarity	NN	solidarity
movement	NN	movement
,	,	,
and	CC	and
the	DT	the
core	JJ	core
freedoms	NNS	freedom
of	IN	of
all	DT	all
of	IN	of
us	PP	us
.	SENT	.
"	''	"
<p>
The	DT	the
sense	NN	sense
that	IN	that
the	DT	the
police	NN	police
may	MD	may
have	VB	have
deliberately	RB	deliberately
planned	VBN	plan
to	TO	to
upend	VB	upend
the	DT	the
march	NN	march
and	CC	and
sow	NN	sow
chaos	NN	chaos
was	VBD	be
further	RBR	further
compounded	VBN	compound
by	IN	by
the	DT	the
eyewitness	NN	eyewitness
accounts	NNS	account
from	IN	from
Jewish	JJ	Jewish
Voice	NP	Voice
for	IN	for
Labour	NP	Labour
(	(	(
JVL	NP	JVL
)	)	)
,	,	,
a	DT	a
group	NN	group
that	WDT	that
regularly	RB	regularly
participates	VBZ	participate
in	IN	in
the	DT	the
march	NN	march
as	IN	as
part	NN	part
of	IN	of
the	DT	the
Jewish	JJ	Jewish
Bloc	NP	Bloc
for	IN	for
Palestine	NP	Palestine
.	SENT	.
<p>
"	``	"
From	IN	from
the	DT	the
moment	NN	moment
demonstrators	NNS	demonstrator
began	VBD	begin
arriving	VBG	arrive
in	IN	in
the	DT	the
pre-arranged	VBN	pre-arrange
Whitehall	NP	Whitehall
assembly	NN	assembly
area	NN	area
before	IN	before
noon	NN	noon
,	,	,
police	NNS	police
imposed	VBD	impose
what	WP	what
appeared	VBD	appear
to	TO	to
be	VB	be
deliberately	RB	deliberately
provocative	JJ	provocative
conditions	NNS	condition
that	WDT	that
shifted	VBD	shift
from	IN	from
minute	NN	minute
to	TO	to
minute	NN	minute
,	,	,
"	''	"
JVL	NP	JVL
said	VBD	say
.	SENT	.
<p>
"	``	"
Arrival	NN	arrival
routes	NNS	route
were	VBD	be
blocked	VBN	block
and	CC	and
then	RB	then
randomly	RB	randomly
opened	VBN	open
,	,	,
some	DT	some
protesters	NNS	protester
were	VBD	be
allowed	VBN	allow
through	RP	through
,	,	,
others	NNS	other
were	VBD	be
challenged	VBN	challenge
and	CC	and
directed	VBN	direct
down	RP	down
side	NN	side
streets	NNS	street
,	,	,
including	VBG	include
on	IN	on
occasions	NNS	occasion
into	IN	into
the	DT	the
area	NN	area
reserved	VBN	reserve
for	IN	for
a	DT	a
small	JJ	small
crowd	NN	crowd
of	IN	of
abusive	JJ	abusive
,	,	,
right-wing	JJ	right-wing
pro-Israel	NP	pro-Israel
counter-demonstrators	NNS	counter-demonstrator
.	SENT	.
"	''	"
<p>
None	NN	none
of	IN	of
this	DT	this
reflected	VBN	reflect
anything	NN	anything
close	JJ	close
to	TO	to
"	``	"
consummate	JJ	consummate
professionalism	NN	professionalism
,	,	,
"	''	"
as	IN	as
Jewish	JJ	Jewish
marchers	NNS	marcher
,	,	,
"	''	"
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
were	VBD	be
ordered	VBN	order
to	TO	to
move	VB	move
away	RP	away
from	IN	from
the	DT	the
pre-advertised	JJ	pre-advertised
assembly	NN	assembly
point	NN	point
or	CC	or
face	NN	face
arrest	NN	arrest
,	,	,
and	CC	and
then	RB	then
allowed	VBN	allow
to	TO	to
remain	VB	remain
.	SENT	.
"	''	"
<p>
The	DT	the
pretext	NN	pretext
for	IN	for
the	DT	the
route	NN	route
rearrangement	NN	rearrangement
was	VBD	be
a	DT	a
trumped-up	JJ	trumped-up
fear	NN	fear
that	IN	that
a	DT	a
nearby	JJ	nearby
synagogue	NN	synagogue
could	MD	could
be	VB	be
threatened	VBN	threaten
,	,	,
a	DT	a
premise	NN	premise
that	WDT	that
is	VBZ	be
without	IN	without
foundation	NN	foundation
based	VBN	base
on	IN	on
every	DT	every
prior	JJ	prior
pro-Palestine	NN	<unknown>
march	NN	march
during	IN	during
which	WDT	which
no	DT	no
Jewish	JJ	Jewish
institutions	NNS	institution
or	CC	or
their	PP$	their
members	NNS	member
have	VBP	have
been	VBN	be
threatened	VBN	threaten
.	SENT	.
And	CC	and
,	,	,
as	IN	as
Jewish	JJ	Jewish
Bloc	NP	Bloc
marcher	NN	marcher
Julia	NP	Julia
Bard	NP	Bard
pointed	VBD	point
out	RP	out
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
even	RB	even
an	DT	an
accurate	JJ	accurate
reflection	NN	reflection
of	IN	of
Jewish	JJ	Jewish
tradition	NN	tradition
.	SENT	.
<p>
"	''	"
If	IN	if
the	DT	the
synagogue	NN	synagogue
(	(	(
that	WDT	that
most	JJS	most
people	NNS	people
did	VBD	do
n't	RB	n't
know	VB	know
existed	VBN	exist
prior	RB	prior
to	TO	to
this	DT	this
)	)	)
had	VBD	have
needed	VBN	need
to	TO	to
be	VB	be
protected	JJ	protected
(	(	(
which	WDT	which
it	PP	it
did	VBD	do
n't	RB	n't
)	)	)
,	,	,
half	PDT	half
a	DT	a
dozen	NN	dozen
officers	NNS	officer
could	MD	could
have	VB	have
closed	VBN	close
off	RP	off
the	DT	the
short	JJ	short
street	NN	street
where	WRB	where
it	PP	it
'	POS	'
s	NNS	<unknown>
situated	VBN	situate
and	CC	and
diverted	VBN	divert
people	NNS	people
away	RB	away
from	IN	from
it	PP	it
,	,	,
"	''	"
she	PP	she
wrote	VBD	write
.	SENT	.
She	PP	she
further	RBR	further
noted	VBD	note
:	:	:
"	``	"
Those	DT	those
of	IN	of
us	PP	us
brought	VBD	bring
up	RP	up
in	IN	in
traditional	JJ	traditional
Jewish	JJ	Jewish
households	NNS	household
can	MD	can
vouch	VB	vouch
for	IN	for
the	DT	the
fact	NN	fact
that	IN	that
no-one	NN	no-one
is	VBZ	be
in	IN	in
synagogue	NN	synagogue
at	IN	at
that	DT	that
time	NN	time
on	IN	on
a	DT	a
Saturday	NP	Saturday
.	SENT	.
"	``	"
<p>
JVL	NP	JVL
,	,	,
among	IN	among
many	JJ	many
others	NNS	other
who	WP	who
were	VBD	be
there	RB	there
on	IN	on
Saturday	NP	Saturday
,	,	,
concluded	VBD	conclude
that	IN	that
the	DT	the
police	NNS	police
actions	NNS	action
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
mark	NN	mark
an	DT	an
ominous	JJ	ominous
shift	NN	shift
toward	IN	toward
silencing	VBG	silence
pro-Palestinian	NP	pro-Palestinian
protesters	NNS	protester
and	CC	and
potentially	RB	potentially
others	NNS	other
altogether	RB	altogether
.	SENT	.
"	''	"
Political	JJ	political
dissent	NN	dissent
is	VBZ	be
now	RB	now
under	IN	under
threat	NN	threat
in	IN	in
Britain	NP	Britain
,	,	,
"	''	"
JVL	NP	JVL
said	VBD	say
.	SENT	.
