<h>
Some	DT	some
The	DT	the
IDF	NP	IDF
said	VBD	say
that	IN	that
all	DT	all
suicides	NNS	suicide
were	VBD	be
a	DT	a
problem	NN	problem
and	CC	and
that	IN	that
the	DT	the
reservist	NN	reservist
army	NN	army
had	VBD	have
spiked	VBN	spike
considerably	RB	considerably
in	IN	in
size	NN	size
because	IN	because
of	IN	of
the	DT	the
war	NN	war
but	CC	but
that	IN	that
it	PP	it
was	VBD	be
throwing	VBG	throw
increased	VBN	increase
resources	NNS	resource
at	IN	at
addressing	VBG	address
the	DT	the
problem	NN	problem
for	IN	for
all	DT	all
soldiers	NNS	soldier
and	CC	and
,	,	,
especially	RB	especially
reservists	NNS	reservist
.	SENT	.
<p>
However	RB	however
,	,	,
the	DT	the
negative	JJ	negative
trend	NN	trend
created	VBD	create
a	DT	a
hole	NN	hole
in	IN	in
IDF	NP	IDF
arguments	NNS	argument
that	IN	that
it	PP	it
has	VBZ	have
done	VBN	do
enough	RB	enough
in	IN	in
mental	JJ	mental
health	NN	health
areas	NNS	area
to	TO	to
help	VB	help
soldiers	NNS	soldier
,	,	,
without	IN	without
even	RB	even
getting	VBG	get
into	IN	into
debates	NNS	debate
about	RB	about
how	WRB	how
the	DT	the
IDF	NP	IDF
is	VBZ	be
handling	VBG	handle
post-traumatic	JJ	post-traumatic
stress	NN	stress
disorder	NN	disorder
on	IN	on
a	DT	a
broader	JJR	broad
scale	NN	scale
.	SENT	.
<h>
Majority	NN	majority
of	IN	of
soldiers	NNS	soldier
killed	VBN	kill
in	IN	in
Gaza	NP	Gaza
<p>
Of	IN	of
the	DT	the
891	CD	@card@
deaths	NNS	death
,	,	,
390	CD	@card@
were	VBD	be
mostly	RB	mostly
in	IN	in
Gaza	NP	Gaza
in	IN	in
2024	CD	@card@
,	,	,
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
others	NNS	other
were	VBD	be
in	IN	in
Lebanon	NP	Lebanon
,	,	,
in	IN	in
the	DT	the
North	NP	North
,	,	,
and	CC	and
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
.	SENT	.
<p>
In	IN	in
terms	NNS	term
of	IN	of
total	JJ	total
losses	NNS	loss
,	,	,
the	DT	the
1948-1949	CD	@card@
War	NN	war
of	IN	of
Independence	NP	Independence
was	VBD	be
still	RB	still
the	DT	the
worst	JJS	bad
,	,	,
with	IN	with
over	IN	over
6,000	CD	@card@
Israeli	JJ	Israeli
deaths	NNS	death
,	,	,
including	VBG	include
around	IN	around
4,000	CD	@card@
soldiers	NNS	soldier
.	SENT	.
<p>
The	DT	the
1973	CD	@card@
Yom	NP	Yom
Kippur	NP	Kippur
War	NP	War
is	VBZ	be
still	RB	still
second	JJ	second
,	,	,
with	IN	with
a	DT	a
loss	NN	loss
of	IN	of
around	RB	around
2,650	CD	@card@
soldiers	NNS	soldier
.	SENT	.
However	RB	however
,	,	,
if	IN	if
the	DT	the
current	JJ	current
war	NN	war
continues	VBZ	continue
,	,	,
it	PP	it
could	MD	could
potentially	RB	potentially
eventually	RB	eventually
pass	VB	pass
this	DT	this
number	NN	number
given	VBN	give
that	IN	that
1,200	CD	@card@
,	,	,
mostly	RB	mostly
civilians	NNS	civilian
,	,	,
were	VBD	be
killed	VBN	kill
on	IN	on
October	NP	October
7	CD	@card@
,	,	,
2023	CD	@card@
.	SENT	.
<p>
Six	CD	six
hundred	CD	hundred
fifty-seven	JJ	<unknown>
soldiers	NNS	soldier
were	VBD	be
killed	VBN	kill
during	IN	during
the	DT	the
First	NP	First
Lebanon	NP	Lebanon
War	NP	War
in	IN	in
1982	CD	@card@
and	CC	and
in	IN	in
the	DT	the
immediate	JJ	immediate
years	NNS	year
following	VBG	follow
.	SENT	.
<p>
In	IN	in
more	JJR	more
recent	JJ	recent
years	NNS	year
,	,	,
the	DT	the
previous	JJ	previous
high	NN	high
in	IN	in
deaths	NNS	death
of	IN	of
soldiers	NNS	soldier
was	VBD	be
in	IN	in
2002	CD	@card@
,	,	,
with	IN	with
235	CD	@card@
.	SENT	.
<p>
Next	RB	next
,	,	,
the	DT	the
IDF	NP	IDF
said	VBD	say
that	IN	that
there	EX	there
were	VBD	be
nine	CD	nine
road	NN	road
accident	NN	accident
deaths	NNS	death
in	IN	in
2023	CD	@card@
and	CC	and
20	CD	@card@
in	IN	in
2024	CD	@card@
.	SENT	.
<p>
The	DT	the
IDF	NP	IDF
said	VBD	say
it	PP	it
is	VBZ	be
working	VBG	work
on	IN	on
improving	VBG	improve
in	IN	in
that	DT	that
area	NN	area
but	CC	but
did	VBD	do
not	RB	not
give	VB	give
much	RB	much
in	IN	in
terms	NNS	term
of	IN	of
specifics	NNS	specific
.	SENT	.
