<p>
During	IN	during
daughter	NN	daughter
'	POS	'
s	NN	S
abduction	NN	abduction
was	VBD	be
captured	VBN	capture
in	IN	in
a	DT	a
video	NN	video
that	WDT	that
has	VBZ	have
become	VBN	become
a	DT	a
symbol	NN	symbol
of	IN	of
the	NP	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
only	RB	only
a	DT	a
few	JJ	few
hours	NNS	hour
,	,	,
and	CC	and
then	RB	then
the	DT	the
testimonies	NNS	testimony
started	VBD	start
coming	VBG	come
in	IN	in
.	SENT	.
"	''	"
<p>
Naama	NP	<unknown>
Levy	NP	Levy
,	,	,
who	WP	who
was	VBD	be
19	CD	@card@
years	NNS	year
old	JJ	old
at	IN	at
the	DT	the
time	NN	time
,	,	,
is	VBZ	be
supposed	VBN	suppose
to	TO	to
be	VB	be
released	VBN	release
in	IN	in
the	DT	the
upcoming	JJ	upcoming
hostage	NN	hostage
releases	NNS	release
as	IN	as
part	NN	part
of	IN	of
the	DT	the
ceasefire	NN	ceasefire
.	SENT	.
"	``	"
There	EX	there
are	VBP	be
many	JJ	many
young	JJ	young
girls	NNS	girl
with	IN	with
her	PP	her
--	:	--
teenagers	NNS	teenager
--	:	--
and	CC	and
we	PP	we
all	RB	all
understand	VBP	understand
their	PP$	their
vulnerability	NN	vulnerability
,	,	,
the	DT	the
potential	JJ	potential
harm	NN	harm
they	PP	they
might	MD	might
face	VB	face
,	,	,
"	''	"
Yoni	NP	Yoni
Levy	NP	Levy
explained	VBD	explain
.	SENT	.
<p>
For	IN	for
Naama	NP	<unknown>
'	POS	'
s	JJ	<unknown>
Levy	NP	Levy
family	NN	family
,	,	,
there	EX	there
was	VBD	be
another	DT	another
glimmer	NN	glimmer
of	IN	of
hope	NN	hope
.	SENT	.
When	WRB	when
some	DT	some
of	IN	of
the	DT	the
children	NNS	child
returned	VBN	return
from	IN	from
captivity	NN	captivity
,	,	,
their	PP$	their
hair	NN	hair
was	VBD	be
braided	VBN	braid
in	IN	in
a	DT	a
style	NN	style
familiar	JJ	familiar
to	TO	to
her	PP$	her
parents	NNS	parent
.	SENT	.
"	``	"
Maybe	RB	maybe
it	PP	it
'	POS	'
s	NN	S
just	RB	just
stories	VBZ	story
we	PP	we
tell	VB	tell
ourselves	PP	ourselves
,	,	,
"	''	"
Yoni	NP	Yoni
admitted	VBD	admit
.	SENT	.
"	''	"
Naama	NP	<unknown>
participated	VBD	participate
in	IN	in
many	JJ	many
triathlons	NNS	triathlon
during	IN	during
her	PP$	her
youth	NN	youth
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
exactly	RB	exactly
the	DT	the
style	NN	style
of	IN	of
braids	NNS	braid
she	PP	she
and	CC	and
her	PP$	her
teammates	NNS	teammate
used	VBN	use
to	TO	to
wear	VB	wear
,	,	,
"	''	"
he	PP	he
told	VBD	tell
N12	NP	N@card@
in	IN	in
2023	CD	@card@
.	SENT	.
<p>
Naama	NP	<unknown>
Levy	NP	Levy
and	CC	and
Agam	NP	Agam
Berger	NP	Berger
are	VBP	be
just	RB	just
two	CD	two
of	IN	of
five	CD	five
IDF	NP	IDF
observers	NNS	observer
who	WP	who
are	VBP	be
expected	VBN	expect
to	TO	to
be	VB	be
released	VBN	release
in	IN	in
the	DT	the
upcoming	JJ	upcoming
hostage	NN	hostage
deal	NN	deal
.	SENT	.
The	DT	the
others	NNS	other
are	VBP	be
Liri	NP	<unknown>
Albag	NP	<unknown>
,	,	,
Karina	NP	Karina
Ariev	NP	<unknown>
,	,	,
and	CC	and
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
on	IN	on
October	NP	October
7	CD	@card@
,	,	,
the	DT	the
welfare	NN	welfare
of	IN	of
the	DT	the
female	JJ	female
soldiers	NNS	soldier
has	VBZ	have
been	VBN	be
a	DT	a
major	JJ	major
concern	NN	concern
for	IN	for
the	DT	the
hostages	NNS	hostage
'	POS	'
families	NNS	family
and	CC	and
much	RB	much
of	IN	of
Israeli	JJ	Israeli
society	NN	society
.	SENT	.
<p>
A	DT	a
video	NN	video
made	VBD	make
public	JJ	public
of	IN	of
the	DT	the
young	JJ	young
women	NNS	woman
in	IN	in
May	NP	May
caused	VBD	cause
outrage	NN	outrage
as	IN	as
the	DT	the
terrorists	NNS	terrorist
referred	VBD	refer
to	TO	to
the	DT	the
women	NNS	woman
as	IN	as
"	``	"
sabaya	NN	<unknown>
.	SENT	.
"	''	"
Depending	VBG	depend
on	IN	on
intonation	NN	intonation
and	CC	and
pronunciation	NN	pronunciation
,	,	,
the	DT	the
term	NN	term
can	MD	can
mean	VB	mean
either	RB	either
a	DT	a
young	JJ	young
woman	NN	woman
or	CC	or
a	DT	a
sex	NN	sex
slave	NN	slave
.	SENT	.
