<h>
Rep.	NP	Rep.
permanent	JJ	permanent
or	CC	or
lasting	JJ	lasting
cease-fire	NN	cease-fire
,	,	,
"	''	"
Mayor	NP	Mayor
of	IN	of
Dearborn	NP	Dearborn
,	,	,
Michigan	NP	Michigan
,	,	,
Abdullah	NP	Abdullah
Hammoud	NP	<unknown>
,	,	,
said	VBD	say
.	SENT	.
"	``	"
We	PP	we
have	VBP	have
to	TO	to
see	VB	see
that	DT	that
echo	NN	echo
in	IN	in
the	DT	the
highest	JJS	high
office	NN	office
in	IN	in
the	DT	the
world	NN	world
,	,	,
in	IN	in
the	DT	the
president	NN	president
'	POS	'
s	NN	S
administration	NN	administration
.	SENT	.
<p>
"	``	"
People	NNS	people
are	VBP	be
trying	VBG	try
to	TO	to
come	VB	come
out	RP	out
today	NN	today
on	IN	on
election	NN	election
day	NN	day
and	CC	and
to	TO	to
cast	VB	cast
a	DT	a
ballot	NN	ballot
for	IN	for
'	''	'
uncommitted	JJ	uncommitted
,	,	,
'	''	'
to	TO	to
advocate	VB	advocate
for	IN	for
a	DT	a
course	NN	course
correction	NN	correction
,	,	,
or	CC	or
else	RB	else
we	PP	we
risk	VBP	risk
losing	VBG	lose
all	DT	all
American	JJ	American
democracy	NN	democracy
with	IN	with
the	DT	the
re-election	NN	re-election
of	IN	of
Donald	NP	Donald
Trump	NP	Trump
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<p>
Hammoud	NP	<unknown>
gave	VBD	give
list	NN	list
of	IN	of
demands	NNS	demand
to	TO	to
Biden	NP	Biden
on	IN	on
the	DT	the
end	NN	end
of	IN	of
the	DT	the
war	NN	war
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	<unknown>
.	SENT	.
<p>
"	``	"
We	PP	we
want	VBP	want
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
We	PP	we
want	VBP	want
to	TO	to
see	VB	see
a	DT	a
restriction	NN	restriction
of	IN	of
military	JJ	military
aid	NN	aid
.	SENT	.
We	PP	we
want	VBP	want
to	TO	to
see	VB	see
the	DT	the
re-entrance	NN	re-entrance
of	IN	of
humanitarian	JJ	humanitarian
aid	NN	aid
,	,	,
which	WDT	which
is	VBZ	be
down	RB	down
50	CD	@card@
%	NN	%
month	NN	month
over	IN	over
month	NN	month
now	RB	now
.	SENT	.
"	''	"
<p>
"	``	"
I	PP	I
think	VBP	think
for	IN	for
me	PP	me
voting	VBG	vote
uncommitted	JJ	uncommitted
today	NN	today
is	VBZ	be
sending	VBG	send
a	DT	a
message	NN	message
of	IN	of
trying	VBG	try
to	TO	to
hold	VB	hold
our	PP$	our
elected	VBN	elect
officials	NNS	official
accountable	JJ	accountable
,	,	,
"	''	"
Hammoud	NP	<unknown>
also	RB	also
said	VBD	say
.	SENT	.
<p>
Jeffrey	NP	Jeffrey
Clark	NP	Clark
is	VBZ	be
an	DT	an
associate	NN	associate
editor	NN	editor
for	IN	for
Fox	NP	Fox
News	NP	News
Digital	NP	Digital
.	SENT	.
He	PP	he
has	VBZ	have
previously	RB	previously
served	VBN	serve
as	IN	as
a	DT	a
speechwriter	NN	speechwriter
for	IN	for
a	DT	a
cabinet	NN	cabinet
secretary	NN	secretary
and	CC	and
as	IN	as
a	DT	a
Fulbright	NP	Fulbright
teacher	NN	teacher
in	IN	in
South	NP	South
Korea	NP	Korea
.	SENT	.
Jeffrey	NP	Jeffrey
graduated	VBD	graduate
from	IN	from
the	DT	the
University	NP	University
of	IN	of
Iowa	NP	Iowa
in	IN	in
2019	CD	@card@
with	IN	with
a	DT	a
degree	NN	degree
in	IN	in
English	NP	English
and	CC	and
History	NN	history
.	SENT	.
<p>
Story	NN	story
tips	NNS	tip
can	MD	can
be	VB	be
sent	VBN	send
to	TO	to
jeffrey.clark@fox.com	NN	<unknown>
.	SENT	.
<p>
Get	VB	get
all	PDT	all
the	DT	the
stories	NNS	story
you	PP	you
need-to-know	NN	need-to-know
from	IN	from
the	DT	the
most	RBS	most
powerful	JJ	powerful
name	NN	name
in	IN	in
news	NN	news
delivered	VBN	deliver
first	JJ	first
thing	NN	thing
every	DT	every
morning	NN	morning
to	TO	to
your	PP$	your
inbox	JJ	<unknown>
