<h>
Five-year-old	JJ	five-year-old
Army	NN	army
near	IN	near
the	DT	the
Fares	NP	Fares
petrol	NN	petrol
station	NN	station
in	IN	in
the	DT	the
Tal	NP	Tal
Al-Hawa	NP	<unknown>
area	NN	area
,	,	,
southwest	RB	southwest
of	IN	of
Gaza	NP	Gaza
City	NP	City
,	,	,
after	IN	after
about	RB	about
two	CD	two
weeks	NNS	week
of	IN	of
her	PP$	her
unknown	JJ	unknown
fate	NN	fate
due	JJ	due
to	TO	to
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
operation	NN	operation
in	IN	in
the	DT	the
area	NN	area
,	,	,
"	''	"
according	VBG	accord
to	TO	to
Khader	NP	Khader
Al	NP	Al
Za'anoun	NP	<unknown>
,	,	,
a	DT	a
Palestinian	JJ	Palestinian
journalist	NN	journalist
working	VBG	work
for	IN	for
CNN	NP	CNN
who	WP	who
spoke	VBD	speak
to	TO	to
the	DT	the
child	NN	child
'	POS	'
s	NN	S
grandfather	NN	grandfather
.	SENT	.
<p>
The	DT	the
PRCS	NP	<unknown>
also	RB	also
confirmed	VBD	confirm
the	DT	the
death	NN	death
of	IN	of
two	CD	two
ambulance	NN	ambulance
workers	NNS	worker
dispatched	VBN	dispatch
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
,	,	,
CNN	NP	CNN
gave	VBD	give
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
details	NNS	detail
about	IN	about
the	DT	the
incident	NN	incident
last	JJ	last
Friday	NP	Friday
,	,	,
including	VBG	include
coordinates	NNS	coordinate
provided	VBN	provide
by	IN	by
the	DT	the
Palestine	NP	Palestine
Red	NP	Red
Crescent	NP	Crescent
Society	NP	Society
.	SENT	.
In	IN	in
response	NN	response
,	,	,
the	DT	the
Israel	NP	Israel
Defense	NP	Defense
Forces	NPS	Forces
(	(	(
IDF	NP	IDF
)	)	)
said	VBD	say
it	PP	it
was	VBD	be
"	``	"
unfamiliar	JJ	unfamiliar
with	IN	with
the	DT	the
incident	NN	incident
described	VBD	describe
.	SENT	.
"	``	"
<p>
When	WRB	when
contacted	VBN	contact
again	RB	again
by	IN	by
CNN	NP	CNN
,	,	,
the	DT	the
IDF	NP	IDF
said	VBD	say
they	PP	they
were	VBD	be
"	``	"
still	RB	still
looking	VBG	look
into	IN	into
it	PP	it
.	SENT	.
"	''	"
<p>
Hind	NP	Hind
'	POS	'
s	NN	S
cousin	NN	cousin
,	,	,
15-year-old	JJ	15-year-old
Layan	NP	<unknown>
Hamadeh	NP	<unknown>
,	,	,
made	VBD	make
a	DT	a
desperate	JJ	desperate
call	NN	call
for	IN	for
help	NN	help
to	TO	to
emergency	NN	emergency
services	NNS	service
that	WDT	that
was	VBD	be
recorded	VBN	record
by	IN	by
the	DT	the
PRCS	NP	<unknown>
and	CC	and
shared	VBN	share
on	IN	on
social	JJ	social
media	NNS	medium
.	SENT	.
Audio	JJ	audio
of	IN	of
gunshots	NNS	gunshot
heard	VBN	hear
during	IN	during
the	DT	the
call	NN	call
revealed	VBD	reveal
that	IN	that
Hamadeh	NP	<unknown>
was	VBD	be
killed	VBN	kill
while	IN	while
making	VBG	make
the	DT	the
call	NN	call
.	SENT	.
<p>
"	``	"
They	PP	they
are	VBP	be
shooting	VBG	shoot
at	IN	at
us	PP	us
.	SENT	.
The	DT	the
tank	NN	tank
is	VBZ	be
right	RB	right
next	JJ	next
to	TO	to
me	PP	me
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
in	IN	in
the	DT	the
car	NN	car
,	,	,
the	DT	the
tank	NN	tank
is	VBZ	be
right	RB	right
next	JJ	next
to	TO	to
us	PP	us
,	,	,
"	''	"
Layan	NP	<unknown>
screams	VBZ	scream
,	,	,
amid	IN	amid
intense	JJ	intense
gunfire	NN	gunfire
in	IN	in
the	DT	the
background	NN	background
.	SENT	.
<p>
Layan	NP	<unknown>
then	RB	then
goes	VBZ	go
quiet	JJ	quiet
,	,	,
and	CC	and
the	DT	the
rounds	NNS	round
of	IN	of
fire	NN	fire
stop	NN	stop
.	SENT	.
<p>
The	DT	the
paramedic	JJ	paramedic
on	IN	on
the	DT	the
phone	NN	phone
tries	VBZ	try
to	TO	to
speak	VB	speak
to	TO	to
her	PP	her
,	,	,
repeatedly	RB	repeatedly
saying	VBG	say
,	,	,
"	``	"
Hello	UH	hello
?	SENT	?
Hello	UH	hello
?	SENT	?
"	``	"
but	CC	but
there	EX	there
is	VBZ	be
no	DT	no
response	NN	response
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
with	IN	with
the	DT	the
bodies	NNS	body
of	IN	of
her	PP$	her
relatives	NNS	relative
around	IN	around
her	PP	her
,	,	,
Hind	NP	Hind
made	VBD	make
a	DT	a
desperate	JJ	desperate
call	NN	call
for	IN	for
help	NN	help
.	SENT	.
<p>
"	``	"
Come	VB	come
take	VB	take
me	PP	me
.	SENT	.
Will	MD	will
you	PP	you
come	VB	come
and	CC	and
take	VB	take
me	PP	me
?	SENT	?
I	NP	I
'	POS	'
m	NN	m
so	RB	so
scared	VBN	scare
,	,	,
please	VB	please
come	VBN	come
!	SENT	!
"	``	"
Hind	NNS	hind
can	MD	can
be	VB	be
heard	VBN	hear
saying	VBG	say
in	IN	in
a	DT	a
recording	NN	recording
of	IN	of
the	DT	the
call	NN	call
to	TO	to
responders	NNS	responder
,	,	,
released	VBN	release
by	IN	by
the	DT	the
PRCS	NP	<unknown>
.	SENT	.
<p>
Hind	NP	Hind
'	POS	'
s	NN	S
mother	NN	mother
Wissam	NP	Wissam
Hamada	NP	Hamada
said	VBD	say
her	PP$	her
daughter	NN	daughter
dreamed	VBN	dream
of	IN	of
becoming	VBG	become
a	DT	a
doctor	NN	doctor
.	SENT	.
<p>
On	IN	on
Friday	NP	Friday
,	,	,
she	PP	she
told	VBD	tell
CNN	NP	CNN
she	PP	she
was	VBD	be
"	``	"
waiting	VBG	wait
for	IN	for
her	PP	her
every	DT	every
second	NN	second
.	SENT	.
I	PP	I
wish	VBP	wish
for	IN	for
her	PP$	her
all	PDT	all
the	DT	the
best	JJS	good
,	,	,
like	IN	like
any	DT	any
mother	NN	mother
wishes	VBZ	wish
for	IN	for
her	PP$	her
daughter	NN	daughter
the	DT	the
best	JJS	good
things	NNS	thing
and	CC	and
the	DT	the
nicest	JJS	nice
things	NNS	thing
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
"	''	"
<p>
Clarification	NN	clarification
:	:	:
The	DT	the
headline	NN	headline
on	IN	on
this	DT	this
story	NN	story
has	VBZ	have
been	VBN	be
updated	VBN	update
to	TO	to
better	RBR	well
characterize	VB	characterize
the	DT	the
circumstances	NNS	circumstance
of	IN	of
Hind	NP	Hind
Rajab	NP	<unknown>
'	POS	'
s	NN	S
death	NN	death
.	SENT	.
