<h>
Lengthy	JJ	lengthy
They	PP	they
have	VBP	have
desks	NNS	desk
waiting	VBG	wait
for	IN	for
them	PP	them
.	SENT	.
All	RB	all
we	PP	we
need	VBP	need
is	VBZ	be
the	DT	the
Canadian	JJ	Canadian
government	NN	government
to	TO	to
process	VB	process
their	PP$	their
visas	NNS	visa
and	CC	and
we	PP	we
have	VBP	have
a	DT	a
history	NN	history
of	IN	of
doing	VBG	do
this	DT	this
.	SENT	.
"	''	"
<p>
Shafer	NP	Shafer
is	VBZ	be
referring	VBG	refer
to	TO	to
efforts	NNS	effort
to	TO	to
help	VB	help
settle	VB	settle
those	DT	those
fleeing	VBG	flee
the	DT	the
wars	NNS	war
in	IN	in
both	DT	both
Ukraine	NP	Ukraine
and	CC	and
Syria	NP	Syria
as	IN	as
examples	NNS	example
of	IN	of
the	DT	the
government	NN	government
expediting	VBG	expedite
the	DT	the
visa	NN	visa
process	NN	process
.	SENT	.
<p>
"	``	"
We	PP	we
'	POS	'
re	NN	re
not	RB	not
asking	VBG	ask
for	IN	for
shortcuts	NNS	shortcut
,	,	,
"	''	"
says	VBZ	say
Robyn	NP	Robyn
Paul	NP	Paul
,	,	,
a	DT	a
professor	NN	professor
at	IN	at
the	DT	the
University	NP	University
of	IN	of
Calgary	NP	Calgary
who	WP	who
has	VBZ	have
a	DT	a
student	NN	student
in	IN	in
Gaza	NP	Gaza
waiting	VBG	wait
on	IN	on
a	DT	a
visa	NN	visa
.	SENT	.
"	``	"
We	PP	we
'	POS	'
re	NN	re
just	RB	just
asking	VBG	ask
for	IN	for
these	DT	these
students	NNS	student
to	TO	to
be	VB	be
treated	VBN	treat
fairly	RB	fairly
so	RB	so
they	PP	they
can	MD	can
come	VB	come
to	TO	to
Canada	NP	Canada
and	CC	and
study	NN	study
in	IN	in
the	DT	the
great	JJ	great
research	NN	research
programs	NNS	program
that	IN	that
we	PP	we
have	VBP	have
here	RB	here
.	SENT	.
"	''	"
<p>
CTV	NP	CTV
News	NP	News
has	VBZ	have
reached	VBN	reach
out	RP	out
to	TO	to
the	DT	the
Ministry	NP	Ministry
of	IN	of
Immigration	NN	immigration
,	,	,
Refugees	NNS	refugee
and	CC	and
Citizenship	NN	citizenship
and	CC	and
have	VBP	have
not	RB	not
yet	RB	yet
responded	VBN	respond
to	TO	to
questions	NNS	question
about	IN	about
why	WRB	why
it	PP	it
'	POS	'
s	NNS	<unknown>
taking	VBG	take
so	RB	so
long	JJ	long
to	TO	to
process	VB	process
these	DT	these
applications	NNS	application
.	SENT	.
<p>
According	VBG	accord
to	TO	to
the	DT	the
United	NP	United
Nations	NPS	Nations
,	,	,
80	CD	@card@
per	IN	per
cent	NN	cent
of	IN	of
schools	NNS	school
in	IN	in
Gaza	NP	Gaza
have	VBP	have
been	VBN	be
destroyed	VBN	destroy
during	IN	during
the	DT	the
18-month	JJ	<unknown>
war	NN	war
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	<unknown>
.	SENT	.
All	DT	all
12	CD	@card@
universities	NNS	university
in	IN	in
Gaza	NP	Gaza
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
The	DT	the
professors	NNS	professor
say	VBP	say
the	DT	the
lack	NN	lack
of	IN	of
educational	JJ	educational
opportunities	NNS	opportunity
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
another	DT	another
reason	NN	reason
to	TO	to
review	VB	review
the	DT	the
visa	NN	visa
applications	NNS	application
more	RBR	more
quickly	RB	quickly
.	SENT	.
<p>
"	``	"
Everyone	NN	everyone
has	VBZ	have
the	DT	the
right	NN	right
to	TO	to
education	NN	education
,	,	,
"	''	"
says	VBZ	say
Paul	NP	Paul
.	SENT	.
"	``	"
Canadians	NNS	Canadian
should	MD	should
be	VB	be
proud	JJ	proud
to	TO	to
bring	VB	bring
them	PP	them
here	RB	here
.	SENT	.
"	``	"
