<h>
Launched	VBN	launch
bodies	NNS	body
to	TO	to
ensure	VB	ensure
the	DT	the
safety	NN	safety
of	IN	of
those	DT	those
on	IN	on
board	NN	board
,	,	,
warning	VBG	warn
that	IN	that
any	DT	any
interception	NN	interception
would	MD	would
constitute	VB	constitute
"	``	"
a	DT	a
blatant	JJ	blatant
violation	NN	violation
of	IN	of
international	JJ	international
humanitarian	JJ	humanitarian
law	NN	law
"	''	"
.	SENT	.
<p>
European	JJ	European
parliament	NN	parliament
member	NN	member
Rima	NP	Rima
Hassan	NP	Hassan
,	,	,
who	WP	who
is	VBZ	be
on	IN	on
board	NN	board
the	DT	the
vessel	NN	vessel
,	,	,
urged	VBD	urge
governments	NNS	government
to	TO	to
"	``	"
guarantee	VB	guarantee
safe	JJ	safe
passage	NN	passage
for	IN	for
the	DT	the
Freedom	NP	Freedom
Flotilla	NN	flotilla
.	SENT	.
"	``	"
<p>
The	DT	the
Palestinian	JJ	Palestinian
territory	NN	territory
was	VBD	be
under	IN	under
Israeli	JJ	Israeli
naval	JJ	naval
blockade	NN	blockade
even	RB	even
before	IN	before
the	DT	the
October	NP	October
7	CD	@card@
,	,	,
2023	CD	@card@
attack	NN	attack
by	IN	by
Hamas	NNS	<unknown>
that	WDT	that
sparked	VBD	spark
the	DT	the
Gaza	NP	Gaza
war	NN	war
and	CC	and
Israel	NP	Israel
has	VBZ	have
enforced	VBN	enforce
its	PP$	its
blockade	NN	blockade
with	IN	with
military	JJ	military
action	NN	action
in	IN	in
the	DT	the
past	NN	past
.	SENT	.
<p>
At	IN	at
sea	NN	sea
,	,	,
a	DT	a
young	JJ	young
man	NN	man
raises	VBZ	raise
the	DT	the
Palestinian	JJ	Palestinian
flag	NN	flag
from	IN	from
a	DT	a
pedal	NN	pedal
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
,	,	,
2025	CD	@card@
in	IN	in
Catania	NP	Catania
,	,	,
Italy	NP	Italy
.	SENT	.
Swedish	JJ	Swedish
activist	NN	activist
Greta	NP	Greta
Thunberg	NP	Thunberg
is	VBZ	be
among	IN	among
those	DT	those
who	WP	who
will	MD	will
attempt	VB	attempt
to	TO	to
sail	VB	sail
to	TO	to
Gaza	NP	Gaza
on	IN	on
a	DT	a
boat	NN	boat
organized	VBN	organize
by	IN	by
the	DT	the
Freedom	NP	Freedom
Flotilla	NN	flotilla
Coalition	NP	Coalition
(	(	(
FFC	NP	FFC
)	)	)
,	,	,
in	IN	in
a	DT	a
bid	NN	bid
to	TO	to
break	VB	break
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
blockade	NN	blockade
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
territory	NN	territory
.	SENT	.
Photo	NP	Photo
Credit	NP	Credit
:	:	:
Getty	NP	Getty
Images	VBZ	image
<p>
A	DT	a
2010	CD	@card@
commando	NN	commando
raid	NN	raid
on	IN	on
the	DT	the
Turkish	JJ	Turkish
ship	NN	ship
Mavi	NP	<unknown>
Marmara	NP	Marmara
,	,	,
which	WDT	which
was	VBD	be
part	NN	part
of	IN	of
a	DT	a
similar	JJ	similar
aid	NN	aid
flotilla	NN	flotilla
trying	VBG	try
to	TO	to
breach	VB	breach
the	DT	the
blockade	NN	blockade
,	,	,
left	VBD	leave
10	CD	@card@
civilians	NNS	civilian
dead	JJ	dead
.	SENT	.
<p>
In	IN	in
May	NP	May
,	,	,
another	DT	another
Freedom	NP	Freedom
Flotilla	NN	flotilla
ship	NN	ship
,	,	,
the	DT	the
Conscience	NN	conscience
,	,	,
reported	VBD	report
coming	VBG	come
under	IN	under
drone	NN	drone
attack	NN	attack
while	IN	while
en	FW	en
route	NN	route
for	IN	for
Gaza	NP	Gaza
,	,	,
prompting	VBG	prompt
Cyprus	NP	Cyprus
and	CC	and
Malta	NP	Malta
to	TO	to
send	VB	send
rescue	NN	rescue
vessels	NNS	vessel
in	IN	in
response	NN	response
to	TO	to
its	PP$	its
distress	NN	distress
call	NN	call
.	SENT	.
There	EX	there
were	VBD	be
no	DT	no
reports	NNS	report
of	IN	of
any	DT	any
casualties	NNS	casualty
.	SENT	.
<p>
Earlier	RBR	earlier
in	IN	in
its	PP$	its
voyage	NN	voyage
,	,	,
the	DT	the
Madleen	NP	<unknown>
changed	VBD	change
course	NN	course
near	IN	near
the	DT	the
Greek	JJ	Greek
island	NN	island
of	IN	of
Crete	NP	Crete
after	IN	after
receiving	VBG	receive
a	DT	a
distress	NN	distress
signal	NN	signal
from	IN	from
a	DT	a
sinking	VBG	sink
migrant	JJ	migrant
boat	NN	boat
.	SENT	.
<p>
Activists	NNS	activist
rescued	VBD	rescue
four	CD	four
Sudanese	JJ	Sudanese
migrants	NNS	migrant
who	WP	who
had	VBD	have
jumped	VBN	jump
into	IN	into
the	DT	the
sea	NN	sea
to	TO	to
avoid	VB	avoid
being	VBG	be
returned	VBN	return
to	TO	to
Libya	NP	Libya
.	SENT	.
The	DT	the
four	CD	four
were	VBD	be
later	RBR	later
transferred	VBN	transfer
to	TO	to
an	DT	an
EU	NP	EU
Frontex	NP	<unknown>
vessel	NN	vessel
.	SENT	.
<p>
Launched	VBN	launch
in	IN	in
2010	CD	@card@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
opposed	VBN	oppose
to	TO	to
the	DT	the
blockade	NN	blockade
on	IN	on
humanitarian	JJ	humanitarian
aid	NN	aid
for	IN	for
Gaza	NP	Gaza
that	IN	that
Israel	NP	Israel
imposed	VBD	impose
on	IN	on
March	NP	March
2	CD	@card@
and	CC	and
has	VBZ	have
only	RB	only
partially	RB	partially
eased	VBD	ease
since	IN	since
.	SENT	.
<p>
Israel	NP	Israel
has	VBZ	have
faced	VBN	face
mounting	VBG	mount
international	JJ	international
condemnation	NN	condemnation
over	IN	over
the	DT	the
resulting	VBG	result
humanitarian	JJ	humanitarian
crisis	NN	crisis
in	IN	in
the	DT	the
territory	NN	territory
,	,	,
where	WRB	where
the	DT	the
United	NP	United
Nations	NPS	Nations
has	VBZ	have
warned	VBN	warn
the	DT	the
entire	JJ	entire
population	NN	population
of	IN	of
more	JJR	more
than	IN	than
two	CD	two
million	CD	million
is	VBZ	be
at	IN	at
risk	NN	risk
of	IN	of
famine	NN	famine
.	SENT	.
<h>
Comments	NNS	comment
<p>
Comments	NNS	comment
have	VBP	have
to	TO	to
be	VB	be
in	IN	in
English	NP	English
,	,	,
and	CC	and
in	IN	in
full	JJ	full
sentences	NNS	sentence
.	SENT	.
They	PP	they
can	MD	can
not	RB	not
be	VB	be
abusive	JJ	abusive
or	CC	or
personal	JJ	personal
.	SENT	.
Please	UH	please
abide	VB	abide
by	IN	by
our	PP$	our
community	NN	community
guidelines	NNS	guideline
for	IN	for
posting	VBG	post
your	PP$	your
comments	NNS	comment
.	SENT	.
<p>
We	PP	we
have	VBP	have
migrated	VBN	migrate
to	TO	to
a	DT	a
new	JJ	new
commenting	VBG	comment
platform	NN	platform
.	SENT	.
If	IN	if
you	PP	you
are	VBP	be
already	RB	already
a	DT	a
registered	JJ	registered
user	NN	user
of	IN	of
The	DT	the
Hindu	NP	Hindu
and	CC	and
logged	VBD	log
in	IN	in
,	,	,
you	PP	you
may	MD	may
continue	VB	continue
to	TO	to
engage	VB	engage
with	IN	with
our	PP$	our
articles	NNS	article
.	SENT	.
If	IN	if
you	PP	you
do	VBP	do
not	RB	not
have	VB	have
an	DT	an
account	NN	account
please	VB	please
register	NN	register
and	CC	and
login	NN	<unknown>
to	TO	to
post	VB	post
comments	NNS	comment
.	SENT	.
Users	NNS	user
can	MD	can
access	VB	access
their	PP$	their
older	JJR	old
comments	NNS	comment
by	IN	by
logging	VBG	log
into	IN	into
their	PP$	their
accounts	NNS	account
on	IN	on
Vuukle	NP	<unknown>
.	SENT	.
