<h>
Red	JJ	Red
do	VB	do
better	RBR	well
by	IN	by
staying	VBG	stay
focused	VBN	focus
on	IN	on
what	WP	what
we	PP	we
are	VBP	be
:	:	:
educational	JJ	educational
institutions	NNS	institution
,	,	,
not	RB	not
political	JJ	political
organizations	NNS	organization
.	SENT	.
"	``	"
