<h>
Get	VB	get
the	DT	the
Liberals	NNS	liberal
,	,	,
who	WP	who
were	VBD	be
20	CD	@card@
percentage	NN	percentage
points	NNS	point
behind	IN	behind
in	RB	in
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
tariffs	NNS	tariff
and	CC	and
annexation	NN	annexation
threats	NNS	threat
from	IN	from
U-S	NP	U-S
President	NP	President
Donald	NP	Donald
Trump	NP	Trump
,	,	,
Mr	NP	Mr
Carney	NP	Carney
is	VBZ	be
promising	VBG	promise
Canadians	NNS	Canadian
a	DT	a
tough	JJ	tough
approach	NN	approach
on	IN	on
their	PP$	their
long-time	JJ	long-time
ally	NN	ally
.	SENT	.
<p>
"	''	"
The	DT	the
point	NN	point
is	VBZ	be
that	IN	that
we	PP	we
can	MD	can
give	VB	give
ourselves	PP	ourselves
far	RB	far
more	RBR	more
than	IN	than
the	DT	the
Americans	NPS	Americans
can	MD	can
ever	RB	ever
take	VB	take
away	RB	away
.	SENT	.
But	CC	but
even	RB	even
given	VBN	give
that	IN	that
,	,	,
I	PP	I
want	VBP	want
to	TO	to
be	VB	be
clear	JJ	clear
.	SENT	.
The	DT	the
coming	VBG	come
days	NNS	day
and	CC	and
months	NNS	month
will	MD	will
be	VB	be
challenging	VBG	challenge
and	CC	and
they	PP	they
will	MD	will
call	VB	call
for	IN	for
some	DT	some
sacrifices	NNS	sacrifice
.	SENT	.
But	CC	but
we	PP	we
will	MD	will
share	VB	share
those	DT	those
sacrifices	NNS	sacrifice
by	IN	by
supporting	VBG	support
our	PP$	our
workers	NNS	worker
and	CC	and
our	PP$	our
businesses	NNS	business
.	SENT	.
"	''	"
<p>
Opposition	NP	Opposition
Leader	NP	Leader
Peter	NP	Peter
Dutton	NP	Dutton
has	VBZ	have
denied	VBN	deny
allegations	NNS	allegation
that	IN	that
members	NNS	member
of	IN	of
a	DT	a
separatist	NN	separatist
Christian	JJ	Christian
sect	NN	sect
,	,	,
which	WDT	which
objects	VBZ	object
to	TO	to
voting	NN	voting
,	,	,
have	VBP	have
been	VBN	be
secretly	RB	secretly
campaigning	VBG	campaign
for	IN	for
the	DT	the
Liberal	NP	Liberal
Party	NP	Party
.	SENT	.
<p>
The	DT	the
Plymouth	NP	Plymouth
Brethren	NN	brethren
Christian	NP	Christian
Church	NP	Church
,	,	,
formerly	RB	formerly
known	VBN	know
as	IN	as
the	DT	the
Exclusive	JJ	exclusive
Brethren	NNS	brethren
,	,	,
has	VBZ	have
reportedly	RB	reportedly
sent	VBN	send
hundreds	NNS	hundred
of	IN	of
its	PP$	its
members	NNS	member
to	TO	to
pre-polling	JJ	<unknown>
booths	NNS	booth
in	IN	in
marginal	JJ	marginal
seats	NNS	seat
.	SENT	.
<p>
The	DT	the
volunteers	NNS	volunteer
have	VBP	have
allegedly	RB	allegedly
been	VBN	be
instructed	VBN	instruct
to	TO	to
keep	VB	keep
their	PP$	their
membership	NN	membership
to	TO	to
the	DT	the
church	NN	church
a	DT	a
secret	NN	secret
.	SENT	.
<p>
When	WRB	when
asked	VBN	ask
how	WRB	how
the	DT	the
Liberal	NP	Liberal
Party	NP	Party
has	VBZ	have
recruited	VBN	recruit
so	RB	so
many	JJ	many
of	IN	of
its	PP$	its
members	NNS	member
,	,	,
Mr	NP	Mr
Dutton	NP	Dutton
denied	VBD	deny
the	DT	the
allegation	NN	allegation
altogether	RB	altogether
.	SENT	.
<p>
"	``	"
The	DT	the
Liberal	NP	Liberal
Party	NP	Party
has	VBZ	have
n't	RB	n't
recruited	VBN	recruit
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
.	SENT	.
People	NNS	people
can	MD	can
volunteer	VB	volunteer
and	CC	and
provide	VB	provide
support	NN	support
to	TO	to
their	PP$	their
local	JJ	local
national	JJ	national
party	NN	party
candidate	NN	candidate
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
encourage	VB	encourage
them	PP	them
to	TO	to
do	VB	do
that	DT	that
.	SENT	.
Now	RB	now
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
says	VBZ	say
that	IN	that
he	PP	he
hates	VBZ	hate
Tories	NNS	Tory
and	CC	and
hates	VBZ	hate
Tory	JJ	Tory
supporters	NNS	supporter
,	,	,
et	CC	et
cetera	NP	cetera
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
an	DT	an
issue	NN	issue
for	IN	for
him	PP	him
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
not	RB	not
discriminating	VBG	discriminate
against	IN	against
anybody	NN	anybody
on	IN	on
the	DT	the
basis	NN	basis
of	IN	of
their	PP$	their
religion	NN	religion
.	SENT	.
We	PP	we
have	VBP	have
people	NNS	people
of	IN	of
,	,	,
I	PP	I
suspect	VBP	suspect
every	DT	every
religious	JJ	religious
type	NN	type
supporting	VBG	support
us	PP	us
.	SENT	.
"	''	"
<p>
As	IN	as
Australia	NP	Australia
'	POS	'
s	JJ	<unknown>
growing	VBG	grow
housing	NN	housing
challenge	NN	challenge
remains	VBZ	remain
salient	JJ	salient
to	TO	to
the	DT	the
federal	JJ	federal
election	NN	election
campaign	NN	campaign
,	,	,
pressure	NN	pressure
is	VBZ	be
mounting	VBG	mount
on	IN	on
major	JJ	major
parties	NNS	party
to	TO	to
deliver	VB	deliver
cost-of-living	NN	cost-of-living
and	CC	and
housing	NN	housing
relief	NN	relief
.	SENT	.
<p>
During	IN	during
a	DT	a
brief	JJ	brief
stop	NN	stop
to	TO	to
a	DT	a
pre-poll	NN	<unknown>
station	NN	station
in	IN	in
Brisbane	NP	Brisbane
'	POS	'
s	JJ	<unknown>
seat	NN	seat
of	IN	of
Bonner	NP	Bonner
,	,	,
Anthony	NP	Anthony
Albanese	NP	Albanese
was	VBD	be
once	RB	once
again	RB	again
confronted	VBN	confront
over	IN	over
the	DT	the
issue	NN	issue
when	WRB	when
he	PP	he
was	VBD	be
heckled	VBN	heckle
by	IN	by
a	DT	a
Libertarian	JJ	libertarian
party	NN	party
volunteer	NN	volunteer
.	SENT	.
<p>
Expressing	VBG	express
concern	NN	concern
for	IN	for
young	JJ	young
Australians	NNS	Australian
locked	VBN	lock
out	RP	out
of	IN	of
the	DT	the
market	NN	market
,	,	,
the	DT	the
man	NN	man
repeatedly	RB	repeatedly
questioned	VBD	question
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
about	IN	about
the	DT	the
price	NN	price
of	IN	of
housing	NN	housing
.	SENT	.
<p>
"	``	"
What	WP	what
are	VBP	be
you	PP	you
going	VBG	go
to	TO	to
do	VB	do
about	IN	about
the	DT	the
price	NN	price
of	IN	of
housing	NN	housing
?	SENT	?
No	UH	no
,	,	,
he	PP	he
needs	VBZ	need
to	TO	to
hear	VB	hear
me	PP	me
and	CC	and
you	PP	you
do	VBP	do
n't	RB	n't
need	VB	need
to	TO	to
put	VBN	put
that	RB	that
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
about	IN	about
the	DT	the
price	NN	price
of	IN	of
housing	NN	housing
,	,	,
Albo	NP	<unknown>
?	SENT	?
What	WP	what
are	VBP	be
you	PP	you
going	VBG	go
to	TO	to
do	VB	do
about	IN	about
the	DT	the
price	NN	price
of	IN	of
housing	NN	housing
,	,	,
Albo	NP	<unknown>
?	SENT	?
Our	PP$	our
kids	NNS	kid
ca	MD	ca
n't	RB	n't
buy	VB	buy
houses	NNS	house
.	SENT	.
"	''	"
<p>
A	DT	a
survey	NN	survey
on	IN	on
remote	JJ	remote
work	NN	work
has	VBZ	have
found	VBN	find
Australians	NNS	Australian
who	WP	who
work	VBP	work
from	IN	from
home	NN	home
reduce	VB	reduce
their	PP$	their
commutes	NNS	commute
while	IN	while
increasing	VBG	increase
working	VBG	work
hours	NNS	hour
and	CC	and
saving	VBG	save
money	NN	money
.	SENT	.
<p>
The	DT	the
report	NN	report
from	IN	from
the	DT	the
Committee	NP	Committee
for	IN	for
Economic	NP	Economic
Development	NP	Development
of	IN	of
Australia	NP	Australia
found	VBD	find
those	DT	those
working	VBG	work
hybrid	NN	hybrid
or	CC	or
fully	RB	fully
remote	JJ	remote
jobs	NNS	job
earn	VBP	earn
5.8	CD	@card@
per	IN	per
cent	NN	cent
less	RBR	less
than	IN	than
those	DT	those
who	WP	who
do	VBP	do
n't	RB	n't
but	CC	but
save	VB	save
significantly	RB	significantly
from	IN	from
the	DT	the
reduced	VBN	reduce
time	NN	time
and	CC	and
money	NN	money
spent	VBD	spend
commuting	VBG	commute
.	SENT	.
<p>
The	DT	the
COVID-19	NP	<unknown>
pandemic	NN	pandemic
forced	VBN	force
those	DT	those
who	WP	who
could	MD	could
to	TO	to
set	VB	set
up	RP	up
home	NN	home
offices	NNS	office
and	CC	and
work	VB	work
remotely	RB	remotely
as	IN	as
lockdowns	NNS	lockdown
were	VBD	be
implemented	VBN	implement
across	IN	across
the	DT	the
world	NN	world
.	SENT	.
<p>
Five	CD	five
years	NNS	year
on	RB	on
,	,	,
36	CD	@card@
per	IN	per
cent	NN	cent
of	IN	of
Australians	NNS	Australian
still	RB	still
work	VBP	work
regularly	RB	regularly
from	IN	from
home	NN	home
,	,	,
including	VBG	include
about	RB	about
60	CD	@card@
per	IN	per
cent	NN	cent
of	IN	of
professionals	NNS	professional
and	CC	and
managers	NNS	manager
.	SENT	.
<p>
To	TO	to
sport	NN	sport
...	:	...
<p>
The	DT	the
Socceroos	NP	<unknown>
have	VBP	have
suffered	VBN	suffer
a	DT	a
massive	JJ	massive
blow	NN	blow
ahead	RB	ahead
of	IN	of
June	NP	June
'	POS	'
s	NN	S
FIFA	NP	FIFA
World	NP	World
Cup	NP	Cup
qualifiers	NNS	qualifier
against	IN	against
Japan	NP	Japan
and	CC	and
Saudi	NP	Saudi
Arabia	NP	Arabia
.	SENT	.
<p>
Vice-captain	NP	Vice-captain
Jackson	NP	Jackson
Irvine	NP	Irvine
will	MD	will
miss	VB	miss
the	DT	the
final	JJ	final
two	CD	two
matches	NNS	match
of	IN	of
qualifying	VBG	qualify
.	SENT	.
<p>
His	PP$	his
Bundesliga	NP	<unknown>
club	NN	club
St	NP	St
Pauli	NP	Pauli
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
on	IN	on
his	PP$	his
left	JJ	left
foot	NN	foot
tomorrow	NN	tomorrow
in	IN	in
London	NP	London
.	SENT	.
