<h>
Middle	NP	Middle
senior	JJ	senior
Israeli	JJ	Israeli
official	NN	official
told	VBD	tell
reporters	NNS	reporter
as	IN	as
quoted	VBN	quote
by	IN	by
CNN	NP	CNN
on	IN	on
Monday	NP	Monday
.	SENT	.
<p>
The	DT	the
senior	JJ	senior
Israeli	JJ	Israeli
official	NN	official
said	VBD	say
the	DT	the
parties	NNS	party
appear	VBP	appear
to	TO	to
be	VB	be
on	IN	on
the	DT	the
verge	NN	verge
of	IN	of
an	DT	an
agreement	NN	agreement
and	CC	and
that	IN	that
Israel	NP	Israel
is	VBZ	be
prepared	VBN	prepare
to	TO	to
implement	VB	implement
the	DT	the
deal	NN	deal
once	IN	once
it	PP	it
has	VBZ	have
been	VBN	be
inked	VBN	ink
immediately	RB	immediately
.	SENT	.
<p>
A	DT	a
Palestinian	JJ	Palestinian
official	NN	official
familiar	JJ	familiar
with	IN	with
the	DT	the
negotiations	NNS	negotiation
told	VBD	tell
BBC	NP	BBC
that	IN	that
the	DT	the
terms	NNS	term
of	IN	of
a	DT	a
deal	NN	deal
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	<unknown>
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
and	CC	and
the	DT	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
US	NP	US
President	NP	President
Joe	NP	Joe
President	NP	President
,	,	,
whose	WP$	whose
term	NN	term
will	MD	will
end	VB	end
soon	RB	soon
,	,	,
said	VBD	say
his	PP$	his
administration	NN	administration
is	VBZ	be
working	VBG	work
hard	RB	hard
to	TO	to
try	VB	try
and	CC	and
reach	VB	reach
a	DT	a
deal	NN	deal
to	TO	to
bring	VB	bring
hostages	NNS	hostage
home	NN	home
.	SENT	.
<p>
"	``	"
My	PP$	my
Administration	NN	administration
is	VBZ	be
working	VBG	work
hard	RB	hard
to	TO	to
try	VB	try
and	CC	and
reach	VB	reach
a	DT	a
deal	NN	deal
to	TO	to
bring	VB	bring
hostages	NNS	hostage
home	NN	home
,	,	,
end	VB	end
this	DT	this
war	NN	war
,	,	,
and	CC	and
bring	VB	bring
immediate	JJ	immediate
relief	NN	relief
to	TO	to
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
,	,	,
"	''	"
Biden	NP	Biden
posted	VBD	post
on	IN	on
X.	NP	X.
<p>
I	PP	I
spoke	VBD	speak
with	IN	with
Prime	NP	Prime
Minister	NP	Minister
Netanyahu	NP	<unknown>
yesterday	NN	yesterday
to	TO	to
discuss	VB	discuss
ongoing	JJ	ongoing
negotiations	NNS	negotiation
in	IN	in
Doha	NP	Doha
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
and	CC	and
hostage	NN	hostage
release	NN	release
deal	NN	deal
.	SENT	.
<p>
My	PP$	my
Administration	NN	administration
is	VBZ	be
working	VBG	work
hard	RB	hard
to	TO	to
try	VB	try
and	CC	and
reach	VB	reach
a	DT	a
deal	NN	deal
to	TO	to
bring	VB	bring
hostages	NNS	hostage
home	NN	home
,	,	,
end	VB	end
this	DT	this
war	NN	war
,	,	,
and	CC	and
bring	VB	bring
immediate	JJ	immediate
relief	NN	relief
to	TO	to
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
Biden	NP	Biden
,	,	,
whose	WP$	whose
tenure	NN	tenure
will	MD	will
end	VB	end
shortly	RB	shortly
,	,	,
recently	RB	recently
held	VBD	hold
a	DT	a
discussion	NN	discussion
with	IN	with
both	DT	both
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
and	CC	and
Qatari	JJ	Qatari
Emir	NN	emir
Sheikh	NP	Sheikh
Tamim	NP	<unknown>
bin	NN	bin
Hamad	NP	Hamad
Al-Thani	NP	<unknown>
over	IN	over
the	DT	the
deal	NN	deal
recently	RB	recently
.	SENT	.
<p>
According	VBG	accord
to	TO	to
reports	NNS	report
,	,	,
Sheikh	NP	Sheikh
Tamim	NP	<unknown>
bin	NN	bin
Hamad	NP	Hamad
Al-Thani	NP	<unknown>
is	VBZ	be
meditating	VBG	meditate
on	IN	on
the	DT	the
negotiations	NNS	negotiation
.	SENT	.
<p>
As	RB	as
per	IN	per
a	DT	a
White	NP	White
House	NP	House
released	VBD	release
statement	NN	statement
,	,	,
during	IN	during
his	PP$	his
discussion	NN	discussion
with	IN	with
Netanyahu	NP	<unknown>
,	,	,
Biden	NP	Biden
stressed	VBD	stress
the	DT	the
immediate	JJ	immediate
need	NN	need
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
humanitarian	JJ	humanitarian
aid	NN	aid
enabled	VBN	enable
by	IN	by
a	DT	a
stoppage	NN	stoppage
in	IN	in
the	DT	the
fighting	NN	fighting
under	IN	under
the	DT	the
deal	NN	deal
.	SENT	.
<p>
Biden	NP	Biden
thanked	VBD	thank
Qatari	JJ	Qatari
Emir	NN	emir
Thani	NP	<unknown>
for	IN	for
his	PP$	his
leadership	NN	leadership
and	CC	and
praised	VBD	praise
Prime	NP	Prime
Minister	NP	Minister
Mohammed	NP	Mohammed
bin	NN	bin
Abdulrahman	NP	Abdulrahman
Al	NP	Al
Thani	NP	<unknown>
for	IN	for
his	PP$	his
mediating	VBG	mediate
role	NN	role
throughout	IN	throughout
the	DT	the
process	NN	process
.	SENT	.
<p>
A	DT	a
diplomat	NN	diplomat
close	NN	close
to	TO	to
the	DT	the
negotiations	NNS	negotiation
told	VBD	tell
CNN	NP	CNN
a	DT	a
final	JJ	final
round	NN	round
of	IN	of
proximity	NN	proximity
talks	NNS	talk
to	TO	to
finalize	VB	finalize
any	DT	any
issues	NNS	issue
was	VBD	be
scheduled	VBN	schedule
to	TO	to
take	VB	take
place	NN	place
in	IN	in
Doha	NP	Doha
on	IN	on
Tuesday	NP	Tuesday
.	SENT	.
<p>
The	DT	the
UN	NP	UN
Humanitarian	JJ	humanitarian
Coordinator	NP	Coordinator
for	IN	for
the	DT	the
Occupied	JJ	occupied
Palestinian	NP	Palestinian
Territory	NP	Territory
called	VBD	call
on	IN	on
Sunday	NP	Sunday
for	IN	for
an	DT	an
end	NN	end
to	TO	to
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
to	TO	to
ensure	VB	ensure
a	DT	a
better	JJR	good
future	NN	future
for	IN	for
children	NNS	child
there	RB	there
and	CC	and
the	DT	the
entire	JJ	entire
region	NN	region
.	SENT	.
<p>
Muhannad	NP	<unknown>
Hadi	NP	Hadi
,	,	,
who	WP	who
is	VBZ	be
also	RB	also
the	DT	the
Deputy	NP	Deputy
Special	JJ	special
Coordinator	NP	Coordinator
for	IN	for
the	DT	the
Middle	NP	Middle
East	NP	East
Peace	NP	Peace
Process	NP	Process
,	,	,
made	VBD	make
the	DT	the
appeal	NN	appeal
during	IN	during
a	DT	a
visit	NN	visit
to	TO	to
Gaza	NP	Gaza
City	NP	City
,	,	,
where	WRB	where
he	PP	he
met	VBD	meet
with	IN	with
representatives	NNS	representative
from	IN	from
non-governmental	JJ	non-governmental
organizations	NNS	organization
(	(	(
NGOs	NNS	Ngo
)	)	)
.	SENT	.
<p>
The	DT	the
senior	JJ	senior
official	NN	official
also	RB	also
visited	VBD	visit
Holy	NP	Holy
Family	NP	Family
Church	NP	Church
,	,	,
where	WRB	where
he	PP	he
recorded	VBD	record
a	DT	a
video	JJ	video
message	NN	message
on	IN	on
the	DT	the
church	NN	church
steps	NNS	step
,	,	,
surrounded	VBN	surround
by	IN	by
displaced	VBN	displace
children	NNS	child
.	SENT	.
<p>
"	''	"
Needless	JJ	needless
to	TO	to
say	VB	say
that	DT	that
churches	NNS	church
,	,	,
mosques	NNS	mosque
,	,	,
civilians	NNS	civilian
,	,	,
and	CC	and
all	DT	all
civilian	JJ	civilian
infrastructure	NN	infrastructure
,	,	,
must	MD	must
be	VB	be
protected	VBN	protect
.	SENT	.
They	PP	they
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
;	:	;
by	IN	by
a	DT	a
ceasefire	NN	ceasefire
,	,	,
"	''	"
he	PP	he
stressed	VBD	stress
.	SENT	.
<p>
After	IN	after
Hamas	NP	<unknown>
launched	VBD	launch
its	PP$	its
surprise	NN	surprise
attack	NN	attack
on	IN	on
October	NP	October
7	CD	@card@
,	,	,
2023	CD	@card@
,	,	,
Israel	NP	Israel
commenced	VBD	commence
its	PP$	its
military	JJ	military
operation	NN	operation
in	IN	in
Gaza	NP	Gaza
,	,	,
beginning	VBG	begin
the	DT	the
current	JJ	current
conflict	NN	conflict
in	IN	in
the	DT	the
region	NN	region
.	SENT	.
<p>
The	DT	the
Hamas	NP	<unknown>
attack	NN	attack
had	VBD	have
left	VBN	leave
1200	CD	@card@
people	NNS	people
killed	VBD	kill
.	SENT	.
<p>
the	DT	the
Israeli	JJ	Israeli
military	NN	military
has	VBZ	have
killed	VBN	kill
at	IN	at
least	JJS	least
46,565	CD	@card@
Palestinians	NNS	Palestinian
in	IN	in
Gaza	NP	Gaza
,	,	,
according	VBG	accord
to	TO	to
the	DT	the
Palestinian	JJ	Palestinian
Ministry	NP	Ministry
of	IN	of
Health	NP	Health
as	IN	as
quoted	VBN	quote
by	IN	by
CNN	NP	CNN
.	SENT	.
<h>
Support	VB	support
Our	PP$	our
Journalism	NP	Journalism
<p>
IBNS	NP	<unknown>
is	VBZ	be
not	RB	not
driven	VBN	drive
by	IN	by
any	DT	any
ism-	NN	<unknown>
not	RB	not
wokeism	NN	<unknown>
,	,	,
not	RB	not
racism	NN	racism
,	,	,
not	RB	not
skewed	VBN	skew
secularism	NN	secularism
,	,	,
not	RB	not
hyper	NN	hyper
right-wing	NN	right-wing
or	CC	or
left	VBD	leave
liberal	JJ	liberal
ideals	NNS	ideal
,	,	,
nor	CC	nor
by	IN	by
any	DT	any
hardline	NN	hardline
religious	JJ	religious
beliefs	NNS	belief
or	CC	or
hyper	NN	hyper
nationalism	NN	nationalism
.	SENT	.
We	PP	we
want	VBP	want
to	TO	to
serve	VB	serve
you	PP	you
good	JJ	good
old	JJ	old
objective	NN	objective
news	NN	news
,	,	,
as	IN	as
they	PP	they
are	VBP	be
.	SENT	.
We	PP	we
do	VBP	do
not	RB	not
judge	VB	judge
or	CC	or
preach	VB	preach
.	SENT	.
We	PP	we
let	VBP	let
people	NNS	people
decide	VB	decide
for	IN	for
themselves	PP	themselves
.	SENT	.
We	PP	we
only	RB	only
try	VBP	try
to	TO	to
present	VB	present
factual	JJ	factual
and	CC	and
well-sourced	JJ	<unknown>
news	NN	news
.	SENT	.
