<h>
Some	DT	some
,	,	,
said	VBD	say
he	PP	he
had	VBD	have
"	``	"
changed	VBN	change
to	TO	to
a	DT	a
position	NN	position
where	WRB	where
I	PP	I
think	VBP	think
we	PP	we
need	VBP	need
to	TO	to
recognise	VB	recognise
a	DT	a
Palestinian	JJ	Palestinian
state	NN	state
"	''	"
immediately	RB	immediately
,	,	,
having	VBG	have
previously	RB	previously
thought	VBN	think
detailed	JJ	detailed
groundwork	NN	groundwork
was	VBD	be
needed	VBN	need
before	IN	before
this	DT	this
step	NN	step
was	VBD	be
taken	VBN	take
.	SENT	.
<p>
He	PP	he
said	VBD	say
:	:	:
"	``	"
It	PP	it
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
a	DT	a
huge	JJ	huge
symbol	NN	symbol
of	IN	of
support	NN	support
both	CC	both
for	IN	for
the	DT	the
Israelis	NNS	Israeli
that	WDT	that
want	VBP	want
to	TO	to
see	VB	see
that	RB	that
and	CC	and
also	RB	also
for	IN	for
the	DT	the
Palestinians	NPS	Palestinians
.	SENT	.
But	CC	but
the	DT	the
key	JJ	key
point	NN	point
at	IN	at
the	DT	the
moment	NN	moment
is	VBZ	be
the	DT	the
Israeli	JJ	Israeli
government	NN	government
need	VBP	need
to	TO	to
be	VB	be
held	VBN	hold
to	TO	to
account	VB	account
.	SENT	.
<p>
"	``	"
I	PP	I
support	VBP	support
the	DT	the
UK	NP	UK
Prime	NP	Prime
Minister	NP	Minister
and	CC	and
many	JJ	many
more	JJR	more
,	,	,
by	IN	by
the	DT	the
way	NN	way
,	,	,
in	IN	in
the	DT	the
British	NP	British
Conservative	NP	Conservative
Party	NP	Party
are	VBP	be
coming	VBG	come
up	RP	up
to	TO	to
me	PP	me
privately	RB	privately
at	IN	at
the	DT	the
moment	NN	moment
.	SENT	.
"	''	"
<p>
On	IN	on
Friday	NP	Friday
,	,	,
Mrs	NN	Mrs
Badenoch	NP	Badenoch
told	VBD	tell
broadcasters	NNS	broadcaster
she	PP	she
was	VBD	be
"	``	"
not	RB	not
surprised	JJ	surprised
"	''	"
Sir	NP	Sir
Keir	NP	Keir
had	VBD	have
been	VBN	be
criticised	VBN	criticise
by	IN	by
his	PP$	his
Israeli	JJ	Israeli
counterpart	NN	counterpart
.	SENT	.
<p>
She	PP	she
suggested	VBD	suggest
that	IN	that
breaking	VBG	break
off	RP	off
trade	NN	trade
deal	NN	deal
talks	NNS	talk
with	IN	with
Israel	NP	Israel
over	IN	over
the	DT	the
conflict	NN	conflict
in	IN	in
Gaza	NP	Gaza
and	CC	and
settler	NN	settler
violence	NN	violence
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
were	VBD	be
not	RB	not
the	DT	the
"	``	"
right	JJ	right
way	NN	way
"	''	"
to	TO	to
send	VB	send
a	DT	a
message	NN	message
to	TO	to
Mr	NP	Mr
Netanyahu	NP	<unknown>
'	POS	'
s	NN	S
government	NN	government
.	SENT	.
<p>
Mr	NP	Mr
Pritchard	NP	Pritchard
told	VBD	tell
LBC	NP	LBC
he	PP	he
was	VBD	be
"	``	"
not	RB	not
coming	VBG	come
here	RB	here
to	TO	to
attack	VB	attack
"	''	"
his	PP$	his
party	NN	party
leader	NN	leader
.	SENT	.
<p>
"	''	"
I	NP	I
'	POS	'
m	NN	m
coming	VBG	come
on	IN	on
to	TO	to
support	VB	support
Kemi	NP	Kemi
on	IN	on
the	DT	the
comments	NNS	comment
on	IN	on
antisemitism	NN	<unknown>
,	,	,
supporting	VBG	support
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
on	IN	on
his	PP$	his
strong	JJ	strong
stand	NN	stand
,	,	,
finally	RB	finally
,	,	,
on	IN	on
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
in	IN	in
Gaza	NP	Gaza
,	,	,
"	''	"
he	PP	he
added	VBD	add
.	SENT	.
