<p>
Tom	NP	Tom
Microsoft	NP	Microsoft
CEO	NP	CEO
Satya	NP	Satya
Nadella	NP	Nadella
later	RBR	later
on	IN	on
in	IN	in
the	DT	the
event	NN	event
.	SENT	.
<p>
Both	DT	both
former	JJ	former
Microsoft	NP	Microsoft
employees	NNS	employee
also	RB	also
sent	VBD	send
separate	JJ	separate
emails	NNS	email
to	TO	to
thousands	NNS	thousand
of	IN	of
coworkers	NNS	coworker
,	,	,
protesting	VBG	protest
the	DT	the
company	NN	company
providing	VBG	provide
software	NN	software
,	,	,
cloud	NN	cloud
services	NNS	service
,	,	,
and	CC	and
consulting	VBG	consult
services	NNS	service
to	TO	to
the	DT	the
Israeli	JJ	Israeli
military	NN	military
.	SENT	.
The	DT	the
first	JJ	first
protester	NN	protester
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
,	,	,
Vaniya	NP	Vaniya
Agrawal	NP	Agrawal
,	,	,
was	VBD	be
dismissed	VBN	dismiss
shortly	RB	shortly
after	IN	after
putting	VBG	put
in	IN	in
her	PP$	her
two	CD	two
weeks	NNS	week
'	POS	'
notice	NN	notice
.	SENT	.
Both	DT	both
are	VBP	be
associated	VBN	associate
with	IN	with
No	DT	no
Azure	NP	Azure
for	IN	for
Apartheid	NN	apartheid
,	,	,
a	DT	a
group	NN	group
of	IN	of
current	JJ	current
and	CC	and
former	JJ	former
Microsoft	NP	Microsoft
employees	NNS	employee
rallying	VBG	rally
against	IN	against
Microsoft	NP	Microsoft
'	POS	'
s	JJ	<unknown>
contracts	NNS	contract
with	IN	with
Israel	NP	Israel
.	SENT	.
<p>
Hossam	NP	<unknown>
Nasr	NP	Nasr
,	,	,
an	DT	an
organizer	NN	organizer
of	IN	of
No	DT	no
Azure	NP	Azure
for	IN	for
Apartheid	NN	apartheid
,	,	,
is	VBZ	be
quoted	VBN	quote
calling	VBG	call
out	RP	out
Microsoft	NP	Microsoft
'	POS	'
s	JJ	<unknown>
statement	NN	statement
as	IN	as
contradictory	NN	contradictory
in	IN	in
a	DT	a
response	NN	response
from	IN	from
the	DT	the
group	NN	group
:	:	:
"	``	"
In	IN	in
one	CD	one
breath	NN	breath
,	,	,
they	PP	they
claim	VBP	claim
that	IN	that
their	PP$	their
technology	NN	technology
is	VBZ	be
not	RB	not
being	VBG	be
used	VBN	use
to	TO	to
harm	VB	harm
people	NNS	people
in	IN	in
Gaza	NP	Gaza
,	,	,
"	''	"
while	IN	while
also	RB	also
admitting	VBG	admit
"	``	"
they	PP	they
do	VBP	do
n't	RB	n't
have	VB	have
insight	NN	insight
into	IN	into
how	WRB	how
their	PP$	their
technologies	NNS	technology
are	VBP	be
being	VBG	be
used	VBN	use
.	SENT	.
"	''	"
According	VBG	accord
to	TO	to
the	DT	the
group	NN	group
,	,	,
"	''	"
In	IN	in
their	PP$	their
statement	NN	statement
yesterday	NN	yesterday
,	,	,
Microsoft	NP	Microsoft
has	VBZ	have
actually	RB	actually
put	VBN	put
on	IN	on
record	NN	record
the	DT	the
company	NN	company
'	POS	'
s	JJ	<unknown>
direct	JJ	direct
involvement	NN	involvement
in	IN	in
the	DT	the
Palestinian	JJ	Palestinian
genocide	NN	genocide
.	SENT	.
"	''	"
<p>
The	DT	the
group	NN	group
accuses	VBZ	accuse
Microsoft	NP	Microsoft
of	IN	of
"	``	"
supporting	VBG	support
and	CC	and
enabling	VBG	enable
an	DT	an
apartheid	NN	apartheid
state	NN	state
,	,	,
"	''	"
by	IN	by
not	RB	not
suspending	VBG	suspend
sales	NNS	sale
of	IN	of
cloud	NN	cloud
and	CC	and
AI	VBP	ai
services	NNS	service
to	TO	to
Israel	NP	Israel
,	,	,
like	IN	like
it	PP	it
did	VBD	do
to	TO	to
Russia	NP	Russia
when	WRB	when
it	PP	it
invaded	VBD	invade
Ukraine	NP	Ukraine
.	SENT	.
It	PP	it
has	VBZ	have
also	RB	also
highlighted	VBN	highlight
reports	NNS	report
from	IN	from
The	DT	the
Guardian	NP	Guardian
and	CC	and
the	DT	the
Associated	NP	Associated
Press	NP	Press
,	,	,
based	VBN	base
on	IN	on
leaked	VBN	leak
documents	NNS	document
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Azure	NP	Azure
and	CC	and
OpenAI	NP	<unknown>
technology	NN	technology
to	TO	to
gather	VB	gather
information	NN	information
through	IN	through
mass	JJ	mass
surveillance	NN	surveillance
and	CC	and
use	NN	use
AI	VBP	ai
tools	NNS	tool
to	TO	to
transcribe	VB	transcribe
and	CC	and
translate	VB	translate
phone	NN	phone
calls	NNS	call
,	,	,
texts	NNS	text
,	,	,
and	CC	and
audio	JJ	audio
messages	NNS	message
.	SENT	.
Microsoft	NP	Microsoft
also	RB	also
reportedly	RB	reportedly
supplied	VBN	supply
19,000	CD	@card@
hours	NNS	hour
of	IN	of
engineering	NN	engineering
support	NN	support
and	CC	and
consultancy	NN	consultancy
services	NNS	service
to	TO	to
the	DT	the
Israeli	JJ	Israeli
military	NN	military
,	,	,
in	IN	in
a	DT	a
deal	NN	deal
that	RB	that
'	POS	'
s	NN	S
said	VBD	say
to	TO	to
be	VB	be
valued	VBN	value
at	IN	at
around	IN	around
$10	NP	$@card@
million	CD	million
.	SENT	.
<p>
"	``	"
It	PP	it
is	VBZ	be
worth	JJ	worth
noting	VBG	note
that	IN	that
militaries	NNS	military
typically	RB	typically
use	VBP	use
their	PP$	their
own	JJ	own
proprietary	JJ	proprietary
software	NN	software
or	CC	or
applications	NNS	application
from	IN	from
defense-related	JJ	defense-related
providers	NNS	provider
for	IN	for
the	DT	the
types	NNS	type
of	IN	of
surveillance	NN	surveillance
and	CC	and
operations	NNS	operation
that	WDT	that
have	VBP	have
been	VBN	be
the	DT	the
subject	NN	subject
of	IN	of
our	PP$	our
employees	NNS	employee
'	POS	'
questions	NNS	question
,	,	,
"	''	"
says	VBZ	say
Microsoft	NP	Microsoft
in	IN	in
its	PP$	its
blog	NN	<unknown>
post	NN	post
.	SENT	.
"	''	"
Microsoft	NP	Microsoft
has	VBZ	have
not	RB	not
created	VBN	create
or	CC	or
provided	VBN	provide
such	JJ	such
software	NN	software
or	CC	or
solutions	NNS	solution
to	TO	to
the	DT	the
IMOD	NN	<unknown>
.	SENT	.
"	''	"
<p>
Nasr	NP	Nasr
also	RB	also
responded	VBD	respond
to	TO	to
Microsoft	NP	Microsoft
'	POS	'
s	JJ	<unknown>
statement	NN	statement
in	IN	in
an	DT	an
interview	NN	interview
with	IN	with
GeekWire	NP	<unknown>
,	,	,
saying	VBG	say
it	PP	it
'	POS	'
s	NNS	<unknown>
"	``	"
filled	VBN	fill
with	IN	with
both	DT	both
lies	NNS	lie
and	CC	and
contradictions	NNS	contradiction
.	SENT	.
"	''	"
<p>
"	``	"
There	EX	there
is	VBZ	be
no	DT	no
form	NN	form
of	IN	of
selling	VBG	sell
technology	NN	technology
to	TO	to
an	DT	an
army	NN	army
that	WDT	that
is	VBZ	be
plausibly	RB	plausibly
accused	VBN	accuse
of	IN	of
genocide	NN	genocide
--	:	--
whose	WP$	whose
leaders	NNS	leader
are	VBP	be
wanted	VBN	want
for	IN	for
war	NN	war
crimes	NNS	crime
and	CC	and
crimes	NNS	crime
against	IN	against
humanity	NN	humanity
by	IN	by
the	DT	the
International	NP	International
Criminal	NP	Criminal
Court	NP	Court
--	:	--
that	WDT	that
would	MD	would
be	VB	be
ethical	JJ	ethical
,	,	,
"	''	"
says	VBZ	say
Nasr	NP	Nasr
.	SENT	.
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Nasr	NP	Nasr
also	RB	also
highlighted	VBD	highlight
that	IN	that
Microsoft	NP	Microsoft
'	POS	'
s	NN	S
statement	NN	statement
mentions	VBZ	mention
Israel	NP	Israel
multiple	JJ	multiple
times	NNS	time
,	,	,
but	CC	but
"	``	"
not	RB	not
once	RB	once
did	VBD	do
they	PP	they
name	NN	name
Palestinians	NNS	Palestinian
or	CC	or
Palestinian	JJ	Palestinian
people	NNS	people
or	CC	or
Palestine	NP	Palestine
"	''	"
in	IN	in
the	DT	the
blog	NN	<unknown>
post	NN	post
.	SENT	.
"	``	"
I	PP	I
think	VBP	think
that	IN	that
still	RB	still
speaks	VBZ	speak
to	TO	to
where	WRB	where
Microsoft	NP	Microsoft
'	POS	'
s	JJ	<unknown>
business	NN	business
interests	NNS	interest
truly	RB	truly
lie	VBP	lie
.	SENT	.
"	``	"
