<h>
EXCLUSIVE	NN	exclusive
Hamas	NNS	<unknown>
for	IN	for
471	CD	@card@
days	NNS	day
until	IN	until
her	PP$	her
release	NN	release
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
?	SENT	?
<p>
She	PP	she
addressed	VBD	address
the	DT	the
supporters	NNS	supporter
before	IN	before
the	DT	the
match	NN	match
and	CC	and
said	VBD	say
:	:	:
"	``	"
Wow	NN	wow
,	,	,
wow	NN	wow
,	,	,
wow	NN	wow
.	SENT	.
This	DT	this
is	VBZ	be
more	JJR	more
than	IN	than
a	DT	a
home	NN	home
.	SENT	.
"	``	"
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
family	NN	family
.	SENT	.
You	PP	you
people	NNS	people
mean	VBP	mean
more	JJR	more
than	IN	than
anything	NN	anything
to	TO	to
me	PP	me
.	SENT	.
Yes	UH	yes
I	PP	I
love	VBP	love
the	DT	the
game	NN	game
but	CC	but
I	PP	I
love	VBP	love
you	PP	you
all	DT	all
even	RB	even
more	JJR	more
.	SENT	.
I	PP	I
am	VBP	be
finally	RB	finally
really	RB	really
home	RB	home
.	SENT	.
"	''	"
Emily	NP	Emily
was	VBD	be
standing	VBG	stand
by	IN	by
her	PP$	her
mum	JJ	mum
Mandy	NP	Mandy
as	IN	as
she	PP	she
spoke	VBD	speak
.	SENT	.
She	PP	she
flew	VBD	fly
into	IN	into
London	NP	London
from	IN	from
Israel	NP	Israel
to	TO	to
watch	VB	watch
the	DT	the
game	NN	game
.	SENT	.
She	PP	she
has	VBZ	have
made	VBN	make
no	DT	no
secret	NN	secret
of	IN	of
her	PP$	her
love	NN	love
for	IN	for
the	DT	the
north	JJ	north
London	NP	London
club	NN	club
which	WDT	which
has	VBZ	have
a	DT	a
large	JJ	large
Jewish	JJ	Jewish
following	NN	following
.	SENT	.
<p>
The	DT	the
28-year-old	JJ	28-year-old
lost	VBD	lose
two	CD	two
fingers	NNS	finger
after	IN	after
being	VBG	be
shot	VBN	shoot
(	(	(
Image	NN	image
:	:	:
PA	NN	pa
)	)	)
<p>
While	IN	while
she	PP	she
was	VBD	be
kept	VBN	keep
captive	NN	captive
in	IN	in
the	DT	the
tunnels	NNS	tunnel
under	IN	under
Gaza	NP	Gaza
Spurs	VBZ	spur
fans	NNS	fan
regularly	RB	regularly
sang	VBD	sing
for	IN	for
her	PP$	her
release	NN	release
.	SENT	.
They	PP	they
regularly	RB	regularly
chanted	VBD	chant
:	:	:
"	``	"
Emily	NP	Emily
Damari	NP	Damari
-	NN	<unknown>
she	PP	she
'	POS	'
s	NN	S
one	CD	one
of	IN	of
our	PP$	our
own	JJ	own
.	SENT	.
"	``	"
They	PP	they
even	RB	even
tied	VBD	tie
yellow	JJ	yellow
ribbons	NNS	ribbon
around	IN	around
the	DT	the
stadium	NN	stadium
in	IN	in
a	DT	a
gesture	NN	gesture
of	IN	of
support	NN	support
.	SENT	.
<p>
Article	NN	article
continues	VBZ	continue
below	IN	below
<p>
One	CD	one
close	NN	close
friend	NN	friend
said	VBD	say
:	:	:
"	``	"
She	PP	she
was	VBD	be
really	RB	really
looking	VBG	look
forward	RB	forward
to	TO	to
watching	VBG	watch
Spurs	NNS	spur
again	RB	again
today	NN	today
.	SENT	.
<p>
"	''	"
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
to	TO	to
the	DT	the
stadium	NN	stadium
and	CC	and
see	VB	see
all	PDT	all
the	DT	the
fans	NNS	fan
who	WP	who
supported	VBD	support
her	PP$	her
so	RB	so
much	JJ	much
during	IN	during
her	PP$	her
time	NN	time
in	IN	in
captivity	NN	captivity
.	SENT	.
"	''	"
<p>
She	PP	she
thanked	VBD	thank
fans	NNS	fan
for	IN	for
all	PDT	all
their	PP$	their
support	NN	support
while	IN	while
she	PP	she
was	VBD	be
being	VBG	be
kept	VBN	keep
captive	JJ	captive
(	(	(
Image	NN	image
:	:	:
Paul	NP	Paul
Martin	NP	Martin
MediaZones	NP	<unknown>
)	)	)
<p>
?	SENT	?
<p>
After	IN	after
being	VBG	be
released	VBN	release
Emily	NP	Emily
was	VBD	be
pictured	VBN	picture
smiling	VBG	smile
and	CC	and
holding	VBG	hold
a	DT	a
"	``	"
Come	VBN	come
on	IN	on
you	PP	you
Spurs	VBZ	spur
"	``	"
scarf	VB	scarf
aloft	RB	aloft
as	IN	as
she	PP	she
thanked	VBD	thank
fans	NNS	fan
for	IN	for
their	PP$	their
support	NN	support
.	SENT	.
<p>
Her	PP$	her
mum	NN	mum
,	,	,
Mandy	NP	Mandy
Damari	NP	Damari
,	,	,
63	CD	@card@
,	,	,
from	IN	from
Beckenham	NP	<unknown>
,	,	,
south	RB	south
east	JJ	east
London	NP	London
said	VBD	say
:	:	:
"	``	"
I	PP	I
told	VBD	tell
Emily	NP	Emily
about	IN	about
all	PDT	all
the	DT	the
Spurs	VBZ	spur
fans	NNS	fan
who	WP	who
released	VBD	release
yellow	JJ	yellow
balloons	NNS	balloon
and	CC	and
created	VBD	create
a	DT	a
"	``	"
She	NN	she
'	''	'
s	VBG	<unknown>
one	CD	one
of	IN	of
our	PP$	our
own	JJ	own
"	``	"
chant	NN	chant
for	IN	for
her	PP	her
.	SENT	.
<p>
"	``	"
She	PP	she
is	VBZ	be
so	RB	so
touched	VBN	touch
and	CC	and
we	PP	we
ca	MD	ca
n't	RB	n't
wait	VB	wait
to	TO	to
join	VB	join
you	PP	you
again	RB	again
for	IN	for
a	DT	a
match	NN	match
.	SENT	.
"	``	"
<p>
Article	NN	article
continues	VBZ	continue
below	IN	below
<p>
Previously	RB	previously
one	CD	one
of	IN	of
the	DT	the
activists	NNS	activist
who	WP	who
campaigned	VBD	campaign
on	IN	on
her	PP$	her
behalf	NN	behalf
Spurs	VBZ	spur
fan	NN	fan
Max	NP	Max
Radford	NP	Radford
,	,	,
said	VBD	say
:	:	:
"	``	"
Emily	NP	Emily
Damari	NP	Damari
wants	VBZ	want
to	TO	to
thank	VB	thank
Tottenham	NP	Tottenham
Hotspur	NN	hotspur
,	,	,
together	RB	together
with	IN	with
its	PP$	its
fans	NNS	fan
and	CC	and
players	NNS	player
,	,	,
for	IN	for
all	PDT	all
their	PP$	their
unwavering	VBG	unwaver
support	NN	support
during	IN	during
her	PP$	her
time	NN	time
being	VBG	be
held	VBN	hold
captive	NN	captive
in	IN	in
Gaza	NP	Gaza
.	SENT	.
"	``	"
She	PP	she
is	VBZ	be
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
regularly	RB	regularly
released	VBN	release
yellow	JJ	yellow
balloons	NNS	balloon
during	IN	during
the	DT	the
matches	NNS	match
and	CC	and
tied	VBN	tie
yellow	JJ	yellow
ribbons	NNS	ribbon
around	IN	around
the	DT	the
stadium	NN	stadium
and	CC	and
is	VBZ	be
so	RB	so
proud	JJ	proud
to	TO	to
be	VB	be
known	VBN	know
as	IN	as
'	''	'
one	CD	one
of	IN	of
our	PP$	our
own	JJ	own
.	SENT	.
"	''	"
<p>
At	IN	at
Reach	NP	Reach
and	CC	and
across	IN	across
our	PP$	our
entities	NNS	entity
we	PP	we
and	CC	and
our	PP$	our
partners	NNS	partner
use	VBP	use
information	NN	information
collected	VBN	collect
through	IN	through
cookies	NNS	cookie
and	CC	and
other	JJ	other
identifiers	NNS	identifier
from	IN	from
your	PP$	your
device	NN	device
to	TO	to
improve	VB	improve
experience	NN	experience
on	IN	on
our	PP$	our
site	NN	site
,	,	,
analyse	VBP	analyse
how	WRB	how
it	PP	it
is	VBZ	be
used	VBN	use
and	CC	and
to	TO	to
show	VB	show
personalised	VBN	personalise
advertising	NN	advertising
.	SENT	.
You	PP	you
can	MD	can
opt	VB	opt
out	RP	out
of	IN	of
the	DT	the
sale	NN	sale
or	CC	or
sharing	NN	sharing
of	IN	of
your	PP$	your
data	NNS	datum
,	,	,
at	IN	at
any	DT	any
time	NN	time
clicking	VBG	click
the	DT	the
"	``	"
Do	VBP	do
Not	RB	not
Sell	VB	sell
or	CC	or
Share	NN	share
my	PP$	my
Data	NNS	datum
"	''	"
button	NN	button
at	IN	at
the	DT	the
bottom	NN	bottom
of	IN	of
the	DT	the
webpage	NN	<unknown>
.	SENT	.
Please	VB	please
note	NN	note
that	IN	that
your	PP$	your
preferences	NNS	preference
are	VBP	be
browser	NN	browser
specific	JJ	specific
.	SENT	.
Use	NN	use
of	IN	of
our	PP$	our
website	NN	website
and	CC	and
any	DT	any
of	IN	of
our	PP$	our
services	NNS	service
represents	VBZ	represent
your	PP$	your
acceptance	NN	acceptance
of	IN	of
the	DT	the
use	NN	use
of	IN	of
cookies	NNS	cookie
and	CC	and
consent	NN	consent
to	TO	to
the	DT	the
practices	NNS	practice
described	VBN	describe
in	IN	in
our	PP$	our
Privacy	NN	privacy
Notice	NP	Notice
and	CC	and
Cookie	NP	Cookie
Notice	NP	Notice
.	SENT	.
