<p>
When	WRB	when
ago	RB	ago
.	SENT	.
<p>
I	PP	I
arrived	VBD	arrive
at	IN	at
Dartmouth	NP	Dartmouth
College	NP	College
in	IN	in
New	NP	New
Hampshire	NP	Hampshire
in	IN	in
the	DT	the
fall	NN	fall
of	IN	of
1987	CD	@card@
to	TO	to
study	VB	study
for	IN	for
my	PP$	my
undergraduate	JJ	undergraduate
degree	NN	degree
.	SENT	.
A	DT	a
year	NN	year
and	CC	and
a	DT	a
half	NN	half
earlier	RBR	earlier
,	,	,
an	DT	an
incident	NN	incident
had	VBD	have
taken	VBN	take
place	NN	place
at	IN	at
the	DT	the
college	NN	college
that	WDT	that
had	VBD	have
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
<p>
As	IN	as
the	DT	the
global	JJ	global
opposition	NN	opposition
to	TO	to
the	DT	the
apartheid	NN	apartheid
regime	NN	regime
in	IN	in
South	NP	South
Africa	NP	Africa
had	VBD	have
gathered	VBN	gather
pace	NN	pace
,	,	,
student	NN	student
activists	NNS	activist
at	IN	at
Dartmouth	NP	Dartmouth
had	VBD	have
constructed	VBN	construct
'	POS	'
shanties	NNS	shanty
'	''	'
on	IN	on
the	DT	the
main	JJ	main
college	NN	college
lawns	NNS	lawn
(	(	(
like	IN	like
today	NN	today
'	POS	'
s	NNS	<unknown>
'	POS	'
encampments	NNS	encampment
'	''	'
)	)	)
,	,	,
to	TO	to
draw	VB	draw
attention	NN	attention
to	TO	to
the	DT	the
living	VBG	live
conditions	NNS	condition
of	IN	of
black	JJ	black
South	JJ	South
Africans	NNS	African
under	IN	under
the	DT	the
brutal	JJ	brutal
white	JJ	white
regime	NN	regime
and	CC	and
to	TO	to
call	VB	call
for	IN	for
the	DT	the
college	NN	college
to	TO	to
divest	VB	divest
from	IN	from
all	DT	all
companies	NNS	company
doing	VBG	do
business	NN	business
in	IN	in
South	NP	South
Africa	NP	Africa
.	SENT	.
<p>
Obviously	RB	obviously
,	,	,
these	DT	these
ramshackle	JJ	ramshackle
shanties	NNS	shanty
with	IN	with
activists	NNS	activist
camped	VBD	camp
out	RP	out
in	IN	in
them	PP	them
were	VBD	be
an	DT	an
eyesore	NN	eyesore
for	IN	for
those	DT	those
used	VBN	use
to	TO	to
looking	VBG	look
at	IN	at
the	DT	the
pristine	JJ	pristine
beauty	NN	beauty
of	IN	of
the	DT	the
campus	NN	campus
.	SENT	.
But	CC	but
while	IN	while
the	DT	the
college	NN	college
administration	NN	administration
threatened	VBD	threaten
to	TO	to
remove	VB	remove
them	PP	them
,	,	,
it	PP	it
dithered	VBD	dither
on	IN	on
taking	VBG	take
action	NN	action
because	IN	because
using	VBG	use
force	NN	force
against	IN	against
peaceful	JJ	peaceful
protestors	NNS	protestor
would	MD	would
have	VB	have
also	RB	also
created	VBN	create
a	DT	a
PR	NP	PR
disaster	NN	disaster
.	SENT	.
<p>
Two	CD	two
months	NNS	month
after	IN	after
the	DT	the
shanties	NNS	shanty
were	VBD	be
established	VBN	establish
,	,	,
a	DT	a
group	NN	group
of	IN	of
right-wing	JJ	right-wing
students	NNS	student
attacked	VBD	attack
them	PP	them
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
the	DT	the
night	NN	night
--	:	--
on	IN	on
Martin	NP	Martin
Luther	NP	Luther
King	NP	King
Jr	NP	Jr
'	POS	'
s	NN	S
birthday	NN	birthday
,	,	,
no	RB	no
less	JJR	less
--	:	--
with	IN	with
sledgehammers	NNS	sledgehammer
.	SENT	.
<p>
The	DT	the
resulting	VBG	result
outcry	NN	outcry
against	IN	against
the	DT	the
vandalism	NN	vandalism
and	CC	and
violence	NN	violence
led	VBN	lead
to	TO	to
the	DT	the
faculty	NN	faculty
of	IN	of
the	DT	the
college	NN	college
shutting	VBG	shut
down	RP	down
classes	NNS	class
for	IN	for
a	DT	a
day	NN	day
to	TO	to
conduct	NN	conduct
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
briefly	NN	briefly
occupied	VBN	occupy
by	IN	by
protestors	NNS	protestor
and	CC	and
to	TO	to
the	DT	the
vandals	NNS	vandal
being	VBG	be
expelled	VBN	expel
or	CC	or
suspended	VBN	suspend
from	IN	from
college	NN	college
.	SENT	.
<p>
By	IN	by
the	DT	the
time	NN	time
I	PP	I
joined	VBD	join
the	DT	the
college	NN	college
,	,	,
the	DT	the
story	NN	story
of	IN	of
the	DT	the
shanties	NNS	shanty
had	VBD	have
become	VBN	become
part	NN	part
of	IN	of
the	DT	the
lore	NN	lore
of	IN	of
student	NN	student
activists	NNS	activist
but	CC	but
the	DT	the
movement	NN	movement
for	IN	for
full	JJ	full
divestment	NN	divestment
from	IN	from
South	NP	South
Africa	NP	Africa
continued	VBD	continue
to	TO	to
remain	VB	remain
strong	JJ	strong
.	SENT	.
The	DT	the
original	JJ	original
Dartmouth	NP	Dartmouth
Community	NP	Community
for	IN	for
Divestment	NN	divestment
had	VBD	have
strengthened	VBN	strengthen
alliances	NNS	alliance
with	IN	with
other	JJ	other
groups	NNS	group
on	IN	on
and	CC	and
off	IN	off
campus	NN	campus
--	:	--
including	VBG	include
one	PP	one
titled	VBD	title
the	DT	the
Committee	NP	Committee
on	IN	on
Palestinian	NP	Palestinian
Rights	NPS	Rights
--	:	--
to	TO	to
form	VB	form
the	DT	the
Upper	NP	Upper
Valley	NP	Valley
Committee	NP	Committee
for	IN	for
a	DT	a
Free	NP	Free
South	NP	South
Africa	NP	Africa
.	SENT	.
And	CC	and
acts	NNS	act
of	IN	of
protest	NN	protest
continued	VBN	continue
off	RP	off
and	CC	and
on	RP	on
.	SENT	.
<p>
It	PP	it
all	RB	all
came	VBD	come
to	TO	to
a	DT	a
head	NN	head
in	IN	in
November	NP	November
1989	CD	@card@
,	,	,
when	WRB	when
the	DT	the
administrative	JJ	administrative
Parkhurst	NP	Parkhurst
Hall	NP	Hall
was	VBD	be
once	RB	once
again	RB	again
occupied	VBN	occupy
by	IN	by
pro-divestment	NN	pro-divestment
protestors	NNS	protestor
and	CC	and
a	DT	a
group	NN	group
of	IN	of
us	PP	us
barged	VBD	barge
in	IN	in
on	IN	on
a	DT	a
trustee	NN	trustee
meeting	NN	meeting
.	SENT	.
The	DT	the
college	NN	college
trustees	NNS	trustee
,	,	,
who	WP	who
managed	VBD	manage
the	DT	the
college	NN	college
endowment	NN	endowment
and	CC	and
investments	NNS	investment
,	,	,
were	VBD	be
forced	VBN	force
to	TO	to
meet	VB	meet
with	IN	with
the	DT	the
protestors	NNS	protestor
and	CC	and
give	VB	give
a	DT	a
hearing	NN	hearing
to	TO	to
our	PP$	our
demands	NNS	demand
.	SENT	.
<p>
After	IN	after
a	DT	a
small	JJ	small
group	NN	group
of	IN	of
activists	NNS	activist
also	RB	also
disrupted	VBD	disrupt
another	DT	another
trustee	NN	trustee
cocktail	NN	cocktail
gathering	NN	gathering
,	,	,
the	DT	the
college	NN	college
finally	RB	finally
had	VBD	have
had	VBN	have
enough	JJ	enough
.	SENT	.
A	DT	a
day	NN	day
later	RBR	later
,	,	,
the	DT	the
college	NN	college
president	NN	president
announced	VBN	announce
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
South	NP	South
Africa	NP	Africa
.	SENT	.
<p>
What	WP	what
'	POS	'
s	NN	S
interesting	JJ	interesting
to	TO	to
note	VB	note
is	VBZ	be
that	IN	that
,	,	,
by	IN	by
this	DT	this
time	NN	time
,	,	,
only	RB	only
two	CD	two
percent	NN	percent
of	IN	of
Dartmouth	NP	Dartmouth
'	POS	'
s	NN	S
investments	NNS	investment
remained	VBD	remain
in	IN	in
companies	NNS	company
that	WDT	that
continued	VBD	continue
to	TO	to
operate	VB	operate
in	IN	in
South	NP	South
Africa	NP	Africa
.	SENT	.
Yet	RB	yet
the	DT	the
college	NN	college
found	VBD	find
it	PP	it
simpler	JJR	simple
to	TO	to
divest	VB	divest
totally	RB	totally
than	IN	than
to	TO	to
deal	VB	deal
with	IN	with
the	DT	the
bad	JJ	bad
press	NN	press
the	DT	the
protests	NNS	protest
continued	VBD	continue
to	TO	to
bring	VB	bring
to	TO	to
it	PP	it
.	SENT	.
Similar	JJ	similar
protests	NNS	protest
were	VBD	be
happening	VBG	happen
on	IN	on
many	JJ	many
other	JJ	other
campuses	NNS	campus
around	IN	around
the	DT	the
US	NP	US
as	RB	as
well	RB	well
.	SENT	.
<p>
A	DT	a
few	JJ	few
months	NNS	month
later	RBR	later
,	,	,
Nelson	NP	Nelson
Mandela	NP	Mandela
had	VBD	have
been	VBN	be
freed	VBN	free
from	IN	from
jail	NN	jail
in	IN	in
South	NP	South
Africa	NP	Africa
after	IN	after
27	CD	@card@
years	NNS	year
in	IN	in
captivity	NN	captivity
.	SENT	.
A	DT	a
year	NN	year
after	IN	after
that	DT	that
,	,	,
apartheid	NN	apartheid
South	NP	South
Africa	NP	Africa
was	VBD	be
no	RB	no
more	JJR	more
.	SENT	.
<p>
I	PP	I
recall	VBP	recall
all	PDT	all
this	DT	this
history	NN	history
for	IN	for
two	CD	two
reasons	NNS	reason
.	SENT	.
One	CD	one
,	,	,
it	PP	it
is	VBZ	be
important	JJ	important
to	TO	to
not	RB	not
underestimate	VB	underestimate
the	DT	the
power	NN	power
of	IN	of
collective	JJ	collective
action	NN	action
.	SENT	.
Obviously	RB	obviously
,	,	,
there	EX	there
were	VBD	be
plenty	NN	plenty
of	IN	of
other	JJ	other
factors	NNS	factor
influencing	VBG	influence
South	NP	South
Africa	NP	Africa
'	POS	'
s	NN	S
trajectory	NN	trajectory
,	,	,
especially	RB	especially
the	DT	the
resistance	NN	resistance
movement	NN	movement
within	IN	within
,	,	,
and	CC	and
the	DT	the
apartheid	NN	apartheid
regime	NN	regime
stood	VBD	stand
isolated	VBN	isolate
in	IN	in
most	JJS	most
of	IN	of
the	DT	the
world	NN	world
from	IN	from
an	DT	an
ongoing	JJ	ongoing
cultural	JJ	cultural
and	CC	and
state	NN	state
boycott	NN	boycott
.	SENT	.
<p>
But	CC	but
every	DT	every
little	JJ	little
bit	NN	bit
of	IN	of
action	NN	action
--	:	--
even	RB	even
in	IN	in
privileged	JJ	privileged
US	NP	US
colleges	NNS	college
thousands	NNS	thousand
of	IN	of
miles	NNS	mile
away	RB	away
from	IN	from
the	DT	the
reality	NN	reality
of	IN	of
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
dismantling	VBG	dismantle
of	IN	of
apartheid	NN	apartheid
.	SENT	.
Eventually	RB	eventually
,	,	,
it	PP	it
became	VBD	become
just	RB	just
too	RB	too
costly	JJ	costly
in	IN	in
perceptual	JJ	perceptual
terms	NNS	term
for	IN	for
multinational	JJ	multinational
companies	NNS	company
and	CC	and
states	NNS	state
(	(	(
such	JJ	such
as	IN	as
the	DT	the
US	NP	US
)	)	)
to	TO	to
continue	VB	continue
to	TO	to
do	VB	do
business	NN	business
as	IN	as
normal	JJ	normal
with	IN	with
the	DT	the
apartheid	NN	apartheid
regime	NN	regime
.	SENT	.
<p>
Two	CD	two
,	,	,
for	IN	for
young	JJ	young
student	NN	student
activists	NNS	activist
currently	RB	currently
involved	VBN	involve
in	IN	in
the	DT	the
global	JJ	global
protests	NNS	protest
against	IN	against
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
genocidal	JJ	genocidal
and	CC	and
apartheid	NN	apartheid
regime	NN	regime
,	,	,
it	PP	it
is	VBZ	be
important	JJ	important
to	TO	to
keep	VB	keep
chipping	VBG	chip
away	RB	away
at	IN	at
it	PP	it
.	SENT	.
There	EX	there
will	MD	will
inevitably	RB	inevitably
be	VB	be
setbacks	NNS	setback
and	CC	and
change	NN	change
may	MD	may
not	RB	not
come	VB	come
immediately	RB	immediately
,	,	,
but	CC	but
eventually	RB	eventually
critical	JJ	critical
mass	NN	mass
will	MD	will
be	VB	be
reached	VBN	reach
.	SENT	.
Despite	IN	despite
the	DT	the
pressures	NNS	pressure
(	(	(
from	IN	from
institutions	NNS	institution
wielding	VBG	wield
power	NN	power
)	)	)
,	,	,
despite	IN	despite
the	DT	the
mischaracterisations	NNS	mischaracterisation
of	IN	of
the	DT	the
movement	NN	movement
(	(	(
by	IN	by
the	DT	the
media	NNS	medium
and	CC	and
vested	JJ	vested
politicians	NNS	politician
)	)	)
,	,	,
and	CC	and
despite	IN	despite
the	DT	the
reactionary	JJ	reactionary
resistance	NN	resistance
to	TO	to
change	VB	change
(	(	(
from	IN	from
those	DT	those
who	WP	who
stand	VBP	stand
to	TO	to
lose	VB	lose
)	)	)
,	,	,
the	DT	the
real	JJ	real
power	NN	power
of	IN	of
moral	JJ	moral
clarity	NN	clarity
remains	VBZ	remain
with	IN	with
those	DT	those
refusing	NN	refusing
to	TO	to
accept	VB	accept
a	DT	a
genocide	NN	genocide
.	SENT	.
<p>
It	PP	it
'	POS	'
s	NN	S
also	RB	also
instructive	JJ	instructive
to	TO	to
remember	VB	remember
that	IN	that
Nelson	NP	Nelson
Mandela	NP	Mandela
--	:	--
and	CC	and
his	PP$	his
African	JJ	African
National	NP	National
Congress	NP	Congress
--	:	--
was	VBD	be
labelled	VBN	label
a	DT	a
'	''	'
terrorist	NN	terrorist
'	''	'
for	IN	for
the	DT	the
longest	JJS	long
time	NN	time
by	IN	by
precisely	RB	precisely
those	DT	those
complicit	JJ	complicit
Western	JJ	Western
powers	NNS	power
that	WDT	that
now	RB	now
refer	VBP	refer
to	TO	to
him	PP	him
as	IN	as
a	DT	a
saint	NN	saint
.	SENT	.
And	CC	and
that	IN	that
he	PP	he
never	RB	never
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
the	DT	the
liberation	NN	liberation
of	IN	of
Palestine	NP	Palestine
.	SENT	.
Israel	NP	Israel
was	VBD	be
a	DT	a
big	JJ	big
supporter	NN	supporter
of	IN	of
the	DT	the
white	JJ	white
apartheid	NN	apartheid
regime	NN	regime
.	SENT	.
<p>
Ironically	RB	ironically
,	,	,
the	DT	the
thing	NN	thing
that	IN	that
Zionists	NNS	Zionist
have	VBP	have
always	RB	always
hated	VBN	hate
the	DT	the
most	JJS	most
is	VBZ	be
a	DT	a
comparison	NN	comparison
between	IN	between
Israel	NP	Israel
and	CC	and
apartheid	NN	apartheid
South	NP	South
Africa	NP	Africa
.	SENT	.
With	IN	with
their	PP$	their
brutality	NN	brutality
in	IN	in
Gaza	NP	Gaza
and	CC	and
the	DT	the
rest	NN	rest
of	IN	of
Palestine	NP	Palestine
,	,	,
they	PP	they
have	VBP	have
now	RB	now
successfully	RB	successfully
ensured	VBN	ensure
that	IN	that
no	DT	no
one	CD	one
can	MD	can
ignore	VB	ignore
this	DT	this
comparison	NN	comparison
without	IN	without
being	VBG	be
on	IN	on
the	DT	the
wrong	JJ	wrong
side	NN	side
of	IN	of
history	NN	history
.	SENT	.
<p>
The	DT	the
writer	NN	writer
is	VBZ	be
a	DT	a
journalist	NN	journalist
and	CC	and
filmmaker	NP	filmmaker
and	CC	and
Dawn	NP	Dawn
'	POS	'
s	JJ	<unknown>
Editor	NN	editor
Magazines	NNS	magazine
.	SENT	.
X	SYM	x
:	:	:
@hyzaidi	NN	<unknown>
