<h>
Follow	VB	follow
do	VB	do
so	RB	so
through	IN	through
other	JJ	other
aid	NN	aid
agencies	NNS	agency
.	SENT	.
<p>
In	IN	in
a	DT	a
statement	NN	statement
Friday	NP	Friday
,	,	,
UNRWA	NP	<unknown>
chief	JJ	chief
Philippe	NP	Philippe
Lazzarini	NP	<unknown>
called	VBD	call
the	DT	the
decision	NN	decision
"	``	"
disappointing	JJ	disappointing
"	''	"
and	CC	and
said	VBD	say
it	PP	it
comes	VBZ	come
at	IN	at
the	DT	the
worst	JJS	bad
time	NN	time
for	IN	for
Palestine	NP	Palestine
refugees	NNS	refugee
.	SENT	.
The	DT	the
agency	NN	agency
chief	NN	chief
said	VBD	say
it	PP	it
will	MD	will
double	VB	double
the	DT	the
suffering	NN	suffering
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
have	VBP	have
"	``	"
endured	VBN	endure
over	IN	over
the	DT	the
past	JJ	past
14	CD	@card@
months	NNS	month
since	IN	since
the	DT	the
horrendous	JJ	horrendous
Hamas	JJ	<unknown>
attack	NN	attack
on	IN	on
7	CD	@card@
October	NP	October
and	CC	and
the	DT	the
ongoing	JJ	ongoing
war	NN	war
.	SENT	.
"	''	"
<p>
Lazzerini	NP	<unknown>
said	VBD	say
he	PP	he
hopes	VBZ	hope
Sweden	NP	Sweden
reconsiders	VBZ	reconsider
its	PP$	its
decision	NN	decision
.	SENT	.
<p>
The	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
was	VBD	be
triggered	VBN	trigger
by	IN	by
the	DT	the
Oct.	NP	Oct.
7	CD	@card@
,	,	,
2023	CD	@card@
,	,	,
Hamas	JJ	<unknown>
terror	NN	terror
attack	NN	attack
on	IN	on
Israel	NP	Israel
that	WDT	that
killed	VBD	kill
about	RB	about
1,200	CD	@card@
people	NNS	people
and	CC	and
led	VBN	lead
to	TO	to
the	DT	the
capture	NN	capture
of	IN	of
250	CD	@card@
hostages	NNS	hostage
.	SENT	.
<p>
Gaza	NP	Gaza
health	NN	health
officials	NNS	official
say	VBP	say
Israel	NP	Israel
'	POS	'
s	NN	S
counteroffensive	NN	counteroffensive
has	VBZ	have
killed	VBN	kill
at	IN	at
least	JJS	least
45,000	CD	@card@
Palestinians	NNS	Palestinian
,	,	,
more	JJR	more
than	IN	than
half	NN	half
of	IN	of
them	PP	them
women	NNS	woman
and	CC	and
children	NNS	child
,	,	,
while	IN	while
Israel	NP	Israel
says	VBZ	say
the	DT	the
death	NN	death
toll	NN	toll
includes	VBZ	include
thousands	NNS	thousand
of	IN	of
Hamas	JJ	<unknown>
combatants	NNS	combatant
.	SENT	.
<p>
Hamas	NP	<unknown>
has	VBZ	have
been	VBN	be
designated	VBN	designate
as	IN	as
a	DT	a
terror	NN	terror
group	NN	group
by	IN	by
the	DT	the
United	NP	United
States	NPS	States
,	,	,
Britain	NP	Britain
,	,	,
the	DT	the
European	NP	European
Union	NP	Union
and	CC	and
others	NNS	other
.	SENT	.
<p>
VOA	NP	VOA
'	POS	'
s	JJ	<unknown>
United	NP	United
Nations	NPS	Nations
correspondent	NN	correspondent
Margaret	NP	Margaret
Besheer	NP	<unknown>
contributed	VBD	contribute
to	TO	to
this	DT	this
report	NN	report
,	,	,
and	CC	and
some	DT	some
information	NN	information
was	VBD	be
provided	VBN	provide
by	IN	by
The	DT	the
Associated	NP	Associated
Press	NP	Press
,	,	,
Agence	NP	Agence
France-Presse	NP	France-Presse
and	CC	and
Reuters	NP	Reuters
.	SENT	.
<p>
The	DT	the
Voice	NP	Voice
of	IN	of
America	NP	America
provides	VBZ	provide
news	NN	news
and	CC	and
information	NN	information
in	IN	in
more	JJR	more
than	IN	than
40	CD	@card@
languages	NNS	language
to	TO	to
an	DT	an
estimated	JJ	estimated
weekly	JJ	weekly
audience	NN	audience
of	IN	of
over	IN	over
326	CD	@card@
million	CD	million
people	NNS	people
.	SENT	.
Stories	NNS	story
with	IN	with
the	DT	the
VOA	NP	VOA
News	NP	News
byline	NN	byline
are	VBP	be
the	DT	the
work	NN	work
of	IN	of
multiple	JJ	multiple
VOA	NP	VOA
journalists	NNS	journalist
and	CC	and
may	MD	may
contain	VB	contain
information	NN	information
from	IN	from
wire	NN	wire
service	NN	service
reports	NNS	report
.	SENT	.
