<p>
Bloodthirsty	JJ	bloodthirsty
A	DT	a
few	JJ	few
days	NNS	day
earlier	RBR	earlier
,	,	,
officials	NNS	official
in	IN	in
Dubai	NP	Dubai
intercepted	VBD	intercept
1.5	CD	@card@
tons	NNS	ton
of	IN	of
Captagon	NP	<unknown>
pills	NNS	pill
,	,	,
worth	JJ	worth
about	IN	about
$380	NP	<unknown>
million	CD	million
,	,	,
concealed	VBN	conceal
inside	IN	inside
a	DT	a
shipment	NN	shipment
of	IN	of
lemons	NNS	lemon
,	,	,
the	DT	the
paper	NN	paper
added	VBD	add
.	SENT	.
