<h>
Some	DT	some
marched	VBD	march
for	IN	for
Palestine	NP	Palestine
,	,	,
holding	VBG	hold
anti-Zionist	JJ	anti-Zionist
signs	NNS	sign
that	WDT	that
read	VBP	read
"	``	"
Judaism	NP	Judaism
condemns	VBZ	condemn
the	DT	the
state	NN	state
of	IN	of
'	''	'
Israel	NP	Israel
'	POS	'
and	CC	and
its	PP$	its
atrocities	NNS	atrocity
"	''	"
and	CC	and
"	``	"
Torah	NP	Torah
demands	VBZ	demand
all	DT	all
Palestine	NP	Palestine
be	VB	be
returned	VBN	return
to	TO	to
Palestinian	JJ	Palestinian
sovereignty	NN	sovereignty
.	SENT	.
"	''	"
<p>
Pro-Palestinian	JJ	Pro-Palestinian
protestors	NNS	protestor
march	VBP	march
along	IN	along
the	DT	the
street	NN	street
toward	IN	toward
Union	NP	Union
Square	NP	Square
,	,	,
New	NP	New
York	NP	York
,	,	,
NY	NP	NY
on	IN	on
Saturday	NP	Saturday
,	,	,
October	NP	October
28	CD	@card@
,	,	,
2023	CD	@card@
.	SENT	.
The	DT	the
rally	NN	rally
,	,	,
which	WDT	which
began	VBD	begin
in	IN	in
Brooklyn	NP	Brooklyn
today	NN	today
,	,	,
is	VBZ	be
in	IN	in
response	NN	response
to	TO	to
the	DT	the
war	NN	war
in	IN	in
Israel	NP	Israel
.	SENT	.
(	(	(
Stephen	NP	Stephen
Yang	NP	Yang
for	IN	for
Fox	NP	Fox
News	NP	News
Digital	NP	Digital
)	)	)
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
the	DT	the
Big	NP	Big
Apple	NP	Apple
this	DT	this
month	NN	month
.	SENT	.
One	PP	one
that	RB	that
took	VBD	take
place	NN	place
in	IN	in
Times	NP	Times
Square	NP	Square
on	IN	on
Oct.	NP	Oct.
9	CD	@card@
blamed	VBD	blame
Israel	NP	Israel
for	IN	for
the	DT	the
Hamas	JJ	<unknown>
terrorist	JJ	terrorist
attacks	NNS	attack
against	IN	against
its	PP$	its
citizens	NNS	citizen
,	,	,
while	IN	while
another	DT	another
saw	NN	saw
protesters	NNS	protester
temporarily	RB	temporarily
shut	VBD	shut
down	RP	down
Grand	NP	Grand
Central	NP	Central
Terminal	NN	terminal
in	IN	in
Midtown	JJ	midtown
Manhattan	NP	Manhattan
on	IN	on
Friday	NP	Friday
.	SENT	.
<p>
"	``	"
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
liberate	VB	liberate
Palestine	NP	Palestine
,	,	,
"	''	"
one	CD	one
demonstrator	NN	demonstrator
told	VBD	tell
a	DT	a
pro-Israel	NP	pro-Israel
crowd	NN	crowd
at	IN	at
the	DT	the
time	NN	time
.	SENT	.
"	``	"
We	PP	we
already	RB	already
liberated	VBD	liberate
parts	NNS	part
of	IN	of
it	PP	it
already	RB	already
.	SENT	.
So	RB	so
get	VB	get
ready	JJ	ready
to	TO	to
get	VB	get
barbecued	VBN	barbecue
.	SENT	.
"	''	"
<p>
Pro-Palestinian	JJ	Pro-Palestinian
demonstrators	NNS	demonstrator
climb	NN	climb
onto	IN	onto
a	DT	a
statue	NN	statue
of	IN	of
George	NP	George
Washington	NP	Washington
in	IN	in
Union	NP	Union
Square	NP	Square
,	,	,
New	NP	New
York	NP	York
,	,	,
NY	NP	NY
on	IN	on
Saturday	NP	Saturday
,	,	,
October	NP	October
28	CD	@card@
,	,	,
2023	CD	@card@
.	SENT	.
(	(	(
Stephen	NP	Stephen
Yang	NP	Yang
for	IN	for
Fox	NP	Fox
News	NP	News
Digital	NP	Digital
)	)	)
<p>
The	DT	the
latest	JJS	late
protests	NNS	protest
came	VBD	come
as	IN	as
the	DT	the
war	NN	war
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	<unknown>
continues	VBZ	continue
to	TO	to
escalate	VB	escalate
.	SENT	.
On	IN	on
Saturday	NP	Saturday
,	,	,
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
announced	VBD	announce
that	IN	that
Israel	NP	Israel
Defense	NP	Defense
Forces	NPS	Forces
(	(	(
IDF	NP	IDF
)	)	)
will	MD	will
expand	VB	expand
its	PP$	its
ground	NN	ground
operations	NNS	operation
into	IN	into
Gaza	NP	Gaza
.	SENT	.
<p>
"	``	"
This	DT	this
is	VBZ	be
our	PP$	our
second	JJ	second
independence	NN	independence
war	NN	war
,	,	,
"	''	"
the	DT	the
Israeli	JJ	Israeli
leader	NN	leader
said	VBD	say
during	IN	during
a	DT	a
presser	NN	presser
.	SENT	.
"	``	"
We	PP	we
will	MD	will
fight	VB	fight
on	IN	on
the	DT	the
land	NN	land
,	,	,
air	NN	air
and	CC	and
from	IN	from
the	DT	the
sea	NN	sea
.	SENT	.
We	PP	we
will	MD	will
fight	VB	fight
on	RB	on
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
,	,	,
we	PP	we
stand	VBP	stand
together	RB	together
--	:	--
this	DT	this
is	VBZ	be
the	DT	the
fight	NN	fight
of	IN	of
our	PP$	our
life	NN	life
.	SENT	.
"	''	"
<p>
Pro-Palestinian	JJ	Pro-Palestinian
protestors	NNS	protestor
march	VBP	march
along	IN	along
the	DT	the
street	NN	street
in	IN	in
Union	NP	Union
Square	NP	Square
,	,	,
New	NP	New
York	NP	York
,	,	,
NY	NP	NY
on	IN	on
Saturday	NP	Saturday
,	,	,
October	NP	October
28	CD	@card@
,	,	,
2023	CD	@card@
.	SENT	.
(	(	(
Stephen	NP	Stephen
Yang	NP	Yang
for	IN	for
Fox	NP	Fox
News	NP	News
Digital	NP	Digital
)	)	)
<p>
Fox	NP	Fox
News	NP	News
Digital	NP	Digital
reached	VBD	reach
out	RP	out
to	TO	to
the	DT	the
NYPD	NN	<unknown>
for	IN	for
more	JJR	more
information	NN	information
,	,	,
but	CC	but
has	VBZ	have
