<p>
During	IN	during
Sir	NP	Sir
Keir	NP	Keir
Starmer	NP	Starmer
,	,	,
who	WP	who
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
cold	JJ	cold
blood	NN	blood
,	,	,
was	VBD	be
'	POS	'
terrorism	NN	terrorism
by	IN	by
Hamas	NP	<unknown>
that	WDT	that
needs	VBZ	need
to	TO	to
be	VB	be
called	VBN	call
out	RP	out
as	RB	as
such	JJ	such
'	''	'
.	SENT	.
<p>
The	DT	the
BBC	NP	BBC
has	VBZ	have
defended	VBN	defend
its	PP$	its
decision	NN	decision
to	TO	to
not	RB	not
brand	VB	brand
Hamas	NP	<unknown>
a	DT	a
terrorist	JJ	terrorist
organisation	NN	organisation
(	(	(
Picture	NP	Picture
:	:	:
EPA	NP	EPA
)	)	)
<p>
In	IN	in
a	DT	a
statement	NN	statement
the	DT	the
BBC	NP	BBC
board	NN	board
later	RBR	later
defended	VBD	defend
its	PP$	its
wording	NN	wording
,	,	,
saying	VBG	say
the	DT	the
organisation	NN	organisation
had	VBD	have
'	POS	'
given	VBN	give
careful	JJ	careful
consideration	NN	consideration
'	''	'
to	TO	to
all	DT	all
aspects	NNS	aspect
of	IN	of
reporting	NN	reporting
,	,	,
including	VBG	include
its	PP$	its
language	NN	language
.	SENT	.
<p>
'	''	'
The	DT	the
BBC	NP	BBC
is	VBZ	be
editorially	RB	editorially
independent	JJ	independent
;	:	;
our	PP$	our
role	NN	role
is	VBZ	be
to	TO	to
explain	VB	explain
precisely	RB	precisely
what	WP	what
is	VBZ	be
happening	VBG	happen
so	RB	so
that	IN	that
the	DT	the
public	NN	public
can	MD	can
make	VB	make
their	PP$	their
own	JJ	own
judgements	NNS	judgement
.	SENT	.
Our	PP$	our
longstanding	JJ	longstanding
position	NN	position
,	,	,
including	VBG	include
during	IN	during
previous	JJ	previous
conflicts	NNS	conflict
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	<unknown>
in	IN	in
Gaza	NP	Gaza
,	,	,
has	VBZ	have
been	VBN	be
that	IN	that
we	PP	we
do	VBP	do
not	RB	not
use	VB	use
the	DT	the
term	NN	term
"	``	"
terrorist	JJ	terrorist
"	''	"
without	IN	without
attribution	NN	attribution
,	,	,
in	IN	in
line	NN	line
with	IN	with
the	DT	the
BBC	NP	BBC
'	POS	'
s	JJ	<unknown>
Editorial	NN	editorial
Guidelines	NNS	guideline
,	,	,
'	''	'
they	PP	they
wrote	VBD	write
.	SENT	.
<p>
In	IN	in
the	DT	the
BBC	NP	BBC
guidelines	NNS	guideline
,	,	,
it	PP	it
states	VBZ	state
reporting	VBG	report
of	IN	of
possible	JJ	possible
acts	NNS	act
of	IN	of
terror	NN	terror
'	''	'
should	MD	should
be	VB	be
timely	JJ	timely
and	CC	and
responsible	JJ	responsible
,	,	,
bearing	VBG	bear
in	IN	in
mind	NN	mind
our	PP$	our
requirement	NN	requirement
for	IN	for
due	JJ	due
accuracy	NN	accuracy
and	CC	and
impartiality	NN	impartiality
'	POS	'
.	SENT	.
<p>
It	PP	it
also	RB	also
states	VBZ	state
the	DT	the
word	NN	word
terrorist	NN	terrorist
can	MD	can
itself	PP	itself
'	''	'
be	VB	be
a	DT	a
barrier	NN	barrier
rather	RB	rather
than	IN	than
an	DT	an
aid	NN	aid
to	TO	to
understanding	NN	understanding
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
<p>
Got	VBD	get
a	DT	a
story	NN	story
?	SENT	?
<p>
If	IN	if
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
a	DT	a
celebrity	NN	celebrity
story	NN	story
,	,	,
video	NN	video
or	CC	or
pictures	NNS	picture
get	VBP	get
in	IN	in
touch	NN	touch
with	IN	with
the	DT	the
Metro.co.uk	NP	<unknown>
entertainment	NN	entertainment
team	NN	team
by	IN	by
emailing	VBG	email
us	PP	us
celebtips@metro.co.uk	NN	<unknown>
,	,	,
calling	VBG	call
020	CD	@card@
3615	CD	@card@
2145	CD	@card@
or	CC	or
by	IN	by
visiting	VBG	visit
our	PP$	our
Submit	VB	submit
Stuff	NN	stuff
page	NN	page
--	:	--
we	PP	we
'	POS	'
d	NN	d
love	NN	love
to	TO	to
hear	VB	hear
from	IN	from
you	PP	you
.	SENT	.
