<h>
US	PP	us
moment	NN	moment
of	IN	of
silence	NN	silence
.	SENT	.
<p>
"	''	"
On	IN	on
behalf	NN	behalf
of	IN	of
the	DT	the
IOC	NP	IOC
member	NN	member
states	NNS	state
,	,	,
we	PP	we
express	VBP	express
our	PP$	our
deep	JJ	deep
concerns	NNS	concern
over	IN	over
the	DT	the
loss	NN	loss
of	IN	of
innocent	JJ	innocent
lives	NNS	life
in	IN	in
the	DT	the
occupied	JJ	occupied
Palestinian	JJ	Palestinian
territory	NN	territory
and	CC	and
elsewhere	RB	elsewhere
,	,	,
"	''	"
Mehdi	NP	Mehdi
said	VBD	say
.	SENT	.
"	''	"
Regrettably	RB	regrettably
,	,	,
this	DT	this
huge	JJ	huge
loss	NN	loss
of	IN	of
lives	NNS	life
and	CC	and
unabated	JJ	unabated
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
of	IN	of
illegal	JJ	illegal
foreign	JJ	foreign
occupation	NN	occupation
,	,	,
aggression	NN	aggression
and	CC	and
disrespect	NN	disrespect
for	IN	for
the	DT	the
international	JJ	international
law	NN	law
,	,	,
including	VBG	include
UNESCO	NP	UNESCO
resolutions	NNS	resolution
.	SENT	.
"	''	"
<p>
He	PP	he
went	VBD	go
on	RP	on
to	TO	to
say	VB	say
the	DT	the
16	CD	@card@
years	NNS	year
of	IN	of
what	WP	what
he	PP	he
termed	VBD	term
illegal	JJ	illegal
blockage	NN	blockage
of	IN	of
Gaza	NP	Gaza
continued	VBD	continue
to	TO	to
raise	VB	raise
questions	NNS	question
over	IN	over
the	DT	the
applicability	NN	applicability
of	IN	of
international	JJ	international
law	NN	law
and	CC	and
fundamental	JJ	fundamental
freedoms	NNS	freedom
of	IN	of
the	DT	the
innocent	JJ	innocent
civilian	JJ	civilian
population	NN	population
.	SENT	.
As	IN	as
a	DT	a
result	NN	result
,	,	,
efforts	NNS	effort
to	TO	to
normalize	VB	normalize
the	DT	the
area	NN	area
is	VBZ	be
"	``	"
breeding	VBG	breed
violence	NN	violence
,	,	,
"	''	"
Mehdi	NP	Mehdi
said	VBD	say
.	SENT	.
<p>
"	''	"
In	IN	in
this	DT	this
context	NN	context
,	,	,
the	DT	the
so-called	JJ	so-called
declaration	NN	declaration
of	IN	of
war	NN	war
and	CC	and
attacks	NNS	attack
on	IN	on
civilian	JJ	civilian
population	NN	population
and	CC	and
their	PP$	their
properties	NNS	property
is	VBZ	be
deeply	RB	deeply
distressing	JJ	distressing
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
"	``	"
We	PP	we
remain	VBP	remain
concerned	VBN	concern
about	IN	about
the	DT	the
human	JJ	human
cost	NN	cost
of	IN	of
the	DT	the
escalating	VBG	escalate
situation	NN	situation
.	SENT	.
"	''	"
<p>
Ambassador	NP	Ambassador
Zaman	NP	Zaman
Mehdi	NP	Mehdi
called	VBD	call
for	IN	for
a	DT	a
moment	NN	moment
of	IN	of
silence	NN	silence
for	IN	for
the	DT	the
Palestinians	NPS	Palestinians
who	WP	who
died	VBD	die
from	IN	from
Israeli	JJ	Israeli
attacks	NNS	attack
,	,	,
omitting	VBG	omit
those	DT	those
who	WP	who
died	VBD	die
in	IN	in
Israel	NP	Israel
when	WRB	when
Hamas	NP	<unknown>
attacked	VBD	attack
.	SENT	.
(	(	(
UN	NP	UN
Human	NP	Human
Rights	NPS	Rights
Council	NP	Council
X	NP	X
Post	NP	Post
)	)	)
<p>
A	DT	a
video	NN	video
of	IN	of
the	DT	the
moment	NN	moment
of	IN	of
silence	NN	silence
showed	VBD	show
all	DT	all
members	NNS	member
of	IN	of
the	DT	the
Human	NP	Human
Rights	NPS	Rights
Council	NP	Council
standing	NN	standing
,	,	,
despite	IN	despite
omitting	VBG	omit
the	DT	the
innocent	JJ	innocent
lives	NNS	life
of	IN	of
those	DT	those
lost	VBN	lose
in	IN	in
Israel	NP	Israel
.	SENT	.
<p>
U.S.	NP	U.S.
Permanent	JJ	permanent
Representative	NP	Representative
to	TO	to
the	DT	the
Human	NP	Human
Rights	NPS	Rights
Council	NP	Council
Mich	NP	Mich
?	SENT	?
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
,	,	,
asking	VBG	ask
to	TO	to
commemorate	VB	commemorate
the	DT	the
lives	NNS	life
of	IN	of
people	NNS	people
killed	VBN	kill
in	IN	in
the	DT	the
Hamas	JJ	<unknown>
attack	NN	attack
on	IN	on
Israel	NP	Israel
.	SENT	.
<p>
Taylor	NP	Taylor
said	VBD	say
,	,	,
with	IN	with
a	DT	a
"	``	"
heavy	JJ	heavy
heart	NN	heart
,	,	,
"	''	"
that	IN	that
the	DT	the
calamity	NN	calamity
on	IN	on
Oct.	NP	Oct.
7	CD	@card@
,	,	,
2023	CD	@card@
,	,	,
and	CC	and
the	DT	the
days	NNS	day
since	IN	since
resulted	VBN	result
in	IN	in
the	DT	the
deaths	NNS	death
of	IN	of
"	``	"
hundreds	NNS	hundred
and	CC	and
hundreds	NNS	hundred
of	IN	of
innocent	JJ	innocent
civilian	JJ	civilian
lives	NNS	life
lost	VBD	lose
,	,	,
"	``	"
and	CC	and
the	DT	the
count	NN	count
continues	VBZ	continue
to	TO	to
go	VB	go
up	RP	up
.	SENT	.
<p>
She	PP	she
also	RB	also
said	VBD	say
thousands	NNS	thousand
were	VBD	be
injured	VBN	injure
and	CC	and
more	JJR	more
than	IN	than
a	DT	a
hundred	CD	hundred
men	NNS	man
,	,	,
women	NNS	woman
,	,	,
children	NNS	child
,	,	,
people	NNS	people
with	IN	with
disabilities	NNS	disability
and	CC	and
elderly	JJ	elderly
individuals	NNS	individual
were	VBD	be
kidnapped	VBN	kidnap
.	SENT	.
<p>
"	``	"
The	DT	the
United	NP	United
States	NP	States
unequivocally	RB	unequivocally
condemns	VBZ	condemn
these	DT	these
heinous	JJ	heinous
acts	NNS	act
of	IN	of
terrorism	NN	terrorism
.	SENT	.
We	PP	we
extend	VBP	extend
our	PP$	our
deepest	JJS	deep
condolences	NNS	condolence
to	TO	to
the	DT	the
families	NNS	family
affected	VBN	affect
and	CC	and
express	VB	express
our	PP$	our
solidarity	NN	solidarity
with	IN	with
the	DT	the
people	NNS	people
and	CC	and
government	NN	government
of	IN	of
Israel	NP	Israel
in	IN	in
these	DT	these
trying	VBG	try
times	NNS	time
,	,	,
"	''	"
Taylor	NP	Taylor
said	VBD	say
before	IN	before
requesting	VBG	request
a	DT	a
moment	NN	moment
of	IN	of
silence	NN	silence
from	IN	from
the	DT	the
council	NN	council
.	SENT	.
"	``	"
As	IN	as
we	PP	we
stand	VBP	stand
in	IN	in
silence	NN	silence
,	,	,
let	VB	let
us	PP	us
reaffirm	VB	reaffirm
our	PP$	our
collective	JJ	collective
commitment	NN	commitment
to	TO	to
promoting	VBG	promote
peace	NN	peace
,	,	,
justice	NN	justice
,	,	,
and	CC	and
human	JJ	human
rights	NNS	right
across	IN	across
the	DT	the
globe	NN	globe
,	,	,
and	CC	and
let	VB	let
our	PP$	our
silence	NN	silence
resound	VB	resound
as	IN	as
a	DT	a
united	VBN	unite
stand	NN	stand
against	IN	against
terrorism	NN	terrorism
and	CC	and
violence	NN	violence
.	SENT	.
"	``	"
