<p>
Among	IN	among
citizenship	NN	citizenship
--	:	--
are	VBP	be
missing	VBG	miss
and	CC	and
"	``	"
have	VBP	have
probably	RB	probably
been	VBN	be
taken	VBN	take
hostage	NN	hostage
,	,	,
"	''	"
although	IN	although
authorities	NNS	authority
are	VBP	be
"	``	"
not	RB	not
certain	JJ	certain
,	,	,
"	''	"
Italian	NP	Italian
Foreign	NP	Foreign
Minister	NP	Minister
Antonio	NP	Antonio
Tajani	NP	Tajani
said	VBD	say
Tuesday	NP	Tuesday
,	,	,
according	VBG	accord
to	TO	to
the	DT	the
public	JJ	public
news	NN	news
agency	NN	agency
ANSA	NP	ANSA
.	SENT	.
<h>
Cambodia	NP	Cambodia
<h>
Sri	NP	Sri
Lanka	NP	Lanka
<p>
Sri	NP	Sri
Lanka	NP	Lanka
'	POS	'
s	JJ	<unknown>
ambassador	NN	ambassador
to	TO	to
Israel	NP	Israel
,	,	,
Nimal	NP	<unknown>
Bandara	NP	Bandara
,	,	,
told	VBD	tell
the	DT	the
local	JJ	local
outlet	NN	outlet
Ceylon	NP	Ceylon
Today	NP	Today
on	IN	on
Wednesday	NP	Wednesday
that	IN	that
two	CD	two
Sri	NP	Sri
Lankan	NP	Lankan
nationals	NNS	national
are	VBP	be
missing	VBG	miss
.	SENT	.
He	PP	he
named	VBD	name
them	PP	them
as	IN	as
Anula	NP	<unknown>
Ratnayake	NP	Ratnayake
,	,	,
49	CD	@card@
,	,	,
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
in	IN	in
Israel	NP	Israel
did	VBD	do
not	RB	not
respond	VB	respond
to	TO	to
a	DT	a
request	NN	request
for	IN	for
comment	NN	comment
Wednesday	NP	Wednesday
.	SENT	.
