<p>
When	WRB	when
Muslim	JJ	Muslim
women	NNS	woman
who	WP	who
are	VBP	be
members	NNS	member
of	IN	of
Congress	NP	Congress
.	SENT	.
<p>
Advertisement	NN	advertisement
<p>
It	PP	it
'	POS	'
s	NN	S
not	RB	not
clear	JJ	clear
if	IN	if
conservative	JJ	conservative
radio	NN	radio
was	VBD	be
the	DT	the
sole	JJ	sole
factor	NN	factor
in	IN	in
Czuba	NP	Czuba
'	POS	'
s	JJ	<unknown>
alleged	JJ	alleged
turn	NN	turn
to	TO	to
violence	NN	violence
.	SENT	.
But	CC	but
the	DT	the
dangers	NNS	danger
lurking	VBG	lurk
within	IN	within
the	DT	the
trend	NN	trend
are	VBP	be
clear	JJ	clear
enough	RB	enough
.	SENT	.
Studies	NNS	study
have	VBP	have
found	VBN	find
a	DT	a
link	NN	link
between	IN	between
hateful	JJ	hateful
rhetoric	NN	rhetoric
and	CC	and
hate	NN	hate
crimes	NNS	crime
.	SENT	.
In	IN	in
2018	CD	@card@
,	,	,
researchers	NNS	researcher
found	VBD	find
that	IN	that
hate	NN	hate
crimes	NNS	crime
against	IN	against
Muslims	NPS	Muslims
increased	VBD	increase
32	CD	@card@
%	NN	%
in	IN	in
2016	CD	@card@
,	,	,
as	IN	as
Donald	NP	Donald
Trump	NP	Trump
was	VBD	be
running	VBG	run
for	IN	for
president	NN	president
and	CC	and
targeting	VBG	target
Muslims	NNS	Muslim
with	IN	with
hostile	JJ	hostile
and	CC	and
hateful	JJ	hateful
language	NN	language
that	WDT	that
reverberated	VBD	reverberate
across	IN	across
cable	NN	cable
news	NN	news
and	CC	and
on	IN	on
social	JJ	social
media	NNS	medium
.	SENT	.
<p>
Some	DT	some
of	IN	of
the	DT	the
recent	JJ	recent
claims	NNS	claim
on	IN	on
right-wing	JJ	right-wing
airwaves	NNS	airwaves
are	VBP	be
too	RB	too
grotesque	JJ	grotesque
to	TO	to
amplify	VB	amplify
here	RB	here
.	SENT	.
Others	NNS	other
,	,	,
listed	VBN	list
below	IN	below
,	,	,
may	MD	may
give	VB	give
an	DT	an
idea	NN	idea
of	IN	of
what	WP	what
'	POS	'
s	NNS	<unknown>
being	VBG	be
said	VBN	say
:	:	:
<p>
Eric	NP	Eric
Bolling	NP	Bolling
,	,	,
a	DT	a
host	NN	host
at	IN	at
the	DT	the
conservative	JJ	conservative
cable	NN	cable
news	NN	news
company	NN	company
Newsmax	NP	<unknown>
,	,	,
said	VBD	say
Palestinians	NPS	Palestinians
are	VBP	be
"	``	"
addicted	VBN	addict
to	TO	to
violence	NN	violence
"	''	"
like	IN	like
an	DT	an
"	``	"
addict	NN	addict
is	VBZ	be
addicted	VBN	addict
to	TO	to
drugs	NNS	drug
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
at	IN	at
Fox	NP	Fox
News	NP	News
,	,	,
called	VBD	call
Palestinians	NPS	Palestinians
and	CC	and
Arabs	NPS	Arabs
"	``	"
barbarian	JJ	barbarian
pigs	NNS	pig
"	''	"
who	WP	who
"	``	"
tried	VBN	try
to	TO	to
genocide	NN	genocide
Israel	NP	Israel
"	''	"
in	IN	in
a	DT	a
post	NN	post
on	IN	on
X	NP	X
,	,	,
formerly	RB	formerly
known	VBN	know
as	IN	as
Twitter	NN	twitter
.	SENT	.
<p>
Charles	NP	Charles
Kirk	NP	Kirk
?	SENT	?
the	DT	the
president	NN	president
of	IN	of
Turning	VBG	turn
Point	NP	Point
USA	NP	USA
,	,	,
a	DT	a
right-wing	JJ	right-wing
organization	NN	organization
that	WDT	that
has	VBZ	have
promoted	VBN	promote
Christian	JJ	Christian
nationalism	NN	nationalism
?	SENT	?
said	VBD	say
last	JJ	last
week	NN	week
that	IN	that
"	``	"
a	DT	a
vast	JJ	vast
majority	NN	majority
of	IN	of
Muslims	NNS	Muslim
"	``	"
do	VBP	do
n't	RB	n't
hold	VB	hold
Western	JJ	Western
values	NNS	value
but	CC	but
rather	RB	rather
have	VB	have
a	DT	a
"	``	"
medieval	JJ	medieval
"	''	"
worldview	NN	<unknown>
.	SENT	.
He	PP	he
also	RB	also
referred	VBD	refer
to	TO	to
Rep.	NP	Rep.
Ilhan	NP	<unknown>
Omar	NP	Omar
(	(	(
D-Minn	NP	<unknown>
.	SENT	.
)	)	)
as	IN	as
"	``	"
an	DT	an
active	JJ	active
threat	NN	threat
to	TO	to
the	DT	the
United	NP	United
States	NPS	States
"	''	"
who	WP	who
"	``	"
hates	VBZ	hate
this	DT	this
country	NN	country
.	SENT	.
"	``	"
<p>
Advertisement	NN	advertisement
<p>
John	NP	John
Whitehouse	NP	Whitehouse
,	,	,
news	NN	news
director	NN	director
at	IN	at
Media	NP	Media
Matters	NP	Matters
,	,	,
a	DT	a
media	NNS	medium
watchdog	NN	watchdog
group	NN	group
,	,	,
told	VBD	tell
HuffPost	NP	<unknown>
that	IN	that
far-right	JJ	far-right
media	NNS	medium
outlets	NNS	outlet
take	VBP	take
inspiration	NN	inspiration
from	IN	from
one	CD	one
another	DT	another
.	SENT	.
Message	NN	message
boards	NNS	board
and	CC	and
social	JJ	social
media	NNS	medium
sites	NNS	site
like	IN	like
4chan	NP	<unknown>
and	CC	and
X	NP	X
disseminate	VBP	disseminate
unchecked	JJ	unchecked
conspiracy	NN	conspiracy
theories	NNS	theory
and	CC	and
racist	JJ	racist
rhetoric	NN	rhetoric
,	,	,
which	WDT	which
then	RB	then
get	VBP	get
amplified	VBN	amplify
on	IN	on
conservative	JJ	conservative
TV	NN	TV
and	CC	and
radio	NN	radio
shows	NNS	show
.	SENT	.
<p>
Conservative	JJ	Conservative
radio	NN	radio
has	VBZ	have
the	DT	the
ability	NN	ability
to	TO	to
"	``	"
really	RB	really
reach	VB	reach
a	DT	a
mass	JJ	mass
audience	NN	audience
,	,	,
"	''	"
Whitehouse	NP	Whitehouse
said	VBD	say
--	:	--
specifically	RB	specifically
,	,	,
the	DT	the
"	``	"
sorts	NNS	sort
of	IN	of
audience	NN	audience
that	WDT	that
would	MD	would
be	VB	be
more	JJR	more
likely	RB	likely
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Similarly	RB	similarly
,	,	,
various	JJ	various
Republican	JJ	Republican
lawmakers	NNS	lawmaker
have	VBP	have
endorsed	VBN	endorse
an	DT	an
approach	NN	approach
of	IN	of
unfettered	JJ	unfettered
violence	NN	violence
when	WRB	when
speaking	VBG	speak
about	IN	about
the	DT	the
conflict	NN	conflict
.	SENT	.
<p>
Sen.	NP	Sen.
Lindsey	NP	Lindsey
Graham	NP	Graham
(	(	(
R-S.C	NP	<unknown>
.	SENT	.
)	)	)
,	,	,
for	IN	for
example	NN	example
,	,	,
called	VBN	call
on	IN	on
Israel	NP	Israel
to	TO	to
"	``	"
do	VB	do
whatever	WDT	whatever
it	PP	it
takes	VBZ	take
.	SENT	.
"	''	"
<p>
"	``	"
Gaza	NP	Gaza
is	VBZ	be
going	VBG	go
to	TO	to
look	VB	look
like	IN	like
Tokyo	NP	Tokyo
and	CC	and
Berlin	NP	Berlin
at	IN	at
the	DT	the
end	NN	end
of	IN	of
World	NP	World
War	NP	War
II	NP	II
when	WRB	when
this	DT	this
is	VBZ	be
over	IN	over
,	,	,
"	''	"
Graham	NP	Graham
told	VBD	tell
Fox	NP	Fox
News	NP	News
'	POS	'
Sean	NP	Sean
Hannity	NP	Hannity
last	JJ	last
week	NN	week
.	SENT	.
"	''	"
And	CC	and
if	IN	if
it	PP	it
does	VBZ	do
n't	RB	n't
look	VB	look
that	DT	that
way	NN	way
,	,	,
Israel	NP	Israel
made	VBD	make
a	DT	a
mistake	NN	mistake
.	SENT	.
"	''	"
<p>
Rep.	NP	Rep.
Max	NP	Max
Miller	NP	Miller
(	(	(
R-Ohio	NP	<unknown>
)	)	)
said	VBD	say
there	EX	there
should	MD	should
be	VB	be
"	``	"
no	DT	no
rules	NNS	rule
of	IN	of
engagement	NN	engagement
,	,	,
"	''	"
and	CC	and
that	IN	that
the	DT	the
White	NP	White
House	NP	House
should	MD	should
"	``	"
get	VB	get
out	RP	out
of	IN	of
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
way	NN	way
to	TO	to
do	VB	do
what	WP	what
it	PP	it
needs	VBZ	need
to	TO	to
do	VB	do
best	JJS	good
.	SENT	.
"	``	"
<p>
Advertisement	NN	advertisement
<p>
Far-right	JJ	far-right
Rep.	NP	Rep.
Marjorie	NP	Marjorie
Taylor	NP	Taylor
Greene	NP	Greene
(	(	(
R-Ga	NP	<unknown>
.	SENT	.
)	)	)
tweeted	VBD	tweet
:	:	:
"	``	"
Anyone	NN	anyone
that	WDT	that
is	VBZ	be
pro-Palestinian	NP	pro-Palestinian
is	VBZ	be
pro-Hamas	NN	<unknown>
"	''	"
--	:	--
not	RB	not
differentiating	VBG	differentiate
between	IN	between
civilians	NNS	civilian
and	CC	and
the	DT	the
militant	JJ	militant
group	NN	group
.	SENT	.
<p>
Arab	JJ	Arab
and	CC	and
Muslim	JJ	Muslim
groups	NNS	group
warn	VBP	warn
that	IN	that
the	DT	the
consequences	NNS	consequence
of	IN	of
such	JJ	such
extreme	JJ	extreme
language	NN	language
will	MD	will
likely	RB	likely
be	VB	be
an	DT	an
increase	NN	increase
in	IN	in
hate	NN	hate
crimes	NNS	crime
.	SENT	.
Muslim	JJ	Muslim
and	CC	and
Arab	JJ	Arab
communities	NNS	community
are	VBP	be
on	RB	on
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
has	VBZ	have
real-life	JJ	real-life
impact	NN	impact
and	CC	and
real-life	JJ	real-life
consequences	NNS	consequence
,	,	,
"	''	"
said	VBD	say
Jasmine	NP	Jasmine
Hawamdeh	NP	<unknown>
,	,	,
communications	NN	communications
director	NN	director
at	IN	at
the	DT	the
Anti-Arab	JJ	<unknown>
Discrimination	NN	discrimination
Committee	NP	Committee
,	,	,
an	DT	an
advocacy	NN	advocacy
group	NN	group
based	VBN	base
in	IN	in
Washington	NP	Washington
,	,	,
D.C.	NP	D.C.
"	``	"
We	PP	we
'	POS	'
ve	NN	ve
seen	VBN	see
it	PP	it
manifest	VBP	manifest
into	IN	into
violence	NN	violence
across	IN	across
the	DT	the
country	NN	country
.	SENT	.
"	''	"
<p>
"	``	"
When	WRB	when
hate	VBP	hate
is	VBZ	be
perpetuated	VBN	perpetuate
like	IN	like
that	DT	that
,	,	,
we	PP	we
become	VBP	become
a	DT	a
divided	VBN	divide
America	NP	America
and	CC	and
a	DT	a
weaker	JJR	weak
America	NP	America
and	CC	and
an	DT	an
America	NP	America
that	WDT	that
is	VBZ	be
not	RB	not
inclusive	JJ	inclusive
,	,	,
"	''	"
Hawamdeh	NP	<unknown>
said	VBD	say
.	SENT	.
"	``	"
The	DT	the
American	JJ	American
dream	NN	dream
becomes	VBZ	become
further	RBR	further
away	RB	away
from	IN	from
immigrants	NNS	immigrant
and	CC	and
communities	NNS	community
of	IN	of
color	NN	color
.	SENT	.
"	``	"
