<h>
#KeepItOn	NN	<unknown>
Jawwal	NP	<unknown>
,	,	,
two	CD	two
of	IN	of
the	DT	the
main	JJ	main
telecommunications	NNS	telecommunication
providers	NNS	provider
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
.	SENT	.
Al	NP	Al
--	:	--
Watan	NP	<unknown>
Tower	NP	Tower
,	,	,
another	DT	another
building	NN	building
that	WDT	that
houses	VBZ	house
media	NN	media
offices	NNS	office
and	CC	and
serves	VBZ	serve
as	IN	as
a	DT	a
hub	NN	hub
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
of	IN	of
Israeli	JJ	Israeli
airstrikes	NNS	airstrike
.	SENT	.
<p>
The	DT	the
international	JJ	international
community	NN	community
explicitly	RB	explicitly
condemns	VBZ	condemn
governments	NNS	government
'	POS	'
deployment	NN	deployment
of	IN	of
internet	NN	Internet
shutdowns	NNS	shutdown
during	IN	during
wars	NNS	war
and	CC	and
armed	JJ	armed
conflicts	NNS	conflict
,	,	,
including	VBG	include
in	IN	in
Myanmar	NP	Myanmar
and	CC	and
Tigray	NP	Tigray
,	,	,
Ethiopia	NP	Ethiopia
,	,	,
where	WRB	where
shutdowns	NNS	shutdown
have	VBP	have
intensified	VBN	intensify
humanitarian	JJ	humanitarian
crises	NNS	crisis
;	:	;
in	IN	in
Yemen	NP	Yemen
,	,	,
where	WRB	where
Saudi-led	JJ	Saudi-led
coalition	NN	coalition
airstrikes	NNS	airstrike
have	VBP	have
driven	VBN	drive
people	NNS	people
even	RB	even
further	RBR	further
off	IN	off
the	DT	the
grid	NN	grid
;	:	;
and	CC	and
in	IN	in
Ukraine	NP	Ukraine
,	,	,
where	WRB	where
Russia	NP	Russia
has	VBZ	have
leveraged	JJ	leveraged
attacks	NNS	attack
on	IN	on
telecommunications	NNS	telecommunication
infrastructure	NN	infrastructure
as	IN	as
a	DT	a
core	JJ	core
part	NN	part
of	IN	of
its	PP$	its
occupational	JJ	occupational
strategy	NN	strategy
.	SENT	.
In	IN	in
2022	CD	@card@
alone	RB	alone
,	,	,
the	DT	the
#KeepItOn	NN	<unknown>
coalition	NN	coalition
documented	VBD	document
33	CD	@card@
internet	NN	Internet
shutdowns	NNS	shutdown
during	IN	during
conflict	NN	conflict
,	,	,
alongside	IN	alongside
a	DT	a
strong	JJ	strong
correlation	NN	correlation
between	IN	between
internet	NN	Internet
shutdowns	NNS	shutdown
and	CC	and
severe	JJ	severe
human	JJ	human
rights	NNS	right
abuses	NNS	abuse
.	SENT	.
<p>
"	''	"
Access	NN	access
Now	RB	now
expresses	VBZ	express
solidarity	NN	solidarity
to	TO	to
the	DT	the
families	NNS	family
and	CC	and
loved	VBD	love
ones	NNS	one
of	IN	of
all	PDT	all
those	DT	those
affected	VBN	affect
by	IN	by
these	DT	these
tragic	JJ	tragic
events	NNS	event
in	IN	in
Gaza	NP	Gaza
,	,	,
Israel	NP	Israel
,	,	,
Lebanon	NP	Lebanon
,	,	,
and	CC	and
across	IN	across
the	DT	the
region	NN	region
,	,	,
"	''	"
said	VBD	say
Carolyn	NP	Carolyn
Tackett	NP	Tackett
,	,	,
Campaigns	NNS	campaign
&amp	NNS	<unknown>
;	:	;
Rapid	NP	Rapid
Response	NP	Response
Director	NP	Director
at	IN	at
Access	NP	Access
Now	RB	now
.	SENT	.
"	''	"
Internet	NP	Internet
shutdowns	NNS	shutdown
put	VBD	put
people	NNS	people
at	IN	at
risk	NN	risk
in	IN	in
all	DT	all
circumstances	NNS	circumstance
,	,	,
but	CC	but
these	DT	these
harms	NNS	harm
are	VBP	be
compounded	VBN	compound
in	IN	in
conflict-affected	JJ	conflict-affected
areas	NNS	area
,	,	,
where	WRB	where
the	DT	the
ability	NN	ability
to	TO	to
access	NN	access
and	CC	and
share	NN	share
information	NN	information
is	VBZ	be
literally	RB	literally
a	DT	a
matter	NN	matter
of	IN	of
life	NN	life
and	CC	and
death	NN	death
.	SENT	.
In	IN	in
Gaza	NP	Gaza
,	,	,
two	CD	two
million	CD	million
people	NNS	people
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
authorities	NNS	authority
must	MD	must
immediately	RB	immediately
stop	VB	stop
targeting	VBG	target
civilian	JJ	civilian
telecommunication	NN	telecommunication
infrastructure	NN	infrastructure
.	SENT	.
Access	NN	access
Now	RB	now
calls	VBZ	call
on	IN	on
the	DT	the
international	JJ	international
community	NN	community
to	TO	to
take	VB	take
all	PDT	all
the	DT	the
necessary	JJ	necessary
steps	NNS	step
to	TO	to
support	VB	support
the	DT	the
immediate	JJ	immediate
restoration	NN	restoration
of	IN	of
telecommunications	NNS	telecommunication
services	NNS	service
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
any	DT	any
other	JJ	other
affected	JJ	affected
areas	NNS	area
.	SENT	.
<h>
Did	VBD	do
you	PP	you
know	VBP	know
Scoop	NN	scoop
has	VBZ	have
an	DT	an
Ethical	JJ	ethical
Paywall	NP	<unknown>
?	SENT	?
<p>
If	IN	if
you	PP	you
'	POS	'
re	NN	re
using	VBG	use
Scoop	NN	scoop
for	IN	for
work	NN	work
,	,	,
your	PP$	your
organisation	NN	organisation
needs	VBZ	need
to	TO	to
pay	VB	pay
a	DT	a
small	JJ	small
license	NN	license
fee	NN	fee
with	IN	with
Scoop	NN	scoop
Pro	NP	Pro
.	SENT	.
We	PP	we
think	VBP	think
that	DT	that
'	''	'
s	NNS	<unknown>
fair	JJ	fair
,	,	,
because	IN	because
your	PP$	your
organisation	NN	organisation
is	VBZ	be
benefiting	VBG	benefit
from	IN	from
using	VBG	use
our	PP$	our
news	NN	news
resources	NNS	resource
.	SENT	.
In	IN	in
return	NN	return
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
also	RB	also
give	VBP	give
your	PP$	your
team	NN	team
access	NN	access
to	TO	to
pro	JJ	pro
news	NN	news
tools	NNS	tool
and	CC	and
keep	VB	keep
Scoop	NN	scoop
free	JJ	free
for	IN	for
personal	JJ	personal
use	NN	use
,	,	,
because	IN	because
public	JJ	public
access	NN	access
to	TO	to
news	NN	news
is	VBZ	be
important	JJ	important
!	SENT	!
<p>
Gaza	NP	Gaza
is	VBZ	be
on	IN	on
the	DT	the
brink	NN	brink
of	IN	of
running	VBG	run
out	RP	out
of	IN	of
food	NN	food
,	,	,
water	NN	water
,	,	,
electricity	NN	electricity
and	CC	and
critical	JJ	critical
supplies	NNS	supply
.	SENT	.
No	DT	no
aid	NN	aid
can	MD	can
come	VB	come
in	IN	in
from	IN	from
the	DT	the
outside	NN	outside
for	IN	for
the	DT	the
2.3M	JJ	<unknown>
residents	NNS	resident
of	IN	of
the	DT	the
sealed-off	JJ	<unknown>
enclave	NN	enclave
and	CC	and
some	DT	some
220,000	CD	@card@
displaced	VBN	displace
people	NNS	people
are	VBP	be
sheltering	VBG	shelter
in	IN	in
schools	NNS	school
run	VBN	run
by	IN	by
the	DT	the
UN	NP	UN
agency	NN	agency
for	IN	for
Palestine	NP	Palestine
refugees	NNS	refugee
,	,	,
UNRWA	NP	<unknown>
.	SENT	.
More	RBR	more
<p>
The	DT	the
already	RB	already
exhausted	VBN	exhaust
Palestinian	JJ	Palestinian
people	NNS	people
of	IN	of
Gaza	NP	Gaza
(	(	(
over	IN	over
2.3M	NN	<unknown>
,	,	,
nearly	RB	nearly
half	JJ	half
of	IN	of
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
for	IN	for
16	CD	@card@
years	NNS	year
and	CC	and
already	RB	already
gone	VBN	go
through	IN	through
five	CD	five
major	JJ	major
brutal	JJ	brutal
wars	NNS	war
.	SENT	.
This	DT	this
amounts	NNS	amount
to	TO	to
collective	JJ	collective
punishment	NN	punishment
.	SENT	.
There	EX	there
is	VBZ	be
no	DT	no
justification	NN	justification
for	IN	for
violence	NN	violence
that	WDT	that
indiscriminately	RB	indiscriminately
targets	VBZ	target
innocent	JJ	innocent
civilians	NNS	civilian
,	,	,
whether	IN	whether
by	IN	by
Hamas	NN	<unknown>
or	CC	or
Israeli	JJ	Israeli
forces	NNS	force
.	SENT	.
This	DT	this
is	VBZ	be
absolutely	RB	absolutely
prohibited	VBN	prohibit
under	IN	under
international	JJ	international
law	NN	law
and	CC	and
amounts	NNS	amount
to	TO	to
a	DT	a
war	NN	war
crime	NN	crime
.	SENT	.
More	JJR	more
<p>
Health	NP	Health
services	NNS	service
have	VBP	have
reached	VBN	reach
a	DT	a
critical	JJ	critical
stage	NN	stage
.	SENT	.
Medicines	NNS	medicine
,	,	,
medical	JJ	medical
consumables	NNS	consumable
,	,	,
and	CC	and
fuel	NN	fuel
will	MD	will
run	VB	run
out	RP	out
imminently	RB	imminently
and	CC	and
hospitals	NNS	hospital
are	VBP	be
working	VBG	work
at	IN	at
full	JJ	full
capacity	NN	capacity
,	,	,
with	IN	with
no	DT	no
place	NN	place
for	IN	for
the	DT	the
wounded	VBN	wound
from	IN	from
airstrikes	NNS	airstrike
to	TO	to
be	VB	be
treated	VBN	treat
.	SENT	.
The	DT	the
complete	JJ	complete
Israeli	JJ	Israeli
embargo	NN	embargo
on	IN	on
electricity	NN	electricity
,	,	,
water	NN	water
,	,	,
and	CC	and
fuel	NN	fuel
poses	VBZ	pose
a	DT	a
danger	NN	danger
to	TO	to
the	DT	the
lives	NNS	life
of	IN	of
the	DT	the
wounded	JJ	wounded
and	CC	and
sick	JJ	sick
people	NNS	people
.	SENT	.
More	JJR	more
<p>
UN	NP	UN
Emergency	NP	Emergency
Relief	NP	Relief
Coordinator	NP	Coordinator
Martin	NP	Martin
Griffiths	NP	Griffiths
has	VBZ	have
called	VBN	call
for	IN	for
an	DT	an
end	NN	end
to	TO	to
the	DT	the
escalating	VBG	escalate
violence	NN	violence
in	IN	in
the	DT	the
Occupied	JJ	occupied
Palestinian	NP	Palestinian
Territory	NP	Territory
and	CC	and
Israel	NP	Israel
,	,	,
describing	VBG	describe
the	DT	the
scale	NN	scale
and	CC	and
speed	NN	speed
of	IN	of
the	DT	the
unfolding	VBG	unfold
crisis	NN	crisis
as	IN	as
"	``	"
bone-chilling	JJ	bone-chilling
"	''	"
and	CC	and
warning	VBG	warn
that	IN	that
"	``	"
the	DT	the
whole	JJ	whole
region	NN	region
is	VBZ	be
at	IN	at
a	DT	a
tipping	VBG	tip
point	NN	point
.	SENT	.
"	``	"
More	JJR	more
<p>
Children	NNS	child
are	VBP	be
facing	VBG	face
unimaginable	JJ	unimaginable
risks	NNS	risk
to	TO	to
their	PP$	their
safety	NN	safety
,	,	,
with	IN	with
dire	JJ	dire
long-term	JJ	long-term
consequences	NNS	consequence
for	IN	for
their	PP$	their
mental	JJ	mental
health	NN	health
including	VBG	include
depression	NN	depression
,	,	,
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
and	CC	and
Gaza	NP	Gaza
intensifies	VBZ	intensify
,	,	,
the	DT	the
number	NN	number
of	IN	of
children	NNS	child
caught	VBN	catch
up	RP	up
in	IN	in
the	DT	the
violence	NN	violence
is	VBZ	be
soaring	VBG	soar
.	SENT	.
At	IN	at
least	JJS	least
700	CD	@card@
Israelis	NNS	Israeli
and	CC	and
413	CD	@card@
Palestinians	NNS	Palestinian
have	VBP	have
been	VBN	be
killed	VBN	kill
so	RB	so
far	RB	far
,	,	,
including	VBG	include
at	IN	at
least	JJS	least
78	CD	@card@
children	NNS	child
in	IN	in
Gaza	NP	Gaza
.	SENT	.
More	RBR	more
<p>
22	CD	@card@
residential	JJ	residential
buildings	NNS	building
were	VBD	be
levelled	VBN	level
directly	RB	directly
onto	IN	onto
the	DT	the
civilians	NNS	civilian
inside	RB	inside
of	IN	of
them	PP	them
on	IN	on
the	DT	the
morning	NN	morning
of	IN	of
9	CD	@card@
October	NP	October
.	SENT	.
The	DT	the
Israeli	JJ	Israeli
airstrikes	NNS	airstrike
have	VBP	have
killed	VBN	kill
all	RB	all
or	CC	or
most	JJS	most
of	IN	of
the	DT	the
members	NNS	member
of	IN	of
approximately	RB	approximately
18	CD	@card@
Gazan	NP	<unknown>
families	NNS	family
.	SENT	.
The	DT	the
death	NN	death
toll	NN	toll
among	IN	among
Palestinians	NPS	Palestinians
has	VBZ	have
risen	VBN	rise
to	TO	to
436	CD	@card@
,	,	,
including	VBG	include
91	CD	@card@
children	NNS	child
and	CC	and
61	CD	@card@
women	NNS	woman
,	,	,
with	IN	with
over	IN	over
2,271	CD	@card@
others	NNS	other
injured	VBN	injure
,	,	,
including	VBG	include
244	CD	@card@
children	NNS	child
and	CC	and
151	CD	@card@
women	NNS	woman
,	,	,
according	VBG	accord
to	TO	to
the	DT	the
Palestinian	JJ	Palestinian
Ministry	NP	Ministry
of	IN	of
Health	NP	Health
.	SENT	.
More	RBR	more
