<h>
Other	JJ	other
ve	RB	<unknown>
spoken	VBN	speak
this	DT	this
weekend	NN	weekend
with	IN	with
leaders	NNS	leader
of	IN	of
Ottawa	NP	Ottawa
'	POS	'
s	JJ	<unknown>
Jewish	JJ	Jewish
community	NN	community
to	TO	to
offer	VB	offer
my	PP$	my
support	NN	support
and	CC	and
to	TO	to
express	VB	express
my	PP$	my
shock	NN	shock
and	CC	and
condemnation	NN	condemnation
at	IN	at
the	DT	the
terrorist	JJ	terrorist
attacks	NNS	attack
against	IN	against
innocent	JJ	innocent
Israeli	JJ	Israeli
citizens	NNS	citizen
by	IN	by
Hamas	NP	<unknown>
.	SENT	.
Israel	NP	Israel
has	VBZ	have
the	DT	the
right	NN	right
to	TO	to
defend	VB	defend
itself	PP	itself
against	IN	against
terrorism	NN	terrorism
.	SENT	.
On	IN	on
behalf	NN	behalf
of	IN	of
all	DT	all
Ottawa	NP	Ottawa
...	:	...
<p>
Police	NP	Police
announced	VBD	announce
their	PP$	their
intention	NN	intention
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
the	DT	the
wake	NN	wake
of	IN	of
the	DT	the
attack	NN	attack
,	,	,
which	WDT	which
came	VBD	come
the	DT	the
morning	NN	morning
of	IN	of
Simchat	NP	<unknown>
Torah	NP	Torah
,	,	,
a	DT	a
Jewish	JJ	Jewish
holiday	NN	holiday
.	SENT	.
Hundreds	NNS	hundred
of	IN	of
people	NNS	people
have	VBP	have
been	VBN	be
killed	VBN	kill
in	IN	in
the	DT	the
fighting	NN	fighting
and	CC	and
Hamas	NNS	<unknown>
took	VBD	take
hostages	NNS	hostage
back	RB	back
to	TO	to
Gaza	NP	Gaza
.	SENT	.
<p>
The	DT	the
Jewish	JJ	Jewish
Federation	NP	Federation
of	IN	of
Ottawa	NP	Ottawa
is	VBZ	be
planning	VBG	plan
a	DT	a
solidarity	NN	solidarity
rally	NN	rally
to	TO	to
be	VB	be
held	VBN	hold
outside	IN	outside
the	DT	the
Soloway	NP	Soloway
Jewish	NP	Jewish
Community	NP	Community
Centre	NP	Centre
on	IN	on
Nadolny	NP	Nadolny
Sachs	NP	Sachs
Private	NP	Private
Monday	NP	Monday
at	IN	at
7:30	CD	@card@
p.m	NN	p.m
.	SENT	.
<p>
"	``	"
The	DT	the
Jewish	JJ	Jewish
Federation	NP	Federation
of	IN	of
Ottawa	NP	Ottawa
stands	VBZ	stand
with	IN	with
Israel	NP	Israel
.	SENT	.
We	PP	we
pray	VBP	pray
for	IN	for
the	DT	the
safety	NN	safety
of	IN	of
Israel	NP	Israel
'	POS	'
s	NN	S
citizens	NNS	citizen
as	RB	as
well	RB	well
as	IN	as
the	DT	the
brave	JJ	brave
military	JJ	military
forces	NNS	force
working	VBG	work
to	TO	to
protect	VB	protect
our	PP$	our
people	NNS	people
and	CC	and
our	PP$	our
homeland	NN	homeland
,	,	,
"	''	"
it	PP	it
said	VBD	say
in	IN	in
an	DT	an
email	NN	<unknown>
.	SENT	.
<p>
The	DT	the
Israeli	JJ	Israeli
government	NN	government
formally	RB	formally
declared	VBD	declare
war	NN	war
Sunday	NP	Sunday
and	CC	and
gave	VBD	give
the	DT	the
green	JJ	green
light	NN	light
for	IN	for
'	''	'
significant	JJ	significant
military	JJ	military
steps	NNS	step
'	''	'
to	TO	to
retaliate	VB	retaliate
against	IN	against
Hamas	NNS	<unknown>
for	IN	for
its	PP$	its
surprise	NN	surprise
attack	NN	attack
,	,	,
as	IN	as
the	DT	the
military	NN	military
tried	VBD	try
to	TO	to
crush	VB	crush
fighters	NNS	fighter
still	RB	still
in	IN	in
southern	JJ	southern
towns	NNS	town
and	CC	and
intensified	VBD	intensify
its	PP$	its
bombardment	NN	bombardment
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
.	SENT	.
The	DT	the
toll	NN	toll
passed	VBD	pass
1,100	CD	@card@
dead	NN	dead
and	CC	and
thousands	NNS	thousand
wounded	VBN	wound
on	IN	on
both	DT	both
sides	NNS	side
.	SENT	.
<p>
Suzana	NP	<unknown>
Thayer	NP	Thayer
'	POS	'
s	NN	S
story	NN	story
began	VBD	begin
as	IN	as
an	DT	an
investigation	NN	investigation
into	IN	into
a	DT	a
romance	NN	romance
scam	NN	scam
.	SENT	.
Bilked	VBN	bilk
out	RP	out
of	IN	of
more	JJR	more
than	IN	than
$200,000	NN	<unknown>
,	,	,
her	PP$	her
search	NN	search
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
to	TO	to
Ethiopia	NP	Ethiopia
to	TO	to
meet	VB	meet
the	DT	the
'	''	'
man	NN	man
of	IN	of
her	PP$	her
dreams	NNS	dream
'	''	'
--	:	--
and	CC	and
eventually	RB	eventually
to	TO	to
a	DT	a
Hong	NP	Hong
Kong	NP	Kong
prison	NN	prison
after	IN	after
cocaine	NN	cocaine
was	VBD	be
found	VBN	find
hidden	VBN	hide
inside	IN	inside
buttons	NNS	button
on	IN	on
clothing	NN	clothing
in	IN	in
her	PP$	her
suitcase	NN	suitcase
.	SENT	.
<p>
Montreal	NP	Montreal
'	POS	'
s	JJ	<unknown>
public	JJ	public
markets	NNS	market
are	VBP	be
world-renowned	VBN	world-renown
,	,	,
and	CC	and
the	DT	the
city	NN	city
'	POS	'
s	JJ	<unknown>
official	NN	official
opposition	NN	opposition
wants	VBZ	want
to	TO	to
keep	VB	keep
it	PP	it
that	DT	that
way	NN	way
.	SENT	.
Ensemble	RB	ensemble
Montreal	NP	Montreal
is	VBZ	be
submitting	VBG	submit
a	DT	a
motion	NN	motion
to	TO	to
city	NN	city
council	NN	council
to	TO	to
revitalize	VB	revitalize
the	DT	the
sites	NNS	site
and	CC	and
their	PP$	their
aging	VBG	age
infrastructure	NN	infrastructure
,	,	,
as	IN	as
many	JJ	many
merchants	NNS	merchant
say	VBP	say
they	PP	they
need	VBP	need
an	DT	an
upgrade	NN	upgrade
.	SENT	.
<p>
A	DT	a
group	NN	group
of	IN	of
condo	NN	condo
residents	NNS	resident
in	IN	in
Montreal	NP	Montreal
'	POS	'
s	JJ	<unknown>
Ville-Marie	NP	Ville-Marie
borough	NN	borough
is	VBZ	be
suing	VBG	sue
the	DT	the
city	NN	city
after	IN	after
their	PP$	their
building	NN	building
flooded	VBD	flood
several	JJ	several
times	NNS	time
.	SENT	.
They	PP	they
say	VBP	say
experts	NNS	expert
have	VBP	have
proven	VBN	prove
the	DT	the
building	NN	building
is	VBZ	be
up	RB	up
to	TO	to
code	VB	code
--	:	--
the	DT	the
problem	NN	problem
is	VBZ	be
on	IN	on
the	DT	the
outside	NN	outside
.	SENT	.
<p>
With	IN	with
its	PP$	its
thriving	JJ	thriving
tech	NN	tech
industry	NN	industry
and	CC	and
renowned	JJ	renowned
universities	NNS	university
,	,	,
Waterloo	NP	Waterloo
Region	NN	region
has	VBZ	have
long	RB	long
been	VBN	be
an	DT	an
attractive	JJ	attractive
destination	NN	destination
for	IN	for
people	NNS	people
looking	VBG	look
to	TO	to
settle	VB	settle
down	RP	down
.	SENT	.
However	RB	however
,	,	,
in	IN	in
recent	JJ	recent
years	NNS	year
,	,	,
the	DT	the
dream	NN	dream
of	IN	of
homeownership	NN	homeownership
has	VBZ	have
become	VBN	become
increasingly	RB	increasingly
elusive	JJ	elusive
for	IN	for
many	JJ	many
.	SENT	.
<p>
Members	NNS	member
of	IN	of
Calgary	NP	Calgary
'	POS	'
s	JJ	<unknown>
Jewish	JJ	Jewish
community	NN	community
gathering	NN	gathering
at	IN	at
the	DT	the
Beth	NP	Beth
Tzedec	NP	<unknown>
synagogue	NN	synagogue
Saturday	NP	Saturday
had	VBD	have
their	PP$	their
hearts	NNS	heart
and	CC	and
heads	NNS	head
in	IN	in
Israel	NP	Israel
,	,	,
as	IN	as
images	NNS	image
of	IN	of
the	DT	the
attacks	NNS	attack
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
shared	VBN	share
across	IN	across
the	DT	the
media	NNS	medium
.	SENT	.
<p>
The	DT	the
struggles	NNS	struggle
of	IN	of
the	DT	the
University	NP	University
of	IN	of
British	NP	British
Columbia	NP	Columbia
'	POS	'
s	NN	S
Vantage	NN	vantage
College	NP	College
reflect	VBP	reflect
the	DT	the
unpredictable	JJ	unpredictable
nature	NN	nature
of	IN	of
the	DT	the
lucrative	JJ	lucrative
international	JJ	international
education	NN	education
sector	NN	sector
,	,	,
as	IN	as
Canadian	JJ	Canadian
universities	NNS	university
find	VBP	find
themselves	PP	themselves
beholden	JJ	beholden
to	TO	to
geopolitical	JJ	geopolitical
and	CC	and
economic	JJ	economic
shifts	NNS	shift
.	SENT	.
