<p>
During	IN	during
release	NN	release
of	IN	of
all	DT	all
hostages	NNS	hostage
and	CC	and
prevent	VB	prevent
the	DT	the
conflict	NN	conflict
from	IN	from
widening	NN	widening
.	SENT	.
"	''	"
<p>
Blinken	NP	<unknown>
"	``	"
underscored	VBD	underscore
that	IN	that
Hamas	NP	<unknown>
does	VBZ	do
not	RB	not
stand	VB	stand
for	IN	for
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
'	POS	'
s	NN	S
right	NN	right
to	TO	to
dignity	NN	dignity
and	CC	and
self-determination	NN	self-determination
and	CC	and
discussed	VBN	discuss
ways	NNS	way
to	TO	to
address	VB	address
the	DT	the
humanitarian	JJ	humanitarian
needs	NNS	need
of	IN	of
civilians	NNS	civilian
in	IN	in
Gaza	NP	Gaza
while	IN	while
Israel	NP	Israel
conducts	VBZ	conduct
legitimate	JJ	legitimate
security	NN	security
operations	NNS	operation
to	TO	to
defend	VB	defend
itself	PP	itself
from	IN	from
terrorists	NNS	terrorist
,	,	,
"	''	"
Miller	NP	Miller
added	VBD	add
.	SENT	.
<p>
Abbas	NP	Abbas
heads	VBZ	head
the	DT	the
Palestinian	NP	Palestinian
Authority	NP	Authority
,	,	,
which	WDT	which
partially	RB	partially
administers	VBZ	administer
the	DT	the
West	NP	West
Bank	NP	Bank
.	SENT	.
His	PP$	his
Fatah	NN	Fatah
movement	NN	movement
is	VBZ	be
a	DT	a
rival	NN	rival
of	IN	of
Hamas	NP	<unknown>
,	,	,
which	WDT	which
controls	VBZ	control
Gaza	NP	Gaza
.	SENT	.
<p>
Abbas	NP	Abbas
is	VBZ	be
under	IN	under
pressure	NN	pressure
from	IN	from
Palestinians	NPS	Palestinians
because	IN	because
of	IN	of
the	DT	the
Israeli	JJ	Israeli
and	CC	and
Egyptian	JJ	Egyptian
blockade	NN	blockade
on	IN	on
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
the	DT	the
devastating	JJ	devastating
Israeli	JJ	Israeli
airstrikes	NNS	airstrike
on	IN	on
Gaza	NP	Gaza
in	RB	in
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Friday	NP	Friday
ordered	VBD	order
residents	NNS	resident
of	IN	of
northern	JJ	northern
Gaza	NP	Gaza
to	TO	to
evacuate	VB	evacuate
south	RB	south
,	,	,
raising	VBG	raise
fears	NNS	fear
that	IN	that
a	DT	a
potential	JJ	potential
ground	NN	ground
assault	NN	assault
may	MD	may
be	VB	be
imminent	JJ	imminent
.	SENT	.
<p>
During	IN	during
their	PP$	their
conversation	NN	conversation
,	,	,
Abbas	NP	Abbas
called	VBD	call
for	IN	for
an	DT	an
immediate	JJ	immediate
end	NN	end
to	TO	to
aggression	NN	aggression
toward	IN	toward
Palestinians	NPS	Palestinians
and	CC	and
the	DT	the
need	NN	need
to	TO	to
provide	VB	provide
humanitarian	JJ	humanitarian
aid	NN	aid
to	TO	to
Gaza	NP	Gaza
,	,	,
as	RB	as
well	RB	well
as	IN	as
water	NN	water
and	CC	and
electricity	NN	electricity
in	IN	in
the	DT	the
enclave	NN	enclave
that	IN	that
Israel	NP	Israel
cut	VBD	cut
off	RP	off
as	IN	as
part	NN	part
of	IN	of
a	DT	a
total	JJ	total
siege	NN	siege
.	SENT	.
The	DT	the
news	NN	news
agency	NN	agency
said	VBD	say
Abbas	NP	Abbas
called	VBD	call
for	IN	for
political	JJ	political
action	NN	action
to	TO	to
end	VB	end
Israel	NP	Israel
'	POS	'
s	NN	S
occupation	NN	occupation
but	CC	but
also	RB	also
said	VBD	say
that	IN	that
on	IN	on
both	DT	both
sides	NNS	side
of	IN	of
the	DT	the
conflict	NN	conflict
,	,	,
civilians	NNS	civilian
,	,	,
prisoners	NNS	prisoner
and	CC	and
detainees	NNS	detainee
should	MD	should
be	VB	be
released	VBN	release
.	SENT	.
<p>
Abbas	NP	Abbas
reaffirmed	VBD	reaffirm
his	PP$	his
belief	NN	belief
that	IN	that
the	DT	the
Palestine	NP	Palestine
Liberation	NP	Liberation
Organization	NP	Organization
is	VBZ	be
the	DT	the
legitimate	JJ	legitimate
group	NN	group
representing	VBG	represent
all	DT	all
Palestinians	NPS	Palestinians
,	,	,
not	RB	not
Hamas	NP	<unknown>
,	,	,
a	DT	a
reminder	NN	reminder
of	IN	of
how	WRB	how
opposed	JJ	opposed
the	DT	the
two	CD	two
groups	NNS	group
are	VBP	be
.	SENT	.
<p>
"	``	"
We	PP	we
emphasize	VBP	emphasize
the	DT	the
policy	NN	policy
of	IN	of
the	DT	the
PLO	NP	PLO
,	,	,
the	DT	the
sole	JJ	sole
legitimate	JJ	legitimate
representative	NN	representative
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
,	,	,
which	WDT	which
renounce	VBP	renounce
violence	NN	violence
and	CC	and
adheres	VBZ	adhere
to	TO	to
international	JJ	international
legitimacy	NN	legitimacy
,	,	,
peaceful	JJ	peaceful
popular	JJ	popular
resistance	NN	resistance
,	,	,
and	CC	and
political	JJ	political
action	NN	action
as	IN	as
a	DT	a
path	NN	path
to	TO	to
achieving	VBG	achieve
our	PP$	our
national	JJ	national
goals	NNS	goal
of	IN	of
freedom	NN	freedom
and	CC	and
independence	NN	independence
,	,	,
leading	VBG	lead
to	TO	to
ending	VBG	end
the	DT	the
occupation	NN	occupation
and	CC	and
embodying	VBG	embody
the	DT	the
independence	NN	independence
of	IN	of
our	PP$	our
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
1967	CD	@card@
borders	NNS	border
,	,	,
"	''	"
Abbas	NP	Abbas
said	VBD	say
in	IN	in
a	DT	a
statement	NN	statement
.	SENT	.
<p>
It	PP	it
'	POS	'
s	NNS	<unknown>
unclear	JJ	unclear
how	WRB	how
much	JJ	much
influence	NN	influence
Abbas	NP	Abbas
might	MD	might
have	VB	have
under	IN	under
the	DT	the
current	JJ	current
circumstances	NNS	circumstance
,	,	,
as	IN	as
the	DT	the
PLO	NP	PLO
and	CC	and
Hamas	NP	<unknown>
have	VBP	have
largely	RB	largely
been	VBN	be
adversaries	NNS	adversary
for	IN	for
almost	RB	almost
two	CD	two
decades	NNS	decade
,	,	,
with	IN	with
Hamas	NNS	<unknown>
dismissing	VBG	dismiss
all	DT	all
agreements	NNS	agreement
between	IN	between
the	DT	the
PLO	NP	PLO
and	CC	and
Israel	NP	Israel
.	SENT	.
<p>
Blinken	NP	<unknown>
,	,	,
who	WP	who
has	VBZ	have
been	VBN	be
addressing	VBG	address
concerns	NNS	concern
about	IN	about
the	DT	the
residents	NNS	resident
of	IN	of
Gaza	NP	Gaza
,	,	,
said	VBD	say
Thursday	NP	Thursday
that	IN	that
he	PP	he
and	CC	and
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
had	VBD	have
discussed	VBN	discuss
"	``	"
possibilities	NNS	possibility
for	IN	for
safe	JJ	safe
passage	NN	passage
for	IN	for
civilians	NNS	civilian
who	WP	who
want	VBP	want
to	TO	to
leave	VB	leave
or	CC	or
get	VB	get
out	RP	out
of	IN	of
the	DT	the
way	NN	way
in	IN	in
Gaza	NP	Gaza
.	SENT	.
"	''	"
<p>
"	``	"
That	RB	that
'	''	'
s	VBG	<unknown>
a	DT	a
conversation	NN	conversation
,	,	,
a	DT	a
discussion	NN	discussion
,	,	,
that	WDT	that
we	PP	we
will	MD	will
pursue	VB	pursue
in	IN	in
the	DT	the
coming	VBG	come
days	NNS	day
,	,	,
including	VBG	include
with	IN	with
some	DT	some
of	IN	of
the	DT	the
countries	NNS	country
that	IN	that
we	PP	we
'	''	'
ll	NN	ll
be	VB	be
visiting	VBG	visit
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<p>
After	IN	after
Jordan	NP	Jordan
,	,	,
Blinken	NP	<unknown>
is	VBZ	be
expected	VBN	expect
to	TO	to
meet	VB	meet
with	IN	with
leaders	NNS	leader
in	IN	in
Saudi	NP	Saudi
Arabia	NP	Arabia
,	,	,
the	DT	the
United	NP	United
Arab	NP	Arab
Emirates	NP	Emirates
,	,	,
Egypt	NP	Egypt
and	CC	and
Qatar	NP	Qatar
.	SENT	.
