<h>
At	IN	at
@yaqeenhmad	NN	<unknown>
,	,	,
had	VBD	have
amassed	VBN	amass
over	IN	over
100,000	CD	@card@
followers	NNS	follower
.	SENT	.
Many	JJ	many
labelled	VBD	label
her	PP	her
'	''	'
Gaza	NP	Gaza
'	POS	'
s	JJ	<unknown>
Youngest	JJS	young
Influencer	NN	influencer
'	POS	'
.	SENT	.
Her	PP$	her
social	JJ	social
media	NNS	medium
has	VBZ	have
become	VBN	become
a	DT	a
record	NN	record
of	IN	of
what	WP	what
life	NN	life
looks	VBZ	look
like	IN	like
inside	IN	inside
Gaza	NP	Gaza
'	POS	'
s	NN	S
shelters	NNS	shelter
.	SENT	.
Her	PP$	her
videos	NNS	video
showed	VBD	show
her	PP$	her
distributing	VBG	distribute
meals	NNS	meal
,	,	,
dancing	VBG	dance
with	IN	with
children	NNS	child
,	,	,
and	CC	and
explaining	VBG	explain
how	WRB	how
to	TO	to
cook	VB	cook
using	VBG	use
firewood	NN	firewood
when	WRB	when
gas	NN	gas
was	VBD	be
unavailable	JJ	unavailable
.	SENT	.
In	IN	in
one	CD	one
post	NN	post
,	,	,
she	PP	she
pointed	VBD	point
to	TO	to
bricks	NNS	brick
arranged	VBN	arrange
in	IN	in
a	DT	a
fire	NN	fire
pit	NN	pit
and	CC	and
said	VBD	say
,	,	,
"	``	"
Did	VBD	do
they	PP	they
cut	VBD	cut
off	RP	off
the	DT	the
gas	NN	gas
?	SENT	?
We	PP	we
made	VBD	make
gas	NN	gas
!	SENT	!
Gaza	NP	Gaza
:	:	:
No	UH	no
to	TO	to
the	DT	the
impossible	JJ	impossible
.	SENT	.
"	''	"
In	IN	in
her	PP$	her
short	JJ	short
life	NN	life
,	,	,
she	PP	she
had	VBD	have
already	RB	already
left	VBN	leave
a	DT	a
digital	JJ	digital
trail	NN	trail
of	IN	of
resistance	NN	resistance
.	SENT	.
<p>
In	IN	in
a	DT	a
place	NN	place
where	WRB	where
journalists	NNS	journalist
are	VBP	be
often	RB	often
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
capture	NN	capture
reality	NN	reality
,	,	,
without	IN	without
bitterness	NN	bitterness
or	CC	or
spectacle	NN	spectacle
.	SENT	.
Her	PP$	her
posts	NNS	post
were	VBD	be
n't	RB	n't
shaped	VBN	shape
by	IN	by
geopolitics	NNS	geopolitics
or	CC	or
ideology	NN	ideology
.	SENT	.
They	PP	they
were	VBD	be
acts	NNS	act
of	IN	of
presence	NN	presence
:	:	:
lessons	NNS	lesson
on	IN	on
rationing	VBG	ration
,	,	,
shots	NNS	shot
of	IN	of
laughter	NN	laughter
inside	IN	inside
tents	NNS	tent
,	,	,
and	CC	and
a	DT	a
kind	NN	kind
of	IN	of
radical	JJ	radical
optimism	NN	optimism
that	WDT	that
kept	VBD	keep
her	PP$	her
smiling	VBG	smile
,	,	,
even	RB	even
when	WRB	when
surrounded	VBN	surround
by	IN	by
rubble	NN	rubble
.	SENT	.
<p>
Born	VBN	bear
in	IN	in
2013	CD	@card@
,	,	,
Yaqeen	NP	<unknown>
was	VBD	be
the	DT	the
youngest	JJS	young
of	IN	of
five	CD	five
siblings	NNS	sibling
.	SENT	.
She	PP	she
lived	VBD	live
in	IN	in
Deir	NP	Deir
al-Balah	NP	<unknown>
,	,	,
a	DT	a
city	NN	city
that	WDT	that
has	VBZ	have
faced	VBN	face
repeated	JJ	repeated
bombardment	NN	bombardment
since	IN	since
October	NP	October
2023	CD	@card@
.	SENT	.
Alongside	IN	alongside
her	PP$	her
brother	NN	brother
,	,	,
Mohamed	NP	Mohamed
,	,	,
she	PP	she
volunteered	VBD	volunteer
with	IN	with
the	DT	the
local	JJ	local
Onena	NP	<unknown>
Collective	NN	collective
,	,	,
filming	VBG	film
relief	NN	relief
efforts	NNS	effort
.	SENT	.
During	IN	during
Ramadan	NP	Ramadan
,	,	,
she	PP	she
stood	VBD	stand
next	JJ	next
to	TO	to
a	DT	a
communal	JJ	communal
pot	NN	pot
and	CC	and
explained	VBD	explain
how	WRB	how
to	TO	to
prepare	VB	prepare
iftar	NN	<unknown>
when	WRB	when
gas	NN	gas
ran	VBD	run
out	RP	out
.	SENT	.
"	``	"
Today	NN	today
was	VBD	be
a	DT	a
day	NN	day
of	IN	of
joy	NN	joy
for	IN	for
Gaza	NP	Gaza
'	POS	'
s	NN	S
orphans	NNS	orphan
,	,	,
"	''	"
she	PP	she
wrote	VBD	write
in	IN	in
Arabic	NP	Arabic
.	SENT	.
"	``	"
We	PP	we
were	VBD	be
giving	VBG	give
them	PP	them
new	JJ	new
clothes	NNS	clothes
to	TO	to
bring	VB	bring
a	DT	a
little	JJ	little
happiness	NN	happiness
.	SENT	.
"	''	"
<p>
Another	DT	another
post	NN	post
showed	VBD	show
her	PP$	her
leading	VBG	lead
children	NNS	child
in	IN	in
makeshift	JJ	makeshift
classrooms	NNS	classroom
.	SENT	.
"	``	"
We	PP	we
are	VBP	be
still	RB	still
holding	VBG	hold
on	IN	on
to	TO	to
the	DT	the
Qur'an	NP	<unknown>
and	CC	and
education	NN	education
despite	IN	despite
the	DT	the
famine	NN	famine
,	,	,
siege	NN	siege
,	,	,
and	CC	and
the	DT	the
continuation	NN	continuation
of	IN	of
genocide	NN	genocide
,	,	,
"	''	"
she	PP	she
wrote	VBD	write
.	SENT	.
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
a	DT	a
message	NN	message
to	TO	to
the	DT	the
whole	JJ	whole
world	NN	world
.	SENT	.
<p>
News	NN	news
of	IN	of
her	PP$	her
death	NN	death
spread	NN	spread
across	IN	across
social	JJ	social
media	NNS	medium
,	,	,
and	CC	and
thousands	NNS	thousand
took	VBD	take
to	TO	to
her	PP$	her
comments	NNS	comment
to	TO	to
share	NN	share
sentiments	NNS	sentiment
of	IN	of
grief	NN	grief
,	,	,
prayer	NN	prayer
and	CC	and
tribute	NN	tribute
.	SENT	.
<p>
"	``	"
Her	PP$	her
body	NN	body
may	MD	may
be	VB	be
gone	VBN	go
,	,	,
but	CC	but
her	PP$	her
impact	NN	impact
remains	VBZ	remain
a	DT	a
beacon	NN	beacon
of	IN	of
humanity	NN	humanity
,	,	,
"	''	"
wrote	VBD	write
Gazan	NP	<unknown>
photojournalist	NN	photojournalist
Mahmoud	NP	Mahmoud
Bassam	NP	Bassam
.	SENT	.
Others	NNS	other
shared	VBD	share
her	PP$	her
videos	NNS	video
,	,	,
preserving	VBG	preserve
fragments	NNS	fragment
of	IN	of
the	DT	the
work	NN	work
she	PP	she
had	VBD	have
done	VBN	do
.	SENT	.
One	CD	one
clip	NN	clip
,	,	,
viewed	VBN	view
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
times	NNS	time
,	,	,
showed	VBD	show
her	PP$	her
working	NN	working
to	TO	to
build	VB	build
wells	NNS	well
during	IN	during
the	DT	the
height	NN	height
of	IN	of
the	DT	the
Israel-sanctioned	JJ	<unknown>
water	NN	water
blockade	NN	blockade
.	SENT	.
<h>
The	DT	the
Cost	NN	cost
of	IN	of
War	NP	War
In	IN	in
Gaza	NP	Gaza
<p>
In	IN	in
Gaza	NP	Gaza
,	,	,
the	DT	the
dead	JJ	dead
are	VBP	be
often	RB	often
spoken	VBN	speak
of	IN	of
in	IN	in
numbers	NNS	number
.	SENT	.
Tens	NNS	ten
of	IN	of
thousands	NNS	thousand
killed	VBN	kill
.	SENT	.
Hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
displaced	VBN	displace
.	SENT	.
These	DT	these
figures	NNS	figure
roll	VBP	roll
across	IN	across
headlines	NNS	headline
with	IN	with
the	DT	the
cold	JJ	cold
efficiency	NN	efficiency
of	IN	of
metrics	NNS	metric
,	,	,
necessary	JJ	necessary
for	IN	for
scale	NN	scale
,	,	,
but	CC	but
brutal	JJ	brutal
in	IN	in
their	PP$	their
abstraction	NN	abstraction
.	SENT	.
They	PP	they
obscure	VBP	obscure
more	JJR	more
than	IN	than
they	PP	they
reveal	VBP	reveal
,	,	,
and	CC	and
the	DT	the
individual	JJ	individual
vanishes	NNS	vanish
into	IN	into
the	DT	the
cumulative	JJ	cumulative
.	SENT	.
When	WRB	when
coverage	NN	coverage
of	IN	of
Gaza	NP	Gaza
defaults	NNS	default
to	TO	to
numbers	NNS	number
,	,	,
it	PP	it
enables	VBZ	enable
a	DT	a
kind	NN	kind
of	IN	of
global	JJ	global
indifference	NN	indifference
,	,	,
even	RB	even
among	IN	among
those	DT	those
who	WP	who
profess	VBP	profess
outrage	NN	outrage
.	SENT	.
There	EX	there
is	VBZ	be
comfort	NN	comfort
in	RB	in
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
it	PP	it
of	IN	of
its	PP$	its
humanity	NN	humanity
.	SENT	.
<p>
This	DT	this
is	VBZ	be
why	WRB	why
stories	NNS	story
like	IN	like
Yaqeen	NP	<unknown>
'	POS	'
s	NN	S
matter	NN	matter
.	SENT	.
Her	PP$	her
social	JJ	social
media	NNS	medium
page	NN	page
enabled	VBD	enable
her	PP	her
to	TO	to
share	VB	share
the	DT	the
stories	NNS	story
of	IN	of
those	DT	those
in	IN	in
Gaza	NP	Gaza
with	IN	with
the	DT	the
world	NN	world
,	,	,
and	CC	and
in	IN	in
ways	NNS	way
preserved	VBD	preserve
them	PP	them
even	RB	even
in	IN	in
death	NN	death
.	SENT	.
In	IN	in
the	DT	the
middle	NN	middle
of	IN	of
collective	JJ	collective
trauma	NN	trauma
,	,	,
Yaqeen	NP	<unknown>
insisted	VBD	insist
on	IN	on
human	JJ	human
connection	NN	connection
.	SENT	.
She	PP	she
shared	VBD	share
everyday	JJ	everyday
life	NN	life
rendered	VBD	render
extraordinary	JJ	extraordinary
by	IN	by
the	DT	the
violence	NN	violence
around	IN	around
it	PP	it
.	SENT	.
<p>
"	''	"
We	PP	we
lost	VBD	lose
that	DT	that
smile	NN	smile
,	,	,
hers	PP	hers
and	CC	and
other	JJ	other
children	NNS	child
'	POS	'
s	NNS	<unknown>
,	,	,
that	WDT	that
is	VBZ	be
the	DT	the
cost	NN	cost
of	IN	of
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
,	,	,
"	''	"
said	VBD	say
one	CD	one
user	NN	user
in	IN	in
the	DT	the
comments	NNS	comment
of	IN	of
her	PP$	her
last	JJ	last
post	NN	post
.	SENT	.
<p>
Since	IN	since
October	NP	October
2023	CD	@card@
,	,	,
the	DT	the
enclave	NN	enclave
has	VBZ	have
seen	VBN	see
waves	NNS	wave
of	IN	of
Israeli	JJ	Israeli
military	JJ	military
operations	NNS	operation
with	IN	with
catastrophic	JJ	catastrophic
civilian	JJ	civilian
consequences	NNS	consequence
.	SENT	.
Children	NNS	child
have	VBP	have
died	VBN	die
not	RB	not
just	RB	just
in	IN	in
bombings	NNS	bombing
,	,	,
but	CC	but
in	IN	in
hospitals	NNS	hospital
without	IN	without
power	NN	power
,	,	,
homes	NNS	home
without	IN	without
food	NN	food
,	,	,
shelters	NNS	shelter
without	IN	without
clean	JJ	clean
water	NN	water
.	SENT	.
Yaqeen	NP	<unknown>
'	POS	'
s	NN	S
death	NN	death
,	,	,
for	IN	for
many	JJ	many
,	,	,
was	VBD	be
the	DT	the
distillation	NN	distillation
of	IN	of
this	DT	this
cruelty	NN	cruelty
.	SENT	.
<p>
Her	PP$	her
Instagram	NP	<unknown>
account	NN	account
remains	VBZ	remain
online	JJ	online
.	SENT	.
No	DT	no
new	JJ	new
videos	NNS	video
will	MD	will
come	VB	come
.	SENT	.
But	CC	but
what	WP	what
she	PP	she
left	VBD	leave
behind	RB	behind
still	RB	still
circulates	VBZ	circulate
.	SENT	.
She	PP	she
documented	VBD	document
not	RB	not
just	RB	just
the	DT	the
violence	NN	violence
,	,	,
but	CC	but
the	DT	the
will	MD	will
to	TO	to
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
able	JJ	able
to	TO	to
remind	VB	remind
those	DT	those
around	IN	around
her	PP	her
to	TO	to
stay	VB	stay
resilient	JJ	resilient
,	,	,
to	TO	to
look	VB	look
for	IN	for
ways	NNS	way
to	TO	to
bring	VB	bring
joy	NN	joy
to	TO	to
others	NNS	other
even	RB	even
in	IN	in
the	DT	the
most	RBS	most
challenging	JJ	challenging
of	IN	of
circumstances	NNS	circumstance
.	SENT	.
Through	IN	through
the	DT	the
noise	NN	noise
,	,	,
her	PP$	her
words	NNS	word
remain	VBP	remain
:	:	:
"	``	"
Gaza	NP	Gaza
:	:	:
no	UH	no
to	TO	to
the	DT	the
impossible	JJ	impossible
.	SENT	.
"	``	"
