<h>
How	WRB	how
nations	NNS	nation
deployed	VBD	deploy
fighter	NN	fighter
jets	NNS	jet
in	IN	in
the	DT	the
skies	NNS	sky
over	IN	over
the	DT	the
Middle	NP	Middle
East	NP	East
and	CC	and
,	,	,
along	IN	along
with	IN	with
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
missile-defence	NN	missile-defence
systems	NNS	system
,	,	,
intercepted	VBD	intercept
nearly	RB	nearly
all	PDT	all
the	DT	the
incoming	JJ	incoming
threats	NNS	threat
.	SENT	.
Together	RB	together
they	PP	they
reduced	VBD	reduce
the	DT	the
immediate	JJ	immediate
impact	NN	impact
of	IN	of
the	DT	the
attack	NN	attack
to	TO	to
one	CD	one
wounded	JJ	wounded
girl	NN	girl
and	CC	and
some	DT	some
minor	JJ	minor
damage	NN	damage
to	TO	to
an	DT	an
Israeli	JJ	Israeli
air	NN	air
base	NN	base
.	SENT	.
But	CC	but
they	PP	they
also	RB	also
left	VBD	leave
Israeli	JJ	Israeli
decision-makers	NNS	decision-maker
with	IN	with
a	DT	a
dilemma	NN	dilemma
.	SENT	.
<p>
For	IN	for
Israel	NP	Israel
,	,	,
a	DT	a
small	JJ	small
nation	NN	nation
that	WDT	that
has	VBZ	have
built	VBN	build
its	PP$	its
survival	NN	survival
in	IN	in
a	DT	a
hostile	JJ	hostile
region	NN	region
on	IN	on
military	JJ	military
deterrence	NN	deterrence
,	,	,
failing	VBG	fail
to	TO	to
respond	VB	respond
to	TO	to
a	DT	a
direct	RB	direct
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
but	CC	but
unthinkable	JJ	unthinkable
.	SENT	.
The	DT	the
missiles	NNS	missile
fired	VBN	fire
by	IN	by
Iran	NP	Iran
could	MD	could
have	VB	have
been	VBN	be
devastating	JJ	devastating
.	SENT	.
Few	JJ	few
in	IN	in
Israel	NP	Israel
doubt	VBP	doubt
the	DT	the
need	NN	need
for	IN	for
a	DT	a
response	NN	response
.	SENT	.
<p>
But	CC	but
Israel	NP	Israel
has	VBZ	have
a	DT	a
lot	NN	lot
to	TO	to
lose	VB	lose
if	IN	if
it	PP	it
fails	VBZ	fail
to	TO	to
calibrate	VB	calibrate
its	PP$	its
response	NN	response
.	SENT	.
The	DT	the
international	JJ	international
coalition	NN	coalition
formed	VBN	form
at	IN	at
the	DT	the
urging	VBG	urge
of	IN	of
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
to	TO	to
foil	VB	foil
Iran	NP	Iran
'	POS	'
s	NN	S
attack	NN	attack
could	MD	could
continue	VB	continue
to	TO	to
be	VB	be
a	DT	a
big	JJ	big
strategic	JJ	strategic
asset	NN	asset
.	SENT	.
"	``	"
All	PDT	all
the	DT	the
countries	NNS	country
involved	VBN	involve
,	,	,
both	CC	both
from	IN	from
the	DT	the
West	NP	West
and	CC	and
the	DT	the
Arabs	NNS	Arab
,	,	,
have	VBP	have
already	RB	already
been	VBN	be
working	VBG	work
quietly	RB	quietly
together	RB	together
for	IN	for
years	NNS	year
,	,	,
"	''	"
says	VBZ	say
an	DT	an
Israeli	JJ	Israeli
security	NN	security
official	NN	official
.	SENT	.
"	``	"
This	DT	this
is	VBZ	be
the	DT	the
first	JJ	first
time	NN	time
they	PP	they
'	POS	'
ve	RB	<unknown>
been	VBN	be
seen	VBN	see
openly	RB	openly
in	IN	in
action	NN	action
against	IN	against
Iran	NP	Iran
--	:	--
and	CC	and
that	WDT	that
'	POS	'
s	NN	S
a	DT	a
massive	JJ	massive
development	NN	development
.	SENT	.
"	''	"
<p>
Mr	NP	Mr
Biden	NP	Biden
,	,	,
anxious	JJ	anxious
to	TO	to
avoid	VB	avoid
a	DT	a
regional	JJ	regional
war	NN	war
,	,	,
urged	VBD	urge
Binyamin	NP	Binyamin
Netanyahu	NP	<unknown>
,	,	,
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
prime	JJ	prime
minister	NN	minister
,	,	,
to	TO	to
"	``	"
take	VB	take
the	DT	the
win	NN	win
"	''	"
and	CC	and
avoid	VB	avoid
further	JJR	further
escalation	NN	escalation
.	SENT	.
The	DT	the
Arab	JJ	Arab
regimes	NNS	regime
that	WDT	that
were	VBD	be
involved	VBN	involve
,	,	,
particularly	RB	particularly
Jordan	NP	Jordan
and	CC	and
Saudi	NP	Saudi
Arabia	NP	Arabia
,	,	,
do	VBP	do
not	RB	not
want	VB	want
to	TO	to
be	VB	be
seen	VBN	see
as	IN	as
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
protectors	NNS	protector
;	:	;
most	JJS	most
of	IN	of
the	DT	the
Middle	NP	Middle
East	NP	East
is	VBZ	be
still	RB	still
focused	VBN	focus
on	IN	on
the	DT	the
bloodshed	NN	bloodshed
in	IN	in
Gaza	NP	Gaza
.	SENT	.
Preserving	VBG	preserve
the	DT	the
coalition	NN	coalition
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
has	VBZ	have
shifted	VBN	shift
some	DT	some
of	IN	of
the	DT	the
international	JJ	international
focus	NN	focus
away	RB	away
from	IN	from
Gaza	NP	Gaza
.	SENT	.
After	IN	after
months	NNS	month
of	IN	of
condemnation	NN	condemnation
of	IN	of
its	PP$	its
actions	NNS	action
in	IN	in
Gaza	NP	Gaza
,	,	,
Israel	NP	Israel
has	VBZ	have
unexpectedly	RB	unexpectedly
found	VBN	find
itself	PP	itself
once	RB	once
again	RB	again
in	IN	in
the	DT	the
position	NN	position
it	PP	it
was	VBD	be
in	IN	in
the	DT	the
wake	NN	wake
of	IN	of
the	DT	the
Hamas	JJ	<unknown>
massacres	NNS	massacre
on	IN	on
October	NP	October
7th	JJ	7th
--	:	--
supported	VBN	support
by	IN	by
its	PP$	its
allies	NNS	ally
.	SENT	.
"	``	"
We	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
given	VBN	give
another	DT	another
moment	NN	moment
of	IN	of
grace	NN	grace
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
see	VB	see
how	WRB	how
quickly	RB	quickly
we	PP	we
waste	VB	waste
it	PP	it
,	,	,
"	''	"
says	VBZ	say
one	CD	one
jaded	JJ	jaded
Israeli	JJ	Israeli
general	NN	general
.	SENT	.
<p>
The	DT	the
consensus	NN	consensus
among	IN	among
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
war	NN	war
cabinet	NN	cabinet
and	CC	and
generals	NNS	general
is	VBZ	be
that	IN	that
Israel	NP	Israel
will	MD	will
retaliate	VB	retaliate
.	SENT	.
But	CC	but
the	DT	the
timing	NN	timing
and	CC	and
nature	NN	nature
have	VBP	have
been	VBN	be
hotly	RB	hotly
debated	VBN	debate
in	IN	in
a	DT	a
series	NN	series
of	IN	of
inconclusive	JJ	inconclusive
cabinet	NN	cabinet
meetings	NNS	meeting
.	SENT	.
Plans	NNS	plan
for	IN	for
an	DT	an
immediate	JJ	immediate
counter-attack	NN	counter-attack
were	VBD	be
already	RB	already
in	IN	in
the	DT	the
works	NNS	work
in	IN	in
the	DT	the
early	JJ	early
hours	NNS	hour
of	IN	of
April	NP	April
14th	JJ	14th
,	,	,
while	IN	while
Iran	NP	Iran
'	POS	'
s	NN	S
drones	NNS	drone
and	CC	and
missiles	NNS	missile
were	VBD	be
on	IN	on
their	PP$	their
way	NN	way
to	TO	to
Israel	NP	Israel
.	SENT	.
The	DT	the
failure	NN	failure
of	IN	of
the	DT	the
Iranian	JJ	Iranian
attack	NN	attack
and	CC	and
the	DT	the
phone-call	NN	<unknown>
from	IN	from
Mr	NP	Mr
Biden	NP	Biden
stopped	VBD	stop
Israel	NP	Israel
in	IN	in
its	PP$	its
tracks	NNS	track
.	SENT	.
But	CC	but
this	DT	this
may	MD	may
not	RB	not
last	VB	last
.	SENT	.
<p>
As	IN	as
the	DT	the
ministers	NNS	minister
and	CC	and
generals	NNS	general
argue	VBP	argue
,	,	,
the	DT	the
biggest	JJS	big
mystery	NN	mystery
has	VBZ	have
been	VBN	be
the	DT	the
position	NN	position
of	IN	of
Mr	NP	Mr
Netanyahu	NP	<unknown>
.	SENT	.
Since	IN	since
the	DT	the
1980s	NNS	1980s
he	PP	he
has	VBZ	have
been	VBN	be
warning	VBG	warn
of	IN	of
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
co-operate	VB	co-operate
with	IN	with
Israel	NP	Israel
and	CC	and
the	DT	the
Sunni	NP	Sunni
Arab	JJ	Arab
nations	NNS	nation
against	IN	against
it	PP	it
.	SENT	.
But	CC	but
in	IN	in
the	DT	the
days	NNS	day
since	IN	since
Iran	NP	Iran
'	POS	'
s	JJ	<unknown>
strike	NN	strike
he	PP	he
has	VBZ	have
fallen	VBN	fall
notably	RB	notably
silent	JJ	silent
.	SENT	.
He	PP	he
has	VBZ	have
appeared	VBN	appear
once	RB	once
in	IN	in
public	NN	public
,	,	,
in	IN	in
front	NN	front
of	IN	of
new	JJ	new
idf	NN	idf
conscripts	NNS	conscript
.	SENT	.
All	RB	all
he	PP	he
had	VBD	have
to	TO	to
say	VB	say
was	VBD	be
that	IN	that
"	``	"
Iran	NP	Iran
stands	VBZ	stand
behind	RB	behind
Hamas	JJ	<unknown>
"	''	"
and	CC	and
that	IN	that
Israel	NP	Israel
is	VBZ	be
determined	VBN	determine
"	''	"
to	TO	to
defend	VB	defend
ourselves	PP	ourselves
in	IN	in
all	DT	all
sectors	NNS	sector
"	''	"
.	SENT	.
<p>
Mr	NP	Mr
Netanyahu	NP	<unknown>
'	POS	'
s	NN	S
dilemma	NN	dilemma
is	VBZ	be
that	IN	that
even	RB	even
as	IN	as
he	PP	he
is	VBZ	be
being	VBG	be
offered	VBN	offer
the	DT	the
coalition	NN	coalition
against	IN	against
Iran	NP	Iran
that	IN	that
he	PP	he
has	VBZ	have
demanded	VBN	demand
for	IN	for
so	RB	so
many	JJ	many
years	NNS	year
,	,	,
his	PP$	his
far-right	JJ	far-right
allies	NNS	ally
in	IN	in
government	NN	government
are	VBP	be
demanding	VBG	demand
he	PP	he
take	VB	take
action	NN	action
which	WDT	which
would	MD	would
squander	VB	squander
that	DT	that
opportunity	NN	opportunity
.	SENT	.
They	PP	they
are	VBP	be
clamouring	VBG	clamour
for	IN	for
"	``	"
a	DT	a
crushing	VBG	crush
attack	NN	attack
"	''	"
,	,	,
in	IN	in
the	DT	the
words	NNS	word
of	IN	of
Itamar	NP	Itamar
Ben-Gvir	NP	<unknown>
,	,	,
the	DT	the
national-security	NN	national-security
minister	NN	minister
.	SENT	.
The	DT	the
far	JJ	far
right	NN	right
is	VBZ	be
also	RB	also
worried	VBN	worry
that	IN	that
America	NP	America
will	MD	will
force	VB	force
Israel	NP	Israel
into	IN	into
agreeing	VBG	agree
to	TO	to
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
and	CC	and
the	DT	the
return	NN	return
of	IN	of
the	DT	the
Palestinian	NP	Palestinian
Authority	NP	Authority
there	RB	there
.	SENT	.
Mr	NP	Mr
Netanyahu	NP	<unknown>
'	POS	'
s	NN	S
silence	NN	silence
is	VBZ	be
explained	VBN	explain
by	IN	by
his	PP$	his
dependence	NN	dependence
on	IN	on
the	DT	the
support	NN	support
of	IN	of
such	JJ	such
political	JJ	political
allies	NNS	ally
.	SENT	.
<p>
But	CC	but
Aryeh	NP	Aryeh
Deri	NP	Deri
,	,	,
one	CD	one
of	IN	of
the	DT	the
prime	JJ	prime
minister	NN	minister
'	POS	'
s	JJ	<unknown>
closest	JJS	close
allies	NNS	ally
in	IN	in
the	DT	the
government	NN	government
,	,	,
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
.	SENT	.
"	``	"
We	PP	we
have	VBP	have
to	TO	to
remember	VB	remember
that	IN	that
there	EX	there
is	VBZ	be
still	RB	still
an	DT	an
unfinished	JJ	unfinished
campaign	NN	campaign
in	IN	in
Gaza	NP	Gaza
,	,	,
"	''	"
said	VBD	say
Mr	NP	Mr
Deri	NP	Deri
.	SENT	.
"	``	"
At	IN	at
a	DT	a
time	NN	time
like	IN	like
this	DT	this
,	,	,
we	PP	we
should	MD	should
n't	RB	n't
open	VB	open
more	JJR	more
fronts	NNS	front
.	SENT	.
"	''	"
?	SENT	?
<p>
Sign	VB	sign
up	RB	up
to	TO	to
the	DT	the
Middle	NP	Middle
East	NP	East
Dispatch	NP	Dispatch
,	,	,
a	DT	a
weekly	JJ	weekly
newsletter	NN	newsletter
that	WDT	that
keeps	VBZ	keep
you	PP	you
in	IN	in
the	DT	the
loop	NN	loop
on	IN	on
a	DT	a
fascinating	JJ	fascinating
,	,	,
complex	JJ	complex
and	CC	and
consequential	JJ	consequential
part	NN	part
of	IN	of
the	DT	the
world	NN	world
.	SENT	.
