<p>
(	(	(
Israeli	JJ	Israeli
flags	NNS	flag
,	,	,
other	JJ	other
more	JJR	more
vocal	JJ	vocal
SFF	NP	SFF
attendees	NNS	attendee
could	MD	could
be	VB	be
overheard	VBN	overhear
saying	VBG	say
that	IN	that
terrorists	NNS	terrorist
"	``	"
killed	VBN	kill
"	''	"
members	NNS	member
of	IN	of
their	PP$	their
own	JJ	own
families	NNS	family
to	TO	to
the	DT	the
pro-Palestinian	NP	pro-Palestinian
demonstrators	NNS	demonstrator
.	SENT	.
<p>
At	IN	at
Sundance	NP	Sundance
for	IN	for
the	DT	the
genre	NN	genre
film	NN	film
Your	PP$	your
Monsters	NNS	monster
,	,	,
Barrera	NP	Barrera
has	VBZ	have
been	VBN	be
outspoken	JJ	outspoken
in	IN	in
her	PP$	her
support	NN	support
of	IN	of
Palestine	NP	Palestine
.	SENT	.
Barrera	NP	Barrera
has	VBZ	have
also	RB	also
advocated	VBN	advocate
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
the	DT	the
Gaza	NP	Gaza
War	NP	War
that	WDT	that
erupted	VBD	erupt
soon	RB	soon
after	IN	after
Hamas	NP	<unknown>
'	POS	'
bloody	JJ	bloody
and	CC	and
sexual	JJ	sexual
assault	NN	assault
filled	VBN	fill
attack	NN	attack
on	IN	on
communities	NNS	community
and	CC	and
military	JJ	military
bases	NNS	base
near	IN	near
the	DT	the
border	NN	border
with	IN	with
the	DT	the
Jewish	JJ	Jewish
state	NN	state
.	SENT	.
<p>
Barrera	NP	Barrera
'	POS	'
s	JJ	<unknown>
pro-Palestinian	NP	pro-Palestinian
support	NN	support
on	IN	on
social	JJ	social
saw	NN	saw
her	PP	her
get	VBP	get
fired	VBN	fire
by	IN	by
Spyglass	NN	spyglass
Media	NN	Media
from	IN	from
Scream	NN	scream
VII	CD	@card@
back	NN	back
in	IN	in
November	NP	November
as	IN	as
the	DT	the
studio	NN	studio
considered	VBD	consider
her	PP$	her
remarks	NNS	remark
to	TO	to
be	VB	be
anti-semitic	JJ	anti-semitic
.	SENT	.
She	PP	she
broke	VBD	break
her	PP$	her
silence	NN	silence
days	NNS	day
later	RBR	later
on	IN	on
social	JJ	social
exclaiming	VBG	exclaim
,	,	,
"	''	"
First	NP	First
and	CC	and
foremost	RB	foremost
I	PP	I
condemn	VB	condemn
Anti-Semitism	NN	anti-semitism
and	CC	and
Islamophobia	NN	Islamophobia
.	SENT	.
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
group	NN	group
of	IN	of
people	NNS	people
,	,	,
"	''	"
Barrera	NP	Barrera
said	VBD	say
in	IN	in
a	DT	a
statement	NN	statement
shared	VBN	share
on	IN	on
Instagram	NP	<unknown>
Stories	NP	Stories
.	SENT	.
<p>
Today	NP	Today
Barrera	NP	Barrera
told	VBD	tell
Deadline	NN	deadline
she	PP	she
was	VBD	be
"	``	"
not	RB	not
doing	VBG	do
any	DT	any
interviews	NNS	interview
,	,	,
but	CC	but
you	PP	you
are	VBP	be
welcome	JJ	welcome
to	TO	to
take	VB	take
video	NN	video
of	IN	of
me	PP	me
.	SENT	.
"	''	"
Later	RBR	later
,	,	,
hanging	VBG	hang
back	RB	back
from	IN	from
the	DT	the
banners	NNS	banner
at	IN	at
the	DT	the
front	NN	front
of	IN	of
the	DT	the
marchers	NNS	marcher
,	,	,
Barrera	NP	Barrera
recited	VBD	recite
with	IN	with
the	DT	the
crowd	NN	crowd
:	:	:
"	``	"
In	IN	in
our	PP$	our
thousands	NNS	thousand
,	,	,
in	IN	in
our	PP$	our
millions	NNS	million
,	,	,
we	PP	we
are	VBP	be
all	DT	all
Palestinians	NPS	Palestinians
!	SENT	!
"	''	"
<p>
A	DT	a
rep	NN	rep
for	IN	for
the	DT	the
Islamic	JJ	Islamic
Scholarship	NN	scholarship
Fund	NN	fund
at	IN	at
the	DT	the
protest	NN	protest
told	VBD	tell
Deadline	NN	deadline
that	IN	that
they	PP	they
were	VBD	be
there	RB	there
because	RB	because
,	,	,
"	''	"
We	PP	we
fully	RB	fully
support	VBP	support
every	DT	every
single	JJ	single
artist	NN	artist
'	POS	'
s	JJ	<unknown>
right	NN	right
to	TO	to
make	VB	make
art	NN	art
that	IN	that
they	PP	they
want	VBP	want
to	TO	to
make	VB	make
and	CC	and
protest	VB	protest
for	IN	for
free	JJ	free
Palestine	NP	Palestine
.	SENT	.
"	``	"
Another	DT	another
protester	NN	protester
on	IN	on
Main	NP	Main
Street	NP	Street
said	VBD	say
,	,	,
"	``	"
I	PP	I
support	VBP	support
an	DT	an
end	NN	end
to	TO	to
all	DT	all
genocide	NN	genocide
that	WDT	that
includes	VBZ	include
the	DT	the
genocide	NN	genocide
that	RB	that
'	POS	'
s	NNS	<unknown>
happening	VBG	happen
right	RB	right
now	RB	now
.	SENT	.
"	``	"
<p>
Pose	NN	pose
star	NN	star
Indy	NP	Indy
Moore	NP	Moore
was	VBD	be
also	RB	also
among	IN	among
the	DT	the
protesters	NNS	protester
,	,	,
advocating	VBG	advocate
for	IN	for
a	DT	a
free	JJ	free
Palestine	NP	Palestine
.	SENT	.
Moore	NP	Moore
is	VBZ	be
attending	VBG	attend
Sundance	NP	Sundance
this	DT	this
year	NN	year
to	TO	to
promote	VB	promote
the	DT	the
premiere	NN	premiere
of	IN	of
Ponyboi	NP	<unknown>
.	SENT	.
<p>
Sundance	NP	Sundance
organizers	NNS	organizer
had	VBD	have
no	DT	no
comment	NN	comment
this	DT	this
afternoon	NN	afternoon
on	IN	on
the	DT	the
protests	NNS	protest
.	SENT	.
However	RB	however
,	,	,
on	IN	on
January	NP	January
19	CD	@card@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
the	DT	the
Festival	NP	Festival
itself	PP	itself
,	,	,
the	DT	the
safety	NN	safety
and	CC	and
security	NN	security
of	IN	of
our	PP$	our
festival	NN	festival
goers	NNS	goer
is	VBZ	be
always	RB	always
of	IN	of
concern	NN	concern
to	TO	to
us	PP	us
,	,	,
and	CC	and
we	PP	we
consistently	RB	consistently
work	VBP	work
with	IN	with
local	JJ	local
law	NN	law
enforcement	NN	enforcement
to	TO	to
uphold	VB	uphold
an	DT	an
environment	NN	environment
that	WDT	that
is	VBZ	be
welcoming	VBG	welcome
,	,	,
inspiring	JJ	inspiring
,	,	,
and	CC	and
secure	VB	secure
for	IN	for
all	PDT	all
our	PP$	our
attendees	NNS	attendee
.	SENT	.
"	``	"
<p>
The	DT	the
Let	NP	Let
Gaza	NP	Gaza
Live	NP	Live
protest	NN	protest
has	VBZ	have
been	VBN	be
in	IN	in
the	DT	the
works	NNS	work
for	IN	for
weeks	NNS	week
.	SENT	.
Protestors	NNS	protestor
boarded	VBD	board
buses	NNS	bus
at	IN	at
Kimball	NP	Kimball
Junction	NN	junction
Station	NP	Station
,	,	,
seven	CD	seven
miles	NNS	mile
from	IN	from
Main	NP	Main
Street	NP	Street
,	,	,
before	IN	before
touching	VBG	touch
down	RP	down
at	IN	at
the	DT	the
main	JJ	main
bus	NN	bus
depot	NN	depot
near	IN	near
Swede	NP	Swede
Alley	NP	Alley
.	SENT	.
<p>
While	IN	while
miles	NNS	mile
apart	RB	apart
,	,	,
the	DT	the
protest	NN	protest
today	NN	today
occurred	VBD	occur
at	IN	at
almost	RB	almost
the	DT	the
same	JJ	same
time	NN	time
as	IN	as
a	DT	a
Sects	NNS	sect
,	,	,
Lies	NP	Lies
&amp	NNS	<unknown>
;	:	;
Videotape	NN	videotape
:	:	:
Debunking	VBG	debunk
Deadly	JJ	deadly
Tropes	NNS	trope
About	IN	about
Jews	NPS	Jews
and	CC	and
Israel	NP	Israel
in	IN	in
TV	NP	TV
,	,	,
Film	NP	Film
and	CC	and
Media	NP	Media
panel	NN	panel
.	SENT	.
That	DT	that
panel	NN	panel
included	VBD	include
activist	NN	activist
and	CC	and
producer	NN	producer
Noa	NP	Noa
Tishby	NP	<unknown>
.	SENT	.
Calling	VBG	call
the	DT	the
protestors	NNS	protestor
"	``	"
misinformed	VBN	misinform
"	''	"
and	CC	and
"	``	"
useful	JJ	useful
idiots	NNS	idiot
,	,	,
"	''	"
Tishby	NP	<unknown>
told	VBD	tell
Deadline	NN	deadline
earlier	RBR	earlier
today	NN	today
that	IN	that
she	PP	she
hoped	VBD	hope
to	TO	to
make	VB	make
it	PP	it
over	RP	over
to	TO	to
Main	NP	Main
Street	NP	Street
to	TO	to
speak	VB	speak
directly	RB	directly
with	IN	with
the	DT	the
demonstrators	NNS	demonstrator
.	SENT	.
<p>
The	DT	the
larger	JJR	large
rally	NN	rally
Sunday	NP	Sunday
was	VBD	be
preceded	VBN	precede
by	IN	by
a	DT	a
gathering	NN	gathering
of	IN	of
25	CD	@card@
Pro-Palestinian	NP	Pro-Palestinian
attendees	NNS	attendee
earlier	RBR	earlier
this	DT	this
morning	NN	morning
.	SENT	.
On	IN	on
January	NP	January
20	CD	@card@
,	,	,
a	DT	a
smaller	JJR	small
group	NN	group
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
.	SENT	.
Main	JJ	main
Street	NP	Street
.	SENT	.
That	DT	that
vigil	NN	vigil
yesterday	NN	yesterday
saw	VBD	see
organizers	NNS	organizer
read	VB	read
off	RP	off
a	DT	a
list	NN	list
of	IN	of
names	NNS	name
"	''	"
whose	WP$	whose
stories	NNS	story
ended	VBD	end
in	IN	in
martyrdom	NN	martyrdom
,	,	,
"	''	"
as	RB	as
well	RB	well
as	IN	as
Angel	NP	Angel
of	IN	of
Gaza	NP	Gaza
documentary	NN	documentary
director	NN	director
Ahmed	NP	Ahmed
Mansour	NP	Mansour
speaking	NN	speaking
<p>
Posting	VBG	post
earlier	RBR	earlier
this	DT	this
week	NN	week
on	IN	on
social	JJ	social
,	,	,
the	DT	the
Let	NP	Let
Gaza	NP	Gaza
Live	NP	Live
event	NN	event
wrote	VBD	write
"	''	"
While	IN	while
bombs	NNS	bomb
are	VBP	be
dropping	VBG	drop
,	,	,
the	DT	the
people	NNS	people
can	MD	can
not	RB	not
continue	VB	continue
watching	VBG	watch
films	NNS	film
on	IN	on
their	PP$	their
screens	NNS	screen
while	IN	while
ignoring	VBG	ignore
a	DT	a
genocide	NN	genocide
in	IN	in
Gaza	NP	Gaza
.	SENT	.
"	''	"
<p>
"	``	"
While	IN	while
we	PP	we
do	VBP	do
not	RB	not
take	VB	take
issue	NN	issue
with	IN	with
Sundance	NP	Sundance
as	IN	as
a	DT	a
whole	NN	whole
,	,	,
we	PP	we
aim	VBP	aim
to	TO	to
let	VB	let
spectators	NNS	spectator
and	CC	and
news	NN	news
reporters	NNS	reporter
know	VBP	know
that	IN	that
Utah	NP	Utah
stands	VBZ	stand
with	IN	with
Palestine	NP	Palestine
,	,	,
"	''	"
the	DT	the
group	NN	group
Palestinian	JJ	Palestinian
Solidarity	NP	Solidarity
UT	NP	UT
added	VBD	add
.	SENT	.
The	DT	the
organizers	NNS	organizer
are	VBP	be
not	RB	not
affiliated	VBN	affiliate
with	IN	with
the	DT	the
overall	JJ	overall
Sundance	NP	Sundance
Film	NP	Film
Festival	NP	Festival
.	SENT	.
<p>
Hamas	NP	<unknown>
attacked	VBD	attack
Israel	NP	Israel
on	IN	on
Oct.	NP	Oct.
7	CD	@card@
.	SENT	.
More	JJR	more
than	IN	than
1400	CD	@card@
were	VBD	be
left	VBN	leave
dead	RB	dead
from	IN	from
the	DT	the
brutal	JJ	brutal
siege	NN	siege
as	IN	as
detailed	JJ	detailed
evidence	NN	evidence
shows	VBZ	show
wide-spread	NN	wide-spread
rapes	NNS	rape
and	CC	and
hundreds	NNS	hundred
of	IN	of
people	NNS	people
,	,	,
including	VBG	include
children	NNS	child
,	,	,
taken	VBN	take
hostage	NN	hostage
.	SENT	.
Within	IN	within
hours	NNS	hour
,	,	,
Israel	NP	Israel
struck	VBD	strike
back	RB	back
by	IN	by
bombing	VBG	bomb
potential	JJ	potential
Hamas	JJ	<unknown>
strongholds	NNS	stronghold
.	SENT	.
Within	IN	within
weeks	NNS	week
,	,	,
tens	NNS	ten
of	IN	of
thousands	NNS	thousand
of	IN	of
IDF	NP	IDF
troops	NNS	troop
crossed	VBD	cross
the	DT	the
border	NN	border
into	IN	into
Gaza	NP	Gaza
territory	NN	territory
.	SENT	.
As	IN	as
Hamas	JJ	<unknown>
leadership	NN	leadership
have	VBP	have
gone	VBN	go
into	IN	into
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
of	IN	of
the	DT	the
population	NN	population
upended	VBD	upend
.	SENT	.
More	JJR	more
than	IN	than
24,000	CD	@card@
Palestinians	NNS	Palestinian
--	:	--
including	VBG	include
16,000	CD	@card@
women	NNS	woman
and	CC	and
children	NNS	child
--	:	--
have	VBP	have
been	VBN	be
killed	VBN	kill
since	IN	since
Israel	NP	Israel
'	POS	'
s	NN	S
offensive	NN	offensive
began	VBD	begin
,	,	,
according	VBG	accord
to	TO	to
the	DT	the
Hamas-run	NP	<unknown>
Gazan	NP	<unknown>
health	NN	health
ministry	NN	ministry
.	SENT	.
<p>
Politics	NNS	politics
mixing	VBG	mix
with	IN	with
cinemas	NNS	cinema
is	VBZ	be
de	NP	de
rigueur	NP	rigueur
at	IN	at
Sundance	NP	Sundance
.	SENT	.
There	EX	there
were	VBD	be
two	CD	two
back-to-back	JJ	back-to-back
women	NNS	woman
'	POS	'
s	NN	S
marches	NNS	march
in	IN	in
2017	CD	@card@
and	CC	and
2018	CD	@card@
in	IN	in
response	NN	response
to	TO	to
the	DT	the
Donald	NP	Donald
Trump	NP	Trump
presidency	NN	presidency
;	:	;
the	DT	the
latter	JJ	latter
Respect	NN	respect
Rally	NN	rally
attended	VBD	attend
then	RB	then
by	IN	by
Jane	NP	Jane
Fonda	NP	Fonda
,	,	,
Gloria	NP	Gloria
Allred	NP	Allred
and	CC	and
Thor	NP	Thor
actress	NN	actress
Tessa	NP	Tessa
Thompson	NP	Thompson
.	SENT	.
The	DT	the
2017	CD	@card@
March	NP	March
on	IN	on
Main	NP	Main
counted	VBD	count
8,000	CD	@card@
strong	JJ	strong
,	,	,
while	IN	while
the	DT	the
2018	CD	@card@
rally	NN	rally
drew	VBD	draw
400	CD	@card@
people	NNS	people
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
a	DT	a
fierce	JJ	fierce
snowstorm	NN	snowstorm
at	IN	at
the	DT	the
time	NN	time
.	SENT	.
