<h>
LA	NP	LA
chemical-induced	JJ	<unknown>
injuries	NNS	injury
.	SENT	.
<p>
On	IN	on
is	VBZ	be
the	DT	the
first	JJ	first
individual	NN	individual
facing	VBG	face
charges	NNS	charge
in	IN	in
connection	NN	connection
with	IN	with
the	DT	the
violent	JJ	violent
attack	NN	attack
.	SENT	.
A	DT	a
criminal	JJ	criminal
investigation	NN	investigation
into	IN	into
the	DT	the
events	NNS	event
on	IN	on
April	NP	April
30	CD	@card@
at	IN	at
the	DT	the
UCLA	NP	UCLA
campus	NN	campus
is	VBZ	be
ongoing	JJ	ongoing
,	,	,
according	VBG	accord
to	TO	to
the	DT	the
district	NN	district
attorney	NN	attorney
'	POS	'
s	NN	S
office	NN	office
.	SENT	.
<p>
The	DT	the
district	NN	district
attorney	NN	attorney
'	POS	'
s	JJ	<unknown>
news	NN	news
release	NN	release
says	VBZ	say
"	``	"
one	CD	one
other	JJ	other
matter	NN	matter
involving	VBG	involve
the	DT	the
UCLA	NP	UCLA
demonstration	NN	demonstration
has	VBZ	have
been	VBN	be
presented	VBN	present
to	TO	to
the	DT	the
office	NN	office
and	CC	and
is	VBZ	be
currently	RB	currently
under	IN	under
review	NN	review
.	SENT	.
"	``	"
