<p>
Prime	NP	Prime
the	DT	the
disclosure	NN	disclosure
of	IN	of
a	DT	a
classified	JJ	classified
piece	NN	piece
of	IN	of
information	NN	information
,	,	,
disclosure	NN	disclosure
of	IN	of
a	DT	a
classified	JJ	classified
piece	NN	piece
of	IN	of
information	NN	information
with	IN	with
the	DT	the
intent	NN	intent
to	TO	to
harm	VB	harm
state	NN	state
security	NN	security
,	,	,
possession	NN	possession
of	IN	of
a	DT	a
classified	JJ	classified
piece	NN	piece
of	IN	of
information	NN	information
,	,	,
and	CC	and
obstruction	NN	obstruction
of	IN	of
justice	NN	justice
.	SENT	.
<h>
Where	WRB	where
has	VBZ	have
Feldstein	NP	Feldstein
been	VBN	be
?	SENT	?
<p>
Feldstein	NP	Feldstein
has	VBZ	have
been	VBN	be
held	VBN	hold
in	IN	in
prison	NN	prison
since	IN	since
his	PP$	his
arrest	NN	arrest
last	JJ	last
week	NN	week
;	:	;
he	PP	he
was	VBD	be
moved	VBN	move
to	TO	to
suicide	NN	suicide
watch	NN	watch
after	IN	after
a	DT	a
"	``	"
foreign	JJ	foreign
object	NN	object
"	''	"
was	VBD	be
discovered	VBN	discover
in	IN	in
his	PP$	his
cell	NN	cell
on	IN	on
Sunday	NP	Sunday
.	SENT	.
<p>
It	PP	it
remains	VBZ	remain
unclear	JJ	unclear
whether	IN	whether
Feldstein	NP	Feldstein
was	VBD	be
acting	VBG	act
on	IN	on
his	PP$	his
own	JJ	own
accord	NN	accord
or	CC	or
by	IN	by
Netanyahu	NP	<unknown>
'	POS	'
s	NN	S
orders	NNS	order
.	SENT	.
<p>
Netanyahu	NP	<unknown>
has	VBZ	have
denied	VBN	deny
that	IN	that
Feldstein	NP	Feldstein
was	VBD	be
ever	RB	ever
an	DT	an
employee	NN	employee
of	IN	of
his	PP$	his
or	CC	or
closely	RB	closely
associated	VBN	associate
with	IN	with
him	PP	him
.	SENT	.
However	RB	however
,	,	,
Israeli	JJ	Israeli
media	NNS	medium
has	VBZ	have
been	VBN	be
full	JJ	full
of	IN	of
images	NNS	image
of	IN	of
the	DT	the
two	CD	two
together	RB	together
at	IN	at
numerous	JJ	numerous
events	NNS	event
across	IN	across
Israel	NP	Israel
.	SENT	.
<p>
He	PP	he
accused	VBD	accuse
the	DT	the
security	NN	security
services	NNS	service
of	IN	of
being	VBG	be
overly	RB	overly
interested	JJ	interested
in	IN	in
this	DT	this
case	NN	case
in	IN	in
an	DT	an
attempt	NN	attempt
to	TO	to
discredit	VB	discredit
him	PP	him
due	JJ	due
to	TO	to
the	DT	the
presence	NN	presence
of	IN	of
many	RB	many
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
puzzling	JJ	puzzling
why	WRB	why
out	RB	out
of	IN	of
all	PDT	all
these	DT	these
leaks	NNS	leak
,	,	,
this	DT	this
particular	JJ	particular
document	NN	document
-	NN	<unknown>
the	DT	the
contents	NNS	content
of	IN	of
which	WDT	which
were	VBD	be
known	VBN	know
to	TO	to
everyone	NN	everyone
and	CC	and
helped	VBD	help
the	DT	the
State	NN	state
of	IN	of
Israel	NP	Israel
-	NN	<unknown>
received	VBD	receive
such	PDT	such
an	DT	an
aggressive	JJ	aggressive
and	CC	and
trendsetting	JJ	trendsetting
investigation	NN	investigation
.	SENT	.
"	''	"
<p>
A	DT	a
lawyer	NN	lawyer
for	IN	for
the	DT	the
unnamed	JJ	unnamed
IDF	NP	IDF
officer	NN	officer
said	VBD	say
earlier	RBR	earlier
this	DT	this
month	NN	month
that	IN	that
contrary	JJ	contrary
to	TO	to
his	PP$	his
office	NN	office
'	POS	'
s	NN	S
denials	NNS	denial
,	,	,
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
was	VBD	be
aware	JJ	aware
of	IN	of
the	DT	the
illegal	JJ	illegal
leaks	NNS	leak
of	IN	of
classified	JJ	classified
information	NN	information
to	TO	to
the	DT	the
foreign	JJ	foreign
press	NN	press
.	SENT	.
<p>
The	DT	the
lawyer	NN	lawyer
,	,	,
Michael	NP	Michael
Fetman	NP	<unknown>
,	,	,
said	VBD	say
that	IN	that
Feldstein	NP	Feldstein
told	VBD	tell
his	PP$	his
client	NN	client
that	IN	that
he	PP	he
had	VBD	have
passed	VBN	pass
on	IN	on
the	DT	the
information	NN	information
to	TO	to
Netanyahu	NP	<unknown>
and	CC	and
that	IN	that
"	``	"
the	DT	the
prime	JJ	prime
minister	NN	minister
wanted	VBD	want
more	JJR	more
information	NN	information
and	CC	and
cleared	VBD	clear
a	DT	a
full	JJ	full
day	NN	day
to	TO	to
treat	VB	treat
the	DT	the
issue	NN	issue
.	SENT	.
"	``	"
<p>
The	DT	the
Prime	NP	Prime
Minister	NP	Minister
'	POS	'
s	NN	S
Office	NN	office
responded	VBD	respond
to	TO	to
the	DT	the
claims	NNS	claim
saying	VBG	say
"	''	"
It	PP	it
hurts	VBZ	hurt
us	PP	us
very	RB	very
much	JJ	much
that	IN	that
the	DT	the
lives	NNS	life
of	IN	of
young	JJ	young
people	NNS	people
are	VBP	be
being	VBG	be
destroyed	VBN	destroy
by	IN	by
idle	JJ	idle
claims	NNS	claim
meant	VBN	mean
to	TO	to
harm	VB	harm
the	DT	the
right-wing	JJ	right-wing
government	NN	government
.	SENT	.
"	``	"
<p>
The	DT	the
PMO	NP	PMO
also	RB	also
came	VBD	come
out	RP	out
against	IN	against
the	DT	the
conditions	NNS	condition
of	IN	of
Feldstein	NP	Feldstein
'	POS	'
s	NN	S
arrest	NN	arrest
and	CC	and
examination	NN	examination
,	,	,
and	CC	and
called	VBD	call
this	DT	this
"	``	"
more	JJR	more
outrageous	JJ	outrageous
"	``	"
given	VBN	give
the	DT	the
fact	NN	fact
that	IN	that
there	EX	there
has	VBZ	have
not	RB	not
been	VBN	be
an	DT	an
investigation	NN	investigation
into	IN	into
"	``	"
criminal	JJ	criminal
leaks	NNS	leak
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
year	NN	year
of	IN	of
the	DT	the
war	NN	war
.	SENT	.
"	''	"
<p>
The	DT	the
leaked	VBN	leak
information	NN	information
is	VBZ	be
under	IN	under
gag	NN	gag
order	NN	order
but	CC	but
is	VBZ	be
widely	RB	widely
believed	VBN	believe
to	TO	to
be	VB	be
connected	VBN	connect
to	TO	to
a	DT	a
document	NN	document
leaked	VBN	leak
in	IN	in
early	JJ	early
September	NP	September
to	TO	to
the	DT	the
German	JJ	German
newspaper	NN	newspaper
Bild	NN	Bild
,	,	,
which	WDT	which
said	VBD	say
that	IN	that
,	,	,
amongst	IN	amongst
other	JJ	other
details	NNS	detail
,	,	,
Hamas	NNS	<unknown>
was	VBD	be
intentionally	RB	intentionally
sowing	VBG	sow
internal	JJ	internal
division	NN	division
in	IN	in
Israel	NP	Israel
over	IN	over
the	DT	the
hostage	NN	hostage
issue	NN	issue
and	CC	and
did	VBD	do
not	RB	not
intend	VB	intend
to	TO	to
go	VB	go
through	RP	through
with	IN	with
a	DT	a
deal	NN	deal
.	SENT	.
<p>
Notably	RB	notably
,	,	,
Bild	NP	Bild
'	POS	'
s	NN	S
report	NN	report
was	VBD	be
published	VBN	publish
as	IN	as
public	JJ	public
pressure	NN	pressure
against	IN	against
the	DT	the
prime	JJ	prime
minister	NN	minister
and	CC	and
in	IN	in
favor	NN	favor
of	IN	of
a	DT	a
deal	NN	deal
peaked	VBN	peak
after	IN	after
the	DT	the
bodies	NNS	body
of	IN	of
six	CD	six
hostages	NNS	hostage
had	VBD	have
been	VBN	be
located	VBN	locate
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
after	IN	after
being	VBG	be
executed	VBN	execute
just	RB	just
days	NNS	day
before	RB	before
.	SENT	.
<p>
In	IN	in
addition	NN	addition
to	TO	to
the	DT	the
illegal	JJ	illegal
obtaining	VBG	obtain
and	CC	and
leaking	VBG	leak
of	IN	of
the	DT	the
documents	NNS	document
,	,	,
Feldstein	NP	Feldstein
is	VBZ	be
also	RB	also
reportedly	RB	reportedly
being	VBG	be
investigated	VBN	investigate
for	IN	for
tampering	VBG	tamper
with	IN	with
the	DT	the
document	NN	document
before	IN	before
it	PP	it
was	VBD	be
leaked	VBN	leak
.	SENT	.
<p>
The	DT	the
investigation	NN	investigation
into	IN	into
the	DT	the
leaked	VBN	leak
information	NN	information
is	VBZ	be
being	VBG	be
run	VBN	run
by	IN	by
the	DT	the
Shin	NP	Shin
Bet	NP	Bet
(	(	(
Israel	NP	Israel
Security	NP	Security
Agency	NP	Agency
)	)	)
.	SENT	.
<p>
Another	DT	another
investigation	NN	investigation
led	VBN	lead
by	IN	by
the	DT	the
Israel	NP	Israel
Police	NP	Police
'	POS	'
s	JJ	<unknown>
Lahav	NP	<unknown>
433	CD	@card@
unit	NN	unit
is	VBZ	be
ongoing	JJ	ongoing
,	,	,
reportedly	RB	reportedly
regarding	VBG	regard
allegations	NNS	allegation
of	IN	of
members	NNS	member
of	IN	of
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
'	POS	'
s	JJ	<unknown>
Office	NN	office
tampering	VBG	tamper
with	IN	with
official	JJ	official
protocols	NNS	protocol
of	IN	of
meetings	NNS	meeting
and	CC	and
phone	NN	phone
conversations	NNS	conversation
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
and	CC	and
the	DT	the
hours	NNS	hour
after	IN	after
it	PP	it
.	SENT	.
<p>
The	DT	the
suspicion	NN	suspicion
is	VBZ	be
that	IN	that
the	DT	the
goal	NN	goal
of	IN	of
this	DT	this
alleged	VBN	allege
tampering	VBG	tamper
was	VBD	be
to	TO	to
minimize	VB	minimize
the	DT	the
prime	JJ	prime
minister	NN	minister
'	POS	'
s	NN	S
involvement	NN	involvement
and	CC	and
thus	RB	thus
his	PP$	his
direct	JJ	direct
responsibility	NN	responsibility
in	IN	in
the	DT	the
proceedings	NNS	proceeding
.	SENT	.
