<h>
Despite	IN	despite
s	VBG	<unknown>
no	DT	no
oxygen	NN	oxygen
...	:	...
he	PP	he
ca	MD	ca
n't	RB	n't
open	VB	open
his	PP$	his
eyes	NNS	eye
,	,	,
he	PP	he
ca	MD	ca
n't	RB	n't
move	VB	move
his	PP$	his
hands	NNS	hand
.	SENT	.
"	``	"
<p>
The	DT	the
four-day	JJ	four-day
truce	NN	truce
announced	VBD	announce
Wednesday	NP	Wednesday
is	VBZ	be
expected	VBN	expect
to	TO	to
free	JJ	free
dozens	NNS	dozen
of	IN	of
Israeli	JJ	Israeli
hostages	NNS	hostage
held	VBN	hold
by	IN	by
militants	NNS	militant
as	RB	as
well	RB	well
as	IN	as
Palestinians	NNS	Palestinian
imprisoned	VBN	imprison
in	IN	in
Israel	NP	Israel
.	SENT	.
It	PP	it
would	MD	would
also	RB	also
bring	VB	bring
a	DT	a
large	JJ	large
influx	NN	influx
of	IN	of
aid	NN	aid
to	TO	to
the	DT	the
besieged	JJ	besieged
territory	NN	territory
.	SENT	.
A	DT	a
Qatari	JJ	Qatari
foreign	JJ	foreign
ministry	NN	ministry
spokesman	NN	spokesman
said	VBD	say
Thursday	NP	Thursday
the	DT	the
ceasefire	NN	ceasefire
will	MD	will
start	VB	start
at	IN	at
7	CD	@card@
a.m.	NN	a.m.
local	JJ	local
time	NN	time
Friday	NP	Friday
,	,	,
a	DT	a
day	NN	day
later	RBR	later
than	IN	than
originally	RB	originally
announced	VBN	announce
.	SENT	.
<p>
"	``	"
It	PP	it
will	MD	will
be	VB	be
good	JJ	good
,	,	,
"	''	"
El-Khalidy	NP	<unknown>
said	VBD	say
of	IN	of
the	DT	the
ceasefire	NN	ceasefire
,	,	,
adding	VBG	add
that	IN	that
it	PP	it
will	MD	will
make	VB	make
it	PP	it
easier	JJR	easy
for	IN	for
people	NNS	people
to	TO	to
bring	VB	bring
water	NN	water
and	CC	and
medicine	NN	medicine
to	TO	to
hospital	NN	hospital
patients	NNS	patient
like	IN	like
his	PP$	his
son	NN	son
.	SENT	.
<p>
El-Khalidy	NP	<unknown>
,	,	,
an	DT	an
accountant	NN	accountant
who	WP	who
worked	VBD	work
as	IN	as
a	DT	a
university	NN	university
professor	NN	professor
in	IN	in
Gaza	NP	Gaza
before	IN	before
moving	VBG	move
to	TO	to
Canada	NP	Canada
three	CD	three
years	NNS	year
ago	RB	ago
,	,	,
said	VBD	say
all	DT	all
his	PP$	his
family	NN	family
members	NNS	member
--	:	--
except	IN	except
for	IN	for
Mahmoud	NP	Mahmoud
--	:	--
were	VBD	be
on	IN	on
a	DT	a
list	NN	list
of	IN	of
people	NNS	people
with	IN	with
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
A	DT	a
Canadian	JJ	Canadian
permanent	JJ	permanent
resident	NN	resident
,	,	,
El-Khalidy	NP	<unknown>
said	VBD	say
he	PP	he
had	VBD	have
contacted	VBN	contact
Global	NP	Global
Affairs	NPS	Affairs
and	CC	and
was	VBD	be
told	VBN	tell
that	IN	that
his	PP$	his
son	NN	son
should	MD	should
go	VB	go
to	TO	to
the	DT	the
border	NN	border
anyway	RB	anyway
,	,	,
and	CC	and
that	IN	that
Canadian	JJ	Canadian
officials	NNS	official
would	MD	would
help	VB	help
him	PP	him
cross	VB	cross
with	IN	with
his	PP$	his
family	NN	family
.	SENT	.
<p>
However	RB	however
,	,	,
El-Khalidy	NP	<unknown>
said	VBD	say
the	DT	the
Egyptians	NNS	Egyptian
refused	VBD	refuse
to	TO	to
allow	VB	allow
Mahmoud	NP	Mahmoud
to	TO	to
cross	VB	cross
and	CC	and
initially	RB	initially
balked	VBD	balk
at	IN	at
letting	VBG	let
any	DT	any
of	IN	of
the	DT	the
family	NN	family
in	IN	in
.	SENT	.
<p>
Caroline	NP	Caroline
and	CC	and
her	PP$	her
three	CD	three
children	NNS	child
and	CC	and
one	CD	one
of	IN	of
El-Khalidy	NP	<unknown>
'	POS	'
s	JJ	<unknown>
other	JJ	other
sons	NNS	son
,	,	,
Mohammed	NP	Mohammed
,	,	,
and	CC	and
his	PP$	his
children	NNS	child
stayed	VBD	stay
behind	IN	behind
with	IN	with
Mahmoud	NP	Mahmoud
.	SENT	.
He	PP	he
said	VBD	say
Mohammed	NP	Mohammed
and	CC	and
several	JJ	several
of	IN	of
the	DT	the
children	NNS	child
were	VBD	be
also	RB	also
injured	VBN	injure
in	IN	in
the	DT	the
blast	NN	blast
.	SENT	.
<p>
Caroline	NP	Caroline
'	POS	'
s	JJ	<unknown>
oldest	JJS	old
child	NN	child
,	,	,
a	DT	a
six-year-old	JJ	six-year-old
girl	NN	girl
,	,	,
was	VBD	be
the	DT	the
most	RBS	most
seriously	RB	seriously
injured	VBN	injure
and	CC	and
is	VBZ	be
also	RB	also
in	IN	in
hospital	NN	hospital
,	,	,
El-Khalidy	NP	<unknown>
said	VBD	say
.	SENT	.
He	PP	he
said	VBD	say
he	PP	he
spoke	VBD	speak
with	IN	with
the	DT	the
girl	NN	girl
yesterday	NN	yesterday
by	IN	by
phone	NN	phone
and	CC	and
she	PP	she
asked	VBD	ask
him	PP	him
why	WRB	why
he	PP	he
had	VBD	have
n't	RB	n't
yet	RB	yet
brought	VBD	bring
her	PP	her
to	TO	to
Canada	NP	Canada
.	SENT	.
"	``	"
She	PP	she
'	POS	'
s	NNS	<unknown>
afraid	JJ	afraid
,	,	,
she	PP	she
'	POS	'
s	NNS	<unknown>
scared	JJ	scared
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<p>
He	PP	he
said	VBD	say
he	PP	he
was	VBD	be
n't	RB	n't
able	JJ	able
to	TO	to
reach	VB	reach
family	NN	family
members	NNS	member
in	IN	in
Gaza	NP	Gaza
Wednesday	NP	Wednesday
,	,	,
and	CC	and
the	DT	the
last	JJ	last
time	NN	time
he	PP	he
spoke	VBD	speak
with	IN	with
them	PP	them
,	,	,
he	PP	he
was	VBD	be
told	VBN	tell
the	DT	the
Israeli	NN	Israeli
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
son	NN	son
was	VBD	be
being	VBG	be
treated	VBN	treat
.	SENT	.
"	``	"
What	WP	what
will	MD	will
happen	VB	happen
with	IN	with
my	PP$	my
son	NN	son
and	CC	and
my	PP$	my
grandchildren	NNS	grandchild
?	SENT	?
It	PP	it
is	VBZ	be
very	RB	very
horrible	JJ	horrible
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<p>
One	CD	one
of	IN	of
El-Khalidy	NP	<unknown>
'	POS	'
s	JJ	<unknown>
family	NN	family
members	NNS	member
who	WP	who
made	VBD	make
it	PP	it
out	RP	out
of	IN	of
Gaza	NP	Gaza
,	,	,
his	PP$	his
daughter	NN	daughter
Nisreen	NP	<unknown>
,	,	,
said	VBD	say
in	IN	in
a	DT	a
text	NN	text
message	NN	message
exchange	NN	exchange
from	IN	from
Egypt	NP	Egypt
that	IN	that
leaving	VBG	leave
behind	IN	behind
family	NN	family
was	VBD	be
difficult	JJ	difficult
.	SENT	.
<p>
"	``	"
It	PP	it
was	VBD	be
heartbreaking	JJ	heartbreaking
,	,	,
leaving	VBG	leave
when	WRB	when
part	NN	part
of	IN	of
our	PP$	our
family	NN	family
is	VBZ	be
still	RB	still
suffering	VBG	suffer
the	DT	the
pain	NN	pain
,	,	,
the	DT	the
fear	NN	fear
of	IN	of
getting	VBG	get
killed	VBN	kill
any	DT	any
time	NN	time
or	CC	or
being	VBG	be
starved	VBN	starve
to	TO	to
death	NN	death
,	,	,
"	''	"
she	PP	she
wrote	VBD	write
Thursday	NP	Thursday
.	SENT	.
"	``	"
It	PP	it
got	VBD	get
even	RB	even
worse	JJR	bad
when	WRB	when
my	PP$	my
brother	NN	brother
Mahmoud	NP	Mahmoud
could	MD	could
n't	RB	n't
join	VB	join
us	PP	us
even	RB	even
though	IN	though
he	PP	he
has	VBZ	have
been	VBN	be
granted	VBN	grant
Canadian	JJ	Canadian
permanent	JJ	permanent
residency	NN	residency
,	,	,
same	JJ	same
as	IN	as
us	PP	us
.	SENT	.
"	''	"
<p>
She	PP	she
said	VBD	say
Canadian	JJ	Canadian
officials	NNS	official
were	VBD	be
n't	RB	n't
able	JJ	able
to	TO	to
do	VB	do
anything	NN	anything
to	TO	to
help	VB	help
him	PP	him
at	IN	at
the	DT	the
border	NN	border
,	,	,
and	CC	and
he	PP	he
had	VBD	have
no	DT	no
choice	NN	choice
but	CC	but
to	TO	to
turn	VB	turn
back	RB	back
.	SENT	.
<p>
El-Khalidy	NP	<unknown>
said	VBD	say
his	PP$	his
wife	NN	wife
and	CC	and
six	CD	six
of	IN	of
his	PP$	his
children	NNS	child
who	WP	who
crossed	VBD	cross
into	IN	into
Egypt	NP	Egypt
now	RB	now
have	VB	have
to	TO	to
come	VB	come
up	RP	up
with	IN	with
$17,000	NN	<unknown>
--	:	--
money	NN	money
his	PP$	his
family	NN	family
does	VBZ	do
n't	RB	n't
have	VB	have
--	:	--
for	IN	for
airfare	NN	airfare
to	TO	to
Canada	NP	Canada
.	SENT	.
<p>
He	PP	he
said	VBD	say
the	DT	the
United	NP	United
States	NPS	States
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
their	PP$	their
residents	NNS	resident
to	TO	to
leave	VB	leave
Gaza	NP	Gaza
,	,	,
and	CC	and
he	PP	he
wants	VBZ	want
Canada	NP	Canada
to	TO	to
do	VB	do
the	DT	the
same	JJ	same
.	SENT	.
"	``	"
I	PP	I
need	VBP	need
the	DT	the
Canadian	JJ	Canadian
government	NN	government
to	TO	to
bring	VB	bring
my	PP$	my
kids	NNS	kid
,	,	,
my	PP$	my
sons	NNS	son
,	,	,
my	PP$	my
daughters	NNS	daughter
here	RB	here
immediately	RB	immediately
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<p>
Global	NP	Global
Affairs	NPS	Affairs
did	VBD	do
not	RB	not
respond	VB	respond
to	TO	to
a	DT	a
request	NN	request
for	IN	for
comment	NN	comment
on	IN	on
Thursday	NP	Thursday
.	SENT	.
<p>
This	DT	this
report	NN	report
by	IN	by
The	DT	the
Canadian	NP	Canadian
Press	NP	Press
was	VBD	be
first	RB	first
published	VBN	publish
Nov.	NP	Nov.
23	CD	@card@
,	,	,
2023	CD	@card@
.	SENT	.
<p>
--	:	--
With	IN	with
files	NNS	file
from	IN	from
The	DT	the
Associated	NP	Associated
Press	NP	Press
and	CC	and
Sidhartha	NP	<unknown>
Banerjee	NP	Banerjee
in	IN	in
Montreal	NP	Montreal
.	SENT	.
