<h>
More	JJR	more
spoke	VBD	speak
to	TO	to
him	PP	him
was	VBD	be
on	IN	on
the	DT	the
Wednesday	NP	Wednesday
before	IN	before
the	DT	the
ground	NN	ground
invasion	NN	invasion
.	SENT	.
<p>
"	``	"
The	DT	the
last	JJ	last
time	NN	time
we	PP	we
texted	VBD	<unknown>
each	DT	each
other	JJ	other
was	VBD	be
the	DT	the
next	JJ	next
day	NN	day
.	SENT	.
<p>
"	''	"
Then	RB	then
on	IN	on
Friday	NP	Friday
,	,	,
the	DT	the
day	NN	day
of	IN	of
the	DT	the
invasion	NN	invasion
,	,	,
we	PP	we
texted	VBD	<unknown>
him	PP	him
,	,	,
but	CC	but
did	VBD	do
not	RB	not
get	VB	get
a	DT	a
reply	NN	reply
.	SENT	.
<p>
"	``	"
The	DT	the
next	JJ	next
we	PP	we
heard	VBD	hear
was	VBD	be
that	IN	that
he	PP	he
had	VBD	have
been	VBN	be
killed	VBN	kill
.	SENT	.
"	''	"
<p>
Lavi	NP	Lavi
,	,	,
who	WP	who
served	VBD	serve
in	IN	in
the	DT	the
Givati	NP	<unknown>
Infantry	NN	infantry
Brigade	NN	brigade
'	POS	'
s	JJ	<unknown>
reconnaissance	NN	reconnaissance
unit	NN	unit
,	,	,
was	VBD	be
killed	VBN	kill
while	IN	while
fighting	VBG	fight
in	IN	in
the	DT	the
northern	JJ	northern
Gaza	NP	Gaza
Strip	NP	Strip
.	SENT	.
<p>
The	DT	the
family	NN	family
has	VBZ	have
been	VBN	be
crippled	VBN	cripple
by	IN	by
grief	NN	grief
but	CC	but
are	VBP	be
supporting	VBG	support
each	DT	each
other	JJ	other
and	CC	and
are	VBP	be
also	RB	also
comforted	VBN	comfort
by	IN	by
memories	NNS	memory
of	IN	of
Lavi	NP	Lavi
growing	VBG	grow
up	RP	up
.	SENT	.
<p>
Anafa	NP	<unknown>
said	VBD	say
:	:	:
"	``	"
My	PP$	my
earliest	JJS	early
memories	NNS	memory
of	IN	of
him	PP	him
as	IN	as
a	DT	a
younger	JJR	young
brother	NN	brother
were	VBD	be
that	IN	that
he	PP	he
was	VBD	be
annoying	VBG	annoy
,	,	,
but	CC	but
I	PP	I
was	VBD	be
probably	RB	probably
annoying	VBG	annoy
to	TO	to
him	PP	him
too	RB	too
.	SENT	.
<p>
"	``	"
We	PP	we
had	VBD	have
a	DT	a
typical	JJ	typical
brother-sister	NN	brother-sister
relationship	NN	relationship
.	SENT	.
<p>
"	``	"
He	PP	he
was	VBD	be
always	RB	always
an	DT	an
entrepreneur	NN	entrepreneur
,	,	,
even	RB	even
as	RB	as
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
to	TO	to
buy	VB	buy
something	NN	something
for	IN	for
our	PP$	our
computer	NN	computer
games	NNS	game
consoles	VBZ	console
so	RB	so
he	PP	he
had	VBD	have
the	DT	the
idea	NN	idea
of	IN	of
buying	VBG	buy
candy	NN	candy
and	CC	and
then	RB	then
selling	VBG	sell
it	PP	it
at	IN	at
school	NN	school
at	IN	at
a	DT	a
profit	NN	profit
.	SENT	.
<p>
"	''	"
He	PP	he
made	VBD	make
posters	NNS	poster
and	CC	and
leaflets	NNS	leaflet
and	CC	and
would	MD	would
sell	VB	sell
the	DT	the
candy	NN	candy
at	IN	at
the	DT	the
schoolgates	NNS	schoolgate
.	SENT	.
We	PP	we
made	VBD	make
a	DT	a
lot	NN	lot
of	IN	of
money	NN	money
.	SENT	.
"	''	"
<p>
Dad	NP	Dad
Nitzan	NP	<unknown>
laughed	VBD	laugh
:	:	:
"	``	"
The	DT	the
only	JJ	only
problem	NN	problem
was	VBD	be
that	IN	that
the	DT	the
school	NN	school
got	VBD	get
to	TO	to
hear	VB	hear
that	IN	that
a	DT	a
business	NN	business
was	VBD	be
being	VBG	be
run	VBN	run
on	IN	on
school	NN	school
premises	NNS	premise
and	CC	and
they	PP	they
put	VBD	put
a	DT	a
stop	NN	stop
to	TO	to
it	PP	it
.	SENT	.
<p>
"	``	"
He	PP	he
was	VBD	be
driven	VBN	drive
by	IN	by
arts	NNS	art
.	SENT	.
He	PP	he
was	VBD	be
an	DT	an
excellent	JJ	excellent
photographer	NN	photographer
and	CC	and
loved	VBD	love
modern	JJ	modern
art	NN	art
and	CC	and
the	DT	the
cinema	NN	cinema
.	SENT	.
"	''	"
<p>
Anafa	NP	<unknown>
,	,	,
who	WP	who
was	VBD	be
wearing	VBG	wear
the	DT	the
same	JJ	same
Pulp	NN	pulp
Fiction	NN	fiction
t-shirt	NNS	T-shirt
she	PP	she
wore	VBD	wear
to	TO	to
his	PP$	his
funeral	NN	funeral
,	,	,
said	VBD	say
:	:	:
"	``	"
He	PP	he
liked	VBD	like
Andy	NP	Andy
Warhol	NP	Warhol
and	CC	and
Wes	NP	Wes
Anderson	NP	Anderson
and	CC	and
Quentin	NP	Quentin
Tarantino	NP	Tarantino
and	CC	and
would	MD	would
quote	VB	quote
the	DT	the
religious	JJ	religious
verses	NNS	verse
that	IN	that
Samuel	NP	Samuel
L	NP	L
Jackson	NP	Jackson
'	POS	'
s	NN	S
character	NN	character
said	VBD	say
in	IN	in
the	DT	the
film	NN	film
.	SENT	.
<p>
"	``	"
His	PP$	his
Instagram	NN	<unknown>
has	VBZ	have
become	VBN	become
incredibly	RB	incredibly
popular	JJ	popular
which	WDT	which
is	VBZ	be
a	DT	a
comfort	NN	comfort
.	SENT	.
<p>
"	''	"
And	CC	and
the	DT	the
little	JJ	little
film	NN	film
he	PP	he
made	VBD	make
was	VBD	be
amazing	JJ	amazing
.	SENT	.
He	PP	he
wanted	VBD	want
to	TO	to
ask	VB	ask
this	DT	this
girl	NN	girl
out	IN	out
so	RB	so
he	PP	he
made	VBD	make
a	DT	a
film	NN	film
and	CC	and
sent	VBD	send
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
film	NN	film
,	,	,
which	WDT	which
was	VBD	be
inspired	VBN	inspire
by	IN	by
Wes	NP	Wes
Anderson	NP	Anderson
'	POS	'
s	NN	S
style	NN	style
,	,	,
is	VBZ	be
still	RB	still
great	JJ	great
to	TO	to
watch	VB	watch
.	SENT	.
<p>
"	''	"
Seeing	VBG	see
that	IN	that
and	CC	and
all	DT	all
of	IN	of
his	PP$	his
photographs	NNS	photograph
is	VBZ	be
a	DT	a
huge	JJ	huge
comfort	NN	comfort
.	SENT	.
He	PP	he
was	VBD	be
so	RB	so
talented	JJ	talented
.	SENT	.
"	''	"
<p>
Another	DT	another
thing	NN	thing
that	WDT	that
comforts	VBZ	comfort
the	DT	the
family	NN	family
is	VBZ	be
the	DT	the
messages	NNS	message
they	PP	they
have	VBP	have
received	VBN	receive
from	IN	from
people	NNS	people
at	IN	at
the	DT	the
kibbutz	NN	kibbutz
he	PP	he
was	VBD	be
deployed	VBN	deploy
to	TO	to
on	IN	on
October	NP	October
7	CD	@card@
.	SENT	.
<p>
Nitzan	NP	<unknown>
said	VBD	say
:	:	:
"	``	"
We	PP	we
have	VBP	have
had	VBD	have
messages	NNS	message
back	RB	back
from	IN	from
people	NNS	people
there	RB	there
saying	VBG	say
he	PP	he
was	VBD	be
so	RB	so
kind	JJ	kind
in	IN	in
helping	VBG	help
them	PP	them
get	VB	get
to	TO	to
safety	NN	safety
.	SENT	.
<p>
"	``	"
Although	IN	although
he	PP	he
paid	VBD	pay
the	DT	the
ultimate	JJ	ultimate
price	NN	price
and	CC	and
is	VBZ	be
not	RB	not
here	RB	here
any	DT	any
more	JJR	more
that	DT	that
is	VBZ	be
a	DT	a
great	JJ	great
comfort	NN	comfort
,	,	,
knowing	VBG	know
he	PP	he
helped	VBD	help
others	NNS	other
in	IN	in
their	PP$	their
hour	NN	hour
of	IN	of
need	NN	need
.	SENT	.
"	''	"
<p>
Anafa	NP	<unknown>
said	VBD	say
:	:	:
"	``	"
It	PP	it
does	VBZ	do
n't	RB	n't
seem	VB	seem
real	JJ	real
to	TO	to
me	PP	me
.	SENT	.
But	CC	but
one	CD	one
day	NN	day
the	DT	the
war	NN	war
will	MD	will
be	VB	be
over	RP	over
and	CC	and
all	PDT	all
the	DT	the
soldiers	NNS	soldier
will	MD	will
come	VB	come
home	NN	home
.	SENT	.
