<h>
D	LS	d
ambassador	NN	ambassador
--	:	--
cutting	VBG	cut
off	RP	off
diplomatic	JJ	diplomatic
relations	NNS	relation
with	IN	with
a	DT	a
country	NN	country
means	VBZ	mean
cutting	VBG	cut
off	RP	off
communication	NN	communication
channels	NNS	channel
.	SENT	.
<p>
"	``	"
Diplomacy	NN	diplomacy
is	VBZ	be
not	RB	not
always	RB	always
or	CC	or
only	RB	only
about	IN	about
friendly	JJ	friendly
relations	NNS	relation
,	,	,
and	CC	and
nor	CC	nor
is	VBZ	be
it	PP	it
an	DT	an
endorsement	NN	endorsement
of	IN	of
the	DT	the
policies	NNS	policy
or	CC	or
actions	NNS	action
of	IN	of
a	DT	a
given	VBN	give
country	NN	country
.	SENT	.
It	PP	it
is	VBZ	be
precisely	RB	precisely
at	IN	at
times	NNS	time
of	IN	of
conflict	NN	conflict
and	CC	and
tension	NN	tension
that	IN	that
diplomacy	NN	diplomacy
is	VBZ	be
most	RBS	most
useful	JJ	useful
and	CC	and
most	RBS	most
needed	JJ	needed
,	,	,
and	CC	and
it	PP	it
is	VBZ	be
vital	JJ	vital
to	TO	to
maintain	VB	maintain
communication	NN	communication
links	NNS	link
.	SENT	.
"	''	"
<p>
James	NP	James
Browne	NP	Browne
warned	VBD	warn
that	IN	that
Ireland	NP	Ireland
would	MD	would
be	VB	be
pushed	VBN	push
to	TO	to
the	DT	the
margins	NNS	margin
of	IN	of
international	JJ	international
opinion	NN	opinion
if	IN	if
it	PP	it
expelled	VBD	expel
the	DT	the
Israeli	JJ	Israeli
ambassador	NN	ambassador
(	(	(
Brian	NP	Brian
Lawless/PA	NP	<unknown>
)	)	)
<p>
Ms	NN	Ms
Cairns	NP	Cairns
insisted	VBD	insist
"	``	"
words	NNS	word
of	IN	of
condemnation	NN	condemnation
are	VBP	be
not	RB	not
enough	JJ	enough
"	''	"
as	IN	as
she	PP	she
opened	VBD	open
the	DT	the
debate	NN	debate
on	IN	on
the	DT	the
motion	NN	motion
.	SENT	.
<p>
Accusing	VBG	accuse
Israel	NP	Israel
of	IN	of
committing	VBG	commit
war	NN	war
crimes	NNS	crime
in	IN	in
Gaza	NP	Gaza
,	,	,
Ms	NN	Ms
Cairns	NP	Cairns
criticised	VBD	criticise
the	DT	the
Government	NN	government
for	IN	for
proposing	VBG	propose
amendments	NNS	amendment
that	IN	that
she	PP	she
claimed	VBD	claim
would	MD	would
replace	VB	replace
the	DT	the
demand	NN	demand
for	IN	for
tangible	JJ	tangible
sanctions	NNS	sanction
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
<p>
"	``	"
The	DT	the
refusal	NN	refusal
of	IN	of
most	JJS	most
western	JJ	western
leaders	NNS	leader
to	TO	to
shout	VB	shout
stop	VB	stop
and	CC	and
demand	VB	demand
a	DT	a
ceasefire	NN	ceasefire
has	VBZ	have
led	VBN	lead
to	TO	to
thousands	NNS	thousand
of	IN	of
deaths	NNS	death
,	,	,
"	``	"
Ms	NN	Ms
Cairns	NP	Cairns
told	VBD	tell
the	DT	the
D	NP	D
?	SENT	?
il	NNS	<unknown>
.	SENT	.
<p>
"	''	"
Israel	NP	Israel
is	VBZ	be
killing	VBG	kill
with	IN	with
impunity	NN	impunity
.	SENT	.
According	VBG	accord
to	TO	to
the	DT	the
World	NP	World
Health	NP	Health
Organisation	NP	Organisation
,	,	,
Gaza	NP	Gaza
is	VBZ	be
now	RB	now
a	DT	a
graveyard	NN	graveyard
for	IN	for
children	NNS	child
.	SENT	.
"	''	"
<p>
She	PP	she
added	VBD	add
:	:	:
"	``	"
I	PP	I
recognise	VBP	recognise
that	IN	that
the	DT	the
Irish	JJ	Irish
government	NN	government
has	VBZ	have
done	VBN	do
more	JJR	more
than	IN	than
most	JJS	most
of	IN	of
the	DT	the
EU	NP	EU
to	TO	to
advocate	VB	advocate
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
,	,	,
but	CC	but
that	IN	that
'	POS	'
s	NN	S
just	RB	just
evidence	NN	evidence
of	IN	of
how	WRB	how
low	JJ	low
the	DT	the
bar	NN	bar
is	VBZ	be
.	SENT	.
<p>
"	''	"
Words	NNS	word
of	IN	of
condemnation	NN	condemnation
are	VBP	be
not	RB	not
enough	RB	enough
.	SENT	.
We	PP	we
need	VBP	need
action	NN	action
.	SENT	.
<p>
"	``	"
There	EX	there
must	MD	must
be	VB	be
consequences	NNS	consequence
for	IN	for
the	DT	the
crimes	NNS	crime
perpetrated	VBN	perpetrate
by	IN	by
Israel	NP	Israel
on	IN	on
a	DT	a
captive	JJ	captive
civilian	JJ	civilian
population	NN	population
in	IN	in
Gaza	NP	Gaza
.	SENT	.
"	``	"
<p>
Later	RBR	later
responding	VBG	respond
to	TO	to
Mr	NP	Mr
Browne	NP	Browne
'	POS	'
s	JJ	<unknown>
warning	NN	warning
of	IN	of
Ireland	NP	Ireland
being	VBG	be
pushed	VBN	push
to	TO	to
the	DT	the
margins	NNS	margin
,	,	,
she	PP	she
said	VBD	say
:	:	:
"	``	"
Given	VBN	give
the	DT	the
majority	NN	majority
of	IN	of
western	JJ	western
leaders	NNS	leader
'	POS	'
opinion	NN	opinion
,	,	,
I	PP	I
'	POS	'
m	NN	m
happy	JJ	happy
for	IN	for
Ireland	NP	Ireland
to	TO	to
be	VB	be
an	DT	an
outlier	NN	outlier
.	SENT	.
"	''	"
<p>
Mr	NP	Mr
Carthy	NP	<unknown>
said	VBD	say
he	PP	he
was	VBD	be
"	``	"
ashamed	JJ	ashamed
"	''	"
at	IN	at
the	DT	the
international	JJ	international
community	NN	community
'	POS	'
s	JJ	<unknown>
response	NN	response
to	TO	to
the	DT	the
Israeli	JJ	Israeli
bombardment	NN	bombardment
of	IN	of
Gaza	NP	Gaza
.	SENT	.
<p>
"	''	"
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
what	WP	what
we	PP	we
have	VBP	have
seen	VBN	see
in	IN	in
Gaza	NP	Gaza
and	CC	and
particularly	RB	particularly
ashamed	JJ	ashamed
by	IN	by
the	DT	the
response	NN	response
of	IN	of
the	DT	the
EU	NP	EU
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<p>
"	``	"
I	PP	I
think	VBP	think
EU	NP	EU
leaders	NNS	leader
have	VBP	have
ensured	VBN	ensure
that	IN	that
the	DT	the
European	NP	European
Union	NP	Union
no	RB	no
longer	RBR	longer
has	VBZ	have
any	DT	any
credibility	NN	credibility
to	TO	to
be	VB	be
a	DT	a
voice	NN	voice
for	IN	for
peace	NN	peace
,	,	,
international	JJ	international
law	NN	law
and	CC	and
for	IN	for
the	DT	the
basic	JJ	basic
rules	NNS	rule
of	IN	of
humanity	NN	humanity
for	IN	for
so	RB	so
long	JJ	long
as	IN	as
they	PP	they
refuse	VBP	refuse
to	TO	to
take	VB	take
a	DT	a
stand	NN	stand
.	SENT	.
"	''	"
<p>
Sinn	NP	Sinn
F	NP	F
?	SENT	?
in	IN	in
TD	NP	TD
Matt	NP	Matt
Carthy	NP	<unknown>
criticised	VBD	criticise
the	DT	the
Government	NN	government
'	POS	'
s	JJ	<unknown>
failure	NN	failure
to	TO	to
back	VB	back
sanctions	NNS	sanction
and	CC	and
said	VBD	say
the	DT	the
world	NN	world
was	VBD	be
'	''	'
turning	VBG	turn
a	DT	a
blind	JJ	blind
eye	NN	eye
'	''	'
(	(	(
Liam	NP	Liam
McBurney/PA	NP	<unknown>
)	)	)
<p>
Mr	NP	Mr
Carthy	NP	<unknown>
told	VBD	tell
Mr	NP	Mr
Browne	NP	Browne
that	IN	that
the	DT	the
world	NN	world
was	VBD	be
"	``	"
turning	VBG	turn
a	DT	a
blind	JJ	blind
eye	NN	eye
"	''	"
and	CC	and
"	``	"
the	DT	the
EU	NP	EU
,	,	,
worse	RBR	worse
still	RB	still
,	,	,
is	VBZ	be
providing	VBG	provide
cover	NN	cover
"	''	"
.	SENT	.
<p>
He	PP	he
criticised	VBD	criticise
the	DT	the
Government	NN	government
'	POS	'
s	JJ	<unknown>
failure	NN	failure
to	TO	to
back	VB	back
the	DT	the
call	NN	call
for	IN	for
economic	JJ	economic
and	CC	and
diplomatic	JJ	diplomatic
sanctions	NNS	sanction
against	IN	against
Israel	NP	Israel
.	SENT	.
<p>
"	``	"
Every	DT	every
single	JJ	single
possible	JJ	possible
action	NN	action
that	WDT	that
might	MD	might
help	VB	help
pressure	VB	pressure
Israel	NP	Israel
to	TO	to
stop	VB	stop
the	DT	the
slaughter	NN	slaughter
of	IN	of
innocent	JJ	innocent
Palestinians	NPS	Palestinians
is	VBZ	be
met	VBN	meet
with	IN	with
pathetic	JJ	pathetic
excuses	NNS	excuse
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<p>
"	``	"
It	PP	it
'	POS	'
s	NN	S
not	RB	not
good	JJ	good
enough	RB	enough
,	,	,
minister	NN	minister
.	SENT	.
It	PP	it
is	VBZ	be
well	RB	well
past	JJ	past
time	NN	time
that	IN	that
Ireland	NP	Ireland
shows	NNS	show
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Union	NP	Union
that	WDT	that
clearly	RB	clearly
is	VBZ	be
n't	RB	n't
willing	JJ	willing
or	CC	or
capable	JJ	capable
of	IN	of
providing	VBG	provide
the	DT	the
leadership	NN	leadership
that	RB	that
'	POS	'
s	NN	S
much	RB	much
needed	VBN	need
in	IN	in
this	DT	this
instance	NN	instance
.	SENT	.
"	''	"
<p>
Minister	NP	Minister
of	IN	of
State	NP	State
Sean	NP	Sean
Fleming	NP	Fleming
also	RB	also
addressed	VBD	address
the	DT	the
D	NP	D
?	SENT	?
il	NNS	<unknown>
during	IN	during
the	DT	the
two-hour	JJ	two-hour
debate	NN	debate
.	SENT	.
<p>
"	``	"
It	PP	it
is	VBZ	be
clear	JJ	clear
that	IN	that
deputies	NNS	deputy
across	IN	across
the	DT	the
house	NN	house
are	VBP	be
deeply	RB	deeply
and	CC	and
genuinely	RB	genuinely
concerned	VBN	concern
at	IN	at
the	DT	the
horrific	JJ	horrific
situation	NN	situation
that	WDT	that
has	VBZ	have
unfolded	VBN	unfold
in	IN	in
Israel	NP	Israel
and	CC	and
in	IN	in
the	DT	the
occupied	JJ	occupied
Palestinian	NP	Palestinian
Territory	NP	Territory
over	IN	over
the	DT	the
past	JJ	past
three	CD	three
weeks	NNS	week
.	SENT	.
The	DT	the
Government	NN	government
shares	VBZ	share
this	DT	this
deep	JJ	deep
alarm	NN	alarm
at	IN	at
the	DT	the
situation	NN	situation
and	CC	and
its	PP$	its
continued	JJ	continued
rapid	JJ	rapid
deterioration	NN	deterioration
,	,	,
including	VBG	include
the	DT	the
grave	JJ	grave
humanitarian	JJ	humanitarian
situation	NN	situation
that	WDT	that
now	RB	now
exists	VBZ	exist
within	IN	within
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<p>
He	PP	he
added	VBD	add
:	:	:
"	``	"
The	DT	the
Irish	JJ	Irish
Government	NN	government
'	POS	'
s	JJ	<unknown>
position	NN	position
on	IN	on
this	DT	this
is	VBZ	be
clear	JJ	clear
.	SENT	.
Israel	NP	Israel
has	VBZ	have
the	DT	the
right	NN	right
to	TO	to
defend	VB	defend
itself	PP	itself
and	CC	and
its	PP$	its
people	NNS	people
from	IN	from
attack	NN	attack
.	SENT	.
But	CC	but
this	DT	this
is	VBZ	be
not	RB	not
an	DT	an
unfettered	JJ	unfettered
right	NN	right
.	SENT	.
<p>
"	''	"
International	JJ	international
humanitarian	JJ	humanitarian
law	NN	law
applies	VBZ	apply
,	,	,
the	DT	the
principle	NN	principle
of	IN	of
proportionality	NN	proportionality
applies	VBZ	apply
,	,	,
and	CC	and
the	DT	the
Israeli	JJ	Israeli
military	NN	military
has	VBZ	have
a	DT	a
duty	NN	duty
to	TO	to
ensure	VB	ensure
the	DT	the
protection	NN	protection
of	IN	of
citizens	NNS	citizen
.	SENT	.
A	DT	a
humanitarian	JJ	humanitarian
ceasefire	NN	ceasefire
for	IN	for
Gaza	NP	Gaza
is	VBZ	be
an	DT	an
essential	JJ	essential
,	,	,
basic	JJ	basic
step	NN	step
now	RB	now
.	SENT	.
"	``	"
