<p>
LONDON	NP	LONDON
the	DT	the
Hamas	NN	<unknown>
'	POS	'
attacks	NNS	attack
that	IN	that
killed	VBN	kill
1,400	CD	@card@
have	VBP	have
shocked	VBN	shock
him	PP	him
,	,	,
he	PP	he
said	VBD	say
.	SENT	.
He	PP	he
believes	VBZ	believe
Americans	NPS	Americans
are	VBP	be
dispensing	VBG	dispense
with	IN	with
distinctions	NNS	distinction
between	IN	between
being	VBG	be
critical	JJ	critical
of	IN	of
Israeli	NP	Israeli
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
be	VB	be
a	DT	a
conflation	NN	conflation
of	IN	of
not	RB	not
being	VBG	be
able	JJ	able
to	TO	to
separate	VB	separate
the	DT	the
actions	NNS	action
of	IN	of
the	DT	the
Israeli	JJ	Israeli
government	NN	government
and	CC	and
Jewish	JJ	Jewish
people	NNS	people
and	CC	and
taking	VBG	take
out	RP	out
feelings	NNS	feeling
that	IN	that
they	PP	they
have	VBP	have
about	RB	about
the	DT	the
actions	NNS	action
of	IN	of
the	DT	the
Israeli	JJ	Israeli
government	NN	government
on	IN	on
all	DT	all
Jews	NPS	Jews
,	,	,
irrespective	RB	irrespective
of	IN	of
how	WRB	how
those	DT	those
Jews	NPS	Jews
may	MD	may
also	RB	also
feel	VB	feel
about	IN	about
the	DT	the
actions	NNS	action
of	IN	of
the	DT	the
Israeli	JJ	Israeli
government	NN	government
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
"	''	"
And	CC	and
that	DT	that
is	VBZ	be
very	RB	very
concerning	VBG	concern
.	SENT	.
I	PP	I
think	VBP	think
you	PP	you
'	''	'
re	IN	re
seeing	VBG	see
that	IN	that
in	IN	in
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
actions	NNS	action
on	IN	on
college	NN	college
campuses	NNS	campus
and	CC	and
now	RB	now
K-through-12	NP	<unknown>
schools	NNS	school
and	CC	and
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
discourse	NN	discourse
--	:	--
not	RB	not
able	JJ	able
to	TO	to
deconstruct	VB	deconstruct
what	WP	what
'	POS	'
s	NN	S
happening	NN	happening
and	CC	and
put	VB	put
in	IN	in
a	DT	a
box	NN	box
.	SENT	.
"	''	"
<p>
Emhoff	NP	Emhoff
,	,	,
back	RB	back
left	VBN	leave
,	,	,
has	VBZ	have
been	VBN	be
the	DT	the
face	NN	face
of	IN	of
the	DT	the
administration	NN	administration
'	POS	'
s	NN	S
efforts	NNS	effort
to	TO	to
counter	VB	counter
antisemitism	NN	<unknown>
since	IN	since
the	DT	the
end	NN	end
of	IN	of
last	JJ	last
year	NN	year
.	SENT	.
Eugene	NP	Eugene
Daniels/POLITICO	NP	<unknown>
<p>
Emhoff	NP	Emhoff
'	POS	'
s	NN	S
remarks	NNS	remark
are	VBP	be
among	IN	among
the	DT	the
sharpest	JJS	sharp
to	TO	to
date	VB	date
from	IN	from
the	DT	the
administration	NN	administration
about	IN	about
a	DT	a
wave	NN	wave
of	IN	of
protests	NNS	protest
that	WDT	that
have	VBP	have
erupted	VBN	erupt
at	IN	at
colleges	NNS	college
and	CC	and
universities	NNS	university
.	SENT	.
Across	IN	across
the	DT	the
nation	NN	nation
,	,	,
students	NNS	student
and	CC	and
faculty	NN	faculty
have	VBP	have
demonstrated	VBN	demonstrate
their	PP$	their
opposition	NN	opposition
to	TO	to
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
Gaza	NP	Gaza
campaign	NN	campaign
and	CC	and
its	PP$	its
support	NN	support
of	IN	of
settlements	NNS	settlement
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
.	SENT	.
In	IN	in
some	DT	some
instances	NNS	instance
,	,	,
Jewish	JJ	Jewish
students	NNS	student
have	VBP	have
begun	VBN	begin
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
of	IN	of
their	PP$	their
position	NN	position
on	IN	on
Israeli	JJ	Israeli
politics	NNS	politics
.	SENT	.
<p>
The	DT	the
most	RBS	most
alarming	JJ	alarming
instance	NN	instance
of	IN	of
this	DT	this
came	VBD	come
days	NNS	day
ago	RB	ago
,	,	,
when	WRB	when
Jewish	JJ	Jewish
students	NNS	student
on	IN	on
Cornell	NP	Cornell
'	POS	'
s	NN	S
campus	NN	campus
were	VBD	be
threatened	VBN	threaten
by	IN	by
an	DT	an
individual	NN	individual
who	WP	who
said	VBD	say
he	PP	he
would	MD	would
rape	VB	rape
Jewish	JJ	Jewish
women	NNS	woman
and	CC	and
"	``	"
behead	VB	behead
any	DT	any
Jewish	JJ	Jewish
babies	NNS	baby
.	SENT	.
"	''	"
Patrick	NP	Patrick
Dai	NP	Dai
,	,	,
a	DT	a
21	CD	@card@
year	NN	year
old	JJ	old
student	NN	student
at	IN	at
the	DT	the
university	NN	university
,	,	,
was	VBD	be
subsequently	RB	subsequently
charged	VBN	charge
with	IN	with
posting	VBG	post
threats	NNS	threat
to	TO	to
kill	VB	kill
or	CC	or
injure	VB	injure
another	DT	another
using	VBG	use
interstate	JJ	interstate
communications	NNS	communication
.	SENT	.
<p>
The	DT	the
White	NP	White
House	NP	House
has	VBZ	have
taken	VBN	take
recent	JJ	recent
steps	NNS	step
to	TO	to
address	VB	address
the	DT	the
rising	VBG	rise
tensions	NNS	tension
on	IN	on
college	NN	college
campuses	NNS	campus
.	SENT	.
<p>
Emhoff	NP	Emhoff
and	CC	and
Secretary	NP	Secretary
of	IN	of
Education	NP	Education
Miguel	NP	Miguel
Cardona	NP	Cardona
held	VBD	hold
a	DT	a
roundtable	JJ	roundtable
in	IN	in
October	NP	October
with	IN	with
several	JJ	several
prominent	JJ	prominent
Jewish	JJ	Jewish
leaders	NNS	leader
to	TO	to
discuss	VB	discuss
an	DT	an
uptick	NN	uptick
in	IN	in
antisemitism	NN	<unknown>
and	CC	and
Islamophobia	NN	Islamophobia
on	IN	on
college	NN	college
campuses	NNS	campus
.	SENT	.
Emhoff	NP	Emhoff
also	RB	also
dropped	VBD	drop
by	IN	by
a	DT	a
Jewish	JJ	Jewish
Day	NP	Day
School	NP	School
in	IN	in
D.C.	NP	D.C.
,	,	,
talking	VBG	talk
with	IN	with
a	DT	a
group	NN	group
of	IN	of
students	NNS	student
,	,	,
some	DT	some
who	WP	who
told	VBD	tell
the	DT	the
second	JJ	second
gentleman	NN	gentleman
they	PP	they
felt	VBD	feel
"	``	"
powerless	JJ	powerless
.	SENT	.
"	''	"
<p>
While	IN	while
Emhoff	NP	Emhoff
was	VBD	be
in	IN	in
London	NP	London
,	,	,
Cardona	NP	Cardona
and	CC	and
White	NP	White
House	NP	House
domestic	JJ	domestic
policy	NN	policy
adviser	NN	adviser
Neera	NP	<unknown>
Tanden	NP	<unknown>
visited	VBD	visit
Towson	NP	Towson
University	NP	University
for	IN	for
a	DT	a
roundtable	JJ	roundtable
on	IN	on
antisemitism	NN	<unknown>
where	WRB	where
students	NNS	student
shared	VBD	share
how	WRB	how
they	PP	they
'	POS	'
ve	RB	<unknown>
been	VBN	be
harassed	VBN	harass
by	IN	by
classmates	NNS	classmate
,	,	,
including	VBG	include
writing	VBG	write
"	``	"
Fuck	NN	fuck
Jews	NNS	jew
"	''	"
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
We	PP	we
have	VBP	have
to	TO	to
navigate	VB	navigate
complicated	JJ	complicated
issues	NNS	issue
around	IN	around
politics	NNS	politics
,	,	,
"	''	"
Tanden	NP	<unknown>
told	VBD	tell
the	DT	the
students	NNS	student
,	,	,
adding	VBG	add
that	IN	that
it	PP	it
was	VBD	be
important	JJ	important
to	TO	to
see	VB	see
everyone	NN	everyone
as	IN	as
human	JJ	human
.	SENT	.
<p>
On	IN	on
the	DT	the
day	NN	day
of	IN	of
Hamas	NP	<unknown>
'	POS	'
attacks	NNS	attack
,	,	,
Emhoff	NP	Emhoff
said	VBD	say
he	PP	he
was	VBD	be
at	IN	at
the	DT	the
Naval	NP	Naval
Observatory	NN	observatory
,	,	,
the	DT	the
official	JJ	official
residence	NN	residence
of	IN	of
the	DT	the
vice	JJ	vice
president	NN	president
and	CC	and
spouse	NN	spouse
.	SENT	.
He	PP	he
said	VBD	say
that	IN	that
all	DT	all
of	IN	of
a	DT	a
sudden	JJ	sudden
his	PP$	his
phone	NN	phone
started	VBD	start
blowing	VBG	blow
up	RP	up
,	,	,
with	IN	with
news	NN	news
of	IN	of
what	WP	what
had	VBD	have
happened	VBN	happen
in	IN	in
southern	JJ	southern
Israel	NP	Israel
.	SENT	.
