<h>
No	UH	no
and	CC	and
living	VBG	live
normal	JJ	normal
,	,	,
productive	JJ	productive
lives	NNS	life
.	SENT	.
"	''	"
<p>
Of	IN	of
course	NN	course
,	,	,
Hitchens	NP	Hitchens
was	VBD	be
n't	RB	n't
the	DT	the
only	JJ	only
well-known	JJ	well-known
personality	NN	personality
to	TO	to
demonize	VB	demonize
settlers	NNS	settler
.	SENT	.
Current	JJ	current
Georgia	NP	Georgia
Congressman	NP	Congressman
Henry	NP	Henry
C.	NP	C.
"	``	"
Hank	NP	Hank
"	''	"
Johnson	NP	Johnson
(	(	(
of	IN	of
the	DT	the
infamous	JJ	infamous
comment	NN	comment
that	IN	that
Guam	NP	Guam
might	MD	might
"	``	"
tip	VB	tip
over	RP	over
and	CC	and
capsize	VB	capsize
,	,	,
"	``	"
if	IN	if
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
)	)	)
echoed	VBD	echo
the	DT	the
Nazis	NPS	Nazis
'	POS	'
description	NN	description
of	IN	of
Jews	NPS	Jews
as	IN	as
"	``	"
vermin	NNS	vermin
"	''	"
by	IN	by
calling	VBG	call
Israeli	JJ	Israeli
settlers	NNS	settler
"	''	"
termites	NNS	termite
.	SENT	.
"	''	"
<p>
Additionally	RB	additionally
,	,	,
the	DT	the
US	NP	US
government	NN	government
and	CC	and
the	DT	the
European	NP	European
Union	NP	Union
(	(	(
EU	NP	EU
)	)	)
have	VBP	have
vilified	VBN	vilify
the	DT	the
half	PDT	half
a	DT	a
million	CD	million
Jews	NPS	Jews
who	WP	who
live	VBP	live
in	IN	in
Judea	NP	Judea
and	CC	and
Samaria	NP	Samaria
with	IN	with
charges	NNS	charge
of	IN	of
extremist	JJ	extremist
"	``	"
settler	NN	settler
violence	NN	violence
.	SENT	.
"	''	"
This	DT	this
,	,	,
during	IN	during
the	DT	the
past	JJ	past
year	NN	year
as	IN	as
Israelis	NPS	Israelis
have	VBP	have
faced	VBN	face
large-scale	JJ	large-scale
attacks	NNS	attack
from	IN	from
Hamas	NP	<unknown>
,	,	,
Hezbollah	NP	Hezbollah
,	,	,
Yemen	NP	Yemen
,	,	,
Iran	NP	Iran
,	,	,
and	CC	and
Iraq	NP	Iraq
--	:	--
and	CC	and
mainstream	JJ	mainstream
media	NNS	medium
.	SENT	.
These	DT	these
accusations	NNS	accusation
did	VBD	do
n't	RB	n't
distinguish	VB	distinguish
between	IN	between
a	DT	a
tiny	JJ	tiny
minority	NN	minority
of	IN	of
violent	JJ	violent
actors	NNS	actor
and	CC	and
the	DT	the
overwhelmingly	RB	overwhelmingly
peaceful	JJ	peaceful
community	NN	community
of	IN	of
Jews	NPS	Jews
in	IN	in
Judea	NP	Judea
and	CC	and
Samaria	NP	Samaria
going	VBG	go
about	IN	about
their	PP$	their
lives	NNS	life
.	SENT	.
The	DT	the
gas	NN	gas
station	NN	station
near	IN	near
Eli	NP	Eli
,	,	,
where	WRB	where
the	DT	the
terror	NN	terror
shooting	NN	shooting
attack	NN	attack
took	VBD	take
place	NN	place
,	,	,
February	NP	February
29	CD	@card@
,	,	,
2024	CD	@card@
.	SENT	.
(	(	(
credit	VB	credit
:	:	:
MAGEN	NP	Magen
DAVID	NP	David
ADOM	NP	Adom
)	)	)
<p>
In	IN	in
any	DT	any
other	JJ	other
context	NN	context
,	,	,
those	DT	those
same	JJ	same
smears	NNS	smear
would	MD	would
have	VB	have
been	VBN	be
recognized	VBN	recognize
for	IN	for
what	WP	what
they	PP	they
were	VBD	be
--	:	--
racist	JJ	racist
and	CC	and
antisemitic	JJ	antisemitic
.	SENT	.
<p>
Additionally	RB	additionally
,	,	,
although	IN	although
there	EX	there
is	VBZ	be
a	DT	a
popular	JJ	popular
train	NN	train
of	IN	of
thought	NN	thought
among	IN	among
many	JJ	many
Israelis	NPS	Israelis
that	IN	that
settling	VBG	settle
the	DT	the
Land	NN	land
of	IN	of
Israel	NP	Israel
will	MD	will
hasten	VB	hasten
the	DT	the
messianic	JJ	messianic
era	NN	era
,	,	,
it	PP	it
is	VBZ	be
not	RB	not
a	DT	a
consensus	NN	consensus
.	SENT	.
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
the	DT	the
first	JJ	first
settler	NN	settler
movements	NNS	movement
as	IN	as
"	``	"
taking	VBG	take
the	DT	the
baton	NN	baton
of	IN	of
pioneering	VBG	pioneer
Zionism	NN	Zionism
and	CC	and
running	VBG	run
to	TO	to
complete	VB	complete
the	DT	the
Zionist	JJ	Zionist
vision	NN	vision
,	,	,
bringing	VBG	bring
the	DT	the
redemptive	JJ	redemptive
process	NN	process
to	TO	to
a	DT	a
zenith	NN	zenith
,	,	,
"	''	"
and	CC	and
while	IN	while
this	DT	this
outlook	NN	outlook
"	``	"
became	VBD	become
normative	JJ	normative
in	IN	in
most	RBS	most
national	JJ	national
religious	JJ	religious
circles	NNS	circle
,	,	,
"	''	"
he	PP	he
says	VBZ	say
that	IN	that
"	``	"
many	JJ	many
moderate	JJ	moderate
Orthodox	JJ	Orthodox
rabbis	NNS	rabbi
,	,	,
educators	NNS	educator
,	,	,
and	CC	and
leaders	NNS	leader
were	VBD	be
vocal	JJ	vocal
in	IN	in
their	PP$	their
opposition	NN	opposition
to	TO	to
the	DT	the
movement	NN	movement
.	SENT	.
"	''	"
<p>
Today	NN	today
,	,	,
the	DT	the
majority	NN	majority
of	IN	of
Jews	NPS	Jews
who	WP	who
live	VBP	live
over	IN	over
The	DT	the
Green	NP	Green
Line	NP	Line
(	(	(
the	DT	the
1949	CD	@card@
Armistice	NN	armistice
line	NN	line
,	,	,
Israel	NP	Israel
'	POS	'
s	NN	S
de	FW	de
facto	FW	facto
border	NN	border
until	IN	until
the	DT	the
1967	CD	@card@
Six	CD	six
Day	NP	Day
War	NP	War
)	)	)
also	RB	also
referred	VBD	refer
to	TO	to
by	IN	by
its	PP$	its
historic	JJ	historic
and	CC	and
biblical	JJ	biblical
name	NN	name
,	,	,
Judea	NP	Judea
and	CC	and
Samaria	NP	Samaria
,	,	,
do	VBP	do
not	RB	not
see	VB	see
their	PP$	their
residing	VBG	reside
in	IN	in
that	DT	that
area	NN	area
as	IN	as
ushering	VBG	usher
in	IN	in
"	``	"
the	DT	the
redemption	NN	redemption
.	SENT	.
"	``	"
<h>
World	NN	world
assumption	NN	assumption
<p>
Contrary	JJ	contrary
to	TO	to
world	NN	world
assumption	NN	assumption
,	,	,
among	IN	among
the	DT	the
various	JJ	various
reasons	NNS	reason
that	WDT	that
Jews	NNS	jew
choose	VBP	choose
to	TO	to
live	VB	live
in	IN	in
Judea	NP	Judea
and	CC	and
Samaria	NP	Samaria
the	DT	the
majority	NN	majority
do	VBP	do
so	RB	so
for	IN	for
practical	JJ	practical
,	,	,
not	RB	not
ideological	JJ	ideological
or	CC	or
religious	JJ	religious
reasons	NNS	reason
.	SENT	.
Cheaper	JJR	cheap
housing	NN	housing
,	,	,
larger	JJR	large
properties	NNS	property
,	,	,
and	CC	and
suburban	JJ	suburban
sprawl	NN	sprawl
make	VB	make
living	NN	living
in	IN	in
Judea	NP	Judea
and	CC	and
Samaria	NP	Samaria
attractive	JJ	attractive
to	TO	to
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
Israelis	NPS	Israelis
.	SENT	.
<p>
Due	JJ	due
to	TO	to
Palestinian	JJ	Palestinian
violence	NN	violence
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
a	DT	a
day	NN	day
in	IN	in
these	DT	these
areas	NNS	area
--	:	--
and	CC	and
the	DT	the
risk	NN	risk
that	IN	that
,	,	,
as	IN	as
happened	VBN	happen
in	IN	in
Jewish	JJ	Jewish
towns	NNS	town
in	IN	in
the	DT	the
Sinai	NP	Sinai
and	CC	and
Gaza	NP	Gaza
,	,	,
Israel	NP	Israel
could	MD	could
one	CD	one
day	NN	day
unilaterally	RB	unilaterally
evict	VB	evict
Jewish	JJ	Jewish
residents	NNS	resident
of	IN	of
the	DT	the
area	NN	area
,	,	,
housing	NN	housing
prices	NNS	price
are	VBP	be
cheaper	JJR	cheap
.	SENT	.
And	CC	and
because	IN	because
fewer	JJR	few
Israelis	NPS	Israelis
are	VBP	be
interested	JJ	interested
in	IN	in
living	VBG	live
in	IN	in
Judea	NP	Judea
and	CC	and
Samaria	NP	Samaria
,	,	,
properties	NNS	property
and	CC	and
houses	NNS	house
there	RB	there
are	VBP	be
frequently	RB	frequently
larger	JJR	large
and	CC	and
towns	NNS	town
are	VBP	be
quieter	JJR	quiet
and	CC	and
more	RBR	more
suburban	JJ	suburban
than	IN	than
in	IN	in
other	JJ	other
places	NNS	place
in	IN	in
Israel	NP	Israel
.	SENT	.
<p>
Messianic	JJ	messianic
and	CC	and
end	NN	end
of	IN	of
days	NNS	day
considerations	NNS	consideration
do	VBP	do
not	RB	not
enter	VB	enter
the	DT	the
calculations	NNS	calculation
of	IN	of
most	JJS	most
Jews	NNS	jew
who	WP	who
choose	VBP	choose
to	TO	to
live	VB	live
over	IN	over
The	DT	the
Green	NP	Green
Line	NP	Line
.	SENT	.
<p>
WHY	WRB	why
DO	VBP	do
so	RB	so
many	JJ	many
around	IN	around
the	DT	the
world	NN	world
have	VB	have
an	DT	an
erroneous	JJ	erroneous
impression	NN	impression
of	IN	of
the	DT	the
Jews	NPS	Jews
in	IN	in
Judea	NP	Judea
and	CC	and
Samaria	NP	Samaria
?	SENT	?
Several	JJ	several
factors	NNS	factor
have	VBP	have
led	VBN	lead
to	TO	to
the	DT	the
demonization	NN	<unknown>
of	IN	of
this	DT	this
large	JJ	large
community	NN	community
.	SENT	.
The	DT	the
first	JJ	first
is	VBZ	be
the	DT	the
mistaken	JJ	mistaken
impression	NN	impression
that	IN	that
Jews	NPS	Jews
have	VBP	have
no	DT	no
rights	NNS	right
to	TO	to
live	VB	live
in	RP	in
or	CC	or
govern	VB	govern
the	DT	the
area	NN	area
.	SENT	.
<p>
This	DT	this
error	NN	error
stems	VBZ	stem
from	IN	from
the	DT	the
fact	NN	fact
the	DT	the
area	NN	area
of	IN	of
Judea	NP	Judea
and	CC	and
Samaria	NP	Samaria
--	:	--
where	WRB	where
Jews	NPS	Jews
have	VBP	have
lived	VBN	live
for	IN	for
3,000	CD	@card@
years	NNS	year
,	,	,
and	CC	and
where	WRB	where
90	CD	@card@
%	NN	%
of	IN	of
the	DT	the
towns	NNS	town
cited	VBD	cite
in	IN	in
the	DT	the
Bible	NP	Bible
are	VBP	be
situated	VBN	situate
--	:	--
was	VBD	be
outlined	VBN	outline
as	IN	as
an	DT	an
independent	JJ	independent
Arab	JJ	Arab
state	NN	state
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
an	DT	an
attempt	NN	attempt
to	TO	to
establish	VB	establish
a	DT	a
peaceful	JJ	peaceful
compromise	NN	compromise
)	)	)
to	TO	to
exist	VB	exist
alongside	IN	alongside
the	DT	the
area	NN	area
outlined	VBN	outline
for	IN	for
an	DT	an
independent	JJ	independent
Jewish	JJ	Jewish
state	NN	state
.	SENT	.
In	IN	in
its	PP$	its
plan	NN	plan
,	,	,
the	DT	the
UN	NP	UN
ignored	VBD	ignore
the	DT	the
legal	JJ	legal
,	,	,
historical	JJ	historical
,	,	,
moral	JJ	moral
,	,	,
and	CC	and
religious	JJ	religious
rights	NNS	right
of	IN	of
the	DT	the
Jews	NPS	Jews
to	TO	to
the	DT	the
region	NN	region
.	SENT	.
The	DT	the
assumption	NN	assumption
that	IN	that
Jews	NPS	Jews
have	VBP	have
no	DT	no
association	NN	association
or	CC	or
history	NN	history
in	IN	in
the	DT	the
region	NN	region
was	VBD	be
an	DT	an
ignorant	JJ	ignorant
mistake	NN	mistake
,	,	,
one	CD	one
,	,	,
however	RB	however
,	,	,
that	IN	that
the	DT	the
world	NN	world
believed	VBD	believe
.	SENT	.
<p>
In	IN	in
any	DT	any
case	NN	case
,	,	,
the	DT	the
UN	NP	UN
plan	NN	plan
was	VBD	be
immediately	RB	immediately
rejected	VBN	reject
by	IN	by
the	DT	the
Arabs	NPS	Arabs
who	WP	who
wanted	VBD	want
all	DT	all
of	IN	of
the	DT	the
land	NN	land
and	CC	and
attacked	VBD	attack
the	DT	the
Jews	NNS	jew
,	,	,
beginning	VBG	begin
the	DT	the
1948	CD	@card@
War	NN	war
of	IN	of
Independence	NP	Independence
.	SENT	.
<p>
Ignorance	NN	ignorance
is	VBZ	be
no	DT	no
excuse	NN	excuse
for	IN	for
hateful	JJ	hateful
vilification	NN	vilification
of	IN	of
an	DT	an
entire	JJ	entire
community	NN	community
.	SENT	.
Critics	NNS	critic
of	IN	of
Jews	NPS	Jews
in	IN	in
Judea	NP	Judea
and	CC	and
Samaria	NP	Samaria
should	MD	should
strive	VB	strive
to	TO	to
understand	VB	understand
the	DT	the
truth	NN	truth
about	IN	about
the	DT	the
community	NN	community
before	IN	before
assuming	VBG	assume
they	PP	they
are	VBP	be
radical	JJ	radical
extremists	NNS	extremist
or	CC	or
worse	JJR	bad
.	SENT	.
<p>
The	DT	the
writer	NN	writer
is	VBZ	be
a	DT	a
certified	JJ	certified
interfaith	NN	interfaith
hospice	NN	hospice
chaplain	NN	chaplain
in	IN	in
Jerusalem	NP	Jerusalem
and	CC	and
the	DT	the
mayor	NN	mayor
of	IN	of
Mitzpe	NP	<unknown>
Yeriho	NP	<unknown>
,	,	,
where	WRB	where
she	PP	she
lives	VBZ	live
with	IN	with
her	PP$	her
husband	NN	husband
and	CC	and
six	CD	six
children	NNS	child
.	SENT	.
