<h>
Palestinian	JJ	Palestinian
put	NN	put
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
'	POS	'
s	NN	S
story	NN	story
.	SENT	.
"	``	"
There	EX	there
was	VBD	be
no	DT	no
infrastructure	NN	infrastructure
there	RB	there
:	:	:
no	DT	no
water	NN	water
,	,	,
no	DT	no
electricity	NN	electricity
.	SENT	.
<p>
"	``	"
They	PP	they
had	VBD	have
to	TO	to
walk	VB	walk
four	CD	four
kilometres	NNS	kilometre
to	TO	to
get	VB	get
some	DT	some
water	NN	water
.	SENT	.
"	''	"
<p>
As	IN	as
the	DT	the
days	NNS	day
passed	VBD	pass
,	,	,
and	CC	and
her	PP$	her
family	NN	family
searched	VBD	search
for	IN	for
a	DT	a
way	NN	way
out	RB	out
,	,	,
she	PP	she
became	VBD	become
closer	JJR	close
and	CC	and
closer	JJR	close
to	TO	to
giving	VBG	give
birth	NN	birth
.	SENT	.
Then	RB	then
on	IN	on
February	NP	February
6	CD	@card@
,	,	,
her	PP$	her
fourth	JJ	fourth
son	NN	son
Adam	NP	Adam
was	VBD	be
born	VBN	bear
.	SENT	.
<p>
"	``	"
It	PP	it
was	VBD	be
so	RB	so
hard	JJ	hard
,	,	,
I	PP	I
could	MD	could
n't	RB	n't
imagine	VB	imagine
myself	PP	myself
,	,	,
giving	VBG	give
birth	NN	birth
to	TO	to
my	PP$	my
son	NN	son
under	IN	under
these	DT	these
circumstances	NNS	circumstance
,	,	,
"	''	"
she	PP	she
said	VBD	say
.	SENT	.
"	``	"
It	PP	it
was	VBD	be
really	RB	really
,	,	,
really	RB	really
hard	JJ	hard
.	SENT	.
"	''	"
<h>
Health	NP	Health
complications	NNS	complication
<p>
Adam	NP	Adam
was	VBD	be
born	VBN	bear
with	IN	with
some	DT	some
health	NN	health
complications	NNS	complication
,	,	,
mainly	RB	mainly
breathing	VBG	breathe
issues	NNS	issue
.	SENT	.
<p>
Adding	VBG	add
to	TO	to
the	DT	the
challenge	NN	challenge
of	IN	of
raising	VBG	raise
a	DT	a
newborn	JJ	newborn
child	NN	child
with	IN	with
breathing	VBG	breathe
issues	NNS	issue
,	,	,
as	RB	as
well	RB	well
as	IN	as
three	CD	three
other	JJ	other
children	NNS	child
,	,	,
in	IN	in
a	DT	a
tent	NN	tent
,	,	,
the	DT	the
camp	NN	camp
experienced	JJ	experienced
flooding	NN	flooding
.	SENT	.
<p>
"	''	"
The	DT	the
nurse	NN	nurse
who	WP	who
helped	VBD	help
me	PP	me
,	,	,
deliver	VB	deliver
my	PP$	my
baby	NN	baby
,	,	,
asked	VBD	ask
me	PP	me
if	IN	if
there	EX	there
is	VBZ	be
anyone	NN	anyone
who	WP	who
would	MD	would
help	VB	help
to	TO	to
put	VB	put
some	DT	some
clothes	NNS	clothes
on	IN	on
my	PP$	my
son	NN	son
and	CC	and
help	VB	help
me	PP	me
look	VB	look
after	IN	after
him	PP	him
,	,	,
because	IN	because
there	EX	there
was	VBD	be
no	RB	no
one	CD	one
,	,	,
"	''	"
she	PP	she
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
five	CD	five
stayed	VBN	stay
in	IN	in
the	DT	the
tent	NN	tent
until	IN	until
April	NP	April
before	IN	before
they	PP	they
crossed	VBD	cross
the	DT	the
border	NN	border
into	IN	into
Egypt	NP	Egypt
.	SENT	.
<p>
However	RB	however
,	,	,
they	PP	they
said	VBD	say
an	DT	an
Egyptian	JJ	Egyptian
official	NN	official
would	MD	would
n't	RB	n't
let	VB	let
her	PP$	her
husband	NN	husband
Fadi	NP	Fadi
leave	VBP	leave
with	IN	with
them	PP	them
.	SENT	.
<p>
"	''	"
Usually	RB	usually
,	,	,
they	PP	they
do	VBP	do
n't	RB	n't
let	VB	let
me	PP	me
leave	VB	leave
because	IN	because
they	PP	they
require	VBP	require
further	JJR	further
security	NN	security
screening	NN	screening
,	,	,
"	''	"
said	VBD	say
Jarada	NP	<unknown>
.	SENT	.
"	``	"
He	PP	he
was	VBD	be
cleared	VBN	clear
to	TO	to
leave	VB	leave
in	IN	in
early	JJ	early
May	NP	May
.	SENT	.
"	''	"
<p>
Israeli	JJ	Israeli
forces	NNS	force
would	MD	would
later	RBR	later
take	VB	take
over	IN	over
the	DT	the
checkpoint	NN	checkpoint
in	IN	in
early	JJ	early
May	NP	May
,	,	,
which	WDT	which
Jarada	NP	<unknown>
says	VBZ	say
has	VBZ	have
prevented	VBN	prevent
him	PP	him
from	IN	from
leaving	VBG	leave
.	SENT	.
<p>
Jarada	NP	<unknown>
says	VBZ	say
he	PP	he
paid	VBD	pay
a	DT	a
total	NN	total
of	IN	of
USD	JJ	<unknown>
$25,000	NN	<unknown>
to	TO	to
Egyptian	JJ	Egyptian
brokers	NNS	broker
who	WP	who
facilitated	VBD	facilitate
their	PP$	their
move	NN	move
.	SENT	.
He	PP	he
says	VBZ	say
that	IN	that
crossing	VBG	cross
point	NN	point
is	VBZ	be
still	RB	still
closed	VBN	close
.	SENT	.
<p>
"	''	"
I	PP	I
worked	VBD	work
hard	RB	hard
,	,	,
because	IN	because
the	DT	the
(	(	(
Canadian	JJ	Canadian
)	)	)
government	NN	government
has	VBZ	have
n't	RB	n't
done	VBN	do
enough	RB	enough
,	,	,
"	''	"
said	VBD	say
Jarada	NP	<unknown>
.	SENT	.
"	``	"
I	PP	I
had	VBD	have
to	TO	to
take	VB	take
matters	NNS	matter
into	IN	into
my	PP$	my
own	JJ	own
hands	NNS	hand
.	SENT	.
"	``	"
<h>
Cairo	NP	Cairo
<p>
The	DT	the
family	NN	family
then	RB	then
went	VBD	go
from	IN	from
Rafah	NP	<unknown>
to	TO	to
Cario	NP	<unknown>
,	,	,
where	WRB	where
they	PP	they
stayed	VBD	stay
until	IN	until
the	DT	the
end	NN	end
of	IN	of
the	DT	the
September	NP	September
.	SENT	.
AbuRabee	NP	<unknown>
and	CC	and
her	PP$	her
four	CD	four
children	NNS	child
waited	VBD	wait
five	CD	five
months	NNS	month
for	IN	for
the	DT	the
Canadian	JJ	Canadian
government	NN	government
to	TO	to
process	VB	process
their	PP$	their
visa	NN	visa
papers	NNS	paper
.	SENT	.
<p>
"	``	"
The	DT	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
always	RB	always
had	VBD	have
the	DT	the
hope	NN	hope
that	IN	that
we	PP	we
will	MD	will
be	VB	be
leaving	VBG	leave
to	TO	to
Canada	NP	Canada
,	,	,
sometime	RB	sometime
,	,	,
"	''	"
<p>
That	DT	that
day	NN	day
came	VBD	come
when	WRB	when
they	PP	they
boarded	VBD	board
a	DT	a
plane	NN	plane
who	WP	who
took	VBD	take
them	PP	them
first	JJ	first
to	TO	to
Frankfurt	NP	Frankfurt
and	CC	and
then	RB	then
to	TO	to
Calgary	NP	Calgary
on	IN	on
September	NP	September
30	CD	@card@
.	SENT	.
<p>
"	``	"
Being	VBG	be
on	IN	on
a	DT	a
plane	NN	plane
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
was	VBD	be
an	DT	an
amazing	JJ	amazing
experience	NN	experience
,	,	,
"	''	"
Tamer	NP	Tamer
said	VBD	say
.	SENT	.
"	``	"
I	PP	I
ca	MD	ca
n't	RB	n't
describe	VB	describe
how	WRB	how
happy	JJ	happy
everyone	NN	everyone
was	VBD	be
coming	VBG	come
here	RB	here
.	SENT	.
"	''	"
<p>
The	DT	the
family	NN	family
is	VBZ	be
joyful	JJ	joyful
to	TO	to
be	VB	be
in	IN	in
Canada	NP	Canada
but	CC	but
AbuRabee	NP	<unknown>
worries	NNS	worry
about	IN	about
her	PP$	her
husband	NN	husband
,	,	,
who	WP	who
remains	VBZ	remain
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
"	''	"
I	NP	I
'	POS	'
m	NN	m
hoping	VBG	hope
that	IN	that
there	EX	there
will	MD	will
be	VB	be
a	DT	a
better	JJR	good
future	NN	future
for	IN	for
my	PP$	my
kids	NNS	kid
here	RB	here
in	IN	in
Canada	NP	Canada
despite	IN	despite
all	PDT	all
the	DT	the
hardship	NN	hardship
that	IN	that
we	PP	we
have	VBP	have
been	VBN	be
going	VBG	go
through	RP	through
,	,	,
"	''	"
AbuRabee	NP	<unknown>
said	VBD	say
,	,	,
through	IN	through
Tamer	NP	Tamer
'	POS	'
s	NN	S
translation	NN	translation
.	SENT	.
<p>
Since	IN	since
the	DT	the
war	NN	war
has	VBZ	have
broken	VBN	break
out	RP	out
,	,	,
Jarada	NP	<unknown>
says	VBZ	say
he	PP	he
has	VBZ	have
helped	VBN	help
a	DT	a
total	JJ	total
11	CD	@card@
family	NN	family
members	NNS	member
escape	VB	escape
the	DT	the
conflict	NN	conflict
.	SENT	.
He	PP	he
said	VBD	say
he	PP	he
has	VBZ	have
paid	VBN	pay
$130,000	NN	<unknown>
to	TO	to
Egyptian	JJ	Egyptian
officials	NNS	official
with	IN	with
$40,000	NN	<unknown>
coming	VBG	come
through	IN	through
fundraising	VBG	fundrais
efforts	NNS	effort
.	SENT	.
<p>
A	DT	a
man	NN	man
who	WP	who
stabbed	VBD	stab
a	DT	a
senior	JJ	senior
to	TO	to
death	NN	death
in	IN	in
Vancouver	NP	Vancouver
'	POS	'
s	NN	S
Biltmore	NP	Biltmore
Hotel	NP	Hotel
building	NN	building
in	IN	in
2020	CD	@card@
has	VBZ	have
been	VBN	be
given	VBN	give
a	DT	a
conditional	JJ	conditional
sentence	NN	sentence
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
jail	NN	jail
time	NN	time
if	IN	if
he	PP	he
remains	VBZ	remain
on	IN	on
good	JJ	good
behaviour	NN	behaviour
in	IN	in
the	DT	the
community	NN	community
.	SENT	.
<p>
A	DT	a
hot-air	JJ	hot-air
balloon	NN	balloon
struck	VBD	strike
and	CC	and
collapsed	VBD	collapse
a	DT	a
radio	NN	radio
tower	NN	tower
Friday	NP	Friday
in	IN	in
Albuquerque	NP	Albuquerque
,	,	,
New	NP	New
Mexico	NP	Mexico
,	,	,
during	IN	during
the	DT	the
city	NN	city
'	POS	'
s	JJ	<unknown>
famous	JJ	famous
festival	NN	festival
--	:	--
the	DT	the
second	JJ	second
time	NN	time
in	IN	in
20	CD	@card@
years	NNS	year
that	IN	that
a	DT	a
balloon	NN	balloon
has	VBZ	have
come	VBN	come
into	IN	into
contact	NN	contact
with	IN	with
the	DT	the
tower	NN	tower
.	SENT	.
<p>
B.C.	NP	<unknown>
Conservatives	NPS	Conservatives
Leader	NP	Leader
John	NP	John
Rustad	NP	Rustad
says	VBZ	say
it	PP	it
will	MD	will
be	VB	be
up	RB	up
to	TO	to
voters	NNS	voter
to	TO	to
judge	VB	judge
his	PP$	his
party	NN	party
'	POS	'
s	NN	S
candidates	NNS	candidate
as	IN	as
he	PP	he
stood	VBD	stand
by	IN	by
a	DT	a
pair	NN	pair
whose	WP$	whose
remarks	NNS	remark
on	IN	on
Indigenous	JJ	indigenous
and	CC	and
Muslim	JJ	Muslim
people	NNS	people
drew	VBD	draw
condemnation	NN	condemnation
from	IN	from
election	NN	election
rivals	NNS	rival
and	CC	and
other	JJ	other
critics	NNS	critic
.	SENT	.
<p>
B.C.	NP	<unknown>
Conservatives	NPS	Conservatives
Leader	NP	Leader
John	NP	John
Rustad	NP	Rustad
says	VBZ	say
it	PP	it
will	MD	will
be	VB	be
up	RB	up
to	TO	to
voters	NNS	voter
to	TO	to
judge	VB	judge
his	PP$	his
party	NN	party
'	POS	'
s	NN	S
candidates	NNS	candidate
as	IN	as
he	PP	he
stood	VBD	stand
by	IN	by
a	DT	a
pair	NN	pair
whose	WP$	whose
remarks	NNS	remark
on	IN	on
Indigenous	JJ	indigenous
and	CC	and
Muslim	JJ	Muslim
people	NNS	people
drew	VBD	draw
condemnation	NN	condemnation
from	IN	from
election	NN	election
rivals	NNS	rival
and	CC	and
other	JJ	other
critics	NNS	critic
.	SENT	.
<p>
Cindy	NP	Cindy
Ali	NP	Ali
,	,	,
the	DT	the
Toronto	NP	Toronto
mother	NN	mother
who	WP	who
was	VBD	be
acquitted	VBN	acquit
in	IN	in
the	DT	the
2011	CD	@card@
death	NN	death
of	IN	of
her	PP$	her
16-year-old	JJ	16-year-old
daughter	NN	daughter
Cynara	NP	Cynara
after	IN	after
serving	VBG	serve
more	JJR	more
than	IN	than
four	CD	four
years	NNS	year
in	IN	in
prison	NN	prison
,	,	,
is	VBZ	be
suing	VBG	sue
Toronto	NP	Toronto
police	NNS	police
and	CC	and
the	DT	the
city	NN	city
for	IN	for
more	JJR	more
than	IN	than
$10	JJ	$@card@
million	CD	million
.	SENT	.
<p>
Police	NNS	Police
are	VBP	be
looking	VBG	look
for	IN	for
a	DT	a
suspect	NN	suspect
who	WP	who
allegedly	RB	allegedly
threw	VBD	throw
a	DT	a
coffee	NN	coffee
at	IN	at
a	DT	a
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
some	DT	some
sort	NN	sort
of	IN	of
dispute	NN	dispute
that	WDT	that
began	VBD	begin
at	IN	at
a	DT	a
Tim	NP	Tim
Hortons	NNS	Horton
in	IN	in
Pickering	NP	Pickering
on	IN	on
Friday	NP	Friday
morning	NN	morning
.	SENT	.
<p>
Provincial	JJ	provincial
police	NNS	police
remind	VBP	remind
motorists	NNS	motorist
about	IN	about
the	DT	the
importance	NN	importance
of	IN	of
buckling	VBG	buckle
up	RP	up
after	IN	after
an	DT	an
officer	NN	officer
discovered	VBD	discover
a	DT	a
passenger	NN	passenger
sitting	VBG	sit
on	IN	on
a	DT	a
kitchen	NN	kitchen
chair	NN	chair
inside	IN	inside
the	DT	the
vehicle	NN	vehicle
during	IN	during
a	DT	a
traffic	NN	traffic
stop	NN	stop
in	IN	in
the	DT	the
Town	NP	Town
of	IN	of
the	DT	the
Blue	NP	Blue
Mountains	NP	Mountains
.	SENT	.
<p>
Staff	NN	staff
at	IN	at
the	DT	the
Guelph	NP	Guelph
consumption	NN	consumption
and	CC	and
treatment	NN	treatment
services	NNS	service
(	(	(
CTS	NP	CTS
)	)	)
site	NN	site
say	VBP	say
many	JJ	many
people	NNS	people
who	WP	who
use	VBP	use
its	PP$	its
services	NNS	service
have	VBP	have
already	RB	already
stopped	VBN	stop
going	VBG	go
following	VBG	follow
the	DT	the
Ford	NP	Ford
government	NN	government
'	POS	'
s	JJ	<unknown>
announcement	NN	announcement
that	IN	that
it	PP	it
is	VBZ	be
among	IN	among
10	CD	@card@
locations	NNS	location
closing	VBG	close
this	DT	this
year	NN	year
.	SENT	.
<p>
Grey	NP	Grey
Bruce	NP	Bruce
OPP	NP	Opp
have	VBP	have
charged	VBN	charge
a	DT	a
63-year-old	JJ	63-year-old
driver	NN	driver
from	IN	from
Toronto	NP	Toronto
for	IN	for
failing	VBG	fail
to	TO	to
stop	VB	stop
for	IN	for
a	DT	a
school	NN	school
bus	NN	bus
after	IN	after
a	DT	a
student	NN	student
was	VBD	be
struck	VBN	strike
by	IN	by
a	DT	a
passing	VBG	pass
vehicle	NN	vehicle
while	IN	while
boarding	VBG	board
a	DT	a
bus	NN	bus
Friday	NP	Friday
morning	NN	morning
in	IN	in
West	NP	West
Grey	NP	Grey
Township	NP	Township
.	SENT	.
