<p>
Donald	NP	Donald
s	RB	<unknown>
been	VBN	be
a	DT	a
disaster	NN	disaster
for	IN	for
decades	NNS	decade
.	SENT	.
"	''	"
<p>
Asked	VBN	ask
about	IN	about
the	DT	the
reaction	NN	reaction
of	IN	of
Palestinian	JJ	Palestinian
and	CC	and
other	JJ	other
Arab	JJ	Arab
leaders	NNS	leader
to	TO	to
his	PP$	his
proposal	NN	proposal
,	,	,
Trump	NP	Trump
said	VBD	say
:	:	:
"	``	"
I	PP	I
do	VBP	do
n't	RB	n't
know	VB	know
how	WRB	how
they	PP	they
could	MD	could
want	VB	want
to	TO	to
stay	VB	stay
.	SENT	.
"	''	"
<p>
Sitting	VBG	sit
alongside	IN	alongside
Netanyahu	NP	<unknown>
,	,	,
Trump	NP	Trump
was	VBD	be
questioned	VBN	question
by	IN	by
reporters	NNS	reporter
whether	IN	whether
Palestinians	NPS	Palestinians
would	MD	would
have	VB	have
the	DT	the
right	NN	right
to	TO	to
return	VB	return
to	TO	to
Gaza	NP	Gaza
if	IN	if
they	PP	they
left	VBD	leave
while	IN	while
the	DT	the
rebuilding	NN	rebuilding
was	VBD	be
happening	VBG	happen
.	SENT	.
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
that	IN	that
we	PP	we
could	MD	could
do	VB	do
something	NN	something
really	RB	really
nice	JJ	nice
,	,	,
really	RB	really
good	JJ	good
,	,	,
where	WRB	where
they	PP	they
would	MD	would
n't	RB	n't
want	VB	want
to	TO	to
return	VB	return
.	SENT	.
Why	WRB	why
would	MD	would
they	PP	they
want	VB	want
to	TO	to
return	VB	return
?	SENT	?
"	``	"
<p>
A	DT	a
senior	JJ	senior
Hamas	NN	<unknown>
official	NN	official
dismissed	VBD	dismiss
the	DT	the
suggestion	NN	suggestion
as	IN	as
a	DT	a
"	``	"
a	DT	a
recipe	NN	recipe
for	IN	for
creating	VBG	create
chaos	NN	chaos
and	CC	and
tension	NN	tension
in	IN	in
the	DT	the
region	NN	region
.	SENT	.
"	''	"
<p>
Sami	NP	Sami
Abu	NP	Abu
Zuhri	NP	<unknown>
said	VBD	say
in	IN	in
a	DT	a
statement	NN	statement
:	:	:
"	``	"
Our	PP$	our
people	NNS	people
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
will	MD	will
not	RB	not
allow	VB	allow
these	DT	these
plans	NNS	plan
to	TO	to
pass	VB	pass
.	SENT	.
What	WP	what
is	VBZ	be
required	VBN	require
is	VBZ	be
an	DT	an
end	NN	end
to	TO	to
the	DT	the
occupation	NN	occupation
and	CC	and
aggression	NN	aggression
against	IN	against
our	PP$	our
people	NNS	people
,	,	,
not	RB	not
their	PP$	their
expulsion	NN	expulsion
from	IN	from
their	PP$	their
land	NN	land
.	SENT	.
"	``	"
<p>
There	EX	there
was	VBD	be
also	RB	also
criticism	NN	criticism
from	IN	from
Riyad	NP	Riyad
Mansour	NP	Mansour
,	,	,
the	DT	the
Palestinian	JJ	Palestinian
envoy	NN	envoy
to	TO	to
the	DT	the
UN	NP	UN
.	SENT	.
He	PP	he
said	VBD	say
:	:	:
"	``	"
Our	PP$	our
homeland	NN	homeland
is	VBZ	be
our	PP$	our
homeland	NN	homeland
,	,	,
if	IN	if
part	NN	part
of	IN	of
it	PP	it
is	VBZ	be
destroyed	VBN	destroy
,	,	,
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
,	,	,
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
selected	VBD	select
the	DT	the
choice	NN	choice
to	TO	to
return	VB	return
to	TO	to
it	PP	it
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	IN	that
leaders	NNS	leader
and	CC	and
people	NNS	people
should	MD	should
respect	VB	respect
he	PP	he
wishes	VBZ	wish
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
.	SENT	.
"	''	"
<p>
Trump	NP	Trump
confirmed	VBD	confirm
he	PP	he
was	VBD	be
withdrawing	VBG	withdraw
the	DT	the
US	NP	US
from	IN	from
the	DT	the
United	NP	United
Nations	NPS	Nations
human	JJ	human
rights	NNS	right
council	NN	council
and	CC	and
prohibiting	VBG	prohibit
future	JJ	future
funding	NN	funding
for	IN	for
the	DT	the
main	JJ	main
UN	NP	UN
agency	NN	agency
serving	VBG	serve
Palestinians	NPS	Palestinians
in	IN	in
the	NP	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
memorandum	NN	memorandum
reimposing	VBG	reimpose
his	PP$	his
"	``	"
maximum	JJ	maximum
pressure	NN	pressure
"	''	"
policy	NN	policy
of	IN	of
sanctions	NNS	sanction
on	IN	on
Iran	NP	Iran
including	VBG	include
efforts	NNS	effort
to	TO	to
"	``	"
drive	VB	drive
its	PP$	its
oil	NN	oil
exports	NNS	export
down	RB	down
to	TO	to
zero	VB	zero
"	''	"
in	IN	in
order	NN	order
to	TO	to
stop	VB	stop
Tehran	NP	Tehran
from	IN	from
obtaining	VBG	obtain
nuclear	JJ	nuclear
weapons	NNS	weapon
.	SENT	.
<p>
As	IN	as
he	PP	he
signed	VBD	sign
the	DT	the
memo	NN	memo
,	,	,
Trump	NP	Trump
said	VBD	say
he	PP	he
was	VBD	be
open	JJ	open
to	TO	to
a	DT	a
deal	NN	deal
with	IN	with
Iran	NP	Iran
and	CC	and
expressed	VBD	express
a	DT	a
willingness	NN	willingness
to	TO	to
talk	VB	talk
to	TO	to
the	DT	the
Iranian	JJ	Iranian
leader	NN	leader
.	SENT	.
<p>
A	DT	a
deep	JJ	deep
dive	NN	dive
into	IN	into
the	DT	the
policies	NNS	policy
,	,	,
controversies	NNS	controversy
and	CC	and
oddities	NNS	oddity
surrounding	VBG	surround
the	DT	the
Trump	NP	Trump
administration	NN	administration
<p>
Enter	NP	Enter
your	PP$	your
email	NN	<unknown>
address	NN	address
<p>
Privacy	NN	privacy
Notice	NN	notice
:	:	:
Newsletters	NNS	newsletter
may	MD	may
contain	VB	contain
info	NN	info
about	IN	about
charities	NNS	charity
,	,	,
online	JJ	online
ads	NNS	ad
,	,	,
and	CC	and
content	NN	content
funded	VBN	fund
by	IN	by
outside	JJ	outside
parties	NNS	party
.	SENT	.
For	IN	for
more	JJR	more
information	NN	information
see	VB	see
our	PP$	our
Privacy	NN	privacy
Policy	NN	policy
.	SENT	.
We	PP	we
use	VBP	use
Google	NP	<unknown>
reCaptcha	NP	<unknown>
to	TO	to
protect	VB	protect
our	PP$	our
website	NN	website
and	CC	and
the	DT	the
Google	NP	<unknown>
Privacy	NN	privacy
Policy	NN	policy
and	CC	and
Terms	NNS	term
of	IN	of
Service	NP	Service
apply	VBP	apply
.	SENT	.
<p>
after	IN	after
newsletter	NN	newsletter
promotion	NN	promotion
<p>
"	''	"
With	IN	with
me	PP	me
,	,	,
it	PP	it
'	POS	'
s	NN	S
very	RB	very
simple	JJ	simple
:	:	:
Iran	NP	Iran
can	MD	can
not	RB	not
have	VB	have
a	DT	a
nuclear	JJ	nuclear
weapon	NN	weapon
,	,	,
"	''	"
Trump	NP	Trump
said	VBD	say
.	SENT	.
Asked	VBN	ask
how	WRB	how
close	JJ	close
Tehran	NP	Tehran
is	VBZ	be
to	TO	to
a	DT	a
weapon	NN	weapon
,	,	,
Trump	NP	Trump
said	VBD	say
:	:	:
"	``	"
They	PP	they
'	POS	'
re	NN	re
too	RB	too
close	JJ	close
.	SENT	.
"	``	"
<p>
The	DT	the
comments	NNS	comment
came	VBD	come
ahead	RB	ahead
of	IN	of
a	DT	a
meeting	NN	meeting
with	IN	with
Netanyahu	NP	<unknown>
,	,	,
who	WP	who
is	VBZ	be
making	VBG	make
is	VBZ	be
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
a	DT	a
warrant	NN	warrant
for	IN	for
his	PP$	his
arrest	NN	arrest
.	SENT	.
<p>
Netanyahu	NP	<unknown>
and	CC	and
Trump	NP	Trump
are	VBP	be
expected	VBN	expect
to	TO	to
discuss	VB	discuss
the	DT	the
fragile	JJ	fragile
hostages-for-ceasefire	NN	hostages-for-ceasefire
deal	NN	deal
as	IN	as
Israel	NP	Israel
and	CC	and
Hamas	NP	<unknown>
are	VBP	be
supposed	VBN	suppose
to	TO	to
begin	VB	begin
a	DT	a
second	JJ	second
phase	NN	phase
of	IN	of
the	DT	the
negotiations	NNS	negotiation
that	WDT	that
could	MD	could
lead	VB	lead
to	TO	to
a	DT	a
permanent	JJ	permanent
truce	NN	truce
and	CC	and
the	DT	the
return	NN	return
of	IN	of
dozens	NNS	dozen
more	JJR	more
Israelis	NNS	Israeli
held	VBD	hold
hostage	NN	hostage
by	IN	by
Hamas	NNS	<unknown>
in	IN	in
exchange	NN	exchange
for	IN	for
hundreds	NNS	hundred
of	IN	of
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
.	SENT	.
<p>
Trump	NP	Trump
'	POS	'
s	JJ	<unknown>
meeting	NN	meeting
with	IN	with
Netanyahu	NP	<unknown>
will	MD	will
be	VB	be
his	PP$	his
first	JJ	first
with	IN	with
a	DT	a
foreign	JJ	foreign
leader	NN	leader
since	IN	since
his	PP$	his
inauguration	NN	inauguration
,	,	,
a	DT	a
sign	NN	sign
of	IN	of
respect	NN	respect
(	(	(
despite	IN	despite
the	DT	the
two	CD	two
leaders	NNS	leader
having	VBG	have
a	DT	a
troubled	JJ	troubled
relationship	NN	relationship
in	IN	in
the	DT	the
past	NN	past
)	)	)
that	WDT	that
also	RB	also
reflects	VBZ	reflect
the	DT	the
urgency	NN	urgency
of	IN	of
a	DT	a
ceasefire	NN	ceasefire
that	IN	that
Trump	NP	Trump
told	VBD	tell
reporters	NNS	reporter
on	IN	on
Monday	NP	Monday
he	PP	he
had	VBD	have
"	``	"
no	DT	no
guarantees	NNS	guarantee
"	``	"
would	MD	would
hold	VB	hold
.	SENT	.
<p>
Shortly	RB	shortly
before	IN	before
the	DT	the
summit	NN	summit
began	VBD	begin
,	,	,
Hamas	NP	<unknown>
said	VBD	say
that	IN	that
the	DT	the
second	JJ	second
round	NN	round
of	IN	of
ceasefire	NN	ceasefire
talks	NNS	talk
had	VBD	have
begun	VBN	begin
as	IN	as
stipulated	VBN	stipulate
in	IN	in
the	DT	the
deal	NN	deal
signed	VBD	sign
last	JJ	last
month	NN	month
.	SENT	.
<p>
Trump	NP	Trump
'	POS	'
s	NN	S
Middle	NP	Middle
East	NP	East
envoy	NN	envoy
,	,	,
Steve	NP	Steve
Witkoff	NP	<unknown>
,	,	,
met	VBN	meet
with	IN	with
Netanyahu	NP	<unknown>
ahead	RB	ahead
of	IN	of
the	DT	the
summit	NN	summit
.	SENT	.
Witkoff	NP	<unknown>
is	VBZ	be
said	VBN	say
to	TO	to
have	VB	have
been	VBN	be
instrumental	JJ	instrumental
in	IN	in
pushing	VBG	push
the	DT	the
Israeli	JJ	Israeli
leader	NN	leader
to	TO	to
agree	VB	agree
to	TO	to
the	DT	the
ceasefire	NN	ceasefire
last	JJ	last
month	NN	month
,	,	,
even	RB	even
as	IN	as
Netanyahu	NP	<unknown>
'	POS	'
s	JJ	<unknown>
ultra-rightwing	NN	<unknown>
allies	NNS	ally
threatened	VBN	threaten
to	TO	to
leave	NN	leave
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Hamas	NN	<unknown>
.	SENT	.
<p>
In	IN	in
the	DT	the
US	NP	US
administration	NN	administration
,	,	,
Trump	NP	Trump
'	POS	'
s	NN	S
advisers	NNS	adviser
are	VBP	be
split	VBN	split
among	IN	among
openly	RB	openly
pro-settler	NN	pro-settler
hardliners	NNS	hardliner
such	JJ	such
as	IN	as
Mike	NP	Mike
Huckabee	NP	Huckabee
,	,	,
defense	NN	defense
hawks	NNS	hawk
such	JJ	such
as	IN	as
the	DT	the
national	JJ	national
security	NN	security
adviser	NN	adviser
,	,	,
Mike	NP	Mike
Waltz	NP	Waltz
,	,	,
and	CC	and
more	JJR	more
pragmatic	JJ	pragmatic
dealmakers	NNS	dealmaker
such	JJ	such
as	IN	as
Witkoff	NP	<unknown>
who	WP	who
are	VBP	be
seeking	VBG	seek
to	TO	to
keep	VB	keep
the	DT	the
shaky	JJ	shaky
ceasefire	NN	ceasefire
on	IN	on
track	NN	track
,	,	,
said	VBD	say
Jeremy	NP	Jeremy
Ben-Ami	NP	<unknown>
,	,	,
the	DT	the
president	NN	president
of	IN	of
J	NP	J
Street	NP	Street
,	,	,
a	DT	a
liberal	JJ	liberal
pro-Israel	NP	pro-Israel
group	NN	group
.	SENT	.
<p>
"	``	"
It	PP	it
'	POS	'
s	NN	S
a	DT	a
really	RB	really
mixed	JJ	mixed
set	NN	set
of	IN	of
influences	NNS	influence
and	CC	and
interests	NNS	interest
that	WDT	that
are	VBP	be
impacting	VBG	impact
Trump	NP	Trump
,	,	,
and	CC	and
it	PP	it
all	RB	all
has	VBZ	have
to	TO	to
sort	VB	sort
of	IN	of
sort	NN	sort
itself	PP	itself
out	RB	out
relatively	RB	relatively
quickly	RB	quickly
,	,	,
because	IN	because
if	IN	if
this	DT	this
ceasefire	NN	ceasefire
falls	VBZ	fall
apart	RB	apart
,	,	,
you	PP	you
know	VBP	know
,	,	,
this	DT	this
is	VBZ	be
really	RB	really
,	,	,
really	RB	really
bad	JJ	bad
,	,	,
and	CC	and
there	EX	there
'	''	'
s	NNS	<unknown>
no	RB	no
hope	VBP	hope
of	IN	of
getting	VBG	get
back	RB	back
from	IN	from
that	DT	that
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
"	``	"
This	DT	this
really	RB	really
is	VBZ	be
an	DT	an
inflection	NN	inflection
point	NN	point
,	,	,
and	CC	and
a	DT	a
lot	NN	lot
hinges	VBZ	hinge
on	IN	on
how	WRB	how
this	DT	this
set	NN	set
of	IN	of
meetings	NNS	meeting
go	VBP	go
and	CC	and
what	WDT	what
direction	NN	direction
Trump	NP	Trump
pushes	VBZ	push
it	PP	it
in	RP	in
.	SENT	.
"	``	"
