<h>
Recommended	JJ	recommended
by	IN	by
Cooper	NP	Cooper
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
<p>
But	CC	but
the	DT	the
judge	NN	judge
wrote	VBD	write
Wednesday	NP	Wednesday
that	IN	that
he	PP	he
was	VBD	be
"	``	"
dismayed	JJ	dismayed
"	''	"
by	IN	by
the	DT	the
schools	NNS	school
arguments	NNS	argument
and	CC	and
said	VBD	say
the	DT	the
standoff	NN	standoff
"	``	"
took	VBD	take
place	NN	place
in	IN	in
2023	CD	@card@
,	,	,
not	RB	not
1943	CD	@card@
"	''	"
--	:	--
referencing	VBG	reference
a	DT	a
year	NN	year
when	WRB	when
the	DT	the
murderous	JJ	murderous
Nazi	NP	Nazi
Party	NP	Party
was	VBD	be
at	IN	at
the	DT	the
height	NN	height
of	IN	of
its	PP$	its
power	NN	power
in	IN	in
Germany	NP	Germany
.	SENT	.
<p>
"	``	"
The	DT	the
Court	NP	Court
is	VBZ	be
dismayed	VBN	dismay
by	IN	by
Cooper	NP	Cooper
Union	NP	Union
'	POS	'
s	JJ	<unknown>
suggestion	NN	suggestion
that	IN	that
the	DT	the
Jewish	JJ	Jewish
students	NNS	student
should	MD	should
have	VB	have
hidden	VBN	hide
upstairs	RB	upstairs
or	CC	or
left	VBD	leave
the	DT	the
building	NN	building
,	,	,
or	CC	or
that	IN	that
locking	VBG	lock
the	DT	the
library	NN	library
doors	NNS	door
was	VBD	be
enough	JJ	enough
to	TO	to
discharge	VB	discharge
its	PP$	its
obligations	NNS	obligation
under	IN	under
Title	NP	Title
VI	NP	VI
,	,	,
"	''	"
the	DT	the
judge	NN	judge
said	VBD	say
in	IN	in
a	DT	a
scathing	JJ	scathing
54-page	JJ	<unknown>
ruling	NN	ruling
.	SENT	.
<p>
"	``	"
These	DT	these
events	NNS	event
took	VBD	take
place	NN	place
in	IN	in
2023	CD	@card@
--	:	--
not	RB	not
1943	CD	@card@
--	:	--
and	CC	and
Title	NP	Title
VI	NP	VI
places	VBZ	place
responsibility	NN	responsibility
on	IN	on
colleges	NNS	college
and	CC	and
universities	NNS	university
to	TO	to
protect	VB	protect
their	PP$	their
Jewish	JJ	Jewish
students	NNS	student
from	IN	from
harassment	NN	harassment
,	,	,
not	RB	not
on	IN	on
those	DT	those
students	NNS	student
to	TO	to
hide	VB	hide
themselves	PP	themselves
away	RP	away
in	IN	in
a	DT	a
proverbial	JJ	proverbial
attic	NN	attic
or	CC	or
attempt	NN	attempt
to	TO	to
escape	VB	escape
from	IN	from
a	DT	a
place	NN	place
they	PP	they
have	VBP	have
a	DT	a
right	NN	right
to	TO	to
be	VB	be
,	,	,
"	''	"
the	DT	the
judge	NN	judge
added	VBD	add
.	SENT	.
<p>
Cronon	NP	Cronon
,	,	,
a	DT	a
President	NP	President
Trump	NP	Trump
appointee	NN	appointee
who	WP	who
since	IN	since
2017	CD	@card@
has	VBZ	have
been	VBN	be
a	DT	a
member	NN	member
of	IN	of
the	DT	the
conservative	JJ	conservative
Federalist	NP	Federalist
Society	NP	Society
legal	JJ	legal
group	NN	group
,	,	,
also	RB	also
ripped	VBD	rip
Cooper	NP	Cooper
Union	NP	Union
for	IN	for
issuing	VBG	issue
a	DT	a
tepid	JJ	tepid
statement	NN	statement
after	RB	after
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
around	RB	around
1,200	CD	@card@
Israelis	NPS	Israelis
and	CC	and
took	VBD	take
251	CD	@card@
hostages	NNS	hostage
.	SENT	.
<p>
The	DT	the
Cooper	NP	Cooper
Union	NP	Union
students	NNS	student
filing	VBG	file
the	DT	the
suit	NN	suit
say	VBP	say
the	DT	the
school	NN	school
failed	VBD	fail
to	TO	to
protect	VB	protect
them	PP	them
during	IN	during
protests	NNS	protest
that	WDT	that
erupted	VBD	erupt
in	IN	in
the	DT	the
wake	NN	wake
of	IN	of
Hamas	NP	<unknown>
'	POS	'
attack	NN	attack
and	CC	and
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
deadly	JJ	deadly
response	NN	response
.	SENT	.
@StopAntisemites/	NP	<unknown>
X	NP	X
<p>
The	DT	the
school	NN	school
"	``	"
mustered	VBD	muster
only	RB	only
an	DT	an
anemic	JJ	anemic
statement	NN	statement
"	''	"
in	IN	in
the	DT	the
immediate	JJ	immediate
aftermath	NN	aftermath
of	IN	of
the	DT	the
attack	NN	attack
,	,	,
"	''	"
offering	VBG	offer
no	DT	no
direct	JJ	direct
statement	NN	statement
of	IN	of
support	NN	support
for	IN	for
its	PP$	its
Jewish	JJ	Jewish
and	CC	and
Israeli	JJ	Israeli
students	NNS	student
"	''	"
--	:	--
and	CC	and
only	RB	only
offered	VBD	offer
a	DT	a
stronger	JJR	strong
statement	NN	statement
later	RBR	later
after	IN	after
prodding	VBG	prod
from	IN	from
the	DT	the
Jewish	JJ	Jewish
community	NN	community
,	,	,
the	DT	the
judge	NN	judge
wrote	VBD	write
.	SENT	.
<p>
The	DT	the
judge	NN	judge
'	POS	'
s	NN	S
comments	NNS	comment
came	VBD	come
as	IN	as
he	PP	he
ruled	VBD	rule
to	TO	to
keep	VB	keep
alive	RB	alive
the	DT	the
bulk	NN	bulk
of	IN	of
the	DT	the
students	NNS	student
'	POS	'
civil	JJ	civil
rights	NNS	right
suit	NN	suit
,	,	,
in	IN	in
which	WDT	which
they	PP	they
accuse	VBP	accuse
Cooper	NP	Cooper
Union	NP	Union
of	IN	of
fostering	VBG	foster
a	DT	a
"	``	"
hostile	JJ	hostile
educational	JJ	educational
environment	NN	environment
"	''	"
in	IN	in
the	DT	the
days	NNS	day
after	IN	after
the	DT	the
attack	NN	attack
.	SENT	.
<p>
Cooper	NP	Cooper
Union	NP	Union
'	POS	'
s	JJ	<unknown>
president	NN	president
at	IN	at
the	DT	the
time	NN	time
of	IN	of
the	DT	the
Hamas	JJ	<unknown>
attack	NN	attack
and	CC	and
its	PP$	its
aftermath	NN	aftermath
,	,	,
Laura	NP	Laura
Sparks	NP	Sparks
,	,	,
resigned	VBD	resign
in	IN	in
August	NP	August
2024	CD	@card@
.	SENT	.
<p>
The	DT	the
suit	NN	suit
says	VBZ	say
that	IN	that
a	DT	a
group	NN	group
of	IN	of
Jewish	JJ	Jewish
students	NNS	student
barricaded	VBD	barricade
themselves	PP	themselves
inside	IN	inside
the	DT	the
school	NN	school
'	POS	'
s	JJ	<unknown>
library	NN	library
while	IN	while
pro-Palestine	JJ	<unknown>
protesters	NNS	protester
banged	VBN	bang
on	IN	on
the	DT	the
doors	NNS	door
outside	JJ	outside
.	SENT	.
X	NN	X
/	SYM	/
@thislouis	NNS	<unknown>
<p>
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
,	,	,
"	''	"
Cooper	NP	Cooper
Union	NP	Union
is	VBZ	be
confident	JJ	confident
that	IN	that
the	DT	the
facts	NNS	fact
and	CC	and
evidence	NN	evidence
that	WDT	that
will	MD	will
be	VB	be
established	VBN	establish
during	IN	during
the	DT	the
next	JJ	next
phase	NN	phase
of	IN	of
the	DT	the
litigation	NN	litigation
will	MD	will
strongly	RB	strongly
refute	VB	refute
the	DT	the
allegations	NNS	allegation
being	VBG	be
made	VBN	make
in	IN	in
this	DT	this
case	NN	case
and	CC	and
it	PP	it
looks	VBZ	look
forward	RB	forward
to	TO	to
the	DT	the
opportunity	NN	opportunity
to	TO	to
present	VB	present
them	PP	them
before	IN	before
the	DT	the
court	NN	court
.	SENT	.
"	''	"
<p>
Israel	NP	Israel
launched	VBD	launch
an	DT	an
assault	NN	assault
on	IN	on
Hamas	NNS	<unknown>
in	IN	in
the	DT	the
wake	NN	wake
of	IN	of
the	DT	the
attack	NN	attack
that	WDT	that
has	VBZ	have
killed	VBN	kill
more	JJR	more
than	IN	than
46,000	CD	@card@
people	NNS	people
in	IN	in
Gaza	NP	Gaza
,	,	,
including	VBG	include
women	NNS	woman
and	CC	and
children	NNS	child
,	,	,
according	VBG	accord
to	TO	to
local	JJ	local
health	NN	health
officials	NNS	official
.	SENT	.
<p>
The	DT	the
court	NN	court
also	RB	also
accused	VBD	accuse
former	JJ	former
Hamas	JJ	<unknown>
commander	NN	commander
Mohammad	NP	Mohammad
Deif	NP	<unknown>
--	:	--
who	WP	who
was	VBD	be
killed	VBN	kill
in	IN	in
a	DT	a
July	NP	July
2024	CD	@card@
air	NN	air
strike	NN	strike
--	:	--
of	IN	of
"	``	"
crimes	NNS	crime
against	IN	against
humanity	NN	humanity
of	IN	of
murder	NN	murder
,	,	,
extermination	NN	extermination
,	,	,
torture	NN	torture
,	,	,
rape	NN	rape
and	CC	and
other	JJ	other
form	NN	form
of	IN	of
sexual	JJ	sexual
violence	NN	violence
.	SENT	.
"	``	"
