<p>
Donald	NP	Donald
far	RB	far
taken	VBN	take
place	NN	place
in	IN	in
the	DT	the
Pentagon	NP	Pentagon
or	CC	or
the	DT	the
state	NN	state
department	NN	department
regarding	VBG	regard
how	WRB	how
the	DT	the
US	NP	US
could	MD	could
legally	RB	legally
or	CC	or
logistically	RB	logistically
handle	VB	handle
the	DT	the
task	NN	task
proposed	VBN	propose
by	IN	by
Trump	NP	Trump
.	SENT	.
<p>
But	CC	but
the	DT	the
announcement	NN	announcement
was	VBD	be
welcomed	VBN	welcome
by	IN	by
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
far-right	JJ	far-right
settler	NN	settler
movement	NN	movement
,	,	,
as	RB	as
well	RB	well
as	IN	as
their	PP$	their
evangelical	JJ	evangelical
allies	NNS	ally
in	IN	in
the	DT	the
US	NP	US
who	WP	who
have	VBP	have
endorsed	VBN	endorse
the	DT	the
annexation	NN	annexation
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
other	JJ	other
occupied	VBN	occupy
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
In	IN	in
the	DT	the
meantime	NN	meantime
,	,	,
I	PP	I
would	MD	would
own	VB	own
this	DT	this
,	,	,
"	''	"
Trump	NP	Trump
said	VBD	say
of	IN	of
Gaza	NP	Gaza
.	SENT	.
"	``	"
Think	VBP	think
of	IN	of
it	PP	it
as	IN	as
a	DT	a
real	JJ	real
estate	NN	estate
development	NN	development
for	IN	for
the	DT	the
future	NN	future
.	SENT	.
It	PP	it
would	MD	would
be	VB	be
a	DT	a
beautiful	JJ	beautiful
piece	NN	piece
of	IN	of
land	NN	land
.	SENT	.
No	DT	no
big	JJ	big
money	NN	money
spent	VBD	spend
.	SENT	.
"	''	"
<p>
On	IN	on
Sunday	NP	Sunday
,	,	,
the	DT	the
UN	NP	UN
'	POS	'
s	JJ	<unknown>
top	JJ	top
investigator	NN	investigator
on	IN	on
human	JJ	human
rights	NNS	right
,	,	,
Navi	NP	<unknown>
Pillay	NP	Pillay
,	,	,
told	VBD	tell
Politico	NN	politico
,	,	,
a	DT	a
news	NN	news
website	NN	website
,	,	,
that	IN	that
Trump	NP	Trump
'	POS	'
s	JJ	<unknown>
plan	NN	plan
for	IN	for
the	DT	the
"	``	"
forcible	JJ	forcible
displacement	NN	displacement
of	IN	of
an	DT	an
occupied	JJ	occupied
group	NN	group
is	VBZ	be
an	DT	an
international	JJ	international
crime	NN	crime
,	,	,
and	CC	and
amounts	NNS	amount
to	TO	to
ethnic	JJ	ethnic
cleansing	NN	cleansing
"	''	"
.	SENT	.
<p>
"	``	"
There	EX	there
is	VBZ	be
no	DT	no
way	NN	way
under	IN	under
the	DT	the
law	NN	law
that	IN	that
Trump	NP	Trump
could	MD	could
carry	VB	carry
out	RP	out
the	DT	the
threat	NN	threat
to	TO	to
dislocate	VB	dislocate
Palestinians	NNS	Palestinian
from	IN	from
their	PP$	their
land	NN	land
,	,	,
"	''	"
Pillay	NP	Pillay
said	VBD	say
.	SENT	.
<p>
More	JJR	more
than	IN	than
1.5	CD	@card@
million	CD	million
Palestinians	NPS	Palestinians
and	CC	and
their	PP$	their
descendants	NNS	descendant
who	WP	who
lost	VBD	lose
their	PP$	their
homes	NNS	home
during	IN	during
the	DT	the
1948	CD	@card@
Arab	JJ	Arab
--	:	--
Israeli	JJ	Israeli
war	NN	war
currently	RB	currently
live	VBP	live
in	IN	in
refugee	NN	refugee
camps	NNS	camp
in	IN	in
Jordan	NP	Jordan
,	,	,
Lebanon	NP	Lebanon
,	,	,
the	DT	the
Syrian	JJ	Syrian
Arab	NP	Arab
Republic	NP	Republic
,	,	,
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
the	DT	the
West	NP	West
Bank	NP	Bank
,	,	,
including	VBG	include
East	NP	East
Jerusalem	NP	Jerusalem
.	SENT	.
