<h>
Breaking	VBG	break
of	IN	of
the	DT	the
attacks	NNS	attack
of	IN	of
Oct.	NP	Oct.
7	CD	@card@
,	,	,
2023	CD	@card@
.	SENT	.
"	''	"
<p>
"	``	"
It	PP	it
'	POS	'
s	NN	S
very	RB	very
selective	JJ	selective
in	IN	in
the	DT	the
history	NN	history
it	PP	it
is	VBZ	be
trying	VBG	try
to	TO	to
portray	VB	portray
,	,	,
and	CC	and
the	DT	the
exhibit	NN	exhibit
includes	VBZ	include
graphic	JJ	graphic
imagery	NN	imagery
of	IN	of
everything	NN	everything
that	WDT	that
took	VBD	take
place	NN	place
following	VBG	follow
Oct.	NP	Oct.
7	CD	@card@
,	,	,
but	CC	but
they	PP	they
never	RB	never
mention	VBP	mention
what	WP	what
actually	RB	actually
happened	VBD	happen
to	TO	to
lead	VB	lead
to	TO	to
all	DT	all
of	IN	of
this	DT	this
,	,	,
"	''	"
Harounoff	NP	<unknown>
said	VBD	say
.	SENT	.
<p>
The	DT	the
photo	NN	photo
exhibit	NN	exhibit
"	``	"
Gaza	NP	Gaza
,	,	,
Palestine	NP	Palestine
:	:	:
A	DT	a
Crisis	NN	crisis
of	IN	of
Humanity	NN	humanity
,	,	,
a	DT	a
Cry	NN	cry
for	IN	for
Justice	NP	Justice
"	''	"
in	IN	in
the	DT	the
lobby	NN	lobby
of	IN	of
United	NP	United
Nations	NPS	Nations
headquarters	NN	headquarters
in	IN	in
Manhattan	NP	Manhattan
includes	VBZ	include
images	NNS	image
of	IN	of
demolished	VBN	demolish
buildings	NNS	building
,	,	,
displaced	VBN	displace
civilians	NNS	civilian
,	,	,
maimed	VBN	maim
children	NNS	child
and	CC	and
corpses	NNS	corpse
.	SENT	.
United	NP	United
Nations	NPS	Nations
<p>
Harounoff	NP	<unknown>
told	VBD	tell
JNS	NP	JNS
that	IN	that
the	DT	the
Jewish	JJ	Jewish
state	NN	state
is	VBZ	be
n't	RB	n't
engaged	VBN	engage
in	IN	in
the	DT	the
war	NN	war
"	''	"
to	TO	to
bring	VB	bring
suffering	NN	suffering
upon	IN	upon
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
.	SENT	.
"	''	"
<p>
"	``	"
That	RB	that
'	''	'
s	VBG	<unknown>
not	RB	not
its	PP$	its
objective	NN	objective
.	SENT	.
Its	PP$	its
objective	NN	objective
is	VBZ	be
to	TO	to
prevent	VB	prevent
terrorist	JJ	terrorist
organizations	NNS	organization
like	IN	like
Hamas	NNS	<unknown>
from	IN	from
terrorizing	VBG	terrorize
its	PP$	its
people	NNS	people
which	WDT	which
it	PP	it
did	VBD	do
when	WRB	when
it	PP	it
infiltrated	VBD	infiltrate
Israel	NP	Israel
on	IN	on
Oct.	NP	Oct.
7	CD	@card@
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<p>
Harounoff	NP	<unknown>
pointed	VBD	point
to	TO	to
a	DT	a
photograph	NN	photograph
by	IN	by
Yasser	NP	Yasser
Qudih	NP	<unknown>
--	:	--
whose	WP$	whose
presence	NN	presence
during	IN	during
the	DT	the
Oct.	NP	Oct.
7	CD	@card@
attacks	NNS	attack
has	VBZ	have
raised	VBN	raise
ethical	JJ	ethical
questions	NNS	question
--	:	--
which	WDT	which
depicts	VBZ	depict
children	NNS	child
holding	VBG	hold
empty	JJ	empty
bowls	NNS	bowl
,	,	,
hoping	VBG	hope
in	IN	in
vain	JJ	vain
for	IN	for
food	NN	food
,	,	,
near	IN	near
Rafah	NP	<unknown>
.	SENT	.
"	``	"
It	PP	it
did	VBD	do
not	RB	not
take	VB	take
long	RB	long
for	IN	for
the	DT	the
food	NN	food
to	TO	to
run	VB	run
out	RP	out
,	,	,
"	''	"
a	DT	a
caption	NN	caption
states	NNS	state
.	SENT	.
<p>
"	''	"
Pictures	NNS	picture
like	IN	like
this	DT	this
in	IN	in
this	DT	this
exhibit	NN	exhibit
,	,	,
showcasing	VBG	showcase
children	NNS	child
who	WP	who
are	VBP	be
starving	VBG	starve
and	CC	and
desperate	JJ	desperate
for	IN	for
food	NN	food
,	,	,
fail	VBP	fail
to	TO	to
mention	VB	mention
that	IN	that
the	DT	the
reason	NN	reason
the	DT	the
photographed	VBN	photograph
children	NNS	child
have	VBP	have
no	DT	no
food	NN	food
is	VBZ	be
because	IN	because
Hamas	JJ	<unknown>
terrorists	NNS	terrorist
continually	RB	continually
loot	VBP	loot
aid	NN	aid
in	IN	in
Gaza	NP	Gaza
instead	RB	instead
of	IN	of
feeding	VBG	feed
their	PP$	their
own	JJ	own
people	NNS	people
,	,	,
"	''	"
Harounoff	NP	<unknown>
said	VBD	say
.	SENT	.
<p>
The	DT	the
Israeli	JJ	Israeli
spokesman	NN	spokesman
told	VBD	tell
JNS	NP	JNS
that	IN	that
other	JJ	other
exhibits	NNS	exhibit
in	IN	in
the	DT	the
U.N	NP	U.N
.	SENT	.
lobby	NN	lobby
tend	VBP	tend
to	TO	to
have	VB	have
highly	RB	highly
visible	JJ	visible
signs	NNS	sign
with	IN	with
disclaimers	NNS	disclaimer
stating	VBG	state
that	IN	that
the	DT	the
United	NP	United
Nations	NPS	Nations
does	VBZ	do
not	RB	not
necessarily	RB	necessarily
share	VB	share
the	DT	the
views	NNS	view
articulated	VBN	articulate
in	IN	in
the	DT	the
exhibitions	NNS	exhibition
.	SENT	.
<h>
'	''	'
Does	VBZ	do
not	RB	not
paint	VB	paint
a	DT	a
full	JJ	full
picture	NN	picture
'	''	'
<p>
The	DT	the
Gaza	NP	Gaza
photo	NN	photo
exhibit	NN	exhibit
,	,	,
which	WDT	which
is	VBZ	be
on	IN	on
view	NN	view
until	IN	until
Jan.	NP	Jan.
10	CD	@card@
and	CC	and
is	VBZ	be
organized	VBN	organize
by	IN	by
the	DT	the
Palestinian	JJ	Palestinian
"	``	"
permanent	JJ	permanent
observer	NN	observer
"	''	"
mission	NN	mission
to	TO	to
the	DT	the
global	JJ	global
body	NN	body
,	,	,
has	VBZ	have
no	DT	no
such	JJ	such
sign	NN	sign
.	SENT	.
<p>
"	``	"
This	DT	this
was	VBD	be
written	VBN	write
by	IN	by
the	DT	the
Palestinian	JJ	Palestinian
mission	NN	mission
to	TO	to
the	DT	the
United	NP	United
Nations	NPS	Nations
and	CC	and
in	IN	in
this	DT	this
long	JJ	long
,	,	,
long	JJ	long
text	NN	text
,	,	,
you	PP	you
wo	MD	wo
n't	RB	n't
find	VB	find
the	DT	the
word	NN	word
'	POS	'
Hamas	NN	<unknown>
'	''	'
in	IN	in
it	PP	it
,	,	,
"	''	"
Jonathan	NP	Jonathan
Harounoff	NP	<unknown>
said	VBD	say
.	SENT	.
United	NP	United
Nations	NPS	Nations
<p>
Harounoff	NP	<unknown>
showed	VBD	show
JNS	NP	JNS
another	DT	another
exhibit	NN	exhibit
in	IN	in
the	DT	the
U.N	NP	U.N
.	SENT	.
lobby	NN	lobby
about	IN	about
the	DT	the
Palestinian	JJ	Palestinian
Red	NP	Red
Crescent	NP	Crescent
.	SENT	.
<p>
"	``	"
The	DT	the
content	NN	content
of	IN	of
this	DT	this
exhibit	NN	exhibit
is	VBZ	be
solely	RB	solely
the	DT	the
responsibility	NN	responsibility
of	IN	of
the	DT	the
sponsor	NN	sponsor
.	SENT	.
The	DT	the
holding	NN	holding
of	IN	of
the	DT	the
exhibit	NN	exhibit
on	IN	on
the	DT	the
U.N	NP	U.N
.	SENT	.
premises	NNS	premise
does	VBZ	do
not	RB	not
imply	VB	imply
endorsement	NN	endorsement
or	CC	or
acceptance	NN	acceptance
of	IN	of
its	PP$	its
content	NN	content
by	IN	by
the	DT	the
United	NP	United
Nations	NPS	Nations
"	''	"
the	DT	the
sign	NN	sign
states	NNS	state
.	SENT	.
"	``	"
The	DT	the
designations	NNS	designation
employed	VBN	employ
and	CC	and
the	DT	the
presentation	NN	presentation
of	IN	of
material	NN	material
on	IN	on
these	DT	these
displays	NNS	display
do	VBP	do
not	RB	not
imply	VB	imply
the	DT	the
expression	NN	expression
of	IN	of
any	DT	any
opinion	NN	opinion
on	IN	on
the	DT	the
part	NN	part
of	IN	of
the	DT	the
secretariat	NN	secretariat
or	CC	or
the	DT	the
United	NP	United
Nations	NPS	Nations
.	SENT	.
Please	UH	please
direct	VB	direct
any	DT	any
queries	NNS	query
to	TO	to
the	DT	the
organizers	NNS	organizer
.	SENT	.
"	``	"
<p>
The	DT	the
Gaza	NP	Gaza
exhibit	NN	exhibit
"	``	"
has	VBZ	have
only	RB	only
a	DT	a
very	RB	very
small	JJ	small
footnote	NN	footnote
saying	VBG	say
the	DT	the
U.N	NP	U.N
.	SENT	.
does	VBZ	do
n't	RB	n't
necessarily	RB	necessarily
share	VB	share
the	DT	the
viewpoints	NNS	viewpoint
of	IN	of
the	DT	the
exhibit	NN	exhibit
organizer	NN	organizer
,	,	,
"	''	"
Harounoff	NP	<unknown>
said	VBD	say
.	SENT	.
"	``	"
But	CC	but
when	WRB	when
the	DT	the
Israeli	JJ	Israeli
mission	NN	mission
held	VBD	hold
an	DT	an
exhibit	NN	exhibit
featuring	VBG	feature
Israeli	JJ	Israeli
mothers	NNS	mother
speaking	VBG	speak
about	IN	about
the	DT	the
loss	NN	loss
of	IN	of
their	PP$	their
children	NNS	child
due	JJ	due
to	TO	to
the	DT	the
war	NN	war
,	,	,
we	PP	we
were	VBD	be
told	VBN	tell
that	IN	that
by	IN	by
protocol	NN	protocol
we	PP	we
had	VBD	have
to	TO	to
have	VB	have
a	DT	a
large	JJ	large
sign	NN	sign
letting	VBG	let
the	DT	the
public	NN	public
know	VBP	know
this	DT	this
exhibit	NN	exhibit
reflected	VBD	reflect
our	PP$	our
mission	NN	mission
'	POS	'
s	NN	S
views	NNS	view
alone	RB	alone
.	SENT	.
"	``	"
<p>
That	DT	that
double	JJ	double
standard	NN	standard
suggests	VBZ	suggest
that	IN	that
the	DT	the
United	NP	United
Nations	NPS	Nations
endorses	VBZ	endorse
the	DT	the
messaging	VBG	message
behind	IN	behind
the	DT	the
Gaza	NP	Gaza
exhibit	NN	exhibit
,	,	,
according	VBG	accord
to	TO	to
Harounoff	NP	<unknown>
.	SENT	.
<p>
"	``	"
This	DT	this
exhibit	NN	exhibit
does	VBZ	do
not	RB	not
paint	VB	paint
a	DT	a
full	JJ	full
picture	NN	picture
here	RB	here
.	SENT	.
We	PP	we
do	VBP	do
n't	RB	n't
see	VB	see
mention	NN	mention
of	IN	of
what	WP	what
happened	VBD	happen
on	IN	on
Oct.	NP	Oct.
7	CD	@card@
,	,	,
we	PP	we
only	RB	only
see	VBP	see
what	WP	what
took	VBD	take
place	NN	place
from	IN	from
a	DT	a
very	RB	very
biased	VBN	bias
angle	NN	angle
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
"	''	"
So	IN	so
the	DT	the
concern	NN	concern
is	VBZ	be
,	,	,
does	VBZ	do
having	VBG	have
no	DT	no
disclaimer	NN	disclaimer
mean	VBP	mean
that	IN	that
this	DT	this
is	VBZ	be
an	DT	an
endorsement	NN	endorsement
by	IN	by
the	DT	the
United	NP	United
Nations	NPS	Nations
?	SENT	?
"	''	"
<p>
"	``	"
If	IN	if
there	EX	there
was	VBD	be
a	DT	a
sign	NN	sign
here	RB	here
then	RB	then
there	EX	there
would	MD	would
be	VB	be
transparency	NN	transparency
,	,	,
where	WRB	where
I	PP	I
could	MD	could
infer	VB	infer
as	IN	as
a	DT	a
visitor	NN	visitor
that	IN	that
this	DT	this
is	VBZ	be
not	RB	not
condoned	VBN	condone
by	IN	by
the	DT	the
United	NP	United
Nations	NPS	Nations
,	,	,
"	''	"
he	PP	he
added	VBD	add
.	SENT	.
"	''	"
By	IN	by
not	RB	not
having	VBG	have
a	DT	a
sign	NN	sign
,	,	,
you	PP	you
'	POS	'
re	NN	re
creating	VBG	create
a	DT	a
sort	NN	sort
of	IN	of
opaque	JJ	opaque
system	NN	system
,	,	,
where	WRB	where
anyone	NN	anyone
passing	VBG	pass
by	IN	by
can	MD	can
assume	VB	assume
that	IN	that
this	DT	this
has	VBZ	have
been	VBN	be
endorsed	VBN	endorse
by	IN	by
or	CC	or
even	RB	even
curated	VBD	curate
by	IN	by
the	DT	the
United	NP	United
Nations	NPS	Nations
,	,	,
and	CC	and
that	DT	that
is	VBZ	be
not	RB	not
necessarily	RB	necessarily
the	DT	the
case	NN	case
.	SENT	.
"	''	"
<p>
JNS	NP	JNS
sought	VBD	seek
comment	NN	comment
from	IN	from
the	DT	the
United	NP	United
Nations	NPS	Nations
.	SENT	.
Farhan	NP	Farhan
Haq	NP	Haq
,	,	,
deputy	JJ	deputy
spokesman	NN	spokesman
for	IN	for
Ant	NN	ant
?	SENT	?
nio	NP	nio
Guterres	NP	Guterres
,	,	,
the	DT	the
U.N	NP	U.N
.	SENT	.
secretary-general	NN	secretary-general
,	,	,
told	VBD	tell
JNS	NP	JNS
that	IN	that
there	EX	there
are	VBP	be
differences	NNS	difference
between	IN	between
exhibitions	NNS	exhibition
at	IN	at
the	DT	the
United	NP	United
Nations	NPS	Nations
,	,	,
and	CC	and
some	DT	some
have	VBP	have
larger	JJR	large
disclaimers	NNS	disclaimer
while	IN	while
others	NNS	other
do	VBP	do
not	RB	not
.	SENT	.
<p>
"	``	"
Some	DT	some
shows	NNS	show
have	VBP	have
it	PP	it
one	CD	one
way	NN	way
,	,	,
some	DT	some
in	IN	in
the	DT	the
other	JJ	other
.	SENT	.
It	PP	it
depends	VBZ	depend
on	IN	on
the	DT	the
sponsors	NNS	sponsor
of	IN	of
the	DT	the
exhibits	NNS	exhibit
,	,	,
"	''	"
Haq	NP	Haq
told	VBD	tell
JNS	NP	JNS
.	SENT	.
<p>
Danny	NP	Danny
Danon	NP	<unknown>
,	,	,
the	DT	the
Israeli	JJ	Israeli
ambassador	NN	ambassador
to	TO	to
the	DT	the
United	NP	United
Nations	NPS	Nations
,	,	,
stated	VBD	state
that	IN	that
the	DT	the
Gaza	NP	Gaza
exhibit	NN	exhibit
represents	VBZ	represent
"	``	"
diplomatic	JJ	diplomatic
terrorism	NN	terrorism
.	SENT	.
"	''	"
<p>
"	``	"
This	DT	this
week	NN	week
,	,	,
a	DT	a
one-sided	JJ	one-sided
pro-Palestinian	NP	pro-Palestinian
exhibition	NN	exhibition
that	WDT	that
is	VBZ	be
detached	VBN	detach
from	IN	from
reality	NN	reality
opened	VBN	open
at	IN	at
the	DT	the
main	JJ	main
entrance	NN	entrance
to	TO	to
the	DT	the
U.N.	NP	U.N.
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
"	``	"
When	WRB	when
will	MD	will
the	DT	the
U.N	NP	U.N
.	SENT	.
stop	VB	stop
spending	NN	spending
millions	NNS	million
of	IN	of
dollars	NNS	dollar
on	IN	on
spreading	VBG	spread
lies	NNS	lie
and	CC	and
instead	RB	instead
pass	VB	pass
a	DT	a
moral	JJ	moral
resolution	NN	resolution
that	WDT	that
condemns	VBZ	condemn
Hamas	NNS	<unknown>
and	CC	and
calls	NNS	call
for	IN	for
the	DT	the
release	NN	release
of	IN	of
our	PP$	our
hostages	NNS	hostage
?	SENT	?
Disgraceful	JJ	disgraceful
.	SENT	.
"	``	"
<h>
Video	NP	Video
<p>
The	DT	the
photo	NN	photo
exhibit	NN	exhibit
"	``	"
Gaza	NP	Gaza
,	,	,
Palestine	NP	Palestine
:	:	:
A	DT	a
Crisis	NN	crisis
of	IN	of
Humanity	NN	humanity
,	,	,
a	DT	a
Cry	NN	cry
for	IN	for
Justice	NP	Justice
"	''	"
in	IN	in
the	DT	the
lobby	NN	lobby
of	IN	of
United	NP	United
Nations	NPS	Nations
headquarters	NN	headquarters
in	IN	in
Manhattan	NP	Manhattan
includes	VBZ	include
images	NNS	image
of	IN	of
demolished	VBN	demolish
buildings	NNS	building
,	,	,
displaced	VBN	displace
civilians	NNS	civilian
,	,	,
maimed	VBN	maim
children	NNS	child
and	CC	and
corpses	NNS	corpse
.	SENT	.
United	NP	United
Nations	NP	Nations
<p>
"	``	"
This	DT	this
was	VBD	be
written	VBN	write
by	IN	by
the	DT	the
Palestinian	JJ	Palestinian
mission	NN	mission
to	TO	to
the	DT	the
United	NP	United
Nations	NPS	Nations
and	CC	and
in	IN	in
this	DT	this
long	JJ	long
,	,	,
long	JJ	long
text	NN	text
,	,	,
you	PP	you
wo	MD	wo
n't	RB	n't
find	VB	find
the	DT	the
word	NN	word
'	POS	'
Hamas	NN	<unknown>
'	''	'
in	IN	in
it	PP	it
,	,	,
"	''	"
Jonathan	NP	Jonathan
Harounoff	NP	<unknown>
said	VBD	say
.	SENT	.
United	NP	United
Nations	NPS	Nations
