<h>
December	NP	December
aircraft	NN	aircraft
from	IN	from
the	DT	the
RSAF	NP	<unknown>
in	IN	in
March	NP	March
2024	CD	@card@
.	SENT	.
<p>
He	PP	he
paid	VBD	pay
tribute	NN	tribute
to	TO	to
the	DT	the
various	JJ	various
regional	JJ	regional
partners	NNS	partner
that	WDT	that
had	VBD	have
helped	VBN	help
Singapore	NP	Singapore
'	POS	'
s	JJ	<unknown>
relief	NN	relief
efforts	NNS	effort
,	,	,
such	JJ	such
as	IN	as
Egypt	NP	Egypt
,	,	,
Jordan	NP	Jordan
,	,	,
the	DT	the
United	NP	United
Arab	NP	Arab
Emirates	NP	Emirates
,	,	,
Saudi	NP	Saudi
Arabia	NP	Arabia
,	,	,
and	CC	and
Cyprus	NP	Cyprus
.	SENT	.
<p>
He	PP	he
also	RB	also
encouraged	VBD	encourage
Singaporeans	NNS	Singaporean
to	TO	to
continue	VB	continue
contributing	VBG	contribute
to	TO	to
fundraising	NN	fundraising
efforts	NNS	effort
by	IN	by
reputable	JJ	reputable
organisations	NNS	organisation
such	JJ	such
as	IN	as
the	DT	the
Rahmatan	NP	<unknown>
Lil	NP	Lil
Alamin	NP	Alamin
Foundation	NP	Foundation
and	CC	and
the	DT	the
Singapore	NP	Singapore
Red	NP	Red
Cross	NP	Cross
.	SENT	.
<p>
Maliki	NP	<unknown>
shared	VBD	share
that	IN	that
the	DT	the
conference	NN	conference
had	VBD	have
spoken	VBN	speak
not	RB	not
just	RB	just
about	IN	about
raising	VBG	raise
aid	NN	aid
for	IN	for
Gaza	NP	Gaza
,	,	,
but	CC	but
also	RB	also
the	DT	the
difficult	JJ	difficult
logistics	NNS	logistic
of	IN	of
delivering	VBG	deliver
that	DT	that
aid	NN	aid
to	TO	to
Gaza	NP	Gaza
,	,	,
but	CC	but
also	RB	also
within	IN	within
Gaza	NP	Gaza
.	SENT	.
<h>
Massive	JJ	massive
future	NN	future
needs	VBZ	need
<p>
Maliki	NP	<unknown>
also	RB	also
spoke	VBD	speak
about	IN	about
the	DT	the
future	NN	future
.	SENT	.
<p>
He	PP	he
said	VBD	say
that	IN	that
efforts	NNS	effort
towards	IN	towards
a	DT	a
ceasefire	NN	ceasefire
were	VBD	be
ongoing	JJ	ongoing
but	CC	but
difficult	JJ	difficult
,	,	,
but	CC	but
even	RB	even
should	MD	should
such	JJ	such
a	DT	a
ceasefire	NN	ceasefire
be	VB	be
achieved	VBN	achieve
,	,	,
"	''	"
the	DT	the
future	NN	future
needs	VBZ	need
of	IN	of
Gaza	NP	Gaza
will	MD	will
be	VB	be
massive	JJ	massive
"	''	"
.	SENT	.
<p>
Singapore	NP	Singapore
stood	VBD	stand
ready	JJ	ready
to	TO	to
join	VB	join
the	DT	the
international	JJ	international
community	NN	community
"	''	"
in	IN	in
supporting	VBG	support
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
as	IN	as
they	PP	they
seek	VBP	seek
to	TO	to
rebuild	VB	rebuild
their	PP$	their
lives	NNS	life
"	''	"
after	IN	after
the	DT	the
ceasefire	NN	ceasefire
is	VBZ	be
reached	VBN	reach
.	SENT	.
<p>
Maliki	NP	<unknown>
touched	VBD	touch
on	IN	on
some	DT	some
of	IN	of
the	DT	the
efforts	NNS	effort
that	WDT	that
had	VBD	have
been	VBN	be
made	VBN	make
by	IN	by
Singapore	NP	Singapore
through	IN	through
its	PP$	its
Enhanced	JJ	enhanced
Technical	NP	Technical
Assistance	NP	Assistance
Package	NN	package
(	(	(
ETAP	NP	<unknown>
)	)	)
.	SENT	.
<p>
ETAP	NP	<unknown>
supported	VBD	support
the	DT	the
Palestinian	NP	Palestinian
Authority	NP	Authority
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
governing	VBG	govern
body	NN	body
that	WDT	that
controls	VBZ	control
the	DT	the
Palestinian	JJ	Palestinian
territories	NNS	territory
of	IN	of
the	DT	the
West	NP	West
Bank	NP	Bank
,	,	,
and	CC	and
its	PP$	its
capacity-building	NN	capacity-building
efforts	NNS	effort
.	SENT	.
<p>
The	DT	the
programme	NN	programme
would	MD	would
be	VB	be
expanded	VBN	expand
from	IN	from
an	DT	an
annual	JJ	annual
offering	NN	offering
of	IN	of
three	CD	three
postgraduate	NN	postgraduate
scholarships	NNS	scholarship
in	IN	in
Singapore	NP	Singapore
,	,	,
to	TO	to
five	CD	five
undergraduate	NN	undergraduate
and	CC	and
five	CD	five
postgraduate	NN	postgraduate
scholarships	NNS	scholarship
,	,	,
which	WDT	which
Singapore	NP	Singapore
hoped	VBD	hope
would	MD	would
contribute	VB	contribute
to	TO	to
the	DT	the
PA	NN	pa
'	POS	'
s	JJ	<unknown>
human	JJ	human
capital	NN	capital
development	NN	development
efforts	NNS	effort
,	,	,
in	IN	in
preparation	NN	preparation
for	IN	for
eventual	JJ	eventual
statehood	NN	statehood
.	SENT	.
<h>
60	CD	@card@
years	NNS	year
of	IN	of
diplomatic	JJ	diplomatic
relations	NNS	relation
<p>
Maliki	NP	<unknown>
also	RB	also
met	VBD	meet
several	JJ	several
local	JJ	local
and	CC	and
foreign	JJ	foreign
dignitaries	NNS	dignitary
while	IN	while
in	IN	in
Cairo	NP	Cairo
,	,	,
including	VBG	include
Abdelatty	NP	Abdelatty
.	SENT	.
<p>
Abdelatty	NP	Abdelatty
posted	VBD	post
about	IN	about
the	DT	the
meeting	NN	meeting
on	IN	on
social	JJ	social
media	NNS	medium
,	,	,
describing	VBG	describe
Singapore	NP	Singapore
and	CC	and
Egypt	NP	Egypt
diplomatic	JJ	diplomatic
ties	NNS	tie
as	IN	as
strong	JJ	strong
,	,	,
and	CC	and
that	IN	that
the	DT	the
two	CD	two
friendly	JJ	friendly
nations	NNS	nation
aspired	VBD	aspire
to	TO	to
celebrate	VB	celebrate
the	DT	the
60th	JJ	100th
anniversary	NN	anniversary
of	IN	of
the	DT	the
establishment	NN	establishment
of	IN	of
diplomatic	JJ	diplomatic
relations	NNS	relation
in	IN	in
2026	CD	@card@
.	SENT	.
<p>
He	PP	he
also	RB	also
hoped	VBD	hope
to	TO	to
advance	VB	advance
various	JJ	various
areas	NNS	area
of	IN	of
bilateral	JJ	bilateral
cooperation	NN	cooperation
to	TO	to
broader	JJR	broad
horizons	NNS	horizon
.	SENT	.
<p>
Singapore	NP	Singapore
is	VBZ	be
the	DT	the
fifth	JJ	fifth
largest	JJS	large
Asian	JJ	Asian
investor	NN	investor
in	IN	in
Egypt	NP	Egypt
,	,	,
with	IN	with
over	IN	over
US$	$	US$
700	CD	@card@
million	CD	million
(	(	(
S$941	NP	<unknown>
million	CD	million
)	)	)
in	IN	in
investments	NNS	investment
in	IN	in
the	DT	the
country	NN	country
.	SENT	.
<p>
Abdelatty	NP	Abdelatty
welcomed	VBD	welcome
the	DT	the
continued	JJ	continued
and	CC	and
enhanced	JJ	enhanced
cooperation	NN	cooperation
in	IN	in
the	DT	the
cultural	JJ	cultural
field	NN	field
,	,	,
particularly	RB	particularly
the	DT	the
provision	NN	provision
of	IN	of
Egyptian	JJ	Egyptian
expertise	NN	expertise
to	TO	to
Singaporeans	NNS	Singaporean
and	CC	and
students	NNS	student
at	IN	at
the	DT	the
Al	NP	Al
Azhar	NP	Azhar
University	NP	University
,	,	,
"	''	"
supporting	VBG	support
efforts	NNS	effort
to	TO	to
promote	VB	promote
the	DT	the
moderate	JJ	moderate
approach	NN	approach
to	TO	to
Islam	NP	Islam
in	IN	in
Singapore	NP	Singapore
"	''	"
.	SENT	.
<p>
Meanwhile	RB	meanwhile
,	,	,
the	DT	the
Singapore	NP	Singapore
Cooperation	NP	Cooperation
Programme	NN	programme
has	VBZ	have
also	RB	also
trained	VBN	train
about	IN	about
700	CD	@card@
Egyptian	JJ	Egyptian
officials	NNS	official
.	SENT	.
<p>
Maliki	NP	<unknown>
also	RB	also
met	VBD	meet
with	IN	with
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
and	CC	and
Foreign	NP	Foreign
Minister	NP	Minister
of	IN	of
Palestine	NP	Palestine
,	,	,
the	DT	the
foreign	JJ	foreign
ministers	NNS	minister
of	IN	of
Bahrain	NP	Bahrain
,	,	,
Jordan	NP	Jordan
,	,	,
and	CC	and
Lebanon	NP	Lebanon
,	,	,
and	CC	and
Malaysia	NP	Malaysia
'	POS	'
s	JJ	<unknown>
deputy	JJ	deputy
foreign	JJ	foreign
minister	NN	minister
.	SENT	.
