<h>
Envoy	NN	envoy
anything	NN	anything
,	,	,
they	PP	they
have	VBP	have
a	DT	a
number	NN	number
they	PP	they
can	MD	can
call	VB	call
,	,	,
"	''	"
the	DT	the
ambassador	NN	ambassador
added	VBD	add
.	SENT	.
<p>
The	DT	the
official	NN	official
explained	VBD	explain
that	IN	that
the	DT	the
Filipino	JJ	Filipino
workers	NNS	worker
are	VBP	be
working	VBG	work
in	IN	in
their	PP$	their
"	``	"
green	JJ	green
zone	NN	zone
"	''	"
or	CC	or
"	``	"
safe	JJ	safe
area	NN	area
"	''	"
and	CC	and
are	VBP	be
far	RB	far
from	IN	from
danger	NN	danger
.	SENT	.
<p>
At	IN	at
present	JJ	present
,	,	,
more	JJR	more
than	IN	than
28,000	CD	@card@
OFWs	NNS	<unknown>
still	RB	still
remain	VBP	remain
in	IN	in
Israel	NP	Israel
,	,	,
and	CC	and
many	JJ	many
of	IN	of
them	PP	them
are	VBP	be
caregivers	NNS	caregiver
and	CC	and
hotel	NN	hotel
workers	NNS	worker
.	SENT	.
<p>
Fluss	NP	<unknown>
also	RB	also
told	VBD	tell
Tulfo	NP	<unknown>
that	IN	that
Israel	NP	Israel
currently	RB	currently
needs	VBZ	need
of	IN	of
more	JJR	more
Filipino	JJ	Filipino
workers	NNS	worker
,	,	,
but	CC	but
they	PP	they
could	MD	could
not	RB	not
hire	VB	hire
more	JJR	more
because	IN	because
of	IN	of
the	DT	the
existing	JJ	existing
deployment	NN	deployment
ban	NN	ban
of	IN	of
Filipinos	NNS	Filipino
to	TO	to
Israel	NP	Israel
.	SENT	.
<p>
"	``	"
We	PP	we
need	VBP	need
workers	NNS	worker
in	IN	in
agriculture	NN	agriculture
,	,	,
in	IN	in
construction	NN	construction
,	,	,
in	IN	in
industries	NNS	industry
,	,	,
in	IN	in
hotels	NNS	hotel
,	,	,
in	IN	in
restaurants	NNS	restaurant
.	SENT	.
There	EX	there
are	VBP	be
about	RB	about
11	CD	@card@
professions	NNS	profession
that	IN	that
we	PP	we
are	VBP	be
looking	VBG	look
for	IN	for
workers	NNS	worker
from	IN	from
overseas	JJ	overseas
,	,	,
"	''	"
Fluss	NP	<unknown>
mentioned	VBD	mention
.	SENT	.
"	''	"
The	DT	the
war	NN	war
has	VBZ	have
totally	RB	totally
affected	VBN	affect
the	DT	the
deployment	NN	deployment
of	IN	of
Filipinos	NPS	Filipinos
.	SENT	.
"	``	"
<p>
He	PP	he
also	RB	also
said	VBD	say
in	IN	in
certainty	NN	certainty
that	IN	that
Israel	NP	Israel
is	VBZ	be
helping	VBG	help
the	DT	the
families	NNS	family
of	IN	of
Filipinos	NPS	Filipinos
who	WP	who
have	VBP	have
been	VBN	be
affected	VBN	affect
by	IN	by
the	DT	the
war	NN	war
,	,	,
such	JJ	such
as	IN	as
when	WRB	when
someone	NN	someone
dies	NNS	die
or	CC	or
is	VBZ	be
held	VBN	hold
hostage	NN	hostage
while	IN	while
in	IN	in
their	PP$	their
country	NN	country
.	SENT	.
<p>
"	``	"
They	PP	they
are	VBP	be
getting	VBG	get
full	JJ	full
support	NN	support
from	IN	from
the	DT	the
Israeli	JJ	Israeli
government	NN	government
,	,	,
like	IN	like
any	DT	any
other	JJ	other
Israeli	JJ	Israeli
victim	NN	victim
of	IN	of
terror	NN	terror
.	SENT	.
So	RB	so
they	PP	they
get	VBP	get
;	:	;
they	PP	they
need	VBP	need
a	DT	a
family	NN	family
to	TO	to
get	VB	get
a	DT	a
monthly	JJ	monthly
income	NN	income
.	SENT	.
If	IN	if
they	PP	they
need	VBP	need
special	JJ	special
assistance	NN	assistance
for	IN	for
education	NN	education
or	CC	or
medical	JJ	medical
needs	NNS	need
.	SENT	.
So	IN	so
those	DT	those
families	NNS	family
are	VBP	be
being	VBG	be
taken	VBN	take
care	VBP	care
of	IN	of
.	SENT	.
We	PP	we
had	VBD	have
two	CD	two
Filipinos	NNS	Filipino
that	WDT	that
were	VBD	be
taken	VBN	take
hostage	NN	hostage
.	SENT	.
Of	IN	of
course	NN	course
both	CC	both
were	VBD	be
released	VBN	release
.	SENT	.
One	CD	one
of	IN	of
them	PP	them
is	VBZ	be
back	RB	back
here	RB	here
,	,	,
"	''	"
Fluss	NP	<unknown>
explained	VBD	explain
.	SENT	.
