<p>
(	(	(
the	DT	the
European	NP	European
Union	NP	Union
,	,	,
Australia	NP	Australia
,	,	,
Canada	NP	Canada
,	,	,
Britain	NP	Britain
,	,	,
Brazil	NP	Brazil
,	,	,
Japan	NP	Japan
and	CC	and
dozens	NNS	dozen
of	IN	of
African	JJ	African
and	CC	and
Latin	JJ	Latin
American	JJ	American
countries	NNS	country
.	SENT	.
<p>
ICC	NP	ICC
prosecutor	NN	prosecutor
Karim	NP	Karim
Khan	NP	Khan
had	VBD	have
announced	VBN	announce
on	IN	on
May	NP	May
20	CD	@card@
that	IN	that
he	PP	he
was	VBD	be
seeking	VBG	seek
arrest	NN	arrest
warrants	NNS	warrant
for	IN	for
alleged	JJ	alleged
crimes	NNS	crime
connected	VBN	connect
to	TO	to
the	DT	the
Hamas-led	JJ	<unknown>
attacks	NNS	attack
on	IN	on
Israel	NP	Israel
and	CC	and
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
response	NN	response
in	IN	in
Gaza	NP	Gaza
.	SENT	.
Israeli	NP	Israeli
and	CC	and
Hamas	NP	<unknown>
leaders	NNS	leader
have	VBP	have
dismissed	VBN	dismiss
allegations	NNS	allegation
that	IN	that
they	PP	they
committed	VBD	commit
war	NN	war
crimes	NNS	crime
.	SENT	.
<p>
The	DT	the
court	NN	court
does	VBZ	do
not	RB	not
have	VB	have
its	PP$	its
own	JJ	own
police	NN	police
force	NN	force
to	TO	to
carry	VB	carry
out	RP	out
arrests	NNS	arrest
and	CC	and
relies	VBZ	rely
on	IN	on
its	PP$	its
124	CD	@card@
member	NN	member
states	NNS	state
for	IN	for
that	WDT	that
,	,	,
with	IN	with
only	RB	only
limited	VBN	limit
diplomatic	JJ	diplomatic
means	NNS	mean
to	TO	to
force	VB	force
them	PP	them
if	IN	if
they	PP	they
do	VBP	do
not	RB	not
want	VB	want
to	TO	to
.	SENT	.
<h>
Global	JJ	global
reaction	NN	reaction
<p>
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
or	CC	or
later	RBR	later
some	DT	some
country	NN	country
will	MD	will
bring	VB	bring
them	PP	them
to	TO	to
justice	NN	justice
,	,	,
no	DT	no
matter	NN	matter
how	WRB	how
long	JJ	long
it	PP	it
takes	VBZ	take
,	,	,
"	''	"
said	VBD	say
Shaban	NP	Shaban
Abed	NP	Abed
,	,	,
47	CD	@card@
,	,	,
a	DT	a
technical	JJ	technical
engineer	NN	engineer
and	CC	and
a	DT	a
resident	NN	resident
of	IN	of
Gaza	NP	Gaza
City	NP	City
,	,	,
now	RB	now
displaced	VBN	displace
in	IN	in
the	DT	the
Khan	NP	Khan
Younis	NP	Younis
area	NN	area
.	SENT	.
He	PP	he
said	VBD	say
the	DT	the
court	NN	court
'	POS	'
s	NN	S
move	NN	move
was	VBD	be
"	``	"
late	JJ	late
,	,	,
but	CC	but
never	RB	never
too	RB	too
late	JJ	late
"	''	"
.	SENT	.
<p>
Rabeeha	NP	<unknown>
,	,	,
a	DT	a
mother	NN	mother
of	IN	of
five	CD	five
and	CC	and
a	DT	a
resident	NN	resident
of	IN	of
Gaza	NP	Gaza
City	NP	City
who	WP	who
only	RB	only
gave	VBD	give
her	PP$	her
first	JJ	first
name	NN	name
,	,	,
said	VBD	say
she	PP	she
hoped	VBD	hope
it	PP	it
would	MD	would
help	VB	help
bring	VB	bring
an	DT	an
end	NN	end
to	TO	to
the	DT	the
war	NN	war
.	SENT	.
<p>
"	``	"
I	PP	I
hope	VBP	hope
we	PP	we
can	MD	can
soon	RB	soon
see	VB	see
Netanyahu	NP	<unknown>
and	CC	and
the	DT	the
criminal	JJ	criminal
Gallant	NN	gallant
in	IN	in
jail	NN	jail
,	,	,
"	''	"
she	PP	she
said	VBD	say
.	SENT	.
"	``	"
Now	RB	now
they	PP	they
ca	MD	ca
n't	RB	n't
travel	VB	travel
,	,	,
now	RB	now
they	PP	they
are	VBP	be
being	VBG	be
hunted	VBN	hunt
.	SENT	.
"	''	"
<p>
Netanyahu	NP	<unknown>
'	POS	'
s	NN	S
office	NN	office
said	VBD	say
the	DT	the
ICC	NP	ICC
decision	NN	decision
was	VBD	be
"	``	"
antisemitic	JJ	antisemitic
"	''	"
and	CC	and
he	PP	he
will	MD	will
"	``	"
not	RB	not
yield	VB	yield
to	TO	to
pressure	NN	pressure
,	,	,
will	MD	will
not	RB	not
be	VB	be
deterred	VBN	deter
"	''	"
until	IN	until
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
war	NN	war
objectives	NNS	objective
are	VBP	be
met	VBN	meet
.	SENT	.
<p>
The	DT	the
ICC	NP	ICC
has	VBZ	have
"	``	"
lost	VBN	lose
all	DT	all
legitimacy	NN	legitimacy
"	''	"
after	IN	after
issuing	VBG	issue
the	DT	the
arrest	NN	arrest
warrants	NNS	warrant
for	IN	for
Netanyahu	NP	<unknown>
and	CC	and
Gallant	JJ	gallant
,	,	,
Israel	NP	Israel
'	POS	'
s	NN	S
Foreign	NP	Foreign
Minister	NP	Minister
Gideon	NP	Gideon
Saar	NP	Saar
said	VBD	say
.	SENT	.
<p>
"	''	"
A	DT	a
dark	NN	dark
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
on	IN	on
X	NP	X
,	,	,
adding	VBG	add
that	IN	that
it	PP	it
had	VBD	have
issued	VBN	issue
"	``	"
absurd	JJ	absurd
orders	NNS	order
without	IN	without
authority	NN	authority
.	SENT	.
"	``	"
<p>
There	EX	there
was	VBD	be
no	DT	no
immediate	JJ	immediate
comment	NN	comment
from	IN	from
Gallant	NN	gallant
.	SENT	.
<p>
In	IN	in
a	DT	a
statement	NN	statement
,	,	,
Hamas	NP	<unknown>
welcomed	VBD	welcome
the	DT	the
warrants	NNS	warrant
against	IN	against
Gallant	JJ	gallant
and	CC	and
Netanyahu	NP	<unknown>
and	CC	and
urged	VBD	urge
the	DT	the
court	NN	court
to	TO	to
expand	VB	expand
accountability	NN	accountability
to	TO	to
all	DT	all
Israeli	JJ	Israeli
leaders	NNS	leader
.	SENT	.
<p>
Senior	JJ	Senior
Hamas	JJ	<unknown>
official	NN	official
Basem	NP	<unknown>
Naim	NP	Naim
told	VBD	tell
Reuters	NP	Reuters
the	DT	the
warrants	NNS	warrant
against	IN	against
the	DT	the
Israelis	NPS	Israelis
were	VBD	be
an	DT	an
important	JJ	important
step	NN	step
towards	IN	towards
bringing	VBG	bring
justice	NN	justice
for	IN	for
the	DT	the
victims	NNS	victim
and	CC	and
that	IN	that
all	DT	all
countries	NNS	country
should	MD	should
back	VB	back
them	PP	them
.	SENT	.
<p>
The	DT	the
EU	NP	EU
'	POS	'
s	JJ	<unknown>
foreign	JJ	foreign
policy	NN	policy
chief	NN	chief
,	,	,
Josep	NP	Josep
Borrell	NP	Borrell
,	,	,
said	VBD	say
the	DT	the
decision	NN	decision
was	VBD	be
not	RB	not
political	JJ	political
but	CC	but
made	VBN	make
by	IN	by
a	DT	a
court	NN	court
and	CC	and
thus	RB	thus
should	MD	should
be	VB	be
respected	VBN	respect
and	CC	and
implemented	VBN	implement
.	SENT	.
<p>
"	''	"
The	DT	the
tragedy	NN	tragedy
in	IN	in
Gaza	NP	Gaza
has	VBZ	have
to	TO	to
stop	VB	stop
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<p>
Jordan	NP	Jordan
'	POS	'
s	JJ	<unknown>
foreign	JJ	foreign
minister	NN	minister
Ayman	NP	<unknown>
Safadi	NP	<unknown>
also	RB	also
said	VBD	say
the	DT	the
ICC	NP	ICC
'	POS	'
s	NN	S
decision	NN	decision
must	MD	must
be	VB	be
implemented	VBN	implement
,	,	,
adding	VBG	add
that	IN	that
Palestinians	NPS	Palestinians
deserved	VBD	deserve
justice	NN	justice
after	IN	after
what	WP	what
he	PP	he
termed	VBD	term
Israel	NP	Israel
'	POS	'
s	NN	S
"	``	"
war	NN	war
crimes	NNS	crime
"	''	"
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
The	DT	the
Netherlands	NPS	Netherlands
'	POS	'
foreign	JJ	foreign
minister	NN	minister
Caspar	NP	Caspar
Veldkamp	NP	Veldkamp
said	VBD	say
his	PP$	his
country	NN	country
acts	NNS	act
on	IN	on
arrest	NN	arrest
warrants	NNS	warrant
for	IN	for
people	NNS	people
on	IN	on
its	PP$	its
territory	NN	territory
and	CC	and
will	MD	will
not	RB	not
engage	VB	engage
in	IN	in
"	``	"
non-essential	JJ	non-essential
"	''	"
contacts	NNS	contact
.	SENT	.
<p>
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Donald	NP	Donald
Trump	NP	Trump
,	,	,
said	VBD	say
:	:	:
"	``	"
The	DT	the
court	NN	court
is	VBZ	be
a	DT	a
dangerous	JJ	dangerous
joke	NN	joke
.	SENT	.
It	PP	it
is	VBZ	be
now	RB	now
time	NN	time
for	IN	for
the	DT	the
US	NP	US
Senate	NP	Senate
to	TO	to
act	VB	act
and	CC	and
sanction	VB	sanction
this	DT	this
irresponsible	JJ	irresponsible
body	NN	body
.	SENT	.
"	''	"
<p>
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
13-month	JJ	<unknown>
campaign	NN	campaign
in	IN	in
Gaza	NP	Gaza
has	VBZ	have
killed	VBN	kill
about	RB	about
44,000	CD	@card@
Palestinians	NPS	Palestinians
and	CC	and
displaced	VBD	displace
nearly	RB	nearly
all	PDT	all
the	DT	the
enclave	NN	enclave
'	POS	'
s	JJ	<unknown>
population	NN	population
while	IN	while
creating	VBG	create
a	DT	a
humanitarian	JJ	humanitarian
crisis	NN	crisis
,	,	,
Gaza	NP	Gaza
officials	NNS	official
say	VBP	say
.	SENT	.
<p>
It	PP	it
launched	VBD	launch
the	DT	the
campaign	NN	campaign
in	IN	in
response	NN	response
to	TO	to
the	DT	the
October	NP	October
2023	CD	@card@
,	,	,
Hamas-led	JJ	<unknown>
attack	NN	attack
which	WDT	which
killed	VBD	kill
1,200	CD	@card@
people	NNS	people
in	IN	in
southern	JJ	southern
Israel	NP	Israel
,	,	,
with	IN	with
more	JJR	more
than	IN	than
250	CD	@card@
others	NNS	other
taken	VBN	take
hostage	NN	hostage
,	,	,
Israel	NP	Israel
has	VBZ	have
said	VBN	say
.	SENT	.
