<h>
Why	WRB	why
we	PP	we
must	MD	must
go	VB	go
back	RB	back
to	TO	to
the	DT	the
root	NN	root
of	IN	of
the	DT	the
matter	NN	matter
.	SENT	.
"	''	"
<p>
Article	NP	Article
Page	NP	Page
with	IN	with
Financial	NP	Financial
Support	VBP	support
Promotion	NP	Promotion
<h>
Nigerians	NNS	Nigerian
need	VBP	need
credible	JJ	credible
journalism	NN	journalism
.	SENT	.
Help	VB	help
us	PP	us
report	VB	report
it	PP	it
.	SENT	.
<p>
Support	NN	support
journalism	NN	journalism
driven	VBN	drive
by	IN	by
facts	NNS	fact
,	,	,
created	VBN	create
by	IN	by
Nigerians	NNS	Nigerian
for	IN	for
Nigerians	NNS	Nigerian
.	SENT	.
Our	PP$	our
thorough	JJ	thorough
,	,	,
researched	VBN	research
reporting	NN	reporting
relies	VBZ	rely
on	IN	on
the	DT	the
support	NN	support
of	IN	of
readers	NNS	reader
like	IN	like
you	PP	you
.	SENT	.
<p>
Help	VB	help
us	PP	us
maintain	VB	maintain
free	JJ	free
and	CC	and
accessible	JJ	accessible
news	NN	news
for	IN	for
all	DT	all
with	IN	with
a	DT	a
small	JJ	small
donation	NN	donation
.	SENT	.
<p>
Every	DT	every
contribution	NN	contribution
guarantees	VBZ	guarantee
that	IN	that
we	PP	we
can	MD	can
keep	VB	keep
delivering	VBG	deliver
important	JJ	important
stories	NNS	story
--	:	--
no	DT	no
paywalls	NNS	paywall
,	,	,
just	RB	just
quality	NN	quality
journalism	NN	journalism
.	SENT	.
<p>
"	''	"
Of	IN	of
course	NN	course
this	DT	this
conflict	NN	conflict
is	VBZ	be
rooted	VBN	root
in	IN	in
the	DT	the
fact	NN	fact
that	IN	that
both	CC	both
countries	NNS	country
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Nigeria	NP	Nigeria
feels	VBZ	feel
that	IN	that
unless	IN	unless
this	DT	this
solution	NN	solution
is	VBZ	be
found	VBN	find
and	CC	and
unless	IN	unless
there	EX	there
is	VBZ	be
a	DT	a
diplomatic	JJ	diplomatic
solution	NN	solution
to	TO	to
it	PP	it
,	,	,
this	DT	this
conflict	NN	conflict
may	MD	may
engulf	VB	engulf
the	DT	the
entire	JJ	entire
region	NN	region
and	CC	and
in	RB	in
effect	VB	effect
it	PP	it
'	POS	'
s	NN	S
also	RB	also
,	,	,
you	PP	you
know	VBP	know
,	,	,
may	MD	may
engulf	VB	engulf
including	VBG	include
the	DT	the
entire	JJ	entire
world	NN	world
.	SENT	.
"	``	"
<p>
A	DT	a
Hamas	JJ	<unknown>
attack	NN	attack
on	IN	on
Israel	NP	Israel
on	IN	on
7	CD	@card@
October	NP	October
2023	CD	@card@
escalated	VBD	escalate
the	DT	the
conflict	NN	conflict
and	CC	and
led	VBD	lead
to	TO	to
the	DT	the
death	NN	death
of	IN	of
about	RB	about
1,200	CD	@card@
people	NNS	people
while	IN	while
Hamas	NP	<unknown>
took	VBD	take
about	RB	about
251	CD	@card@
others	NNS	other
hostage	NN	hostage
.	SENT	.
<p>
Since	IN	since
then	RB	then
,	,	,
Israel	NP	Israel
has	VBZ	have
besieged	VBN	besiege
Gaza	NP	Gaza
,	,	,
killing	VBG	kill
more	JJR	more
than	IN	than
41,000	CD	@card@
people	NNS	people
,	,	,
majority	NN	majority
of	IN	of
them	PP	them
children	NNS	child
and	CC	and
women	NNS	woman
.	SENT	.
<p>
Israel	NP	Israel
has	VBZ	have
vowed	VBN	vow
to	TO	to
continue	VB	continue
its	PP$	its
attack	NN	attack
on	IN	on
Gaza	NP	Gaza
until	IN	until
Hamas	NP	<unknown>
,	,	,
which	WDT	which
governed	VBD	govern
Gaza	NP	Gaza
,	,	,
is	VBZ	be
eradicated	VBN	eradicate
,	,	,
despite	IN	despite
global	JJ	global
calls	NNS	call
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
.	SENT	.
<p>
Gaza	NP	Gaza
also	RB	also
faces	VBZ	face
a	DT	a
dire	JJ	dire
humanitarian	JJ	humanitarian
emergency	NN	emergency
,	,	,
with	IN	with
a	DT	a
report	NN	report
from	IN	from
an	DT	an
international	JJ	international
authority	NN	authority
on	IN	on
hunger	NN	hunger
warning	VBG	warn
that	IN	that
"	``	"
famine	NN	famine
was	VBD	be
imminent	JJ	imminent
"	''	"
in	IN	in
northern	JJ	northern
Gaza	NP	Gaza
and	CC	and
that	DT	that
escalation	NN	escalation
of	IN	of
the	DT	the
war	NN	war
could	MD	could
push	VB	push
half	NN	half
of	IN	of
the	DT	the
territory	NN	territory
'	POS	'
s	NN	S
2.3	CD	@card@
million	CD	million
people	NNS	people
to	TO	to
the	DT	the
brink	NN	brink
of	IN	of
starvation	NN	starvation
.	SENT	.
<p>
"	``	"
Unless	IN	unless
there	EX	there
is	VBZ	be
peace	NN	peace
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
there	RB	there
'	''	'
s	VBG	<unknown>
no	DT	no
way	NN	way
Nigeria	NP	Nigeria
will	MD	will
not	RB	not
also	RB	also
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
this	DT	this
:	:	:
<h>
Support	VB	support
PREMIUM	NN	premium
TIMES	NNS	time
'	POS	'
journalism	NN	journalism
of	IN	of
integrity	NN	integrity
and	CC	and
credibility	NN	credibility
<p>
At	IN	at
Premium	NN	premium
Times	NNS	time
,	,	,
we	PP	we
firmly	RB	firmly
believe	VBP	believe
in	IN	in
the	DT	the
importance	NN	importance
of	IN	of
high-quality	JJ	high-quality
journalism	NN	journalism
.	SENT	.
Recognizing	VBG	recognize
that	IN	that
not	RB	not
everyone	NN	everyone
can	MD	can
afford	VB	afford
costly	JJ	costly
news	NN	news
subscriptions	NNS	subscription
,	,	,
we	PP	we
are	VBP	be
dedicated	VBN	dedicate
to	TO	to
delivering	VBG	deliver
meticulously	RB	meticulously
researched	VBN	research
,	,	,
fact-checked	JJ	fact-checked
news	NN	news
that	WDT	that
remains	VBZ	remain
freely	RB	freely
accessible	JJ	accessible
to	TO	to
all	DT	all
.	SENT	.
<p>
Whether	IN	whether
you	PP	you
turn	VBP	turn
to	TO	to
Premium	JJ	premium
Times	NNS	time
for	IN	for
daily	JJ	daily
updates	NNS	update
,	,	,
in-depth	JJ	in-depth
investigations	NNS	investigation
into	IN	into
pressing	VBG	press
national	JJ	national
issues	NNS	issue
,	,	,
or	CC	or
entertaining	JJ	entertaining
trending	VBG	trend
stories	NNS	story
,	,	,
we	PP	we
value	VBP	value
your	PP$	your
readership	NN	readership
.	SENT	.
<p>
It	PP	it
'	POS	'
s	NN	S
essential	JJ	essential
to	TO	to
acknowledge	VB	acknowledge
that	DT	that
news	NN	news
production	NN	production
incurs	VBZ	incur
expenses	NNS	expense
,	,	,
and	CC	and
we	PP	we
take	VBP	take
pride	NN	pride
in	IN	in
never	RB	never
placing	VBG	place
our	PP$	our
stories	NNS	story
behind	IN	behind
a	DT	a
prohibitive	JJ	prohibitive
paywall	NN	<unknown>
.	SENT	.
<p>
Would	MD	would
you	PP	you
consider	VB	consider
supporting	VBG	support
us	PP	us
with	IN	with
a	DT	a
modest	JJ	modest
contribution	NN	contribution
on	IN	on
a	DT	a
monthly	JJ	monthly
basis	NN	basis
to	TO	to
help	VB	help
maintain	VB	maintain
our	PP$	our
commitment	NN	commitment
to	TO	to
free	JJ	free
,	,	,
accessible	JJ	accessible
news	NN	news
?	SENT	?
