<h>
UN	NP	UN
,	,	,
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
crime	NN	crime
.	SENT	.
If	IN	if
what	WP	what
Russia	NP	Russia
did	VBD	do
to	TO	to
Ukraine	NP	Ukraine
was	VBD	be
a	DT	a
war	NN	war
crime	NN	crime
,	,	,
is	VBZ	be
not	RB	not
what	WP	what
Israel	NP	Israel
is	VBZ	be
doing	VBG	do
to	TO	to
Gaza	NP	Gaza
a	DT	a
war	NN	war
crime	NN	crime
?	SENT	?
It	PP	it
is	VBZ	be
simple	JJ	simple
:	:	:
if	IN	if
that	WDT	that
was	VBD	be
wrong	JJ	wrong
,	,	,
why	WRB	why
is	VBZ	be
n't	RB	n't
this	DT	this
wrong	JJ	wrong
?	SENT	?
The	DT	the
world	NN	world
needs	VBZ	need
to	TO	to
know	VB	know
whether	IN	whether
that	WDT	that
is	VBZ	be
right	JJ	right
or	CC	or
whether	IN	whether
this	DT	this
is	VBZ	be
right	JJ	right
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
He	PP	he
said	VBD	say
that	IN	that
the	DT	the
Central	NP	Central
Government	NP	Government
has	VBZ	have
not	RB	not
hidden	VBN	hide
anything	NN	anything
in	IN	in
the	DT	the
matter	NN	matter
,	,	,
and	CC	and
they	PP	they
have	VBP	have
supported	VBN	support
Israel	NP	Israel
right	NN	right
from	IN	from
day	NN	day
one	CD	one
.	SENT	.
"	``	"
After	IN	after
witnessing	VBG	witness
the	DT	the
killing	NN	killing
of	IN	of
innocent	JJ	innocent
people	NNS	people
,	,	,
they	PP	they
(	(	(
Government	NP	Government
)	)	)
think	VBP	think
about	IN	about
sending	VBG	send
aid	NN	aid
,	,	,
but	CC	but
that	WDT	that
is	VBZ	be
equivalent	JJ	equivalent
to	TO	to
a	DT	a
drop	NN	drop
in	IN	in
the	DT	the
ocean	NN	ocean
.	SENT	.
Not	RB	not
even	RB	even
20	CD	@card@
trucks	NNS	truck
are	VBP	be
allowed	VBN	allow
to	TO	to
go	VB	go
to	TO	to
Gaza	NP	Gaza
,	,	,
where	WRB	where
100	CD	@card@
trucks	NNS	truck
would	MD	would
usually	RB	usually
go	VB	go
.	SENT	.
What	WP	what
would	MD	would
a	DT	a
population	NN	population
of	IN	of
lakhs	NNS	lakh
do	VBP	do
with	IN	with
10	CD	@card@
--	:	--
20	CD	@card@
trucks	NNS	truck
?	SENT	?
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
Abdullah	NP	Abdullah
said	VBD	say
that	IN	that
the	DT	the
bombing	NN	bombing
should	MD	should
stop	VB	stop
,	,	,
and	CC	and
the	DT	the
innocent	JJ	innocent
people	NNS	people
who	WP	who
are	VBP	be
being	VBG	be
targeted	VBN	target
in	IN	in
this	DT	this
bombing	NN	bombing
should	MD	should
stop	VB	stop
.	SENT	.
"	''	"
If	IN	if
the	DT	the
tensions	NNS	tension
escalate	VBP	escalate
beyond	IN	beyond
Gaza	NP	Gaza
,	,	,
our	PP$	our
people	NNS	people
who	WP	who
are	VBP	be
working	VBG	work
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
would	MD	would
get	VB	get
affected	VBN	affect
,	,	,
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
should	MD	should
stop	VB	stop
.	SENT	.
The	DT	the
UN	NP	UN
and	CC	and
other	JJ	other
nations	NNS	nation
must	MD	must
provide	VB	provide
justice	NN	justice
,	,	,
and	CC	and
separate	JJ	separate
laws	NNS	law
for	IN	for
different	JJ	different
countries	NNS	country
can	MD	can
not	RB	not
happen	VB	happen
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
He	PP	he
said	VBD	say
that	IN	that
the	DT	the
UN	NP	UN
has	VBZ	have
not	RB	not
been	VBN	be
completely	RB	completely
silent	JJ	silent
over	IN	over
the	DT	the
issue	NN	issue
;	:	;
they	PP	they
have	VBP	have
talked	VBN	talk
in	RP	in
between	IN	between
but	CC	but
failed	VBD	fail
to	TO	to
have	VB	have
the	DT	the
desired	VBN	desire
impact	NN	impact
.	SENT	.
"	``	"
The	DT	the
humanitarian	JJ	humanitarian
crisis	NN	crisis
that	WDT	that
is	VBZ	be
evolving	VBG	evolve
there	RB	there
,	,	,
they	PP	they
talked	VBD	talk
over	IN	over
that	DT	that
,	,	,
but	CC	but
because	IN	because
Israel	NP	Israel
is	VBZ	be
getting	VBG	get
support	NN	support
from	IN	from
the	DT	the
USA	NP	USA
and	CC	and
Europe	NP	Europe
,	,	,
that	WDT	that
is	VBZ	be
why	WRB	why
we	PP	we
are	VBP	be
not	RB	not
witnessing	VBG	witness
the	DT	the
type	NN	type
of	IN	of
expected	VBN	expect
impact	NN	impact
of	IN	of
the	DT	the
UN	NP	UN
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
