<p>
Highlighting	VBG	highlight
year	NN	year
.	SENT	.
<p>
He	PP	he
highlighted	VBD	highlight
the	DT	the
devastating	JJ	devastating
toll	NN	toll
in	IN	in
Gaza	NP	Gaza
,	,	,
where	WRB	where
nearly	RB	nearly
16,000	CD	@card@
Palestinian	JJ	Palestinian
children	NNS	child
were	VBD	be
killed	VBN	kill
and	CC	and
another	DT	another
21,000	CD	@card@
were	VBD	be
missing	VBG	miss
.	SENT	.
<p>
Gaza	NP	Gaza
,	,	,
once	RB	once
a	DT	a
vibrant	JJ	vibrant
place	NN	place
where	WRB	where
children	NNS	child
set	VBD	set
world	NN	world
records	NNS	record
in	IN	in
sports	NNS	sport
,	,	,
has	VBZ	have
now	RB	now
been	VBN	be
reduced	VBN	reduce
to	TO	to
a	DT	a
graveyard	NN	graveyard
.	SENT	.
<p>
Ambassador	NP	Ambassador
Mansour	NP	Mansour
condemned	VBD	condemn
the	DT	the
erosion	NN	erosion
of	IN	of
morality	NN	morality
witnessed	VBN	witness
globally	RB	globally
during	IN	during
eight	CD	eight
months	NNS	month
of	IN	of
conflict	NN	conflict
,	,	,
as	IN	as
images	NNS	image
flooded	VBN	flood
social	JJ	social
media	NNS	medium
showing	VBG	show
Palestinian	JJ	Palestinian
children	NNS	child
starving	VBG	starve
,	,	,
injured	VBN	injure
with	IN	with
severe	JJ	severe
burns	NNS	burn
or	CC	or
no	DT	no
limbs	NNS	limb
,	,	,
fighting	VBG	fight
for	IN	for
their	PP$	their
lives	NNS	life
.	SENT	.
<p>
"	``	"
Where	WRB	where
is	VBZ	be
your	PP$	your
humanity	NN	humanity
?	SENT	?
"	''	"
,	,	,
he	PP	he
asked	VBD	ask
,	,	,
calling	VBG	call
for	IN	for
"	``	"
collective	JJ	collective
resolve	NN	resolve
and	CC	and
responsibility	NN	responsibility
to	TO	to
pressure	VB	pressure
Israel	NP	Israel
to	TO	to
stop	VB	stop
the	DT	the
madness	NN	madness
"	''	"
.	SENT	.
<p>
The	DT	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
believe	VBP	believe
it	PP	it
was	VBD	be
exempt	JJ	exempt
from	IN	from
the	DT	the
rule	NN	rule
of	IN	of
law	NN	law
,	,	,
he	PP	he
said	VBD	say
,	,	,
dismissing	VBG	dismiss
the	DT	the
"	``	"
lie	NN	lie
"	''	"
about	IN	about
"	``	"
the	DT	the
Israeli	JJ	Israeli
army	NN	army
"	''	"
as	IN	as
the	DT	the
"	``	"
most	JJS	most
moral	JJ	moral
army	NN	army
in	IN	in
the	DT	the
world	NN	world
"	''	"
.	SENT	.
<p>
There	EX	there
is	VBZ	be
nothing	NN	nothing
moral	JJ	moral
in	IN	in
using	VBG	use
attacks	NNS	attack
against	IN	against
civilians	NNS	civilian
,	,	,
including	VBG	include
children	NNS	child
,	,	,
as	IN	as
a	DT	a
weapon	NN	weapon
of	IN	of
war	NN	war
,	,	,
as	IN	as
a	DT	a
tool	NN	tool
for	IN	for
political	JJ	political
pressure	NN	pressure
in	IN	in
negotiations	NNS	negotiation
,	,	,
or	CC	or
a	DT	a
catalyst	NN	catalyst
to	TO	to
stay	VB	stay
in	IN	in
power	NN	power
,	,	,
Ambassador	NP	Ambassador
Mansour	NP	Mansour
emphasized	VBD	emphasize
.	SENT	.
