<h>
Why	WRB	why
saying	VBG	say
that	IN	that
his	PP$	his
country	NN	country
does	VBZ	do
not	RB	not
have	VB	have
the	DT	the
financial	JJ	financial
bandwidth	NN	bandwidth
to	TO	to
absorb	VB	absorb
refugees	NNS	refugee
.	SENT	.
He	PP	he
also	RB	also
says	VBZ	say
that	IN	that
allowing	VBG	allow
Palestinians	NNS	Palestinian
to	TO	to
flee	VB	flee
Gaza	NP	Gaza
may	MD	may
undermine	VB	undermine
their	PP$	their
fight	NN	fight
for	IN	for
statehood	NN	statehood
and	CC	and
self-determination	NN	self-determination
.	SENT	.
<p>
But	CC	but
wealthy	JJ	wealthy
Arab	JJ	Arab
countries	NNS	country
like	IN	like
Qatar	NP	Qatar
,	,	,
the	DT	the
UAE	NP	UAE
and	CC	and
Saudi	NP	Saudi
Arabia	NP	Arabia
refuse	VBP	refuse
to	TO	to
accept	VB	accept
Palestinian	JJ	Palestinian
refugees	NNS	refugee
too	RB	too
.	SENT	.
So	IN	so
the	DT	the
issue	NN	issue
is	VBZ	be
not	RB	not
financial	JJ	financial
.	SENT	.
Evidently	RB	evidently
,	,	,
the	DT	the
specter	NN	specter
of	IN	of
welcoming	VBG	welcome
Palestinians	NNS	Palestinian
comes	VBZ	come
with	IN	with
the	DT	the
risk	NN	risk
of	IN	of
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
is	VBZ	be
a	DT	a
frightening	JJ	frightening
example	NN	example
of	IN	of
the	DT	the
risks	NNS	risk
involved	VBD	involve
.	SENT	.
<p>
It	PP	it
will	MD	will
be	VB	be
recalled	VBN	recall
that	IN	that
Lebanon	NP	Lebanon
agreed	VBD	agree
to	TO	to
accept	VB	accept
Palestinian	JJ	Palestinian
refugees	NNS	refugee
following	VBG	follow
the	DT	the
Arab-Israeli	NP	Arab-Israeli
war	NN	war
of	IN	of
1948	CD	@card@
and	CC	and
the	DT	the
Six-Day	JJ	six-day
War	NN	war
of	IN	of
1967	CD	@card@
.	SENT	.
Lebanon	NP	Lebanon
was	VBD	be
a	DT	a
model	NN	model
country	NN	country
in	IN	in
the	DT	the
gulf	NN	gulf
back	RB	back
then	RB	then
.	SENT	.
They	PP	they
had	VBD	have
a	DT	a
functioning	VBG	function
democracy	NN	democracy
with	IN	with
open	JJ	open
borders	NNS	border
,	,	,
open	JJ	open
minds	NNS	mind
and	CC	and
a	DT	a
strong	JJ	strong
economy	NN	economy
built	VBN	build
on	IN	on
financial	JJ	financial
services	NNS	service
.	SENT	.
About	IN	about
a	DT	a
third	JJ	third
of	IN	of
the	DT	the
Lebanese	JJ	Lebanese
population	NN	population
were	VBD	be
Christians	NNS	Christian
and	CC	and
they	PP	they
lived	VBD	live
in	IN	in
relative	JJ	relative
peace	NN	peace
with	IN	with
their	PP$	their
Muslim	JJ	Muslim
countrymen	NNS	countryman
.	SENT	.
Beirut	NP	Beirut
was	VBD	be
known	VBN	know
as	IN	as
the	DT	the
Paris	NP	Paris
of	IN	of
the	DT	the
east	JJ	east
.	SENT	.
<p>
In	IN	in
less	JJR	less
than	IN	than
one	CD	one
generation	NN	generation
,	,	,
radical	JJ	radical
Islamic	NP	Islamic
Palestinians	NPS	Palestinians
used	VBD	use
their	PP$	their
host	NN	host
country	NN	country
as	IN	as
a	DT	a
launching	VBG	launch
pad	NN	pad
to	TO	to
attack	VB	attack
Israel	NP	Israel
.	SENT	.
They	PP	they
also	RB	also
mobilized	VBD	mobilize
to	TO	to
extinguish	VB	extinguish
the	DT	the
Christian	JJ	Christian
population	NN	population
of	IN	of
Lebanon	NP	Lebanon
whom	WP	whom
they	PP	they
considered	VBN	consider
infidels	NNS	infidel
.	SENT	.
Lebanese	JJ	Lebanese
Christian	JJ	Christian
communities	NNS	community
were	VBD	be
bombed	VBN	bomb
and	CC	and
subjected	VBN	subject
to	TO	to
sniper	NN	sniper
attacks	NNS	attack
.	SENT	.
Those	DT	those
that	WDT	that
survived	VBD	survive
were	VBD	be
deprived	VBN	deprive
of	IN	of
food	NN	food
,	,	,
water	NN	water
and	CC	and
electricity	NN	electricity
.	SENT	.
They	PP	they
massacred	VBD	massacre
whole	JJ	whole
cities	NNS	city
,	,	,
the	DT	the
worst	JJS	bad
hit	NN	hit
being	VBG	be
the	DT	the
city	NN	city
of	IN	of
Damour	NP	Damour
.	SENT	.
There	RB	there
,	,	,
they	PP	they
slaughtered	VBD	slaughter
women	NNS	woman
and	CC	and
children	NNS	child
and	CC	and
crucified	VBD	crucify
the	DT	the
menfolk	NN	menfolk
.	SENT	.
<p>
Palestinian	JJ	Palestinian
refugees	NNS	refugee
formed	VBD	form
11	CD	@card@
Islamic	JJ	Islamic
terrorist	JJ	terrorist
groups	NNS	group
while	NN	while
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Liberation	NP	Liberation
Organization	NP	Organization
.	SENT	.
They	PP	they
even	RB	even
attempted	VBD	attempt
to	TO	to
take	VB	take
control	NN	control
of	IN	of
their	PP$	their
host	NN	host
country	NN	country
'	POS	'
s	JJ	<unknown>
political	JJ	political
system	NN	system
with	IN	with
the	DT	the
intention	NN	intention
of	IN	of
replacing	VBG	replace
Lebanese	JJ	Lebanese
values	NNS	value
with	IN	with
that	DT	that
of	IN	of
fundamentalist	JJ	fundamentalist
Islam	NP	Islam
.	SENT	.
It	PP	it
was	VBD	be
Israel	NP	Israel
that	WDT	that
liberated	VBD	liberate
Lebanon	NP	Lebanon
from	IN	from
the	DT	the
grip	NN	grip
of	IN	of
radical	JJ	radical
terrorists	NNS	terrorist
and	CC	and
it	PP	it
was	VBD	be
Israel	NP	Israel
that	WDT	that
kicked	VBD	kick
out	RP	out
Yasser	NP	Yasser
Arafat	NP	Arafat
to	TO	to
Tunisia	NP	Tunisia
.	SENT	.
<p>
Since	IN	since
the	DT	the
early	RB	early
80s	JJ	<unknown>
,	,	,
European	JJ	European
and	CC	and
North	JJ	North
American	JJ	American
countries	NNS	country
continued	VBD	continue
to	TO	to
accept	VB	accept
refugees	NNS	refugee
from	IN	from
Palestine	NP	Palestine
and	CC	and
the	DT	the
Arab	JJ	Arab
world	NN	world
.	SENT	.
They	PP	they
are	VBP	be
paying	VBG	pay
the	DT	the
price	NN	price
for	IN	for
it	PP	it
today	NN	today
.	SENT	.
Many	JJ	many
refuse	VBP	refuse
to	TO	to
integrate	VB	integrate
into	IN	into
society	NN	society
.	SENT	.
Instead	RB	instead
,	,	,
they	PP	they
insist	VBP	insist
that	IN	that
their	PP$	their
host	NN	host
country	NN	country
adjust	VBP	adjust
to	TO	to
Muslim	JJ	Muslim
laws	NNS	law
and	CC	and
culture	NN	culture
.	SENT	.
<p>
Radical	JJ	radical
Muslims	NPS	Muslims
in	IN	in
Europe	NP	Europe
and	CC	and
North	NP	North
America	NP	America
have	VBP	have
resorted	VBN	resort
to	TO	to
murder	NN	murder
,	,	,
terror	NN	terror
and	CC	and
anti-Semitic	JJ	anti-Semitic
activities	NNS	activity
to	TO	to
show	VB	show
their	PP$	their
support	NN	support
for	IN	for
Hamas	NNS	<unknown>
following	VBG	follow
the	DT	the
Oct.	NP	Oct.
7	CD	@card@
attacks	NNS	attack
.	SENT	.
This	DT	this
has	VBZ	have
prompted	VBN	prompt
numerous	JJ	numerous
western	JJ	western
governments	NNS	government
to	TO	to
initiate	VB	initiate
a	DT	a
mass	JJ	mass
deportation	NN	deportation
of	IN	of
suspected	JJ	suspected
Muslim	JJ	Muslim
radicals	NNS	radical
.	SENT	.
<p>
Violence	NN	violence
and	CC	and
barbarism	NN	barbarism
often	RB	often
accompany	VB	accompany
radical	JJ	radical
Palestinians	NNS	Palestinian
.	SENT	.
Tragically	RB	tragically
,	,	,
there	EX	there
is	VBZ	be
no	RB	no
telling	VBG	tell
who	WP	who
among	IN	among
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
are	VBP	be
radicals	NNS	radical
and	CC	and
who	WP	who
are	VBP	be
not	RB	not
.	SENT	.
This	DT	this
is	VBZ	be
why	WRB	why
Arab	JJ	Arab
nations	NNS	nation
keep	VBP	keep
them	PP	them
out	RP	out
.	SENT	.
<p>
Hamas	NP	<unknown>
is	VBZ	be
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Islamic	JJ	Islamic
radicals	NNS	radical
.	SENT	.
There	EX	there
are	VBP	be
2.050	CD	@card@
million	CD	million
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
and	CC	and
only	RB	only
about	RB	about
40,000	CD	@card@
are	VBP	be
Hamas	JJ	<unknown>
fighters	NNS	fighter
.	SENT	.
Although	IN	although
a	DT	a
small	JJ	small
minority	NN	minority
,	,	,
it	PP	it
only	RB	only
takes	VBZ	take
a	DT	a
sliver	NN	sliver
of	IN	of
the	DT	the
population	NN	population
to	TO	to
lead	VB	lead
a	DT	a
country	NN	country
to	TO	to
a	DT	a
path	NN	path
of	IN	of
violence	NN	violence
.	SENT	.
It	PP	it
was	VBD	be
the	DT	the
same	JJ	same
for	IN	for
the	DT	the
Nazi	JJ	Nazi
movement	NN	movement
in	IN	in
Germany	NP	Germany
.	SENT	.
<p>
Since	IN	since
2007	CD	@card@
,	,	,
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
has	VBZ	have
been	VBN	be
de	NP	de
facto	FW	facto
governed	VBN	govern
as	IN	as
a	DT	a
de	FW	de
facto	FW	facto
one-party	JJ	one-party
state	NN	state
by	IN	by
Hamas	NP	<unknown>
,	,	,
which	WDT	which
claims	VBZ	claim
to	TO	to
represent	VB	represent
the	DT	the
State	NN	state
of	IN	of
Palestine	NP	Palestine
.	SENT	.
But	CC	but
Hamas	NP	<unknown>
is	VBZ	be
not	RB	not
a	DT	a
government	NN	government
--	:	--
it	PP	it
is	VBZ	be
a	DT	a
criminal	JJ	criminal
terrorist	JJ	terrorist
gang	NN	gang
whose	WP$	whose
principal	JJ	principal
purpose	NN	purpose
is	VBZ	be
to	TO	to
annihilate	VB	annihilate
the	DT	the
Jewish	JJ	Jewish
population	NN	population
.	SENT	.
Hamas	NP	<unknown>
attacked	VBD	attack
Israel	NP	Israel
in	IN	in
2008	CD	@card@
,	,	,
2012	CD	@card@
,	,	,
2014	CD	@card@
and	CC	and
2021	CD	@card@
,	,	,
none	NN	none
of	IN	of
which	WDT	which
forwarded	VBD	forward
the	DT	the
cause	NN	cause
of	IN	of
Palestine	NP	Palestine
for	IN	for
statehood	NN	statehood
.	SENT	.
Rather	RB	rather
,	,	,
it	PP	it
pushed	VBD	push
it	PP	it
further	RBR	further
away	RB	away
.	SENT	.
<p>
Hamas	NP	<unknown>
attacked	VBD	attack
Israel	NP	Israel
in	IN	in
Oct.	NP	Oct.
7	CD	@card@
knowing	VBG	know
full	JJ	full
well	RB	well
that	IN	that
the	DT	the
Israelis	NPS	Israelis
would	MD	would
respond	VB	respond
with	IN	with
such	JJ	such
force	NN	force
and	CC	and
fury	NN	fury
that	IN	that
civilian	JJ	civilian
lives	NNS	life
would	MD	would
be	VB	be
at	IN	at
risk	NN	risk
.	SENT	.
They	PP	they
did	VBD	do
so	RB	so
anyway	RB	anyway
.	SENT	.
Civilians	NNS	civilian
are	VBP	be
used	VBN	use
by	IN	by
Hamas	NNS	<unknown>
as	IN	as
human	JJ	human
shields	NNS	shield
and	CC	and
they	PP	they
do	VBP	do
this	DT	this
by	IN	by
housing	VBG	house
their	PP$	their
rocket	NN	rocket
launchers	NNS	launcher
and	CC	and
munitions	VBZ	munition
inside	RB	inside
residential	JJ	residential
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
,	,	,
the	DT	the
Palestinian	NP	Palestinian
Islamic	NP	Islamic
Jihad	NP	Jihad
(	(	(
a	DT	a
sister	JJ	sister
terrorist	JJ	terrorist
group	NN	group
to	TO	to
Hamas	NP	<unknown>
)	)	)
launched	VBD	launch
a	DT	a
defective	JJ	defective
rocket	NN	rocket
,	,	,
which	WDT	which
landed	VBD	land
in	IN	in
a	DT	a
hospital	NN	hospital
parking	NN	parking
lot	NN	lot
.	SENT	.
Hamas	NNS	<unknown>
took	VBD	take
advantage	NN	advantage
of	IN	of
the	DT	the
situation	NN	situation
and	CC	and
blamed	VBD	blame
Israel	NP	Israel
for	IN	for
it	PP	it
.	SENT	.
They	PP	they
exaggerated	VBD	exaggerate
the	DT	the
casualty	NN	casualty
count	NN	count
to	TO	to
gain	VB	gain
global	JJ	global
sympathy	NN	sympathy
.	SENT	.
Hamas	NP	<unknown>
has	VBZ	have
been	VBN	be
on	IN	on
a	DT	a
social	JJ	social
media	NN	media
offensive	NN	offensive
portraying	VBG	portray
themselves	PP	themselves
and	CC	and
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
as	IN	as
the	DT	the
victims	NNS	victim
in	IN	in
the	DT	the
war	NN	war
they	PP	they
started	VBD	start
.	SENT	.
Many	JJ	many
of	IN	of
the	DT	the
videos	NNS	video
of	IN	of
wounded	JJ	wounded
civilians	NNS	civilian
were	VBD	be
determined	VBN	determine
as	IN	as
fake	NN	fake
.	SENT	.
<p>
In	IN	in
truth	NN	truth
,	,	,
Hamas	NP	<unknown>
has	VBZ	have
no	DT	no
interest	NN	interest
in	IN	in
the	DT	the
welfare	NN	welfare
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
.	SENT	.
Even	RB	even
after	IN	after
17	CD	@card@
years	NNS	year
in	IN	in
power	NN	power
,	,	,
the	DT	the
Palestinians	NPS	Palestinians
remain	VBP	remain
bereft	JJ	bereft
of	IN	of
clean	JJ	clean
drinking	NN	drinking
water	NN	water
,	,	,
sewerage	NN	sewerage
and	CC	and
electricity	NN	electricity
.	SENT	.
It	PP	it
is	VBZ	be
Israel	NP	Israel
who	WP	who
provides	VBZ	provide
these	DT	these
.	SENT	.
Cement	NN	cement
imported	VBD	import
to	TO	to
build	VB	build
badly	RB	badly
needed	VBN	need
infrastructure	NN	infrastructure
are	VBP	be
diverted	VBN	divert
and	CC	and
used	VBN	use
to	TO	to
construct	VB	construct
underground	JJ	underground
combat	NN	combat
tunnels	NNS	tunnel
.	SENT	.
Humanitarian	JJ	humanitarian
aid	NN	aid
is	VBZ	be
channeled	VBN	channel
not	RB	not
to	TO	to
the	DT	the
people	NNS	people
but	CC	but
to	TO	to
the	DT	the
officers	NNS	officer
of	IN	of
Hamas	NNS	<unknown>
who	WP	who
sell	VBP	sell
them	PP	them
on	IN	on
the	DT	the
black	JJ	black
market	NN	market
.	SENT	.
Financial	JJ	financial
aid	NN	aid
from	IN	from
governments	NNS	government
and	CC	and
NGOs	NNS	Ngo
are	VBP	be
redirected	VBN	redirect
to	TO	to
the	DT	the
leaders	NNS	leader
of	IN	of
Hamas	NNS	<unknown>
who	WP	who
live	VBP	live
luxurious	JJ	luxurious
lives	NNS	life
in	IN	in
Qatar	NP	Qatar
and	CC	and
Turkey	NP	Turkey
.	SENT	.
All	PDT	all
these	DT	these
are	NN	are
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Hamas	NP	<unknown>
'	POS	'
attacks	NNS	attack
on	IN	on
Israel	NP	Israel
make	VBP	make
peace	NN	peace
in	IN	in
Gaza	NP	Gaza
and	CC	and
statehood	NN	statehood
for	IN	for
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
further	RBR	further
out	RB	out
of	IN	of
reach	NN	reach
.	SENT	.
The	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
will	MD	will
likely	RB	likely
be	VB	be
state-less	JJ	<unknown>
for	IN	for
at	IN	at
least	JJS	least
another	DT	another
generation	NN	generation
,	,	,
thanks	NNS	thanks
to	TO	to
the	DT	the
hate	NN	hate
and	CC	and
bloodlust	NN	bloodlust
of	IN	of
Hamas	NP	<unknown>
.	SENT	.
Indeed	RB	indeed
,	,	,
Hamas	NP	<unknown>
is	VBZ	be
the	DT	the
Palestine	NP	Palestine
'	POS	'
s	NN	S
jail-keeper	NN	jail-keeper
and	CC	and
tormentor	NN	tormentor
.	SENT	.
Israel	NP	Israel
is	VBZ	be
doing	VBG	do
Palestine	NP	Palestine
a	DT	a
favor	NN	favor
by	IN	by
extinguishing	VBG	extinguish
them	PP	them
.	SENT	.
