<p>
Yes	UH	yes
D-MD	NP	<unknown>
)	)	)
,	,	,
listen	VBP	listen
as	RB	as
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Congress	NP	Congress
at	IN	at
the	DT	the
U.S.	NP	U.S.
Capitol	NP	Capitol
in	IN	in
Washington	NP	Washington
,	,	,
U.S.	NP	U.S.
,	,	,
July	NP	July
24	CD	@card@
,	,	,
2024	CD	@card@
.	SENT	.
(	(	(
credit	VB	credit
:	:	:
REUTERS/Craig	NP	REUTERS/Craig
Hudson	NP	Hudson
)	)	)
<p>
It	PP	it
was	VBD	be
a	DT	a
speech	NN	speech
meant	VBD	mean
to	TO	to
highlight	VB	highlight
the	DT	the
brutality	NN	brutality
of	IN	of
Hamas	NP	<unknown>
'	POS	'
s	JJ	<unknown>
attack	NN	attack
on	IN	on
October	NP	October
7	CD	@card@
but	CC	but
also	RB	also
the	DT	the
courage	NN	courage
and	CC	and
heroism	NN	heroism
of	IN	of
Israel	NP	Israel
'	POS	'
s	NN	S
soldiers	NNS	soldier
.	SENT	.
<p>
He	PP	he
,	,	,
of	IN	of
course	NN	course
,	,	,
laid	VBN	lay
out	IN	out
a	DT	a
detailed	JJ	detailed
indictment	NN	indictment
of	IN	of
Iran	NP	Iran
,	,	,
which	WDT	which
he	PP	he
blasted	VBN	blast
for	IN	for
being	VBG	be
responsible	JJ	responsible
for	IN	for
all	PDT	all
the	DT	the
violence	NN	violence
in	IN	in
the	DT	the
region	NN	region
.	SENT	.
<p>
He	PP	he
hailed	VBD	hail
the	DT	the
bipartisan	JJ	bipartisan
support	NN	support
Israel	NP	Israel
has	VBZ	have
received	VBN	receive
in	IN	in
the	DT	the
US	NP	US
--	:	--
from	IN	from
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
,	,	,
whom	WP	whom
he	PP	he
praised	VBD	praise
for	IN	for
coming	VBG	come
to	TO	to
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
assistance	NN	assistance
in	IN	in
its	PP$	its
darkest	JJS	dark
hour	NN	hour
,	,	,
as	RB	as
well	RB	well
as	IN	as
former	JJ	former
president	NN	president
Donald	NP	Donald
Trump	NP	Trump
,	,	,
whose	WP$	whose
decisions	NNS	decision
to	TO	to
move	VB	move
the	DT	the
embassy	NN	embassy
to	TO	to
Jerusalem	NP	Jerusalem
and	CC	and
recognize	VB	recognize
Israeli	JJ	Israeli
rule	NN	rule
over	IN	over
the	DT	the
Golan	NP	Golan
Heights	NP	Heights
he	PP	he
celebrated	VBD	celebrate
.	SENT	.
<p>
It	PP	it
was	VBD	be
a	DT	a
carefully	RB	carefully
crafted	VBN	craft
speech	NN	speech
,	,	,
meant	VBD	mean
to	TO	to
not	RB	not
favor	VB	favor
any	DT	any
side	NN	side
of	IN	of
the	DT	the
aisle	NN	aisle
and	CC	and
he	PP	he
did	VBD	do
so	RB	so
in	IN	in
classic	JJ	classic
Netanyahu	NP	<unknown>
fashion	NN	fashion
.	SENT	.
<p>
He	PP	he
leaned	VBD	lean
forward	RB	forward
at	IN	at
the	DT	the
right	JJ	right
parts	NNS	part
,	,	,
put	VBD	put
his	PP$	his
hand	NN	hand
in	IN	in
his	PP$	his
pocket	NN	pocket
for	IN	for
others	NNS	other
,	,	,
placed	VBD	place
his	PP$	his
hands	NNS	hand
on	IN	on
the	DT	the
podium	NN	podium
to	TO	to
make	VB	make
a	DT	a
point	NN	point
,	,	,
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
So	RB	so
,	,	,
what	WP	what
was	VBD	be
the	DT	the
vital	JJ	vital
piece	NN	piece
missing	VBG	miss
in	IN	in
Netanyahu	NP	<unknown>
'	POS	'
s	NN	S
speech	NN	speech
?	SENT	?
<p>
The	DT	the
speech	NN	speech
had	VBD	have
everything	NN	everything
except	IN	except
one	CD	one
key	JJ	key
section	NN	section
that	WDT	that
was	VBD	be
missing	VBG	miss
--	:	--
a	DT	a
vision	NN	vision
for	IN	for
Israel	NP	Israel
.	SENT	.
<p>
He	PP	he
spoke	VBD	speak
about	IN	about
some	DT	some
sort	NN	sort
of	IN	of
administration	NN	administration
that	WDT	that
would	MD	would
run	VB	run
Gaza	NP	Gaza
as	RB	as
well	RB	well
as	IN	as
how	WRB	how
important	JJ	important
it	PP	it
is	VBZ	be
that	IN	that
Gaza	NP	Gaza
be	VB	be
deradicalized	VBN	deradicalize
to	TO	to
prevent	VB	prevent
another	DT	another
war	NN	war
sometime	RB	sometime
in	IN	in
the	DT	the
future	NN	future
.	SENT	.
<p>
But	CC	but
that	WDT	that
was	VBD	be
it	PP	it
.	SENT	.
There	EX	there
was	VBD	be
nothing	NN	nothing
there	RB	there
about	RB	about
how	WRB	how
the	DT	the
war	NN	war
will	MD	will
be	VB	be
won	VBN	win
,	,	,
when	WRB	when
it	PP	it
will	MD	will
be	VB	be
over	RP	over
,	,	,
what	WP	what
the	DT	the
day	NN	day
after	IN	after
plan	NN	plan
will	MD	will
look	VB	look
like	VB	like
and	CC	and
who	WP	who
will	MD	will
take	VB	take
over	IN	over
Gaza	NP	Gaza
instead	RB	instead
of	IN	of
the	DT	the
IDF	NP	IDF
and	CC	and
what	WP	what
this	DT	this
administration	NN	administration
would	MD	would
be	VB	be
made	VBN	make
up	RP	up
of	IN	of
.	SENT	.
<p>
Again	RB	again
,	,	,
just	RB	just
slogans	NNS	slogan
of	IN	of
complete	JJ	complete
victory	NN	victory
and	CC	and
Hamas	NP	<unknown>
'	POS	'
s	NN	S
elimination	NN	elimination
.	SENT	.
<p>
Regarding	VBG	regard
the	DT	the
hostages	NNS	hostage
,	,	,
the	DT	the
situation	NN	situation
was	VBD	be
worse	JJR	bad
.	SENT	.
<p>
On	IN	on
Wednesday	NP	Wednesday
,	,	,
the	DT	the
delegation	NN	delegation
led	VBN	lead
by	IN	by
the	DT	the
head	NN	head
of	IN	of
the	DT	the
Mossad	NN	Mossad
was	VBD	be
supposed	VBN	suppose
to	TO	to
fly	VB	fly
to	TO	to
Doha	NP	Doha
to	TO	to
present	VB	present
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
updated	VBN	update
position	NN	position
,	,	,
but	CC	but
then	RB	then
Netanyahu	NP	<unknown>
decided	VBD	decide
to	TO	to
postpone	VB	postpone
their	PP$	their
trip	NN	trip
.	SENT	.
<p>
Was	VBD	be
it	PP	it
because	IN	because
he	PP	he
had	VBD	have
something	NN	something
big	JJ	big
and	CC	and
important	JJ	important
to	TO	to
say	VB	say
in	IN	in
the	DT	the
speech	NN	speech
?	SENT	?
Sadly	RB	sadly
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
would	MD	would
not	RB	not
rest	VB	rest
until	IN	until
all	PDT	all
the	DT	the
hostages	NNS	hostage
are	VBP	be
home	RB	home
.	SENT	.
<p>
That	DT	that
is	VBZ	be
hard	JJ	hard
to	TO	to
believe	VB	believe
.	SENT	.
According	VBG	accord
to	TO	to
security	NN	security
officials	NNS	official
involved	VBN	involve
in	IN	in
the	DT	the
negotiations	NNS	negotiation
,	,	,
he	PP	he
is	VBZ	be
the	DT	the
person	NN	person
who	WP	who
has	VBZ	have
held	VBN	hold
up	RP	up
a	DT	a
new	JJ	new
deal	NN	deal
for	IN	for
weeks	NNS	week
.	SENT	.
<p>
Even	RB	even
now	RB	now
,	,	,
as	IN	as
he	PP	he
remains	VBZ	remain
in	IN	in
the	DT	the
US	NP	US
for	IN	for
the	DT	the
weekend	NN	weekend
,	,	,
time	NN	time
is	VBZ	be
being	VBG	be
lost	VBN	lose
and	CC	and
the	DT	the
hostages	NNS	hostage
continue	VBP	continue
to	TO	to
languish	VB	languish
.	SENT	.
<p>
This	DT	this
could	MD	could
n't	RB	n't
have	VB	have
been	VBN	be
more	RBR	more
obvious	JJ	obvious
than	IN	than
the	DT	the
news	NN	news
that	WDT	that
came	VBD	come
out	RP	out
as	IN	as
he	PP	he
spoke	VBD	speak
.	SENT	.
<p>
The	DT	the
IDF	NP	IDF
had	VBD	have
recovered	VBN	recover
several	JJ	several
bodies	NNS	body
from	IN	from
Gaza	NP	Gaza
that	IN	that
same	JJ	same
day	NN	day
and	CC	and
was	VBD	be
in	IN	in
the	DT	the
process	NN	process
of	IN	of
identifying	VBG	identify
them	PP	them
.	SENT	.
<p>
When	WRB	when
Netanyahu	NP	<unknown>
finished	VBD	finish
his	PP$	his
speech	NN	speech
,	,	,
Kibbutz	NN	kibbutz
Nir	NP	Nir
Oz	NP	Oz
announced	VBD	announce
that	IN	that
the	DT	the
body	NN	body
of	IN	of
Maya	NP	Maya
Goren	NP	Goren
,	,	,
the	DT	the
kindergarten	NN	kindergarten
teacher	NN	teacher
,	,	,
had	VBD	have
been	VBN	be
identified	VBN	identify
.	SENT	.
<p>
Netanyahu	NP	<unknown>
might	MD	might
have	VB	have
told	VBN	tell
Congress	NP	Congress
that	IN	that
he	PP	he
would	MD	would
n't	RB	n't
rest	VB	rest
,	,	,
but	CC	but
even	RB	even
during	IN	during
this	DT	this
monumental	JJ	monumental
speech	NN	speech
,	,	,
the	DT	the
clock	NN	clock
was	VBD	be
running	VBG	run
out	RP	out
for	IN	for
the	DT	the
hostages	NNS	hostage
.	SENT	.
<p>
And	CC	and
in	IN	in
the	DT	the
end	NN	end
,	,	,
as	RB	as
good	JJ	good
a	DT	a
speech	NN	speech
as	IN	as
it	PP	it
was	VBD	be
,	,	,
it	PP	it
was	VBD	be
still	RB	still
just	RB	just
a	DT	a
speech	NN	speech
.	SENT	.
<p>
Yes	UH	yes
,	,	,
it	PP	it
will	MD	will
give	VB	give
Netanyahu	NP	<unknown>
a	DT	a
boost	NN	boost
in	IN	in
the	NP	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
he	PP	he
can	MD	can
appear	VB	appear
to	TO	to
be	VB	be
one	CD	one
level	NN	level
ahead	RB	ahead
of	IN	of
many	JJ	many
of	IN	of
the	DT	the
contenders	NNS	contender
to	TO	to
replace	VB	replace
him	PP	him
(	(	(
at	IN	at
least	JJS	least
as	IN	as
an	DT	an
English-language	JJ	English-language
orator	NN	orator
)	)	)
,	,	,
but	CC	but
there	EX	there
is	VBZ	be
no	RB	no
sugarcoating	VBG	sugarcoat
the	DT	the
failures	NNS	failure
that	IN	that
he	PP	he
has	VBZ	have
left	VBN	leave
in	IN	in
his	PP$	his
track	NN	track
.	SENT	.
<p>
The	DT	the
disaster	NN	disaster
of	IN	of
October	NP	October
7	CD	@card@
is	VBZ	be
his	PP$	his
to	TO	to
own	VB	own
.	SENT	.
<p>
He	PP	he
was	VBD	be
the	DT	the
prime	JJ	prime
minister	NN	minister
since	IN	since
2009	CD	@card@
(	(	(
except	IN	except
for	IN	for
one	CD	one
year	NN	year
)	)	)
,	,	,
he	PP	he
built	VBD	build
up	RP	up
the	DT	the
policy	NN	policy
of	IN	of
weakening	VBG	weaken
the	DT	the
Palestinian	NP	Palestinian
Authority	NP	Authority
and	CC	and
strengthening	JJ	strengthening
Hamas	NNS	<unknown>
,	,	,
he	PP	he
created	VBD	create
the	DT	the
Qatari	JJ	Qatari
cash	NN	cash
scheme	NN	scheme
,	,	,
and	CC	and
he	PP	he
held	VBD	hold
back	RB	back
from	IN	from
going	VBG	go
all	PDT	all
the	DT	the
way	NN	way
to	TO	to
eliminate	VB	eliminate
Hamas	NNS	<unknown>
in	IN	in
any	DT	any
of	IN	of
the	DT	the
previous	JJ	previous
five	CD	five
large-scale	JJ	large-scale
operations	NNS	operation
he	PP	he
oversaw	VBD	oversee
against	IN	against
Hamas	NNS	<unknown>
as	IN	as
prime	JJ	prime
minister	NN	minister
.	SENT	.
<p>
He	PP	he
is	VBZ	be
responsible	JJ	responsible
for	IN	for
what	WP	what
happened	VBD	happen
and	CC	and
also	RB	also
for	IN	for
what	WP	what
is	VBZ	be
continuing	VBG	continue
to	TO	to
happen	VB	happen
under	IN	under
his	PP$	his
government	NN	government
:	:	:
Haredim	NNS	<unknown>
are	VBP	be
dodging	VBG	dodge
the	DT	the
draft	NN	draft
in	IN	in
record	NN	record
numbers	NNS	number
as	IN	as
the	DT	the
Likud	NP	Likud
Party	NP	Party
continues	VBZ	continue
to	TO	to
capitulate	VB	capitulate
to	TO	to
their	PP$	their
political	JJ	political
demands	NNS	demand
so	IN	so
they	PP	they
remain	VBP	remain
in	IN	in
the	DT	the
coalition	NN	coalition
;	:	;
tens	NNS	ten
of	IN	of
thousands	NNS	thousand
of	IN	of
Israelis	NPS	Israelis
remain	VBP	remain
homeless	JJ	homeless
--	:	--
in	IN	in
the	DT	the
North	NP	North
and	CC	and
the	DT	the
South	NP	South
--	:	--
without	IN	without
any	DT	any
light	NN	light
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
tunnel	NN	tunnel
for	IN	for
when	WRB	when
they	PP	they
might	MD	might
be	VB	be
able	JJ	able
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
care	NN	care
about	RB	about
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
what	WP	what
they	PP	they
would	MD	would
have	VB	have
wanted	VBN	want
to	TO	to
hear	VB	hear
the	DT	the
prime	JJ	prime
minister	NN	minister
talk	NN	talk
about	RB	about
.	SENT	.
The	DT	the
speech	NN	speech
was	VBD	be
nice	JJ	nice
,	,	,
but	CC	but
Israelis	NPS	Israelis
want	VBP	want
action	NN	action
and	CC	and
change	NN	change
.	SENT	.
That	DT	that
does	VBZ	do
not	RB	not
come	VB	come
in	IN	in
a	DT	a
speech	NN	speech
.	SENT	.
<p>
The	DT	the
writer	NN	writer
is	VBZ	be
a	DT	a
senior	JJ	senior
fellow	NN	fellow
at	IN	at
the	DT	the
Jewish	JJ	Jewish
People	NP	People
Policy	NP	Policy
Institute	NP	Institute
(	(	(
JPPI	NP	<unknown>
)	)	)
and	CC	and
a	DT	a
former	JJ	former
editor-in-chief	NN	editor-in-chief
of	IN	of
The	DT	the
Jerusalem	NP	Jerusalem
Post	NP	Post
.	SENT	.
