<h>
Some	DT	some
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
.	SENT	.
<p>
Netanyahu	NP	<unknown>
,	,	,
speaking	VBG	speak
with	IN	with
the	DT	the
representatives	NNS	representative
in	IN	in
his	PP$	his
Jerusalem	NP	Jerusalem
office	NN	office
,	,	,
instructed	VBD	instruct
the	DT	the
conference	NN	conference
participants	NNS	participant
"	``	"
Do	VBP	do
n't	RB	n't
bend	VB	bend
,	,	,
do	VBP	do
n't	RB	n't
cower	VB	cower
,	,	,
do	VBP	do
n't	RB	n't
surrender	VB	surrender
--	:	--
not	RB	not
to	TO	to
these	DT	these
antisemitic	JJ	antisemitic
lies	NNS	lie
,	,	,
not	RB	not
to	TO	to
the	DT	the
fear	NN	fear
,	,	,
not	RB	not
to	TO	to
the	DT	the
intimidation	NN	intimidation
.	SENT	.
"	``	"
He	PP	he
also	RB	also
thanked	VBD	thank
the	DT	the
attendees	NNS	attendee
for	IN	for
their	PP$	their
work	NN	work
and	CC	and
being	JJ	being
ambassadors	NNS	ambassador
for	IN	for
the	DT	the
Jewish	JJ	Jewish
people	NNS	people
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Israel	NP	Israel
and	CC	and
murdered	VBN	murder
over	IN	over
1200	CD	@card@
people	NNS	people
,	,	,
the	DT	the
rate	NN	rate
of	IN	of
international	JJ	international
antisemitism	NN	<unknown>
has	VBZ	have
steeply	RB	steeply
inclined	VBN	incline
.	SENT	.
Chabad	NP	<unknown>
representatives	NNS	representative
have	VBP	have
been	VBN	be
working	VBG	work
on	IN	on
college	NN	college
campuses	NNS	campus
to	TO	to
ensure	VB	ensure
that	IN	that
Jewish	JJ	Jewish
students	NNS	student
are	VBP	be
uplifted	VBN	uplift
and	CC	and
have	VB	have
a	DT	a
space	NN	space
for	IN	for
their	PP$	their
Jewish	JJ	Jewish
identities	NNS	identity
.	SENT	.
<p>
The	DT	the
conference	NN	conference
was	VBD	be
said	VBN	say
to	TO	to
have	VB	have
left	VBN	leave
its	PP$	its
attendees	NNS	attendee
inspired	VBN	inspire
and	CC	and
empowered	VBN	empower
to	TO	to
continue	VB	continue
their	PP$	their
on	IN	on
campus	NN	campus
works	NNS	work
.	SENT	.
<p>
Oren	NP	Oren
,	,	,
who	WP	who
saved	VBD	save
Roi	NP	Roi
during	IN	during
the	DT	the
Nova	NP	Nova
Festival	NP	Festival
on	IN	on
October	NP	October
7th	JJ	7th
,	,	,
and	CC	and
Roi	NP	Roi
,	,	,
who	WP	who
were	VBD	be
unable	JJ	unable
to	TO	to
celebrate	VB	celebrate
Simchas	NP	<unknown>
Torah	NP	Torah
,	,	,
finally	RB	finally
marked	VBD	mark
the	DT	the
holiday	NN	holiday
together	RB	together
.	SENT	.
They	PP	they
joined	VBD	join
nearly	RB	nearly
200	CD	@card@
Chabad	NP	<unknown>
on	IN	on
Campus	NP	Campus
Shluchim	NP	<unknown>
,	,	,
currently	RB	currently
in	IN	in
Israel	NP	Israel
for	IN	for
their	PP$	their
annual	JJ	annual
convention	NN	convention
,	,	,
to	TO	to
share	VB	share
in	IN	in
the	DT	the
festive	JJ	festive
spirit	NN	spirit
.	SENT	.
(	(	(
credit	VB	credit
:	:	:
Courtesy	NN	courtesy
)	)	)
<h>
Visiting	VBG	visit
the	DT	the
sites	NNS	site
of	IN	of
Hamas	NP	<unknown>
'	POS	'
s	JJ	<unknown>
massacres	NNS	massacre
<p>
In	IN	in
addition	NN	addition
to	TO	to
meeting	VBG	meet
important	JJ	important
figures	NNS	figure
,	,	,
the	DT	the
conference	NN	conference
attendees	NNS	attendee
visited	VBD	visit
the	DT	the
sites	NNS	site
of	IN	of
the	DT	the
Nova	NP	Nova
Music	NP	Music
Festival	NP	Festival
and	CC	and
Kfar	NP	Kfar
Aza	NP	Aza
-	NN	<unknown>
both	CC	both
of	IN	of
which	WDT	which
were	VBD	be
attacked	VBN	attack
by	IN	by
Hamas	JJ	<unknown>
terrorists	NNS	terrorist
on	IN	on
October	NP	October
7	CD	@card@
.	SENT	.
<p>
During	IN	during
the	DT	the
visit	NN	visit
to	TO	to
these	DT	these
sites	NNS	site
,	,	,
the	DT	the
attendees	NNS	attendee
paid	VBD	pay
respect	NN	respect
to	TO	to
the	DT	the
heroes	NNS	hero
who	WP	who
protected	VBD	protect
lives	NNS	life
at	IN	at
great	JJ	great
personal	JJ	personal
risk	NN	risk
.	SENT	.
One	CD	one
of	IN	of
these	DT	these
heroes	NNS	hero
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
at	IN	at
the	DT	the
Nova	NP	Nova
Festival	NP	Festival
.	SENT	.
<p>
The	DT	the
Hamas	NP	<unknown>
attack	NN	attack
was	VBD	be
carried	VBN	carry
out	RP	out
on	IN	on
the	DT	the
joyous	JJ	joyous
Jewish	JJ	Jewish
holiday	NN	holiday
of	IN	of
sinchas	NP	<unknown>
Torah	NP	Torah
.	SENT	.
Understanding	VBG	understand
that	IN	that
this	DT	this
festival	NN	festival
would	MD	would
have	VB	have
been	VBN	be
missed	VBN	miss
due	RB	due
to	TO	to
the	DT	the
devastation	NN	devastation
caused	VBN	cause
by	IN	by
Hamas	NP	<unknown>
,	,	,
the	DT	the
200	CD	@card@
attendees	NNS	attendee
held	VBD	hold
a	DT	a
small	JJ	small
celebration	NN	celebration
for	IN	for
the	DT	the
holiday	NN	holiday
.	SENT	.
While	IN	while
9	CD	@card@
months	NNS	month
late	RB	late
,	,	,
the	DT	the
chabad	NP	<unknown>
members	NNS	member
wanted	VBD	want
to	TO	to
ensure	VB	ensure
that	IN	that
Oren	NP	Oren
was	VBD	be
able	JJ	able
to	TO	to
enjoy	VB	enjoy
the	DT	the
festival	NN	festival
.	SENT	.
<p>
Continuing	VBG	continue
to	TO	to
meet	VB	meet
IDF	NP	IDF
soldiers	NNS	soldier
,	,	,
the	DT	the
attendees	NNS	attendee
visited	VBD	visit
the	DT	the
Shura	NP	Shura
Army	NP	Army
base	NN	base
for	IN	for
a	DT	a
BBQ	NP	BBQ
dinner	NN	dinner
where	WRB	where
they	PP	they
interacted	VBD	interact
with	IN	with
soldiers	NNS	soldier
.	SENT	.
<p>
The	DT	the
attendees	NNS	attendee
also	RB	also
visited	VBD	visit
wounded	JJ	wounded
soldiers	NNS	soldier
at	IN	at
the	DT	the
Sheba	NP	Sheba
Medical	NP	Medical
Center	NP	Center
.	SENT	.
<p>
Finally	RB	finally
,	,	,
the	DT	the
group	NN	group
were	VBD	be
addressed	VBN	address
by	IN	by
the	DT	the
parents	NNS	parent
of	IN	of
Hersh	NP	Hersh
Goldberg-Polin	NP	Goldberg-Polin
,	,	,
an	DT	an
American-Israeli	JJ	American-Israeli
who	WP	who
is	VBZ	be
currently	RB	currently
being	VBG	be
held	VBN	hold
hostage	NN	hostage
by	IN	by
Hamas	NP	<unknown>
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
The	DT	the
parents	NNS	parent
shared	VBD	share
their	PP$	their
story	NN	story
with	IN	with
the	DT	the
attendees	NNS	attendee
at	IN	at
the	DT	the
sacred	JJ	sacred
site	NN	site
of	IN	of
Rachel	NP	Rachel
'	POS	'
s	JJ	<unknown>
Tomb	NP	Tomb
.	SENT	.
<p>
Rabbi	NP	Rabbi
Avi	NP	Avi
Weinstein	NP	Weinstein
,	,	,
Chabad	NP	<unknown>
on	IN	on
Campus	NP	Campus
International	NP	International
COO	NN	coo
,	,	,
said	VBD	say
:	:	:
"	``	"
This	DT	this
year	NN	year
,	,	,
it	PP	it
was	VBD	be
clear	JJ	clear
that	IN	that
there	EX	there
'	''	'
s	VBG	<unknown>
only	RB	only
one	CD	one
place	NN	place
where	WRB	where
we	PP	we
can	MD	can
meet	VB	meet
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	JJ	<unknown>
Israel	NP	Israel
.	SENT	.
We	PP	we
are	VBP	be
one	CD	one
people	NNS	people
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
our	PP$	our
love	NN	love
and	CC	and
support	NN	support
to	TO	to
the	DT	the
people	NNS	people
of	IN	of
Israel	NP	Israel
during	IN	during
a	DT	a
challenging	JJ	challenging
time	NN	time
.	SENT	.
What	WP	what
is	VBZ	be
happening	VBG	happen
in	IN	in
Israel	NP	Israel
is	VBZ	be
directly	RB	directly
impacting	VBG	impact
our	PP$	our
campuses	NNS	campus
.	SENT	.
In	IN	in
order	NN	order
for	IN	for
us	PP	us
to	TO	to
effectively	RB	effectively
support	VB	support
our	PP$	our
students	NNS	student
and	CC	and
advocate	NN	advocate
to	TO	to
our	PP$	our
university	NN	university
administrations	NNS	administration
,	,	,
it	PP	it
is	VBZ	be
critical	JJ	critical
that	IN	that
we	PP	we
see	VBP	see
with	IN	with
our	PP$	our
own	JJ	own
eyes	NNS	eye
and	CC	and
hear	VB	hear
with	IN	with
our	PP$	our
own	JJ	own
ears	NNS	ear
to	TO	to
fully	RB	fully
appreciate	VB	appreciate
the	DT	the
situation	NN	situation
which	WDT	which
has	VBZ	have
so	RB	so
deeply	RB	deeply
impacted	VBN	impact
our	PP$	our
students	NNS	student
.	SENT	.
"	``	"
