<p>
Palestinians	NPS	Palestinians
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
the	DT	the
newly	RB	newly
appointed	VBN	appoint
Hamas	JJ	<unknown>
chief	NN	chief
.	SENT	.
<p>
Western	JJ	Western
ally	NN	ally
Jordan	NP	Jordan
,	,	,
hostage	NN	hostage
supporters	NNS	supporter
protesting	VBG	protest
in	IN	in
Israel	NP	Israel
,	,	,
and	CC	and
Hamas	NNS	<unknown>
itself	PP	itself
have	VBP	have
called	VBN	call
for	IN	for
pressure	NN	pressure
on	IN	on
Netanyahu	NP	<unknown>
in	IN	in
order	NN	order
that	IN	that
an	DT	an
agreement	NN	agreement
be	VB	be
reached	VBN	reach
.	SENT	.
<p>
On	IN	on
Thursday	NP	Thursday
,	,	,
Hamas	JJ	<unknown>
official	NN	official
Osama	NP	Osama
Hamdan	NP	Hamdan
told	VBD	tell
AFP	NP	AFP
the	DT	the
movement	NN	movement
informed	VBD	inform
mediators	NNS	mediator
it	PP	it
would	MD	would
participate	VB	participate
in	IN	in
the	DT	the
Doha	NP	Doha
talks	NNS	talk
,	,	,
which	WDT	which
took	VBD	take
place	NN	place
Thursday	NP	Thursday
and	CC	and
Friday	NP	Friday
,	,	,
if	IN	if
they	PP	they
were	VBD	be
"	``	"
to	TO	to
set	VB	set
a	DT	a
timetable	NN	timetable
for	IN	for
the	DT	the
implementation	NN	implementation
"	''	"
of	IN	of
what	WP	what
Hamas	NP	<unknown>
had	VBD	have
already	RB	already
agreed	VBN	agree
to	TO	to
.	SENT	.
<p>
Hamas	NP	<unknown>
also	RB	also
announced	VBD	announce
its	PP$	its
opposition	NN	opposition
to	TO	to
what	WP	what
it	PP	it
called	VBD	call
"	``	"
new	JJ	new
conditions	NNS	condition
"	''	"
from	IN	from
Israel	NP	Israel
.	SENT	.
<p>
Netanyahu	NP	<unknown>
,	,	,
however	RB	however
,	,	,
told	VBD	tell
cabinet	NN	cabinet
that	IN	that
,	,	,
"	``	"
We	PP	we
are	VBP	be
conducting	VBG	conduct
negotiations	NNS	negotiation
and	CC	and
not	RB	not
a	DT	a
scenario	NN	scenario
in	IN	in
which	WDT	which
we	PP	we
just	RB	just
give	VBP	give
and	CC	and
give	VBP	give
.	SENT	.
There	EX	there
are	VBP	be
things	NNS	thing
we	PP	we
can	MD	can
be	VB	be
flexible	JJ	flexible
on	IN	on
and	CC	and
there	EX	there
are	VBP	be
things	NNS	thing
that	IN	that
we	PP	we
can	MD	can
not	RB	not
be	VB	be
flexible	JJ	flexible
on	IN	on
,	,	,
which	WDT	which
we	PP	we
will	MD	will
insist	VB	insist
on	RP	on
.	SENT	.
"	''	"
<p>
He	PP	he
said	VBD	say
"	``	"
enormous	JJ	enormous
efforts	NNS	effort
"	''	"
are	VBP	be
being	VBG	be
made	VBN	make
to	TO	to
bring	VB	bring
home	RB	home
the	DT	the
hostages	NNS	hostage
.	SENT	.
<p>
"	``	"
We	PP	we
firmly	RB	firmly
stand	VBP	stand
by	IN	by
the	DT	the
principles	NNS	principle
we	PP	we
have	VBP	have
set	VBN	set
,	,	,
which	WDT	which
are	VBP	be
essential	JJ	essential
for	IN	for
Israel	NP	Israel
'	POS	'
s	NN	S
security	NN	security
,	,	,
"	''	"
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
strong	JJ	strong
diplomatic	JJ	diplomatic
pressure	NN	pressure
"	''	"
on	IN	on
Hamas	NN	<unknown>
to	TO	to
reach	VB	reach
a	DT	a
deal	NN	deal
.	SENT	.
<p>
Making	VBG	make
his	PP$	his
ninth	JJ	ninth
trip	NN	trip
to	TO	to
the	DT	the
Middle	NP	Middle
East	NP	East
since	IN	since
the	DT	the
Gaza	NP	Gaza
war	NN	war
began	VBD	begin
with	IN	with
Hamas	NP	<unknown>
'	POS	'
s	JJ	<unknown>
October	NP	October
7	CD	@card@
attack	NN	attack
on	IN	on
Israel	NP	Israel
,	,	,
Blinken	NP	<unknown>
is	VBZ	be
due	JJ	due
to	TO	to
meet	VB	meet
Netanyahu	NP	<unknown>
and	CC	and
other	JJ	other
Israeli	JJ	Israeli
leaders	NNS	leader
on	IN	on
Monday	NP	Monday
before	IN	before
truce	NN	truce
talks	NNS	talk
resume	VB	resume
in	IN	in
Cairo	NP	Cairo
later	RBR	later
in	IN	in
the	DT	the
week	NN	week
.	SENT	.
<p>
(	(	(
This	DT	this
story	NN	story
has	VBZ	have
not	RB	not
been	VBN	be
edited	VBN	edit
by	IN	by
News18	NP	<unknown>
staff	NN	staff
and	CC	and
is	VBZ	be
published	VBN	publish
from	IN	from
a	DT	a
syndicated	JJ	syndicated
news	NN	news
agency	NN	agency
feed	NN	feed
-	NN	<unknown>
AFP	NP	AFP
)	)	)
