<p>
WATCH	NN	watch
with	IN	with
a	DT	a
beach	NN	beach
,	,	,
an	DT	an
ocean	NN	ocean
,	,	,
palm	NN	palm
trees	NNS	tree
,	,	,
hotels	NNS	hotel
,	,	,
skyscrapers	NNS	skyscraper
,	,	,
yachts	NNS	yacht
and	CC	and
people	NNS	people
partying	VBG	party
.	SENT	.
<p>
A	DT	a
screengrab	NN	<unknown>
from	IN	from
the	DT	the
AI	NN	ai
video	NN	video
posted	VBD	post
by	IN	by
U.S.	NP	U.S.
President	NP	President
Donald	NP	Donald
Trump	NP	Trump
'	POS	'
s	JJ	<unknown>
account	NN	account
on	IN	on
Truth	NN	truth
Social	NP	Social
.	SENT	.
Donald	NP	Donald
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
of	IN	of
Musk	NN	musk
eating	VBG	eat
bread	NN	bread
dipped	VBD	dip
in	IN	in
hummus	NN	<unknown>
on	IN	on
the	DT	the
beach	NN	beach
with	IN	with
a	DT	a
big	JJ	big
smile	NN	smile
on	IN	on
his	PP$	his
face	NN	face
followed	VBN	follow
by	IN	by
bearded	JJ	bearded
belly	NN	belly
dancers	NNS	dancer
in	IN	in
bikinis	NNS	bikini
,	,	,
a	DT	a
downtown	NN	downtown
area	NN	area
that	WDT	that
resembles	VBZ	resemble
Miami	NP	Miami
and	CC	and
a	DT	a
child	NN	child
holding	VBG	hold
a	DT	a
giant	JJ	giant
gold	NN	gold
balloon	NN	balloon
of	IN	of
Trump	NP	Trump
'	POS	'
s	JJ	<unknown>
face	NN	face
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
the	DT	the
street	NN	street
.	SENT	.
<p>
A	DT	a
screengrab	NN	<unknown>
from	IN	from
the	DT	the
AI	NN	ai
video	NN	video
posted	VBD	post
by	IN	by
U.S.	NP	U.S.
President	NP	President
Donald	NP	Donald
Trump	NP	Trump
'	POS	'
s	JJ	<unknown>
account	NN	account
on	IN	on
Truth	NN	truth
Social	NP	Social
.	SENT	.
Donald	NP	Donald
Trump/Truth	NP	<unknown>
Social	NP	Social
<p>
"	''	"
Donald	NP	Donald
'	POS	'
s	NNS	<unknown>
coming	VBG	come
to	TO	to
set	VB	set
you	PP	you
free	JJ	free
.	SENT	.
Bringing	VBG	bring
the	DT	the
life	NN	life
to	TO	to
all	DT	all
you	PP	you
see	VBP	see
,	,	,
"	''	"
a	DT	a
voice	NN	voice
sings	VBZ	sing
in	IN	in
the	DT	the
background	NN	background
.	SENT	.
"	''	"
No	DT	no
more	JJR	more
tunnels	NNS	tunnel
,	,	,
no	DT	no
more	JJR	more
fear	NN	fear
.	SENT	.
Trump	NP	Trump
Gaza	NP	Gaza
is	VBZ	be
finally	RB	finally
here	RB	here
!	SENT	!
"	``	"
<p>
The	DT	the
AI	VBP	ai
video	JJ	video
showcases	NNS	showcase
luxury	NN	luxury
yachts	NNS	yacht
,	,	,
Trump	NP	Trump
dancing	NN	dancing
in	IN	in
a	DT	a
nightclub	NN	nightclub
with	IN	with
a	DT	a
woman	NN	woman
,	,	,
Musk	NN	musk
dancing	NN	dancing
on	IN	on
the	DT	the
beach	NN	beach
while	IN	while
throwing	VBG	throw
money	NN	money
in	IN	in
the	DT	the
air	NN	air
with	IN	with
an	DT	an
audience	NN	audience
clapping	VBG	clap
for	IN	for
him	PP	him
,	,	,
a	DT	a
massive	JJ	massive
golden	JJ	golden
"	``	"
Trump	NP	Trump
Gaza	NP	Gaza
"	''	"
building	NN	building
and	CC	and
a	DT	a
huge	JJ	huge
golden	JJ	golden
statue	NN	statue
of	IN	of
Trump	NP	Trump
set	VBD	set
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
a	DT	a
street	NN	street
.	SENT	.
<p>
A	DT	a
screengrab	NN	<unknown>
from	IN	from
the	DT	the
AI	NN	ai
video	NN	video
posted	VBD	post
by	IN	by
U.S.	NP	U.S.
President	NP	President
Donald	NP	Donald
Trump	NP	Trump
'	POS	'
s	JJ	<unknown>
account	NN	account
on	IN	on
Truth	NN	truth
Social	NP	Social
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
AI-generated	JJ	<unknown>
Trump	NP	Trump
lounging	VBG	lounge
on	IN	on
the	DT	the
beach	NN	beach
shirtless	JJ	shirtless
beside	IN	beside
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
with	IN	with
cocktails	NNS	cocktail
in	IN	in
their	PP$	their
hands	NNS	hand
,	,	,
and	CC	and
another	DT	another
close-up	NN	close-up
clip	NN	clip
of	IN	of
the	DT	the
busy	JJ	busy
"	``	"
Trump	NP	Trump
Gaza	NP	Gaza
"	''	"
building	NN	building
.	SENT	.
<p>
"	``	"
The	DT	the
Trump	NP	Trump
Gaza	NP	Gaza
video	NN	video
is	VBZ	be
quite	RB	quite
possibly	RB	possibly
the	DT	the
most	RBS	most
disgusting	JJ	disgusting
,	,	,
the	DT	the
most	RBS	most
shameful	JJ	shameful
,	,	,
the	DT	the
most	RBS	most
hideous	JJ	hideous
public	JJ	public
communication	NN	communication
by	IN	by
a	DT	a
US	NP	US
President	NP	President
in	IN	in
living	VBG	live
memory	NN	memory
,	,	,
"	''	"
Matthew	NP	Matthew
Standlen	NP	<unknown>
,	,	,
a	DT	a
political	JJ	political
commentator	NN	commentator
for	IN	for
BBC	NP	BBC
Radio	NP	Radio
5	CD	@card@
Live	NP	Live
,	,	,
wrote	VBD	write
on	IN	on
X.	NP	X.
<p>
2:23Palestinians	NNS	2:23Palestinian
outraged	VBN	outrage
after	IN	after
Trump	NP	Trump
says	VBZ	say
Gaza	NP	Gaza
residents	NNS	resident
wo	MD	wo
n't	RB	n't
have	VB	have
right	JJ	right
to	TO	to
return	VB	return
in	IN	in
U.S.	NP	U.S.
takeover	NN	takeover
plan	NN	plan
<p>
Earlier	RBR	earlier
this	DT	this
month	NN	month
,	,	,
Trump	NP	Trump
doubled	VBD	double
down	RP	down
on	IN	on
his	PP$	his
vows	NNS	vow
to	TO	to
empty	VB	empty
Gaza	NP	Gaza
permanently	RB	permanently
of	IN	of
its	PP$	its
more	JJR	more
than	IN	than
two	CD	two
million	CD	million
Palestinians	NNS	Palestinian
,	,	,
saying	VBG	say
they	PP	they
would	MD	would
not	RB	not
be	VB	be
allowed	VBN	allow
to	TO	to
return	VB	return
and	CC	and
suggesting	VBG	suggest
at	IN	at
one	PP	one
point	VBP	point
that	IN	that
he	PP	he
might	MD	might
force	VB	force
Egypt	NP	Egypt
and	CC	and
Jordan	NP	Jordan
to	TO	to
take	VB	take
them	PP	them
in	IN	in
by	IN	by
threatening	VBG	threaten
to	TO	to
cut	VB	cut
off	RP	off
U.S.	NP	U.S.
aid	NN	aid
.	SENT	.
<p>
Story	NN	story
continues	VBZ	continue
below	IN	below
advertisement	NN	advertisement
<p>
Trump	NP	Trump
has	VBZ	have
billed	VBN	bill
the	DT	the
plan	NN	plan
as	IN	as
being	VBG	be
for	IN	for
the	DT	the
Palestinians	NPS	Palestinians
'	POS	'
own	JJ	own
benefit	NN	benefit
after	IN	after
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
16-month	JJ	<unknown>
campaign	NN	campaign
demolished	VBD	demolish
entire	JJ	entire
neighbourhoods	NNS	neighbourhood
and	CC	and
left	VBD	leave
much	RB	much
of	IN	of
Gaza	NP	Gaza
unlivable	NN	<unknown>
,	,	,
following	VBG	follow
the	DT	the
Oct.	NP	Oct.
7	CD	@card@
attack	NN	attack
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
them	PP	them
a	DT	a
"	``	"
beautiful	JJ	beautiful
new	JJ	new
land	NN	land
"	''	"
elsewhere	RB	elsewhere
.	SENT	.
<p>
The	DT	the
United	NP	United
States	NPS	States
would	MD	would
then	RB	then
take	VB	take
over	IN	over
the	DT	the
territory	NN	territory
and	CC	and
rebuild	VB	rebuild
it	PP	it
as	IN	as
a	DT	a
"	``	"
Riviera	NP	Riviera
"	''	"
for	IN	for
the	DT	the
"	``	"
world	NN	world
'	''	'
s	NN	S
people	NNS	people
.	SENT	.
"	''	"
<p>
"	``	"
He	PP	he
is	VBZ	be
talking	VBG	talk
as	RB	as
if	IN	if
the	DT	the
Palestinians	NPS	Palestinians
are	VBP	be
cattle	NNS	cattle
,	,	,
you	PP	you
can	MD	can
move	VB	move
them	PP	them
from	IN	from
one	CD	one
place	NN	place
to	TO	to
another	DT	another
.	SENT	.
They	PP	they
have	VBP	have
no	DT	no
agency	NN	agency
,	,	,
they	PP	they
have	VBP	have
no	RB	no
say	VBP	say
,	,	,
"	''	"
said	VBD	say
Munir	NP	Munir
Nuseibah	NP	<unknown>
,	,	,
a	DT	a
professor	NN	professor
of	IN	of
international	JJ	international
law	NN	law
at	IN	at
Jerusalem	NP	Jerusalem
'	POS	'
s	NN	S
Al-Quds	NP	<unknown>
University	NP	University
,	,	,
on	IN	on
Feb.	NP	Feb.
12	CD	@card@
,	,	,
following	VBG	follow
Trump	NP	Trump
'	POS	'
s	NNS	<unknown>
doubling	VBG	double
down	RP	down
on	IN	on
his	PP$	his
plans	NNS	plan
to	TO	to
"	``	"
empty	VB	empty
Gaza	NP	Gaza
.	SENT	.
"	``	"
<p>
Palestinians	NNS	Palestinian
have	VBP	have
made	VBN	make
clear	JJ	clear
they	PP	they
do	VBP	do
n't	RB	n't
want	VB	want
to	TO	to
leave	VB	leave
Gaza	NP	Gaza
,	,	,
one	CD	one
part	NN	part
of	IN	of
their	PP$	their
homeland	NN	homeland
that	WDT	that
remains	VBZ	remain
for	IN	for
them	PP	them
,	,	,
along	RB	along
with	IN	with
pockets	NNS	pocket
of	IN	of
the	DT	the
West	NP	West
Bank	NP	Bank
,	,	,
after	IN	after
the	DT	the
Mideast	NN	Mideast
'	POS	'
s	NN	S
1948	CD	@card@
and	CC	and
1967	CD	@card@
wars	NNS	war
.	SENT	.
<p>
2:55Trump	NP	2:55Trump
says	VBZ	say
he	PP	he
has	VBZ	have
'	POS	'
U.S.	NP	U.S.
authority	NN	authority
'	''	'
to	TO	to
seize	VB	seize
Gaza	NP	Gaza
,	,	,
refuse	VBP	refuse
re-entry	NN	re-entry
to	TO	to
Palestinians	NPS	Palestinians
<p>
Trump	NP	Trump
has	VBZ	have
left	VBN	leave
it	PP	it
ambiguous	JJ	ambiguous
how	WRB	how
Palestinians	NPS	Palestinians
would	MD	would
be	VB	be
removed	VBN	remove
or	CC	or
what	WP	what
would	MD	would
happen	VB	happen
if	IN	if
they	PP	they
refused	VBD	refuse
to	TO	to
go	VB	go
.	SENT	.
<p>
Story	NN	story
continues	VBZ	continue
below	IN	below
advertisement	NN	advertisement
<p>
Asked	VBN	ask
by	IN	by
reporters	NNS	reporter
at	IN	at
the	NP	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Palestinians	NPS	Palestinians
out	RB	out
,	,	,
Trump	NP	Trump
replied	VBD	reply
:	:	:
"	``	"
You	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
see	VB	see
that	IN	that
they	PP	they
'	POS	'
re	NN	re
all	RB	all
going	VBG	go
to	TO	to
want	VB	want
to	TO	to
leave	VB	leave
.	SENT	.
"	''	"
<p>
But	CC	but
Trump	NP	Trump
contradicted	VBD	contradict
that	IN	that
in	IN	in
an	DT	an
interview	NN	interview
with	IN	with
Fox	NP	Fox
News	NP	News
Channel	NP	Channel
that	WDT	that
aired	VBD	air
the	DT	the
same	JJ	same
day	NN	day
.	SENT	.
Asked	VBN	ask
whether	IN	whether
Palestinians	NPS	Palestinians
would	MD	would
have	VB	have
the	DT	the
right	NN	right
to	TO	to
return	VB	return
to	TO	to
Gaza	NP	Gaza
,	,	,
he	PP	he
replied	VBD	reply
:	:	:
"	``	"
No	UH	no
,	,	,
they	PP	they
would	MD	would
n't	RB	n't
because	IN	because
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
have	VB	have
much	RB	much
better	JJR	good
housing	NN	housing
.	SENT	.
In	IN	in
other	JJ	other
words	NNS	word
,	,	,
I	PP	I
'	POS	'
m	NN	m
talking	VBG	talk
about	IN	about
building	VBG	build
a	DT	a
permanent	JJ	permanent
place	NN	place
for	IN	for
them	PP	them
.	SENT	.
"	''	"
<p>
In	IN	in
a	DT	a
post	NN	post
on	IN	on
Feb.	NP	Feb.
6	CD	@card@
on	IN	on
his	PP$	his
Truth	NN	truth
Social	JJ	social
site	NN	site
,	,	,
Trump	NP	Trump
said	VBD	say
Israel	NP	Israel
would	MD	would
turn	VB	turn
over	IN	over
Gaza	NP	Gaza
to	TO	to
the	DT	the
U.S.	NP	U.S.
"	''	"
at	IN	at
the	DT	the
conclusion	NN	conclusion
of	IN	of
fighting	VBG	fight
.	SENT	.
"	''	"
By	IN	by
that	DT	that
time	NN	time
,	,	,
he	PP	he
wrote	VBD	write
,	,	,
all	RB	all
the	DT	the
Palestinians	NPS	Palestinians
"	``	"
would	MD	would
have	VB	have
already	RB	already
been	VBN	be
resettled	VBN	resettle
in	IN	in
far	RB	far
safer	JJR	safe
and	CC	and
more	JJR	more
beautiful	JJ	beautiful
communities	NNS	community
.	SENT	.
"	''	"
<p>
Global	NP	Global
News	NP	News
has	VBZ	have
reached	VBN	reach
out	RP	out
to	TO	to
the	DT	the
White	NP	White
House	NP	House
for	IN	for
comment	NN	comment
on	IN	on
the	DT	the
AI-generated	JJ	<unknown>
video	NN	video
,	,	,
but	CC	but
did	VBD	do
not	RB	not
immediately	RB	immediately
receive	VB	receive
a	DT	a
response	NN	response
.	SENT	.
