<h>
Deeper	JJR	deep
after	IN	after
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
Lebanon	NP	Lebanon
invasion	NN	invasion
.	SENT	.
On	IN	on
Sunday	NP	Sunday
,	,	,
a	DT	a
Hezbollah	NP	Hezbollah
drone	NN	drone
struck	VBD	strike
an	DT	an
Israeli	JJ	Israeli
military	JJ	military
base	NN	base
,	,	,
killing	VBG	kill
four	CD	four
soldiers	NNS	soldier
.	SENT	.
On	IN	on
October	NP	October
1	CD	@card@
,	,	,
Iran	NP	Iran
launched	VBD	launch
a	DT	a
massive	JJ	massive
ballistic	JJ	ballistic
missile	NN	missile
attack	NN	attack
on	IN	on
Israel	NP	Israel
.	SENT	.
While	IN	while
most	JJS	most
of	IN	of
the	NP	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
,	,	,
dozens	NNS	dozen
hit	VBD	hit
at	IN	at
least	JJS	least
two	CD	two
Israeli	JJ	Israeli
air	NN	air
bases	NNS	base
.	SENT	.
With	IN	with
Israel	NP	Israel
preparing	VBG	prepare
its	PP$	its
response	NN	response
to	TO	to
Iran	NP	Iran
amid	IN	amid
Iranian	JJ	Iranian
threats	NNS	threat
of	IN	of
a	DT	a
counter-retaliation	NN	counter-retaliation
,	,	,
the	DT	the
U.S.	NP	U.S.
finds	VBZ	find
it	PP	it
necessary	JJ	necessary
to	TO	to
bolster	VB	bolster
the	DT	the
defences	NNS	defence
of	IN	of
its	PP$	its
ally	NN	ally
.	SENT	.
The	DT	the
move	NN	move
also	RB	also
underscores	VBZ	underscore
the	DT	the
argument	NN	argument
that	IN	that
Israel	NP	Israel
is	VBZ	be
overwhelmingly	RB	overwhelmingly
dependent	JJ	dependent
on	IN	on
the	DT	the
U.S.	NP	U.S.
for	IN	for
security	NN	security
and	CC	and
defence	NN	defence
,	,	,
which	WDT	which
gives	VBZ	give
Washington	NP	Washington
substantial	JJ	substantial
leverage	NN	leverage
over	IN	over
Tel	NP	Tel
Aviv	NP	Aviv
.	SENT	.
For	IN	for
some	DT	some
strange	JJ	strange
reasons	NNS	reason
,	,	,
the	DT	the
Biden	NP	Biden
administration	NN	administration
has	VBZ	have
,	,	,
until	IN	until
now	RB	now
,	,	,
refused	VBD	refuse
to	TO	to
use	VB	use
that	DT	that
leverage	NN	leverage
as	IN	as
Israel	NP	Israel
has	VBZ	have
gone	VBN	go
rogue	NN	rogue
in	IN	in
Gaza	NP	Gaza
,	,	,
West	NP	West
Bank	NP	Bank
,	,	,
Syria	NP	Syria
and	CC	and
Lebanon	NP	Lebanon
.	SENT	.
This	DT	this
escalation	NN	escalation
cycle	NN	cycle
could	MD	could
drag	VB	drag
the	DT	the
U.S.	NP	U.S.
deeper	JJR	deep
into	IN	into
the	DT	the
conflict	NN	conflict
,	,	,
with	IN	with
disastrous	JJ	disastrous
consequences	NNS	consequence
for	IN	for
all	DT	all
parties	NNS	party
,	,	,
unless	IN	unless
Washington	NP	Washington
reins	NNS	rein
in	IN	in
its	PP$	its
closest	JJS	close
ally	NN	ally
.	SENT	.
<h>
Comments	NNS	comment
<p>
Comments	NNS	comment
have	VBP	have
to	TO	to
be	VB	be
in	IN	in
English	NP	English
,	,	,
and	CC	and
in	IN	in
full	JJ	full
sentences	NNS	sentence
.	SENT	.
They	PP	they
can	MD	can
not	RB	not
be	VB	be
abusive	JJ	abusive
or	CC	or
personal	JJ	personal
.	SENT	.
Please	UH	please
abide	VB	abide
by	IN	by
our	PP$	our
community	NN	community
guidelines	NNS	guideline
for	IN	for
posting	VBG	post
your	PP$	your
comments	NNS	comment
.	SENT	.
<p>
We	PP	we
have	VBP	have
migrated	VBN	migrate
to	TO	to
a	DT	a
new	JJ	new
commenting	VBG	comment
platform	NN	platform
.	SENT	.
If	IN	if
you	PP	you
are	VBP	be
already	RB	already
a	DT	a
registered	JJ	registered
user	NN	user
of	IN	of
The	DT	the
Hindu	NP	Hindu
and	CC	and
logged	VBD	log
in	IN	in
,	,	,
you	PP	you
may	MD	may
continue	VB	continue
to	TO	to
engage	VB	engage
with	IN	with
our	PP$	our
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
register	NN	register
and	CC	and
login	NN	<unknown>
to	TO	to
post	VB	post
comments	NNS	comment
.	SENT	.
Users	NNS	user
can	MD	can
access	VB	access
their	PP$	their
older	JJR	old
comments	NNS	comment
by	IN	by
logging	VBG	log
into	IN	into
their	PP$	their
accounts	NNS	account
on	IN	on
Vuukle	NP	<unknown>
.	SENT	.
