<p>
It	PP	it
was	VBD	be
equivalent	JJ	equivalent
to	TO	to
US$3800	NP	<unknown>
a	DT	a
year	NN	year
,	,	,
according	VBG	accord
to	TO	to
World	NP	World
Bank	NP	Bank
data	NNS	datum
,	,	,
ranking	VBG	rank
between	IN	between
the	DT	the
Philippines	NPS	Philippine
and	CC	and
Vietnam	NP	Vietnam
.	SENT	.
The	DT	the
territory	NN	territory
nevertheless	RB	nevertheless
has	VBZ	have
high	JJ	high
literacy	NN	literacy
levels	NNS	level
of	IN	of
97.5	CD	@card@
percent	NN	percent
,	,	,
while	IN	while
life	NN	life
expectancy	NN	expectancy
before	IN	before
the	DT	the
conflict	NN	conflict
was	VBD	be
75.5	CD	@card@
years	NNS	year
,	,	,
ranked	VBN	rank
between	IN	between
Mexico	NP	Mexico
and	CC	and
Hungary	NP	Hungary
.	SENT	.
<p>
By	IN	by
the	DT	the
start	NN	start
of	IN	of
this	DT	this
year	NN	year
,	,	,
three	CD	three
quarters	NNS	quarter
of	IN	of
Gaza	NP	Gaza
'	POS	'
s	NN	S
people	NNS	people
had	VBD	have
been	VBN	be
internally	RB	internally
displaced	VBN	displace
and	CC	and
lacked	VBN	lack
secure	JJ	secure
shelter	NN	shelter
,	,	,
with	IN	with
shortages	NNS	shortage
of	IN	of
water	NN	water
,	,	,
fuel	NN	fuel
,	,	,
electricity	NN	electricity
and	CC	and
access	NN	access
to	TO	to
sanitation	NN	sanitation
.	SENT	.
<p>
Gaza	NP	Gaza
now	RB	now
depends	VBZ	depend
heavily	RB	heavily
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
these	DT	these
are	VBP	be
greatly	RB	greatly
restricted	VBN	restrict
.	SENT	.
The	DT	the
United	NP	United
Nations	NPS	Nations
reports	VBZ	report
that	IN	that
,	,	,
before	IN	before
the	DT	the
conflict	NN	conflict
in	IN	in
2023	CD	@card@
,	,	,
500	CD	@card@
trucks	NNS	truck
entered	VBN	enter
Gaza	NP	Gaza
daily	NN	daily
,	,	,
while	IN	while
,	,	,
in	IN	in
the	DT	the
first	JJ	first
two	CD	two
weeks	NNS	week
of	IN	of
September	NP	September
2024	CD	@card@
,	,	,
only	RB	only
166	CD	@card@
were	VBD	be
permitted	VBN	permit
to	TO	to
make	VB	make
the	DT	the
crossing	NN	crossing
.	SENT	.
<p>
Although	IN	although
suffering	VBG	suffer
nothing	NN	nothing
like	IN	like
the	DT	the
economic	JJ	economic
collapse	NN	collapse
in	IN	in
Gaza	NP	Gaza
,	,	,
the	DT	the
West	NP	West
Bank	NP	Bank
Palestinian	JJ	Palestinian
territory	NN	territory
is	VBZ	be
also	RB	also
confronting	VBG	confront
a	DT	a
sharp	JJ	sharp
downturn	NN	downturn
,	,	,
with	IN	with
GDP	NP	GDP
in	IN	in
the	DT	the
fourth	JJ	fourth
quarter	NN	quarter
of	IN	of
2023	CD	@card@
down	RB	down
19	CD	@card@
percent	NN	percent
on	IN	on
the	DT	the
previous	JJ	previous
quarter	NN	quarter
.	SENT	.
Virtually	RB	virtually
all	DT	all
private	JJ	private
sector	NN	sector
businesses	NNS	business
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
are	VBP	be
reporting	VBG	report
a	DT	a
decline	NN	decline
in	IN	in
sales	NNS	sale
.	SENT	.
And	CC	and
42	CD	@card@
percent	NN	percent
saying	VBG	say
the	DT	the
number	NN	number
of	IN	of
employees	NNS	employee
reporting	VBG	report
to	TO	to
work	VB	work
has	VBZ	have
fallen	VBN	fall
,	,	,
reflecting	VBG	reflect
greater	JJR	great
restrictions	NNS	restriction
on	IN	on
movement	NN	movement
.	SENT	.
<p>
Before	IN	before
the	DT	the
conflict	NN	conflict
,	,	,
22	CD	@card@
percent	NN	percent
of	IN	of
West	NP	West
Bank	NP	Bank
Palestinians	NPS	Palestinians
worked	VBD	work
in	IN	in
Israel	NP	Israel
or	CC	or
in	IN	in
Israeli	JJ	Israeli
settlements	NNS	settlement
.	SENT	.
However	RB	however
,	,	,
90	CD	@card@
per	IN	per
cent	NN	cent
of	IN	of
those	DT	those
workers	NNS	worker
have	VBP	have
now	RB	now
lost	VBN	lose
their	PP$	their
jobs	NNS	job
and	CC	and
unemployment	NN	unemployment
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
has	VBZ	have
risen	VBN	rise
from	IN	from
12.9	CD	@card@
per	IN	per
cent	NN	cent
to	TO	to
32	CD	@card@
per	IN	per
cent	NN	cent
as	IN	as
a	DT	a
result	NN	result
.	SENT	.
The	DT	the
Palestinian	NP	Palestinian
Authority	NP	Authority
is	VBZ	be
heavily	RB	heavily
in	IN	in
arrears	NNS	arrears
in	IN	in
payments	NNS	payment
to	TO	to
public	JJ	public
sector	NN	sector
employees	NNS	employee
.	SENT	.
<p>
The	DT	the
United	NP	United
Nations	NPS	Nations
estimates	VBZ	estimate
that	IN	that
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
debris	NN	debris
,	,	,
which	WDT	which
Bloomberg	NP	Bloomberg
calculated	VBD	calculate
would	MD	would
take	VB	take
a	DT	a
line	NN	line
of	IN	of
dump	NN	dump
trucks	NNS	truck
stretching	VBG	stretch
from	IN	from
New	NP	New
York	NP	York
to	TO	to
Singapore	NP	Singapore
to	TO	to
clear	VB	clear
.	SENT	.
<p>
The	DT	the
Israeli	JJ	Israeli
government	NN	government
is	VBZ	be
promoting	VBG	promote
the	DT	the
idea	NN	idea
of	IN	of
a	DT	a
futuristic	JJ	futuristic
Gaza	NP	Gaza
free	JJ	free
trade	NN	trade
zone	NN	zone
modelled	VBN	model
on	IN	on
Singapore	NP	Singapore
once	IN	once
the	DT	the
war	NN	war
is	VBZ	be
over	RP	over
.	SENT	.
Reconstruction	NN	reconstruction
would	MD	would
be	VB	be
supervised	VBN	supervise
by	IN	by
Saudi	NP	Saudi
Arabia	NP	Arabia
,	,	,
UAE	NP	UAE
,	,	,
Egypt	NP	Egypt
,	,	,
Jordan	NP	Jordan
and	CC	and
Morocco	NP	Morocco
,	,	,
with	IN	with
a	DT	a
target	NN	target
completion	NN	completion
date	NN	date
of	IN	of
2035	CD	@card@
.	SENT	.
The	DT	the
territory	NN	territory
would	MD	would
be	VB	be
administered	VBN	administer
by	IN	by
Israel	NP	Israel
,	,	,
Egypt	NP	Egypt
and	CC	and
a	DT	a
Palestinian	NP	Palestinian
Rehabilitation	NP	Rehabilitation
Authority	NP	Authority
.	SENT	.
