<p>
Seven	CD	seven
,	,	,
"	''	"
an	DT	an
Israeli	JJ	Israeli
military	JJ	military
spokesman	NN	spokesman
told	VBD	tell
reporters	NNS	reporter
on	IN	on
Friday	NP	Friday
.	SENT	.
<p>
Chef	NN	chef
Jos	NP	Jos
?	SENT	?
Andr	NP	<unknown>
?	SENT	?
s	NNS	<unknown>
,	,	,
who	WP	who
founded	VBD	found
WCK	NP	WCK
,	,	,
has	VBZ	have
lambasted	VBN	lambaste
the	DT	the
conduct	NN	conduct
of	IN	of
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
forces	NNS	force
in	IN	in
Gaza	NP	Gaza
as	IN	as
they	PP	they
pursue	VBP	pursue
Hamas	JJ	<unknown>
fighters	NNS	fighter
and	CC	and
he	PP	he
has	VBZ	have
called	VBN	call
for	IN	for
an	DT	an
outside	JJ	outside
investigation	NN	investigation
of	IN	of
the	DT	the
strike	NN	strike
.	SENT	.
<p>
Kirby	NP	Kirby
on	IN	on
Sunday	NP	Sunday
reiterated	VBD	reiterate
the	DT	the
White	NP	White
House	NP	House
'	POS	'
s	JJ	<unknown>
condolences	NNS	condolence
for	IN	for
the	DT	the
WCK	NP	WCK
deaths	NNS	death
,	,	,
saying	VBG	say
,	,	,
"	''	"
The	DT	the
president	NN	president
shares	VBZ	share
that	IN	that
grief	NN	grief
and	CC	and
sorrow	NN	sorrow
.	SENT	.
"	''	"
<p>
White	NP	White
House	NP	House
national	JJ	national
security	NN	security
communications	NNS	communication
adviser	NN	adviser
John	NP	John
Kirby	NP	Kirby
speaks	VBZ	speak
during	IN	during
a	DT	a
press	NN	press
briefing	NN	briefing
at	IN	at
the	DT	the
White	NP	White
House	NP	House
,	,	,
on	IN	on
April	NP	April
4	CD	@card@
,	,	,
2024	CD	@card@
,	,	,
in	IN	in
Washington	NP	Washington
,	,	,
D.C.	NP	D.C.
<p>
Evan	NP	Evan
Vucci/AP	NP	<unknown>
<p>
Pressed	VBN	press
by	IN	by
Raddatz	NP	Raddatz
on	IN	on
whether	IN	whether
he	PP	he
also	RB	also
wants	VBZ	want
an	DT	an
independent	JJ	independent
investigation	NN	investigation
,	,	,
Kirby	NP	Kirby
said	VBD	say
the	DT	the
administration	NN	administration
is	VBZ	be
examining	VBG	examine
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
'	POS	'
re	NN	re
looking	VBG	look
at	IN	at
the	DT	the
investigation	NN	investigation
right	RB	right
now	RB	now
,	,	,
Martha	NP	Martha
.	SENT	.
We	PP	we
have	VBP	have
n't	RB	n't
come	VBN	come
to	TO	to
any	DT	any
conclusions	NNS	conclusion
one	CD	one
way	NN	way
or	CC	or
another	DT	another
.	SENT	.
This	DT	this
was	VBD	be
an	DT	an
investigation	NN	investigation
that	WDT	that
was	VBD	be
done	VBN	do
sort	NN	sort
of	IN	of
akin	JJ	akin
to	TO	to
like	VB	like
an	DT	an
inspector	NN	inspector
general	NN	general
.	SENT	.
So	RB	so
,	,	,
it	PP	it
was	VBD	be
outside	IN	outside
the	DT	the
chain	NN	chain
of	IN	of
command	NN	command
.	SENT	.
But	CC	but
again	RB	again
,	,	,
we	PP	we
'	POS	'
re	NN	re
working	VBG	work
our	PP$	our
way	NN	way
through	IN	through
that	DT	that
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<h>
Related	NP	Related
Stories	NP	Stories
<p>
He	PP	he
declined	VBD	decline
to	TO	to
weigh	VB	weigh
in	IN	in
on	IN	on
the	DT	the
Israel	NP	Israel
military	NN	military
'	POS	'
s	NNS	<unknown>
claim	VBP	claim
that	IN	that
because	IN	because
it	PP	it
was	VBD	be
night	NN	night
,	,	,
the	DT	the
WCK	NP	WCK
branding	VBG	brand
on	IN	on
the	DT	the
top	NN	top
of	IN	of
the	DT	the
vehicles	NNS	vehicle
was	VBD	be
n't	RB	n't
visible	JJ	visible
to	TO	to
drone	VB	drone
operators	NNS	operator
just	RB	just
before	IN	before
the	DT	the
strike	NN	strike
last	JJ	last
week	NN	week
,	,	,
which	WDT	which
Andr	NP	<unknown>
?	SENT	?
s	NN	S
disputes	NNS	dispute
.	SENT	.
<p>
More	RBR	more
broadly	RB	broadly
,	,	,
Raddatz	NP	Raddatz
asked	VBD	ask
Kirby	NP	Kirby
if	IN	if
Israel	NP	Israel
'	POS	'
s	NN	S
forces	NNS	force
were	VBD	be
following	VBG	follow
"	``	"
legitimate	JJ	legitimate
rules	NNS	rule
of	IN	of
engagement	NN	engagement
"	''	"
in	IN	in
destroying	VBG	destroy
three	CD	three
vehicles	NNS	vehicle
after	IN	after
claiming	VBG	claim
that	IN	that
at	IN	at
one	CD	one
point	NN	point
they	PP	they
saw	VBD	see
a	DT	a
suspected	JJ	suspected
gunman	NN	gunman
in	IN	in
the	DT	the
convoy	NN	convoy
.	SENT	.
<p>
"	``	"
I	PP	I
think	VBP	think
again	RB	again
,	,	,
we	PP	we
'	POS	'
re	NN	re
gon	VBG	gon
na	TO	na
have	VB	have
to	TO	to
work	VB	work
our	PP$	our
way	NN	way
through	IN	through
this	DT	this
investigation	NN	investigation
and	CC	and
the	DT	the
decision-making	NN	decision-making
process	NN	process
that	WDT	that
goes	VBZ	go
in	IN	in
--	:	--
not	RB	not
just	RB	just
one	CD	one
,	,	,
but	CC	but
then	RB	then
three	CD	three
strikes	NNS	strike
and	CC	and
what	WP	what
the	DT	the
intelligence	NN	intelligence
was	VBD	be
telling	VBG	tell
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
"	``	"
Kirby	NP	Kirby
said	VBD	say
.	SENT	.
<p>
"	``	"
We	PP	we
know	VBP	know
from	IN	from
our	PP$	our
own	JJ	own
experience	NN	experience
that	IN	that
the	DT	the
intelligence	NN	intelligence
you	PP	you
get	VBP	get
and	CC	and
you	PP	you
process	VBP	process
and	CC	and
you	PP	you
analyze	VBP	analyze
may	MD	may
not	RB	not
always	RB	always
be	VB	be
accurate	JJ	accurate
,	,	,
and	CC	and
you	PP	you
act	VBP	act
on	IN	on
that	DT	that
intelligence	NN	intelligence
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<p>
"	``	"
I	PP	I
do	VBP	do
n't	RB	n't
want	VB	want
to	TO	to
sound	VB	sound
like	IN	like
a	DT	a
broken	VBN	break
record	NN	record
,	,	,
but	CC	but
what	WP	what
really	RB	really
matters	VBZ	matter
is	VBZ	be
they	PP	they
make	VBP	make
the	DT	the
deconfliction	NN	deconfliction
changes	VBZ	change
to	TO	to
reduce	VB	reduce
mistakes	NNS	mistake
and	CC	and
the	DT	the
communication	NN	communication
changes	VBZ	change
so	RB	so
that	IN	that
this	DT	this
does	VBZ	do
n't	RB	n't
happen	VB	happen
again	RB	again
,	,	,
"	''	"
Kirby	NP	Kirby
said	VBD	say
.	SENT	.
<p>
Aid	NN	aid
groups	NNS	group
like	IN	like
WCK	NP	WCK
could	MD	could
well	RB	well
curtail	VB	curtail
their	PP$	their
work	NN	work
in	IN	in
Gaza	NP	Gaza
,	,	,
compounding	VBG	compound
the	DT	the
humanitarian	JJ	humanitarian
problems	NNS	problem
there	RB	there
,	,	,
in	IN	in
light	NN	light
of	IN	of
the	DT	the
Israeli	JJ	Israeli
strike	NN	strike
,	,	,
Kirby	NP	Kirby
said	VBD	say
.	SENT	.
<p>
"	``	"
We	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
make	VB	make
sure	JJ	sure
that	IN	that
they	PP	they
feel	VBP	feel
safe	JJ	safe
and	CC	and
secure	JJ	secure
getting	VBG	get
into	IN	into
Gaza	NP	Gaza
and	CC	and
distributing	VBG	distribute
that	DT	that
aid	NN	aid
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<p>
Overall	RB	overall
,	,	,
while	IN	while
the	DT	the
president	NN	president
and	CC	and
top	JJ	top
administration	NN	administration
officials	NNS	official
have	VBP	have
increasingly	RB	increasingly
warned	VBN	warn
of	IN	of
potential	JJ	potential
consequences	NNS	consequence
if	IN	if
Israel	NP	Israel
does	VBZ	do
n't	RB	n't
shift	VB	shift
its	PP$	its
approach	NN	approach
to	TO	to
civilians	NNS	civilian
in	IN	in
Gaza	NP	Gaza
,	,	,
Kirby	NP	Kirby
declined	VBD	decline
to	TO	to
preview	VB	preview
what	WP	what
some	DT	some
of	IN	of
those	DT	those
actions	NNS	action
could	MD	could
be	VB	be
,	,	,
saying	VBG	say
he	PP	he
did	VBD	do
n't	RB	n't
want	VB	want
to	TO	to
get	VB	get
out	RP	out
ahead	RB	ahead
of	IN	of
Biden	NP	Biden
"	''	"
or	CC	or
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
.	SENT	.
<p>
However	RB	however
,	,	,
Kirby	NP	Kirby
indicated	VBD	indicate
that	IN	that
the	DT	the
U.S.	NP	U.S.
will	MD	will
continue	VB	continue
to	TO	to
be	VB	be
a	DT	a
major	JJ	major
partner	NN	partner
in	IN	in
supplying	VBG	supply
military	JJ	military
support	NN	support
to	TO	to
Israel	NP	Israel
for	IN	for
its	PP$	its
defensive	JJ	defensive
needs	NNS	need
.	SENT	.
<p>
"	''	"
Israel	NP	Israel
has	VBZ	have
a	DT	a
right	NN	right
to	TO	to
defend	VB	defend
itself	PP	itself
and	CC	and
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
important	JJ	important
to	TO	to
also	RB	also
remember	VB	remember
,	,	,
they	PP	they
live	VBP	live
in	IN	in
a	DT	a
tough	JJ	tough
neighborhood	NN	neighborhood
.	SENT	.
We	PP	we
'	''	'
re	IN	re
all	DT	all
focused	VBN	focus
on	IN	on
the	DT	the
fight	NN	fight
in	IN	in
Gaza	NP	Gaza
as	IN	as
we	PP	we
rightly	RB	rightly
should	MD	should
be	VB	be
.	SENT	.
But	CC	but
they	PP	they
'	POS	'
re	NN	re
facing	VBG	face
threats	NNS	threat
from	IN	from
Iran	NP	Iran
and	CC	and
from	IN	from
Iran-backed	JJ	Iran-backed
groups	NNS	group
all	RB	all
through	IN	through
the	DT	the
region	NN	region
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
make	VB	make
sure	JJ	sure
that	IN	that
they	PP	they
'	POS	'
re	NN	re
ready	JJ	ready
for	IN	for
this	DT	this
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<p>
"	''	"
I	NP	I
'	POS	'
m	NN	m
glad	NN	glad
you	PP	you
brought	VBD	bring
that	DT	that
timeline	NN	timeline
up	RB	up
because	IN	because
it	PP	it
shows	VBZ	show
the	DT	the
degree	NN	degree
,	,	,
the	DT	the
growing	VBG	grow
degree	NN	degree
,	,	,
of	IN	of
frustration	NN	frustration
that	IN	that
we	PP	we
'	POS	'
ve	NN	ve
had	VBD	have
with	IN	with
the	DT	the
way	NN	way
these	DT	these
operations	NNS	operation
are	VBP	be
being	VBG	be
prosecuted	VBN	prosecute
and	CC	and
the	DT	the
way	NN	way
that	IN	that
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
acting	VBG	act
on	IN	on
the	DT	the
ground	NN	ground
in	IN	in
terms	NNS	term
of	IN	of
civilian	JJ	civilian
casualties	NNS	casualty
,	,	,
"	''	"
Kirby	NP	Kirby
insisted	VBD	insist
.	SENT	.
"	``	"
So	RB	so
we	PP	we
have	VBP	have
been	VBN	be
increasingly	RB	increasingly
frustrated	VBN	frustrate
.	SENT	.
"	``	"
