<h>
Some	DT	some
@	SYM	@
@	SYM	@
@	SYM	@
on	IN	on
college	NN	college
campuses	NNS	campus
across	IN	across
the	DT	the
United	NP	United
States	NPS	States
in	IN	in
which	WDT	which
students	NNS	student
and	CC	and
organizations	NNS	organization
have	VBP	have
taken	VBN	take
sides	NNS	side
--	:	--
in	IN	in
support	NN	support
of	IN	of
Palestinians	NPS	Palestinians
or	CC	or
of	IN	of
Israel	NP	Israel
--	:	--
as	IN	as
Israel	NP	Israel
continues	VBZ	continue
its	PP$	its
6-month-long	JJ	6-month-long
war	NN	war
in	IN	in
Gaza	NP	Gaza
against	IN	against
Hamas	NP	<unknown>
.	SENT	.
<p>
University	NP	University
of	IN	of
Michigan	NP	Michigan
President	NP	President
Santo	NP	Santo
Ono	NP	Ono
said	VBD	say
in	IN	in
a	DT	a
letter	NN	letter
to	TO	to
the	DT	the
campus	NN	campus
community	NN	community
that	IN	that
the	DT	the
protesters	NNS	protester
who	WP	who
disrupted	VBD	disrupt
the	DT	the
annual	JJ	annual
honors	NNS	honors
undergraduate	JJ	undergraduate
graduation	NN	graduation
ceremony	NN	ceremony
"	``	"
brought	VBD	bring
profound	JJ	profound
disappointment	NN	disappointment
to	TO	to
students	NNS	student
,	,	,
parents	NNS	parent
,	,	,
grandparents	NNS	grandparent
,	,	,
siblings	NNS	sibling
,	,	,
and	CC	and
other	JJ	other
relatives	NNS	relative
and	CC	and
friends	NNS	friend
.	SENT	.
"	''	"
<p>
"	``	"
We	PP	we
all	RB	all
must	MD	must
understand	VB	understand
that	IN	that
,	,	,
while	IN	while
protest	NN	protest
is	VBZ	be
valued	VBN	value
and	CC	and
protected	VBN	protect
,	,	,
disruptions	NNS	disruption
are	VBP	be
not	RB	not
,	,	,
"	''	"
Ono	NP	Ono
wrote	VBD	write
.	SENT	.
"	''	"
One	CD	one
group	NN	group
'	POS	'
s	JJ	<unknown>
right	NN	right
to	TO	to
protest	NN	protest
does	VBZ	do
not	RB	not
supersede	VB	supersede
the	DT	the
right	NN	right
of	IN	of
others	NNS	other
to	TO	to
participate	VB	participate
in	IN	in
a	DT	a
joyous	JJ	joyous
event	NN	event
.	SENT	.
"	''	"
<p>
"	``	"
It	PP	it
was	VBD	be
painful	JJ	painful
for	IN	for
everyone	NN	everyone
who	WP	who
had	VBD	have
gathered	VBN	gather
--	:	--
and	CC	and
especially	RB	especially
so	RB	so
for	IN	for
members	NNS	member
of	IN	of
our	PP$	our
Jewish	JJ	Jewish
community	NN	community
,	,	,
"	''	"
Ono	NP	Ono
added	VBD	add
.	SENT	.
<p>
The	DT	the
war	NN	war
has	VBZ	have
ignited	VBN	ignite
a	DT	a
humanitarian	JJ	humanitarian
catastrophe	NN	catastrophe
.	SENT	.
Most	JJS	most
of	IN	of
the	DT	the
territory	NN	territory
'	POS	'
s	NN	S
population	NN	population
has	VBZ	have
been	VBN	be
displaced	VBN	displace
,	,	,
and	CC	and
with	IN	with
vast	JJ	vast
swaths	NNS	swath
of	IN	of
Gaza	NP	Gaza
'	POS	'
s	JJ	<unknown>
urban	JJ	urban
landscape	NN	landscape
leveled	VBN	level
in	IN	in
the	DT	the
fighting	NN	fighting
,	,	,
many	JJ	many
areas	NNS	area
are	VBP	be
uninhabitable	JJ	uninhabitable
.	SENT	.
<p>
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
a	DT	a
Palestinian	JJ	Palestinian
solidarity	NN	solidarity
group	NN	group
,	,	,
posted	VBN	post
on	IN	on
social	JJ	social
media	NNS	medium
that	IN	that
students	NNS	student
shut	VBD	shut
down	RP	down
the	DT	the
University	NP	University
of	IN	of
Michigan	NP	Michigan
convocation	NN	convocation
to	TO	to
demand	VB	demand
the	DT	the
school	NN	school
divest	VB	divest
from	IN	from
Israel	NP	Israel
and	CC	and
"	``	"
war	NN	war
profiteers	NNS	profiteer
facilitating	VBG	facilitate
genocide	NN	genocide
.	SENT	.
"	``	"
<p>
The	DT	the
Associated	NP	Associated
Press	NP	Press
left	VBD	leave
emails	NNS	email
this	DT	this
week	NN	week
seeking	VBG	seek
comment	NN	comment
from	IN	from
organizers	NNS	organizer
of	IN	of
the	DT	the
protest	NN	protest
.	SENT	.
<p>
Some	DT	some
University	NP	University
of	IN	of
Michigan	NP	Michigan
students	NNS	student
walked	VBD	walk
out	RP	out
of	IN	of
classes	NNS	class
on	IN	on
April	NP	April
4	CD	@card@
,	,	,
protesting	VBG	protest
the	DT	the
school	NN	school
'	POS	'
s	NN	S
ties	NNS	tie
to	TO	to
Israel	NP	Israel
and	CC	and
the	DT	the
planned	JJ	planned
policy	NN	policy
,	,	,
which	WDT	which
,	,	,
among	IN	among
other	JJ	other
things	NNS	thing
,	,	,
would	MD	would
prohibit	VB	prohibit
disrupting	VBG	disrupt
speakers	NNS	speaker
or	CC	or
performers	NNS	performer
.	SENT	.
Students	NNS	student
violating	VBG	violate
the	DT	the
policy	NN	policy
could	MD	could
face	VB	face
reprimand	NN	reprimand
,	,	,
disciplinary	JJ	disciplinary
probation	NN	probation
,	,	,
restitution	NN	restitution
,	,	,
removal	NN	removal
from	IN	from
a	DT	a
specific	JJ	specific
course	NN	course
,	,	,
suspension	NN	suspension
or	CC	or
expulsion	NN	expulsion
.	SENT	.
<p>
Staff	NN	staff
members	NNS	member
violating	VBG	violate
the	DT	the
policy	NN	policy
could	MD	could
face	VB	face
misconduct	NN	misconduct
allegations	NNS	allegation
,	,	,
and	CC	and
the	DT	the
school	NN	school
"	``	"
may	MD	may
institute	VB	institute
discipline	NN	discipline
,	,	,
up	RB	up
to	TO	to
and	CC	and
including	VBG	include
termination	NN	termination
.	SENT	.
"	''	"
<p>
The	DT	the
policy	NN	policy
,	,	,
if	IN	if
enacted	VBN	enact
as	RB	as
is	VBZ	be
,	,	,
would	MD	would
apply	VB	apply
to	TO	to
all	DT	all
students	NNS	student
,	,	,
employees	NNS	employee
,	,	,
contractors	NNS	contractor
,	,	,
volunteers	NNS	volunteer
and	CC	and
visitors	NNS	visitor
who	WP	who
engage	VBP	engage
in	IN	in
disruptive	JJ	disruptive
activity	NN	activity
.	SENT	.
<p>
"	``	"
We	PP	we
will	MD	will
not	RB	not
shy	VB	shy
away	RB	away
from	IN	from
protecting	VBG	protect
the	DT	the
values	NNS	value
we	PP	we
hold	VBP	hold
dear	RB	dear
,	,	,
"	''	"
Ono	NP	Ono
wrote	VBD	write
in	IN	in
a	DT	a
follow-up	NN	follow-up
letter	NN	letter
to	TO	to
the	DT	the
campus	NN	campus
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
be	VB	be
held	VBN	hold
accountable	JJ	accountable
.	SENT	.
"	''	"
<p>
Michigan	NP	Michigan
sophomore	NN	sophomore
Annabel	NP	Annabel
Bean	NP	Bean
said	VBD	say
the	DT	the
school	NN	school
appears	VBZ	appear
to	TO	to
be	VB	be
trying	VBG	try
to	TO	to
limit	VB	limit
and	CC	and
repress	VB	repress
student	NN	student
protests	NNS	protest
.	SENT	.
<p>
"	``	"
The	DT	the
guidelines	NNS	guideline
are	VBP	be
just	RB	just
really	RB	really
a	DT	a
huge	JJ	huge
overstep	VBP	overstep
I	PP	I
think	VBP	think
in	IN	in
my	PP$	my
opinion	NN	opinion
,	,	,
"	''	"
Bean	NP	Bean
told	VBD	tell
WXYZ-TV	NP	<unknown>
.	SENT	.
"	``	"
The	DT	the
point	NN	point
of	IN	of
a	DT	a
protest	NN	protest
is	VBZ	be
to	TO	to
be	VB	be
disruptive	JJ	disruptive
and	CC	and
if	IN	if
you	PP	you
'	POS	'
re	NN	re
saying	VBG	say
it	PP	it
ca	MD	ca
n't	RB	n't
be	VB	be
disruptive	JJ	disruptive
,	,	,
then	RB	then
we	PP	we
'	POS	'
re	NN	re
not	RB	not
protesting	VBG	protest
,	,	,
and	CC	and
how	WRB	how
are	VBP	be
you	PP	you
honoring	VBG	honor
your	PP$	your
history	NN	history
of	IN	of
disruptive	JJ	disruptive
student	NN	student
protests	NNS	protest
?	SENT	?
"	``	"
<p>
The	DT	the
American	NP	American
Civil	NP	Civil
Liberties	NPS	Liberties
Union	NP	Union
of	IN	of
Michigan	NP	Michigan
said	VBD	say
it	PP	it
is	VBZ	be
concerned	VBN	concern
the	DT	the
proposed	VBN	propose
policy	NN	policy
,	,	,
as	IN	as
drafted	VBN	draft
,	,	,
will	MD	will
impair	VB	impair
civil	JJ	civil
liberties	NNS	liberty
on	IN	on
campus	NN	campus
.	SENT	.
<p>
"	``	"
We	PP	we
believe	VBP	believe
the	DT	the
proposed	VBN	propose
policy	NN	policy
is	VBZ	be
vague	JJ	vague
and	CC	and
overbroad	NN	overbroad
,	,	,
and	CC	and
risks	NNS	risk
chilling	VBG	chill
a	DT	a
substantial	JJ	substantial
amount	NN	amount
of	IN	of
free	JJ	free
speech	NN	speech
and	CC	and
expression	NN	expression
,	,	,
"	''	"
the	DT	the
ACLU	NP	ACLU
Michigan	NP	Michigan
said	VBD	say
in	IN	in
a	DT	a
letter	NN	letter
to	TO	to
Ono	NP	Ono
.	SENT	.
"	``	"
We	PP	we
recognize	VBP	recognize
that	IN	that
the	DT	the
university	NN	university
has	VBZ	have
an	DT	an
interest	NN	interest
in	IN	in
carrying	VBG	carry
out	RP	out
its	PP$	its
operations	NNS	operation
without	IN	without
major	JJ	major
disruptions	NNS	disruption
;	:	;
however	RB	however
,	,	,
in	IN	in
attempting	VBG	attempt
to	TO	to
achieve	VB	achieve
that	DT	that
goal	NN	goal
,	,	,
the	DT	the
proposed	VBN	propose
policy	NN	policy
sacrifices	VBZ	sacrifice
far	RB	far
too	RB	too
much	JJ	much
.	SENT	.
"	''	"
<p>
The	DT	the
university	NN	university
is	VBZ	be
reviewing	VBG	review
comments	NNS	comment
from	IN	from
the	NP	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
mission	NN	mission
and	CC	and
values	NNS	value
,	,	,
Assistant	NP	Assistant
Vice	NP	Vice
President	NP	President
of	IN	of
Public	NP	Public
Affairs	NPS	Affairs
Colleen	NP	Colleen
Mastony	NP	<unknown>
said	VBD	say
in	IN	in
an	DT	an
email	NN	<unknown>
.	SENT	.
<p>
"	''	"
The	DT	the
university	NN	university
will	MD	will
not	RB	not
rush	VB	rush
the	DT	the
development	NN	development
of	IN	of
this	DT	this
new	JJ	new
policy	NN	policy
,	,	,
"	''	"
Mastony	NP	<unknown>
said	VBD	say
.	SENT	.
"	``	"
We	PP	we
will	MD	will
ensure	VB	ensure
all	DT	all
voices	NNS	voice
have	VBP	have
an	DT	an
opportunity	NN	opportunity
to	TO	to
be	VB	be
heard	VBN	hear
.	SENT	.
Our	PP$	our
goal	NN	goal
is	VBZ	be
to	TO	to
make	VB	make
policies	NNS	policy
clearer	JJR	clear
,	,	,
ensure	VB	ensure
key	JJ	key
terms	NNS	term
are	VBP	be
well	RB	well
defined	VBN	define
,	,	,
incorporate	VB	incorporate
pathways	NNS	pathway
for	IN	for
restorative	JJ	restorative
action	NN	action
,	,	,
and	CC	and
support	VB	support
respectful	JJ	respectful
discussion	NN	discussion
of	IN	of
divergent	JJ	divergent
viewpoints	NNS	viewpoint
.	SENT	.
"	``	"
<p>
As	IN	as
it	PP	it
reads	VBZ	read
now	RB	now
,	,	,
the	DT	the
proposed	VBN	propose
policy	NN	policy
lacks	VBZ	lack
clarity	NN	clarity
,	,	,
said	VBD	say
Thomas	NP	Thomas
Braun	NP	Braun
,	,	,
a	DT	a
biostatistics	NN	biostatistics
professor	NN	professor
.	SENT	.
<p>
"	''	"
For	IN	for
faculty	NN	faculty
,	,	,
who	WP	who
are	VBP	be
not	RB	not
on	IN	on
the	DT	the
tenured	VBN	tenure
track	NN	track
or	CC	or
not	RB	not
tenured	VBN	tenure
,	,	,
the	DT	the
worry	NN	worry
is	VBZ	be
this	DT	this
overreaching	VBG	overreach
policy	NN	policy
...	:	...
it	PP	it
'	POS	'
s	NN	S
unclear	JJ	unclear
what	WP	what
sanctions	NNS	sanction
can	MD	can
be	VB	be
given	VBN	give
to	TO	to
faculty	NN	faculty
,	,	,
"	''	"
said	VBD	say
Braun	NP	Braun
,	,	,
adding	VBG	add
that	IN	that
there	EX	there
is	VBZ	be
fear	NN	fear
of	IN	of
being	VBG	be
denied	VBN	deny
tenure	NN	tenure
"	''	"
because	IN	because
of	IN	of
something	NN	something
you	PP	you
participated	VBD	participate
in	IN	in
.	SENT	.
"	''	"
<p>
Braun	NP	Braun
,	,	,
who	WP	who
also	RB	also
is	VBZ	be
chair	NN	chair
of	IN	of
the	DT	the
Senate	NP	Senate
Advisory	NP	Advisory
Committee	NP	Committee
on	IN	on
University	NP	University
Affairs	NPS	Affairs
,	,	,
said	VBD	say
there	EX	there
always	RB	always
is	VBZ	be
a	DT	a
debate	NN	debate
on	IN	on
the	DT	the
school	NN	school
'	POS	'
s	JJ	<unknown>
campus	NN	campus
regarding	VBG	regard
freedom	NN	freedom
of	IN	of
speech	NN	speech
and	CC	and
freedom	NN	freedom
of	IN	of
the	DT	the
press	NN	press
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
be	VB	be
for	IN	for
one	CD	one
side	NN	side
or	CC	or
the	DT	the
other	JJ	other
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
"	''	"
This	DT	this
issue	NN	issue
has	VBZ	have
made	VBN	make
it	PP	it
very	RB	very
clear	JJ	clear
to	TO	to
me	PP	me
that	IN	that
I	PP	I
have	VBP	have
been	VBN	be
oblivious	JJ	oblivious
to	TO	to
the	DT	the
experiences	NNS	experience
of	IN	of
the	DT	the
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
.	SENT	.
At	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
I	PP	I
ca	MD	ca
n't	RB	n't
think	VB	think
I	PP	I
can	MD	can
condone	VB	condone
the	DT	the
entire	JJ	entire
removal	NN	removal
of	IN	of
Israel	NP	Israel
as	IN	as
a	DT	a
state	NN	state
.	SENT	.
How	WRB	how
does	VBZ	do
a	DT	a
campus	NN	campus
deal	NN	deal
with	IN	with
its	PP$	its
own	JJ	own
turmoil	NN	turmoil
around	IN	around
this	DT	this
issue	NN	issue
,	,	,
while	IN	while
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
being	VBG	be
asked	VBN	ask
to	TO	to
solve	VB	solve
the	DT	the
world	NN	world
'	POS	'
s	NN	S
issues	NNS	issue
?	SENT	?
"	``	"
