<p>
There	EX	there
,	,	,
who	WP	who
manages	VBZ	manage
to	TO	to
be	VB	be
both	DT	both
passionate	JJ	passionate
and	CC	and
indolent	JJ	indolent
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
.	SENT	.
Debbie	NP	Debbie
and	CC	and
Phil	NP	Phil
should	MD	should
be	VB	be
more	JJR	more
like	IN	like
Shoshana	NP	Shoshana
and	CC	and
Yerucham	NP	<unknown>
and	CC	and
their	PP$	their
eight	CD	eight
children	NNS	child
.	SENT	.
Then	RB	then
there	EX	there
is	VBZ	be
the	DT	the
fuse	NN	fuse
of	IN	of
drink	NN	drink
--	:	--
lots	NNS	lot
of	IN	of
vodka	NN	vodka
--	:	--
and	CC	and
getting	VBG	get
high	JJ	high
on	IN	on
Trevor	NP	Trevor
'	POS	'
s	NN	S
marijuana	NN	marijuana
.	SENT	.
Shoshana	NP	Shoshana
has	VBZ	have
been	VBN	be
known	VBN	know
to	TO	to
keep	VB	keep
a	DT	a
stash	NN	stash
under	IN	under
her	PP$	her
blonde	NN	blonde
,	,	,
Marilyn	NP	Marilyn
Monroe-like	JJ	<unknown>
sheitel	NN	<unknown>
,	,	,
which	WDT	which
Phil	NP	Phil
would	MD	would
love	VB	love
to	TO	to
touch	VB	touch
.	SENT	.
<p>
Be	VB	be
patient	JJ	patient
.	SENT	.
If	IN	if
the	DT	the
first	JJ	first
act	NN	act
seems	VBZ	seem
a	DT	a
shouty	JJ	<unknown>
vehicle	NN	vehicle
populated	VBN	populate
by	RB	by
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
the	DT	the
end	NN	end
these	DT	these
people	NNS	people
are	VBP	be
fully	RB	fully
known	VBN	know
not	RB	not
least	JJS	least
thanks	NNS	thanks
to	TO	to
some	DT	some
pitch-perfect	JJ	pitch-perfect
acting	NN	acting
.	SENT	.
<p>
I	PP	I
suspect	VBP	suspect
that	IN	that
among	IN	among
Jews	NNS	jew
in	IN	in
the	DT	the
audience	NN	audience
who	WP	who
are	VBP	be
aligned	VBN	align
more	RBR	more
towards	IN	towards
the	DT	the
progressive	JJ	progressive
Phil	NP	Phil
and	CC	and
Debbie	NP	Debbie
end	NN	end
of	IN	of
the	DT	the
spectrum	NN	spectrum
there	EX	there
will	MD	will
be	VB	be
those	DT	those
who	WP	who
balk	VBP	balk
at	IN	at
their	PP$	their
use	NN	use
of	IN	of
"	``	"
genocide	NN	genocide
"	''	"
as	IN	as
a	DT	a
descriptor	NN	descriptor
of	IN	of
the	DT	the
massive	JJ	massive
death	NN	death
toll	NN	toll
in	IN	in
Gaza	NP	Gaza
.	SENT	.
But	CC	but
who	WP	who
knew	VBD	know
that	IN	that
Englander	NP	Englander
'	POS	'
s	JJ	<unknown>
sublime	JJ	sublime
short	JJ	short
story	NN	story
could	MD	could
be	VB	be
a	DT	a
play	NN	play
that	WDT	that
explores	VBZ	explore
the	DT	the
Jewish	JJ	Jewish
condition	NN	condition
post	NN	post
October	NP	October
7	CD	@card@
?	SENT	?
Other	JJ	other
than	IN	than
Marber	NP	<unknown>
that	WDT	that
is	VBZ	be
.	SENT	.
