<h>
Five-year-old	JJ	five-year-old
lost	VBD	lose
both	DT	both
of	IN	of
his	PP$	his
legs	NNS	leg
in	IN	in
a	DT	a
Gaza	NP	Gaza
airstrike	NN	airstrike
,	,	,
picks	VBZ	pick
out	RP	out
a	DT	a
gift	NN	gift
for	IN	for
Sally	NP	Sally
.	SENT	.
Four	CD	four
children	NNS	child
who	WP	who
were	VBD	be
wounded	VBN	wound
in	IN	in
Gaza	NP	Gaza
have	VBP	have
been	VBN	be
brought	VBN	bring
to	TO	to
Chicago	NP	Chicago
for	IN	for
treatment	NN	treatment
by	IN	by
Heal	NP	Heal
Palestine	NP	Palestine
.	SENT	.
<p>
Ashlee	NP	Ashlee
Rezin/Sun-Times	NP	Rezin/Sun-Times
<p>
Since	IN	since
the	DT	the
war	NN	war
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	<unknown>
began	VBD	begin
last	JJ	last
year	NN	year
,	,	,
Gazan	NP	<unknown>
authorities	NNS	authority
estimate	VBP	estimate
that	IN	that
more	JJR	more
than	IN	than
14,000	CD	@card@
Palestinian	JJ	Palestinian
children	NNS	child
have	VBP	have
died	VBN	die
in	IN	in
the	DT	the
conflict	NN	conflict
,	,	,
and	CC	and
thousands	NNS	thousand
more	JJR	more
have	VBP	have
been	VBN	be
wounded	VBN	wound
.	SENT	.
<p>
Christopher	NP	Christopher
Hernandez	NP	Hernandez
said	VBD	say
he	PP	he
drove	VBD	drive
to	TO	to
O'Hare	NP	<unknown>
from	IN	from
Hinsdale	NP	Hinsdale
to	TO	to
welcome	VB	welcome
Sally	NP	Sally
with	IN	with
a	DT	a
gift	NN	gift
because	IN	because
he	PP	he
knows	VBZ	know
children	NNS	child
have	VBP	have
been	VBN	be
suffering	VBG	suffer
in	IN	in
the	DT	the
war	NN	war
.	SENT	.
He	PP	he
gave	VBD	give
Sally	NP	Sally
My	NP	My
Little	NP	Little
Pony	NN	pony
toys	NNS	toy
and	CC	and
other	JJ	other
items	NNS	item
for	IN	for
her	PP	her
to	TO	to
play	VB	play
with	IN	with
.	SENT	.
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
"	``	"
Hernandez	NP	Hernandez
said	VBD	say
.	SENT	.
"	''	"
Little	JJ	little
kids	NNS	kid
are	VBP	be
going	VBG	go
through	IN	through
a	DT	a
rough	JJ	rough
time	NN	time
right	RB	right
now	RB	now
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
important	JJ	important
to	TO	to
show	VB	show
kids	NNS	kid
love	NN	love
and	CC	and
support	NN	support
.	SENT	.
"	''	"
<p>
Sally	NP	Sally
,	,	,
5	CD	@card@
,	,	,
was	VBD	be
hiding	VBG	hide
with	IN	with
her	PP$	her
family	NN	family
in	IN	in
a	DT	a
tent	NN	tent
in	IN	in
Gaza	NP	Gaza
in	IN	in
April	NP	April
when	WRB	when
she	PP	she
was	VBD	be
wounded	VBN	wound
in	IN	in
a	DT	a
bombing	NN	bombing
.	SENT	.
