<p>
Amid	IN	amid
avoidance	NN	avoidance
of	IN	of
harm	NN	harm
to	TO	to
innocent	JJ	innocent
civilians	NNS	civilian
in	IN	in
any	DT	any
military	JJ	military
response	NN	response
,	,	,
"	''	"
Okoh	NP	<unknown>
added	VBD	add
.	SENT	.
<p>
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
the	DT	the
loss	NN	loss
of	IN	of
their	PP$	their
loved	VBN	love
ones	NNS	one
in	IN	in
these	DT	these
incidents	NNS	incident
.	SENT	.
<p>
CAN	NN	can
called	VBD	call
on	IN	on
all	DT	all
parties	NNS	party
involved	VBN	involve
to	TO	to
immediately	RB	immediately
cease	VB	cease
hostilities	NNS	hostility
and	CC	and
engage	VB	engage
in	IN	in
dialogue	NN	dialogue
to	TO	to
seek	VB	seek
diplomatic	JJ	diplomatic
solutions	NNS	solution
.	SENT	.
It	PP	it
highlighted	VBD	highlight
the	DT	the
sanctity	NN	sanctity
of	IN	of
human	JJ	human
life	NN	life
and	CC	and
the	DT	the
principles	NNS	principle
of	IN	of
justice	NN	justice
and	CC	and
peace	NN	peace
,	,	,
as	RB	as
upheld	VBN	uphold
by	IN	by
the	DT	the
Christian	JJ	Christian
faith	NN	faith
.	SENT	.
<p>
Given	VBN	give
the	DT	the
current	JJ	current
situation	NN	situation
,	,	,
the	DT	the
religious	JJ	religious
organization	NN	organization
advised	VBD	advise
the	DT	the
suspension	NN	suspension
of	IN	of
the	DT	the
airlifting	VBG	airlift
of	IN	of
Nigerian	JJ	Nigerian
pilgrims	NNS	pilgrim
to	TO	to
sacred	JJ	sacred
sites	NNS	site
such	JJ	such
as	IN	as
Jerusalem	NP	Jerusalem
and	CC	and
Bethlehem	NP	Bethlehem
until	IN	until
normalcy	NN	normalcy
returns	NNS	return
to	TO	to
the	DT	the
area	NN	area
.	SENT	.
<p>
He	PP	he
also	RB	also
called	VBD	call
on	IN	on
the	DT	the
international	JJ	international
community	NN	community
,	,	,
including	VBG	include
the	DT	the
United	NP	United
Nations	NPS	Nations
and	CC	and
relevant	JJ	relevant
stakeholders	NNS	stakeholder
,	,	,
to	TO	to
intensify	VB	intensify
their	PP$	their
efforts	NNS	effort
in	IN	in
facilitating	VBG	facilitate
a	DT	a
just	JJ	just
and	CC	and
lasting	JJ	lasting
resolution	NN	resolution
to	TO	to
the	DT	the
Israeli-Palestinian	JJ	Israeli-Palestinian
conflict	NN	conflict
.	SENT	.
<p>
"	``	"
We	PP	we
pray	VBP	pray
for	IN	for
the	DT	the
repose	NN	repose
of	IN	of
the	DT	the
souls	NNS	soul
of	IN	of
those	DT	those
who	WP	who
were	VBD	be
killed	VBN	kill
in	IN	in
the	DT	the
violent	JJ	violent
attack	NN	attack
and	CC	and
the	DT	the
resultant	JJ	resultant
war	NN	war
,	,	,
as	RB	as
well	RB	well
as	IN	as
reconciliation	NN	reconciliation
,	,	,
healing	NN	healing
,	,	,
and	CC	and
enduring	VBG	endure
peace	NN	peace
in	IN	in
the	DT	the
region	NN	region
.	SENT	.
May	NP	May
God	NP	God
Almighty	JJ	almighty
comfort	NN	comfort
their	PP$	their
families	NNS	family
,	,	,
"	''	"
said	VBD	say
Okoh	NP	<unknown>
.	SENT	.
<p>
The	DT	the
CAN	MD	can
President	NP	President
encouraged	VBD	encourage
all	DT	all
religious	JJ	religious
congregations	NNS	congregation
in	IN	in
Nigeria	NP	Nigeria
to	TO	to
pray	VB	pray
fervently	RB	fervently
for	IN	for
peace	NN	peace
and	CC	and
unity	NN	unity
in	IN	in
the	DT	the
region	NN	region
,	,	,
for	IN	for
the	NP	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
and	CC	and
for	IN	for
the	DT	the
speedy	JJ	speedy
release	NN	release
of	IN	of
the	DT	the
abducted	VBN	abduct
individuals	NNS	individual
.	SENT	.
"	``	"
Our	PP$	our
faith	NN	faith
calls	VBZ	call
us	PP	us
to	TO	to
be	VB	be
peacemakers	NNS	peacemaker
and	CC	and
agents	NNS	agent
of	IN	of
reconciliation	NN	reconciliation
,	,	,
even	RB	even
in	IN	in
the	DT	the
midst	NN	midst
of	IN	of
conflict	NN	conflict
and	CC	and
adversity	NN	adversity
.	SENT	.
May	MD	may
the	DT	the
God	NP	God
of	IN	of
peace	NN	peace
guide	VB	guide
us	PP	us
as	IN	as
we	PP	we
navigate	VBP	navigate
these	DT	these
challenging	JJ	challenging
times	NNS	time
,	,	,
and	CC	and
may	MD	may
His	PP$	his
grace	NN	grace
and	CC	and
mercy	NN	mercy
prevail	VBP	prevail
in	IN	in
the	DT	the
lands	NNS	land
of	IN	of
Israel	NP	Israel
and	CC	and
Palestine	NP	Palestine
,	,	,
"	''	"
Okoh	NP	<unknown>
prayed	VBD	pray
.	SENT	.
<p>
About	RB	about
three	CD	three
days	NNS	day
ago	RB	ago
,	,	,
members	NNS	member
of	IN	of
Islamic	NP	Islamic
Movement	NP	Movement
of	IN	of
Nigeria	NP	Nigeria
,	,	,
IMN	NN	IMN
otherwise	RB	otherwise
known	VBN	know
as	IN	as
Shiites	NPS	Shiites
,	,	,
staged	VBD	stage
a	DT	a
solidarity	NN	solidarity
protest	NN	protest
in	IN	in
support	NN	support
of	IN	of
the	DT	the
Palestinians	NPS	Palestinians
following	VBG	follow
a	DT	a
retaliatory	JJ	retaliatory
attack	NN	attack
on	IN	on
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
Hamas	NP	<unknown>
fighters	NNS	fighter
by	IN	by
Israel	NP	Israel
.	SENT	.
<p>
The	DT	the
Shiites	NPS	Shiites
protesters	NNS	protester
wielding	VBG	wield
Palestine	NP	Palestine
national	JJ	national
flags	NNS	flag
chanted	VBD	chant
anti-Israeli	NP	anti-Israeli
songs	NNS	song
and	CC	and
openly	RB	openly
set	VB	set
ablaze	RB	ablaze
their	PP$	their
national	JJ	national
flag	NN	flag
to	TO	to
express	VB	express
their	PP$	their
anger	NN	anger
.	SENT	.
<p>
The	DT	the
protesters	NNS	protester
called	VBN	call
on	IN	on
Nigerians	NNS	Nigerian
to	TO	to
break	VB	break
their	PP$	their
silence	NN	silence
and	CC	and
raise	VB	raise
voices	NNS	voice
and	CC	and
support	VB	support
the	DT	the
oppressed	VBN	oppress
Palestinians	NNS	Palestinian
while	IN	while
rejoicing	VBG	rejoice
for	IN	for
the	DT	the
success	NN	success
recorded	VBN	record
by	IN	by
Palestinians	NPS	Palestinians
.	SENT	.
